=> Saving data in Logs/MNISTmy_attack_defense~try=8
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.0883 test loss 2.302715 best test_acc 0.0883
e 1 | malicious users: 0 | test acc 0.0919 test loss 2.302655 best test_acc 0.0919
e 2 | malicious users: 0 | test acc 0.0949 test loss 2.302620 best test_acc 0.0949
e 3 | malicious users: 0 | test acc 0.0985 test loss 2.302586 best test_acc 0.0985
e 4 | malicious users: 0 | test acc 0.1053 test loss 2.302521 best test_acc 0.1053
e 5 | malicious users: 0 | test acc 0.1118 test loss 2.302477 best test_acc 0.1118
e 6 | malicious users: 0 | test acc 0.1129 test loss 2.302427 best test_acc 0.1129
e 7 | malicious users: 0 | test acc 0.1194 test loss 2.302332 best test_acc 0.1194
e 8 | malicious users: 0 | test acc 0.1289 test loss 2.302269 best test_acc 0.1289
e 9 | malicious users: 0 | test acc 0.1297 test loss 2.302219 best test_acc 0.1297
e 10 | malicious users: 0 | test acc 0.1359 test loss 2.302141 best test_acc 0.1359
e 11 | malicious users: 0 | test acc 0.1356 test loss 2.302102 best test_acc 0.1359
e 12 | malicious users: 0 | test acc 0.1285 test loss 2.302057 best test_acc 0.1359
e 13 | malicious users: 0 | test acc 0.1368 test loss 2.302015 best test_acc 0.1368
e 14 | malicious users: 0 | test acc 0.1426 test loss 2.301968 best test_acc 0.1426
e 15 | malicious users: 0 | test acc 0.1473 test loss 2.301925 best test_acc 0.1473
e 16 | malicious users: 0 | test acc 0.1468 test loss 2.301898 best test_acc 0.1473
e 17 | malicious users: 0 | test acc 0.1493 test loss 2.301863 best test_acc 0.1493
e 18 | malicious users: 0 | test acc 0.1495 test loss 2.301820 best test_acc 0.1495
e 19 | malicious users: 0 | test acc 0.1510 test loss 2.301780 best test_acc 0.1510
e 20 | malicious users: 0 | test acc 0.1566 test loss 2.301697 best test_acc 0.1566
e 21 | malicious users: 0 | test acc 0.1620 test loss 2.301636 best test_acc 0.1620
e 22 | malicious users: 0 | test acc 0.1693 test loss 2.301579 best test_acc 0.1693
e 23 | malicious users: 0 | test acc 0.1713 test loss 2.301541 best test_acc 0.1713
e 24 | malicious users: 0 | test acc 0.1737 test loss 2.301502 best test_acc 0.1737
e 25 | malicious users: 0 | test acc 0.1909 test loss 2.301450 best test_acc 0.1909
e 26 | malicious users: 0 | test acc 0.1965 test loss 2.301381 best test_acc 0.1965
e 27 | malicious users: 0 | test acc 0.1998 test loss 2.301334 best test_acc 0.1998
e 28 | malicious users: 0 | test acc 0.2006 test loss 2.301294 best test_acc 0.2006
e 29 | malicious users: 0 | test acc 0.2109 test loss 2.301216 best test_acc 0.2109
e 30 | malicious users: 0 | test acc 0.2224 test loss 2.301139 best test_acc 0.2224
e 31 | malicious users: 0 | test acc 0.2245 test loss 2.301090 best test_acc 0.2245
e 32 | malicious users: 0 | test acc 0.2298 test loss 2.301031 best test_acc 0.2298
e 33 | malicious users: 0 | test acc 0.2165 test loss 2.300994 best test_acc 0.2298
e 34 | malicious users: 0 | test acc 0.2396 test loss 2.300920 best test_acc 0.2396
e 35 | malicious users: 0 | test acc 0.2268 test loss 2.300850 best test_acc 0.2396
e 36 | malicious users: 0 | test acc 0.2325 test loss 2.300823 best test_acc 0.2396
e 37 | malicious users: 0 | test acc 0.2278 test loss 2.300756 best test_acc 0.2396
e 38 | malicious users: 0 | test acc 0.2503 test loss 2.300679 best test_acc 0.2503
e 39 | malicious users: 0 | test acc 0.2485 test loss 2.300635 best test_acc 0.2503
e 40 | malicious users: 0 | test acc 0.2437 test loss 2.300585 best test_acc 0.2503
e 41 | malicious users: 0 | test acc 0.2194 test loss 2.300531 best test_acc 0.2503
e 42 | malicious users: 0 | test acc 0.1947 test loss 2.300480 best test_acc 0.2503
e 43 | malicious users: 0 | test acc 0.2058 test loss 2.300414 best test_acc 0.2503
e 44 | malicious users: 0 | test acc 0.2038 test loss 2.300348 best test_acc 0.2503
e 45 | malicious users: 0 | test acc 0.2001 test loss 2.300292 best test_acc 0.2503
e 46 | malicious users: 0 | test acc 0.1940 test loss 2.300280 best test_acc 0.2503
e 47 | malicious users: 0 | test acc 0.1989 test loss 2.300220 best test_acc 0.2503
e 48 | malicious users: 0 | test acc 0.1970 test loss 2.300140 best test_acc 0.2503
e 49 | malicious users: 0 | test acc 0.1961 test loss 2.300094 best test_acc 0.2503
e 50 | malicious users: 0 | test acc 0.1896 test loss 2.299989 best test_acc 0.2503
e 51 | malicious users: 0 | test acc 0.1970 test loss 2.299938 best test_acc 0.2503
