=> Saving data in Logs/MNISTmy_attack_defense~try=10
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.0979 test loss 2.302443 best test_acc 0.0979
e 1 | malicious users: 0 | test acc 0.0963 test loss 2.302370 best test_acc 0.0979
e 2 | malicious users: 0 | test acc 0.0961 test loss 2.302314 best test_acc 0.0979
e 3 | malicious users: 0 | test acc 0.0962 test loss 2.302261 best test_acc 0.0979
e 4 | malicious users: 0 | test acc 0.1170 test loss 2.302214 best test_acc 0.1170
e 5 | malicious users: 0 | test acc 0.1204 test loss 2.302177 best test_acc 0.1204
e 6 | malicious users: 0 | test acc 0.1292 test loss 2.302122 best test_acc 0.1292
e 7 | malicious users: 0 | test acc 0.1382 test loss 2.302066 best test_acc 0.1382
e 8 | malicious users: 0 | test acc 0.1422 test loss 2.302026 best test_acc 0.1422
e 9 | malicious users: 0 | test acc 0.1492 test loss 2.301984 best test_acc 0.1492
e 10 | malicious users: 0 | test acc 0.1031 test loss 2.301951 best test_acc 0.1492
e 11 | malicious users: 0 | test acc 0.1062 test loss 2.301912 best test_acc 0.1492
e 12 | malicious users: 0 | test acc 0.1062 test loss 2.301871 best test_acc 0.1492
e 13 | malicious users: 0 | test acc 0.1721 test loss 2.301803 best test_acc 0.1721
e 14 | malicious users: 0 | test acc 0.1870 test loss 2.301765 best test_acc 0.1870
e 15 | malicious users: 0 | test acc 0.1191 test loss 2.301742 best test_acc 0.1870
e 16 | malicious users: 0 | test acc 0.1364 test loss 2.301675 best test_acc 0.1870
e 17 | malicious users: 0 | test acc 0.1314 test loss 2.301627 best test_acc 0.1870
e 18 | malicious users: 0 | test acc 0.2025 test loss 2.301583 best test_acc 0.2025
e 19 | malicious users: 0 | test acc 0.1901 test loss 2.301490 best test_acc 0.2025
e 20 | malicious users: 0 | test acc 0.1471 test loss 2.301440 best test_acc 0.2025
e 21 | malicious users: 0 | test acc 0.1465 test loss 2.301388 best test_acc 0.2025
e 22 | malicious users: 0 | test acc 0.1441 test loss 2.301326 best test_acc 0.2025
e 23 | malicious users: 0 | test acc 0.2075 test loss 2.301261 best test_acc 0.2075
e 24 | malicious users: 0 | test acc 0.1642 test loss 2.301230 best test_acc 0.2075
e 25 | malicious users: 0 | test acc 0.2135 test loss 2.301163 best test_acc 0.2135
e 26 | malicious users: 0 | test acc 0.2190 test loss 2.301047 best test_acc 0.2190
e 27 | malicious users: 0 | test acc 0.2215 test loss 2.300953 best test_acc 0.2215
e 28 | malicious users: 0 | test acc 0.1805 test loss 2.300907 best test_acc 0.2215
e 29 | malicious users: 0 | test acc 0.2316 test loss 2.300814 best test_acc 0.2316
e 30 | malicious users: 0 | test acc 0.2343 test loss 2.300766 best test_acc 0.2343
e 31 | malicious users: 0 | test acc 0.2320 test loss 2.300703 best test_acc 0.2343
e 32 | malicious users: 0 | test acc 0.2353 test loss 2.300659 best test_acc 0.2353
e 33 | malicious users: 0 | test acc 0.2455 test loss 2.300589 best test_acc 0.2455
e 34 | malicious users: 0 | test acc 0.2449 test loss 2.300497 best test_acc 0.2455
e 35 | malicious users: 0 | test acc 0.2559 test loss 2.300429 best test_acc 0.2559
e 36 | malicious users: 0 | test acc 0.2637 test loss 2.300344 best test_acc 0.2637
e 37 | malicious users: 0 | test acc 0.2658 test loss 2.300240 best test_acc 0.2658
e 38 | malicious users: 0 | test acc 0.2410 test loss 2.300185 best test_acc 0.2658
e 39 | malicious users: 0 | test acc 0.2410 test loss 2.300030 best test_acc 0.2658
e 40 | malicious users: 0 | test acc 0.2403 test loss 2.299952 best test_acc 0.2658
e 41 | malicious users: 0 | test acc 0.2662 test loss 2.299878 best test_acc 0.2662
e 42 | malicious users: 0 | test acc 0.2383 test loss 2.299826 best test_acc 0.2662
e 43 | malicious users: 0 | test acc 0.2344 test loss 2.299744 best test_acc 0.2662
e 44 | malicious users: 0 | test acc 0.2365 test loss 2.299674 best test_acc 0.2662
e 45 | malicious users: 0 | test acc 0.2639 test loss 2.299588 best test_acc 0.2662
e 46 | malicious users: 0 | test acc 0.2441 test loss 2.299522 best test_acc 0.2662
e 47 | malicious users: 0 | test acc 0.2556 test loss 2.299429 best test_acc 0.2662
e 48 | malicious users: 0 | test acc 0.2588 test loss 2.299342 best test_acc 0.2662
e 49 | malicious users: 0 | test acc 0.2597 test loss 2.299223 best test_acc 0.2662
e 50 | malicious users: 0 | test acc 0.2586 test loss 2.299096 best test_acc 0.2662
e 51 | malicious users: 0 | test acc 0.2591 test loss 2.299031 best test_acc 0.2662
e 52 | malicious users: 0 | test acc 0.2586 test loss 2.298960 best test_acc 0.2662
e 53 | malicious users: 0 | test acc 0.2553 test loss 2.298910 best test_acc 0.2662
e 54 | malicious users: 0 | test acc 0.2584 test loss 2.298858 best test_acc 0.2662
e 55 | malicious users: 0 | test acc 0.2573 test loss 2.298781 best test_acc 0.2662
e 56 | malicious users: 0 | test acc 0.2604 test loss 2.298678 best test_acc 0.2662
