=> Saving data in Logs/MNISTmy_attack_defense~try=11
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0963 test loss 2.302481 best test_acc 0.0963
e 1 | malicious users: 5 | test acc 0.0992 test loss 2.302352 best test_acc 0.0992
e 2 | malicious users: 5 | test acc 0.1046 test loss 2.302563 best test_acc 0.1046
e 3 | malicious users: 5 | test acc 0.1391 test loss 2.302487 best test_acc 0.1391
e 4 | malicious users: 5 | test acc 0.1295 test loss 2.302249 best test_acc 0.1391
e 5 | malicious users: 5 | test acc 0.1123 test loss 2.302191 best test_acc 0.1391
e 6 | malicious users: 5 | test acc 0.1229 test loss 2.302083 best test_acc 0.1391
e 7 | malicious users: 5 | test acc 0.1424 test loss 2.302128 best test_acc 0.1424
e 8 | malicious users: 5 | test acc 0.1679 test loss 2.302161 best test_acc 0.1679
e 9 | malicious users: 5 | test acc 0.1478 test loss 2.302060 best test_acc 0.1679
e 10 | malicious users: 5 | test acc 0.1683 test loss 2.302059 best test_acc 0.1683
e 11 | malicious users: 5 | test acc 0.1842 test loss 2.301948 best test_acc 0.1842
e 12 | malicious users: 5 | test acc 0.1968 test loss 2.302053 best test_acc 0.1968
e 13 | malicious users: 5 | test acc 0.1800 test loss 2.302058 best test_acc 0.1968
e 14 | malicious users: 5 | test acc 0.1641 test loss 2.302119 best test_acc 0.1968
e 15 | malicious users: 5 | test acc 0.1797 test loss 2.302045 best test_acc 0.1968
e 16 | malicious users: 5 | test acc 0.1885 test loss 2.302005 best test_acc 0.1968
e 17 | malicious users: 5 | test acc 0.2317 test loss 2.301907 best test_acc 0.2317
e 18 | malicious users: 5 | test acc 0.1552 test loss 2.302067 best test_acc 0.2317
e 19 | malicious users: 5 | test acc 0.1712 test loss 2.301900 best test_acc 0.2317
e 20 | malicious users: 5 | test acc 0.1741 test loss 2.301864 best test_acc 0.2317
e 21 | malicious users: 5 | test acc 0.2241 test loss 2.301918 best test_acc 0.2317
e 22 | malicious users: 5 | test acc 0.2390 test loss 2.301882 best test_acc 0.2390
e 23 | malicious users: 5 | test acc 0.1973 test loss 2.301855 best test_acc 0.2390
e 24 | malicious users: 5 | test acc 0.2416 test loss 2.301906 best test_acc 0.2416
e 25 | malicious users: 5 | test acc 0.1922 test loss 2.301939 best test_acc 0.2416
e 26 | malicious users: 5 | test acc 0.1992 test loss 2.301819 best test_acc 0.2416
e 27 | malicious users: 5 | test acc 0.2122 test loss 2.301754 best test_acc 0.2416
e 28 | malicious users: 5 | test acc 0.2209 test loss 2.301694 best test_acc 0.2416
e 29 | malicious users: 5 | test acc 0.2450 test loss 2.301727 best test_acc 0.2450
e 30 | malicious users: 5 | test acc 0.2400 test loss 2.301655 best test_acc 0.2450
e 31 | malicious users: 5 | test acc 0.1928 test loss 2.301777 best test_acc 0.2450
e 32 | malicious users: 5 | test acc 0.2296 test loss 2.301745 best test_acc 0.2450
e 33 | malicious users: 5 | test acc 0.2054 test loss 2.301843 best test_acc 0.2450
e 34 | malicious users: 5 | test acc 0.2118 test loss 2.301959 best test_acc 0.2450
e 35 | malicious users: 5 | test acc 0.2564 test loss 2.301806 best test_acc 0.2564
e 36 | malicious users: 5 | test acc 0.2488 test loss 2.301798 best test_acc 0.2564
e 37 | malicious users: 5 | test acc 0.2049 test loss 2.301753 best test_acc 0.2564
e 38 | malicious users: 5 | test acc 0.2232 test loss 2.301695 best test_acc 0.2564
e 39 | malicious users: 5 | test acc 0.2224 test loss 2.301729 best test_acc 0.2564
e 40 | malicious users: 5 | test acc 0.1610 test loss 2.301739 best test_acc 0.2564
e 41 | malicious users: 5 | test acc 0.1985 test loss 2.301696 best test_acc 0.2564
e 42 | malicious users: 5 | test acc 0.2349 test loss 2.301630 best test_acc 0.2564
e 43 | malicious users: 5 | test acc 0.2148 test loss 2.301559 best test_acc 0.2564
e 44 | malicious users: 5 | test acc 0.2686 test loss 2.301495 best test_acc 0.2686
e 45 | malicious users: 5 | test acc 0.2680 test loss 2.301544 best test_acc 0.2686
e 46 | malicious users: 5 | test acc 0.2616 test loss 2.301481 best test_acc 0.2686
e 47 | malicious users: 5 | test acc 0.2834 test loss 2.301383 best test_acc 0.2834
e 48 | malicious users: 5 | test acc 0.2150 test loss 2.301454 best test_acc 0.2834
e 49 | malicious users: 5 | test acc 0.1551 test loss 2.301535 best test_acc 0.2834
e 50 | malicious users: 5 | test acc 0.1845 test loss 2.301527 best test_acc 0.2834
e 51 | malicious users: 5 | test acc 0.1745 test loss 2.301457 best test_acc 0.2834
e 52 | malicious users: 5 | test acc 0.1404 test loss 2.301466 best test_acc 0.2834
e 53 | malicious users: 5 | test acc 0.1525 test loss 2.301392 best test_acc 0.2834
e 54 | malicious users: 5 | test acc 0.1913 test loss 2.301324 best test_acc 0.2834
e 55 | malicious users: 5 | test acc 0.1584 test loss 2.301253 best test_acc 0.2834
e 56 | malicious users: 5 | test acc 0.1627 test loss 2.301356 best test_acc 0.2834
e 57 | malicious users: 5 | test acc 0.1683 test loss 2.301290 best test_acc 0.2834
e 58 | malicious users: 5 | test acc 0.1571 test loss 2.301231 best test_acc 0.2834
e 59 | malicious users: 5 | test acc 0.1655 test loss 2.301204 best test_acc 0.2834
e 60 | malicious users: 5 | test acc 0.1529 test loss 2.301000 best test_acc 0.2834
e 61 | malicious users: 5 | test acc 0.1998 test loss 2.300892 best test_acc 0.2834
e 62 | malicious users: 5 | test acc 0.1998 test loss 2.301181 best test_acc 0.2834
