=> Saving data in Logs/MNISTmy_attack_defense~try=17
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1747 test loss 2.288071 best test_acc 0.1747
e 1 | malicious users: 5 | test acc 0.2996 test loss 2.274582 best test_acc 0.2996
e 2 | malicious users: 5 | test acc 0.3903 test loss 2.256856 best test_acc 0.3903
e 3 | malicious users: 5 | test acc 0.3815 test loss 2.226259 best test_acc 0.3903
e 4 | malicious users: 5 | test acc 0.4222 test loss 2.174375 best test_acc 0.4222
e 5 | malicious users: 5 | test acc 0.5903 test loss 2.095032 best test_acc 0.5903
e 6 | malicious users: 5 | test acc 0.4248 test loss 1.954649 best test_acc 0.5903
e 7 | malicious users: 5 | test acc 0.5487 test loss 1.749512 best test_acc 0.5903
e 8 | malicious users: 5 | test acc 0.6447 test loss 1.477601 best test_acc 0.6447
e 9 | malicious users: 5 | test acc 0.6937 test loss 1.288430 best test_acc 0.6937
e 10 | malicious users: 5 | test acc 0.7538 test loss 1.175328 best test_acc 0.7538
e 11 | malicious users: 5 | test acc 0.7067 test loss 1.147628 best test_acc 0.7538
e 12 | malicious users: 5 | test acc 0.6023 test loss 1.292419 best test_acc 0.7538
e 13 | malicious users: 5 | test acc 0.7455 test loss 1.041306 best test_acc 0.7538
e 14 | malicious users: 5 | test acc 0.6170 test loss 1.124366 best test_acc 0.7538
e 15 | malicious users: 5 | test acc 0.7065 test loss 1.139257 best test_acc 0.7538
e 16 | malicious users: 5 | test acc 0.7497 test loss 0.923107 best test_acc 0.7538
e 17 | malicious users: 5 | test acc 0.6284 test loss 1.257171 best test_acc 0.7538
e 18 | malicious users: 5 | test acc 0.7665 test loss 0.893221 best test_acc 0.7665
e 19 | malicious users: 5 | test acc 0.6567 test loss 1.125458 best test_acc 0.7665
e 20 | malicious users: 5 | test acc 0.7830 test loss 0.842156 best test_acc 0.7830
e 21 | malicious users: 5 | test acc 0.5789 test loss 1.324208 best test_acc 0.7830
e 22 | malicious users: 5 | test acc 0.7555 test loss 0.975024 best test_acc 0.7830
e 23 | malicious users: 5 | test acc 0.6978 test loss 0.951404 best test_acc 0.7830
e 24 | malicious users: 5 | test acc 0.7544 test loss 0.816841 best test_acc 0.7830
e 25 | malicious users: 5 | test acc 0.7530 test loss 0.809773 best test_acc 0.7830
e 26 | malicious users: 5 | test acc 0.6429 test loss 1.052472 best test_acc 0.7830
e 27 | malicious users: 5 | test acc 0.7871 test loss 0.821238 best test_acc 0.7871
e 28 | malicious users: 5 | test acc 0.7128 test loss 0.870752 best test_acc 0.7871
e 29 | malicious users: 5 | test acc 0.7684 test loss 0.866966 best test_acc 0.7871
e 30 | malicious users: 5 | test acc 0.8189 test loss 0.669594 best test_acc 0.8189
e 31 | malicious users: 5 | test acc 0.7389 test loss 0.841667 best test_acc 0.8189
e 32 | malicious users: 5 | test acc 0.8150 test loss 0.662484 best test_acc 0.8189
e 33 | malicious users: 5 | test acc 0.6687 test loss 0.949408 best test_acc 0.8189
e 34 | malicious users: 5 | test acc 0.8407 test loss 0.692089 best test_acc 0.8407
e 35 | malicious users: 5 | test acc 0.7701 test loss 0.742403 best test_acc 0.8407
e 36 | malicious users: 5 | test acc 0.7491 test loss 0.822326 best test_acc 0.8407
e 37 | malicious users: 5 | test acc 0.7643 test loss 0.707488 best test_acc 0.8407
e 38 | malicious users: 5 | test acc 0.7986 test loss 0.706749 best test_acc 0.8407
e 39 | malicious users: 5 | test acc 0.8185 test loss 0.659102 best test_acc 0.8407
e 40 | malicious users: 5 | test acc 0.7340 test loss 0.731056 best test_acc 0.8407
e 41 | malicious users: 5 | test acc 0.8149 test loss 0.680502 best test_acc 0.8407
e 42 | malicious users: 5 | test acc 0.8414 test loss 0.597903 best test_acc 0.8414
e 43 | malicious users: 5 | test acc 0.8015 test loss 0.655272 best test_acc 0.8414
e 44 | malicious users: 5 | test acc 0.7269 test loss 0.778034 best test_acc 0.8414
e 45 | malicious users: 5 | test acc 0.8141 test loss 0.634004 best test_acc 0.8414
e 46 | malicious users: 5 | test acc 0.8365 test loss 0.620690 best test_acc 0.8414
e 47 | malicious users: 5 | test acc 0.8355 test loss 0.577607 best test_acc 0.8414
e 48 | malicious users: 5 | test acc 0.8453 test loss 0.571245 best test_acc 0.8453
e 49 | malicious users: 5 | test acc 0.8698 test loss 0.509501 best test_acc 0.8698
e 50 | malicious users: 5 | test acc 0.8451 test loss 0.572052 best test_acc 0.8698
e 51 | malicious users: 5 | test acc 0.8750 test loss 0.542585 best test_acc 0.8750
e 52 | malicious users: 5 | test acc 0.8194 test loss 0.576205 best test_acc 0.8750
e 53 | malicious users: 5 | test acc 0.8315 test loss 0.582778 best test_acc 0.8750
e 54 | malicious users: 5 | test acc 0.8784 test loss 0.486835 best test_acc 0.8784
e 55 | malicious users: 5 | test acc 0.8059 test loss 0.630397 best test_acc 0.8784
e 56 | malicious users: 5 | test acc 0.8782 test loss 0.505007 best test_acc 0.8784
e 57 | malicious users: 5 | test acc 0.8511 test loss 0.524107 best test_acc 0.8784
e 58 | malicious users: 5 | test acc 0.7807 test loss 0.624523 best test_acc 0.8784
e 59 | malicious users: 5 | test acc 0.8785 test loss 0.500841 best test_acc 0.8785
e 60 | malicious users: 5 | test acc 0.8559 test loss 0.503687 best test_acc 0.8785
e 61 | malicious users: 5 | test acc 0.7612 test loss 0.691597 best test_acc 0.8785
e 62 | malicious users: 5 | test acc 0.8566 test loss 0.537611 best test_acc 0.8785
e 63 | malicious users: 5 | test acc 0.8339 test loss 0.571952 best test_acc 0.8785
e 64 | malicious users: 5 | test acc 0.8718 test loss 0.496680 best test_acc 0.8785
e 65 | malicious users: 5 | test acc 0.8709 test loss 0.512319 best test_acc 0.8785
e 66 | malicious users: 5 | test acc 0.8245 test loss 0.565822 best test_acc 0.8785
e 67 | malicious users: 5 | test acc 0.8710 test loss 0.522906 best test_acc 0.8785
