=> Saving data in Logs/MNISTmy_attack_defense~try=21
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0995 test loss 2.302886 best test_acc 0.0995
e 1 | malicious users: 5 | test acc 0.1435 test loss 2.302096 best test_acc 0.1435
e 2 | malicious users: 5 | test acc 0.1007 test loss 2.300850 best test_acc 0.1435
e 3 | malicious users: 5 | test acc 0.1239 test loss 2.301681 best test_acc 0.1435
e 4 | malicious users: 5 | test acc 0.1354 test loss 2.301355 best test_acc 0.1435
e 5 | malicious users: 5 | test acc 0.1048 test loss 2.301004 best test_acc 0.1435
e 6 | malicious users: 5 | test acc 0.1063 test loss 2.300813 best test_acc 0.1435
e 7 | malicious users: 5 | test acc 0.1067 test loss 2.299901 best test_acc 0.1435
e 8 | malicious users: 5 | test acc 0.1022 test loss 2.298823 best test_acc 0.1435
e 9 | malicious users: 5 | test acc 0.1010 test loss 2.297586 best test_acc 0.1435
e 10 | malicious users: 5 | test acc 0.1538 test loss 2.297213 best test_acc 0.1538
e 11 | malicious users: 5 | test acc 0.1011 test loss 2.298124 best test_acc 0.1538
e 12 | malicious users: 5 | test acc 0.1491 test loss 2.297234 best test_acc 0.1538
e 13 | malicious users: 5 | test acc 0.2946 test loss 2.297125 best test_acc 0.2946
e 14 | malicious users: 5 | test acc 0.2025 test loss 2.296887 best test_acc 0.2946
e 15 | malicious users: 5 | test acc 0.1458 test loss 2.297230 best test_acc 0.2946
e 16 | malicious users: 5 | test acc 0.1760 test loss 2.297005 best test_acc 0.2946
e 17 | malicious users: 5 | test acc 0.1015 test loss 2.296193 best test_acc 0.2946
e 18 | malicious users: 5 | test acc 0.2941 test loss 2.295695 best test_acc 0.2946
e 19 | malicious users: 5 | test acc 0.1477 test loss 2.296222 best test_acc 0.2946
e 20 | malicious users: 5 | test acc 0.1893 test loss 2.295033 best test_acc 0.2946
e 21 | malicious users: 5 | test acc 0.2349 test loss 2.295244 best test_acc 0.2946
e 22 | malicious users: 5 | test acc 0.3001 test loss 2.294541 best test_acc 0.3001
e 23 | malicious users: 5 | test acc 0.2585 test loss 2.294548 best test_acc 0.3001
e 24 | malicious users: 5 | test acc 0.3406 test loss 2.293782 best test_acc 0.3406
e 25 | malicious users: 5 | test acc 0.3043 test loss 2.293180 best test_acc 0.3406
e 26 | malicious users: 5 | test acc 0.3431 test loss 2.291495 best test_acc 0.3431
e 27 | malicious users: 5 | test acc 0.2679 test loss 2.291136 best test_acc 0.3431
e 28 | malicious users: 5 | test acc 0.3061 test loss 2.288687 best test_acc 0.3431
e 29 | malicious users: 5 | test acc 0.1971 test loss 2.286256 best test_acc 0.3431
e 30 | malicious users: 5 | test acc 0.1491 test loss 2.285259 best test_acc 0.3431
e 31 | malicious users: 5 | test acc 0.1870 test loss 2.282274 best test_acc 0.3431
e 32 | malicious users: 5 | test acc 0.4378 test loss 2.280995 best test_acc 0.4378
e 33 | malicious users: 5 | test acc 0.4165 test loss 2.282970 best test_acc 0.4378
e 34 | malicious users: 5 | test acc 0.2980 test loss 2.277918 best test_acc 0.4378
