=> Saving data in Logs/MNISTmy_attack_defense~try=26
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1558 test loss 2.303004 best test_acc 0.1558
e 1 | malicious users: 5 | test acc 0.1327 test loss 2.296135 best test_acc 0.1558
e 2 | malicious users: 5 | test acc 0.1706 test loss 2.291871 best test_acc 0.1706
e 3 | malicious users: 5 | test acc 0.3165 test loss 2.288866 best test_acc 0.3165
e 4 | malicious users: 5 | test acc 0.3202 test loss 2.281603 best test_acc 0.3202
e 5 | malicious users: 5 | test acc 0.3377 test loss 2.282389 best test_acc 0.3377
e 6 | malicious users: 5 | test acc 0.2102 test loss 2.280002 best test_acc 0.3377
e 7 | malicious users: 5 | test acc 0.4047 test loss 2.275872 best test_acc 0.4047
e 8 | malicious users: 5 | test acc 0.3757 test loss 2.273378 best test_acc 0.4047
e 9 | malicious users: 5 | test acc 0.3114 test loss 2.271713 best test_acc 0.4047
e 10 | malicious users: 5 | test acc 0.2851 test loss 2.267653 best test_acc 0.4047
e 11 | malicious users: 5 | test acc 0.3286 test loss 2.262815 best test_acc 0.4047
e 12 | malicious users: 5 | test acc 0.4031 test loss 2.259686 best test_acc 0.4047
e 13 | malicious users: 5 | test acc 0.4327 test loss 2.260896 best test_acc 0.4327
e 14 | malicious users: 5 | test acc 0.4269 test loss 2.256358 best test_acc 0.4327
e 15 | malicious users: 5 | test acc 0.3360 test loss 2.259767 best test_acc 0.4327
e 16 | malicious users: 5 | test acc 0.3240 test loss 2.259936 best test_acc 0.4327
e 17 | malicious users: 5 | test acc 0.3165 test loss 2.259090 best test_acc 0.4327
e 18 | malicious users: 5 | test acc 0.3161 test loss 2.256033 best test_acc 0.4327
e 19 | malicious users: 5 | test acc 0.2887 test loss 2.254402 best test_acc 0.4327
e 20 | malicious users: 5 | test acc 0.3692 test loss 2.250596 best test_acc 0.4327
e 21 | malicious users: 5 | test acc 0.3341 test loss 2.248831 best test_acc 0.4327
e 22 | malicious users: 5 | test acc 0.2990 test loss 2.249357 best test_acc 0.4327
e 23 | malicious users: 5 | test acc 0.3431 test loss 2.240553 best test_acc 0.4327
