=> Saving data in Logs/MNISTmy_attack_defense~try=31
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2012 test loss 2.301714 best test_acc 0.2012
e 1 | malicious users: 5 | test acc 0.2157 test loss 2.296775 best test_acc 0.2157
e 2 | malicious users: 5 | test acc 0.2725 test loss 2.290666 best test_acc 0.2725
e 3 | malicious users: 5 | test acc 0.2664 test loss 2.287047 best test_acc 0.2725
e 4 | malicious users: 5 | test acc 0.2593 test loss 2.285890 best test_acc 0.2725
e 5 | malicious users: 5 | test acc 0.2861 test loss 2.283029 best test_acc 0.2861
e 6 | malicious users: 5 | test acc 0.3498 test loss 2.278364 best test_acc 0.3498
e 7 | malicious users: 5 | test acc 0.1774 test loss 2.273223 best test_acc 0.3498
e 8 | malicious users: 5 | test acc 0.1652 test loss 2.268400 best test_acc 0.3498
e 9 | malicious users: 5 | test acc 0.1549 test loss 2.264084 best test_acc 0.3498
e 10 | malicious users: 5 | test acc 0.4598 test loss 2.264210 best test_acc 0.4598
e 11 | malicious users: 5 | test acc 0.4550 test loss 2.260446 best test_acc 0.4598
e 12 | malicious users: 5 | test acc 0.1561 test loss 2.256332 best test_acc 0.4598
e 13 | malicious users: 5 | test acc 0.4194 test loss 2.251607 best test_acc 0.4598
e 14 | malicious users: 5 | test acc 0.4142 test loss 2.248682 best test_acc 0.4598
e 15 | malicious users: 5 | test acc 0.2990 test loss 2.247334 best test_acc 0.4598
e 16 | malicious users: 5 | test acc 0.3185 test loss 2.242628 best test_acc 0.4598
e 17 | malicious users: 5 | test acc 0.3492 test loss 2.243501 best test_acc 0.4598
e 18 | malicious users: 5 | test acc 0.4040 test loss 2.237648 best test_acc 0.4598
e 19 | malicious users: 5 | test acc 0.3397 test loss 2.239291 best test_acc 0.4598
e 20 | malicious users: 5 | test acc 0.4317 test loss 2.233877 best test_acc 0.4598
e 21 | malicious users: 5 | test acc 0.3286 test loss 2.230544 best test_acc 0.4598
e 22 | malicious users: 5 | test acc 0.4519 test loss 2.229259 best test_acc 0.4598
e 23 | malicious users: 5 | test acc 0.4729 test loss 2.220706 best test_acc 0.4729
e 24 | malicious users: 5 | test acc 0.5044 test loss 2.211224 best test_acc 0.5044
