=> Saving data in Logs/MNISTmy_attack_defense~try=32
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1966 test loss 2.298128 best test_acc 0.1966
e 1 | malicious users: 5 | test acc 0.1208 test loss 2.296275 best test_acc 0.1966
e 2 | malicious users: 5 | test acc 0.2796 test loss 2.290990 best test_acc 0.2796
e 3 | malicious users: 5 | test acc 0.2575 test loss 2.285217 best test_acc 0.2796
e 4 | malicious users: 5 | test acc 0.3167 test loss 2.280994 best test_acc 0.3167
e 5 | malicious users: 5 | test acc 0.3010 test loss 2.277652 best test_acc 0.3167
e 6 | malicious users: 5 | test acc 0.3315 test loss 2.271680 best test_acc 0.3315
e 7 | malicious users: 5 | test acc 0.3978 test loss 2.265598 best test_acc 0.3978
e 8 | malicious users: 5 | test acc 0.3499 test loss 2.263593 best test_acc 0.3978
e 9 | malicious users: 5 | test acc 0.3617 test loss 2.254680 best test_acc 0.3978
e 10 | malicious users: 5 | test acc 0.4518 test loss 2.246715 best test_acc 0.4518
e 11 | malicious users: 5 | test acc 0.4637 test loss 2.243848 best test_acc 0.4637
e 12 | malicious users: 5 | test acc 0.4156 test loss 2.236411 best test_acc 0.4637
e 13 | malicious users: 5 | test acc 0.3575 test loss 2.228769 best test_acc 0.4637
e 14 | malicious users: 5 | test acc 0.3624 test loss 2.221034 best test_acc 0.4637
e 15 | malicious users: 5 | test acc 0.2999 test loss 2.224741 best test_acc 0.4637
e 16 | malicious users: 5 | test acc 0.2762 test loss 2.208206 best test_acc 0.4637
e 17 | malicious users: 5 | test acc 0.2451 test loss 2.203957 best test_acc 0.4637
e 18 | malicious users: 5 | test acc 0.3005 test loss 2.205259 best test_acc 0.4637
e 19 | malicious users: 5 | test acc 0.3688 test loss 2.200658 best test_acc 0.4637
e 20 | malicious users: 5 | test acc 0.3713 test loss 2.194961 best test_acc 0.4637
e 21 | malicious users: 5 | test acc 0.4726 test loss 2.189749 best test_acc 0.4726
e 22 | malicious users: 5 | test acc 0.4041 test loss 2.182858 best test_acc 0.4726
e 23 | malicious users: 5 | test acc 0.4749 test loss 2.185917 best test_acc 0.4749
e 24 | malicious users: 5 | test acc 0.4466 test loss 2.175276 best test_acc 0.4749
e 25 | malicious users: 5 | test acc 0.5062 test loss 2.163527 best test_acc 0.5062
e 26 | malicious users: 5 | test acc 0.4987 test loss 2.158605 best test_acc 0.5062
e 27 | malicious users: 5 | test acc 0.3499 test loss 2.146560 best test_acc 0.5062
e 28 | malicious users: 5 | test acc 0.4127 test loss 2.129502 best test_acc 0.5062
e 29 | malicious users: 5 | test acc 0.5046 test loss 2.115339 best test_acc 0.5062
e 30 | malicious users: 5 | test acc 0.4708 test loss 2.099418 best test_acc 0.5062
e 31 | malicious users: 5 | test acc 0.5989 test loss 2.078385 best test_acc 0.5989
e 32 | malicious users: 5 | test acc 0.5930 test loss 2.059716 best test_acc 0.5989
e 33 | malicious users: 5 | test acc 0.5763 test loss 2.037256 best test_acc 0.5989
e 34 | malicious users: 5 | test acc 0.4945 test loss 2.016937 best test_acc 0.5989
e 35 | malicious users: 5 | test acc 0.5842 test loss 2.000758 best test_acc 0.5989
e 36 | malicious users: 5 | test acc 0.5633 test loss 1.943584 best test_acc 0.5989
e 37 | malicious users: 5 | test acc 0.6009 test loss 1.897744 best test_acc 0.6009
e 38 | malicious users: 5 | test acc 0.6387 test loss 1.849902 best test_acc 0.6387
e 39 | malicious users: 5 | test acc 0.5823 test loss 1.832377 best test_acc 0.6387
e 40 | malicious users: 5 | test acc 0.5426 test loss 1.780568 best test_acc 0.6387
e 41 | malicious users: 5 | test acc 0.6396 test loss 1.731141 best test_acc 0.6396
e 42 | malicious users: 5 | test acc 0.6145 test loss 1.676465 best test_acc 0.6396
e 43 | malicious users: 5 | test acc 0.6785 test loss 1.631867 best test_acc 0.6785
e 44 | malicious users: 5 | test acc 0.6510 test loss 1.575658 best test_acc 0.6785
e 45 | malicious users: 5 | test acc 0.6778 test loss 1.529262 best test_acc 0.6785
e 46 | malicious users: 5 | test acc 0.6063 test loss 1.497430 best test_acc 0.6785
e 47 | malicious users: 5 | test acc 0.6586 test loss 1.454792 best test_acc 0.6785
e 48 | malicious users: 5 | test acc 0.6556 test loss 1.401400 best test_acc 0.6785
e 49 | malicious users: 5 | test acc 0.7128 test loss 1.365881 best test_acc 0.7128
e 50 | malicious users: 5 | test acc 0.7013 test loss 1.342230 best test_acc 0.7128
e 51 | malicious users: 5 | test acc 0.6892 test loss 1.302890 best test_acc 0.7128
e 52 | malicious users: 5 | test acc 0.7017 test loss 1.280648 best test_acc 0.7128
e 53 | malicious users: 5 | test acc 0.7039 test loss 1.223053 best test_acc 0.7128
e 54 | malicious users: 5 | test acc 0.7444 test loss 1.200878 best test_acc 0.7444
e 55 | malicious users: 5 | test acc 0.7051 test loss 1.203994 best test_acc 0.7444
e 56 | malicious users: 5 | test acc 0.7041 test loss 1.191294 best test_acc 0.7444
e 57 | malicious users: 5 | test acc 0.7341 test loss 1.153278 best test_acc 0.7444
e 58 | malicious users: 5 | test acc 0.7237 test loss 1.158164 best test_acc 0.7444
e 59 | malicious users: 5 | test acc 0.7508 test loss 1.098940 best test_acc 0.7508
e 60 | malicious users: 5 | test acc 0.7205 test loss 1.119106 best test_acc 0.7508
e 61 | malicious users: 5 | test acc 0.7241 test loss 1.106092 best test_acc 0.7508
e 62 | malicious users: 5 | test acc 0.7461 test loss 1.053255 best test_acc 0.7508
e 63 | malicious users: 5 | test acc 0.7367 test loss 1.052522 best test_acc 0.7508
e 64 | malicious users: 5 | test acc 0.7029 test loss 1.071552 best test_acc 0.7508
e 65 | malicious users: 5 | test acc 0.7398 test loss 1.032781 best test_acc 0.7508
e 66 | malicious users: 5 | test acc 0.7239 test loss 1.077107 best test_acc 0.7508
e 67 | malicious users: 5 | test acc 0.7641 test loss 1.018155 best test_acc 0.7641
e 68 | malicious users: 5 | test acc 0.7287 test loss 0.993349 best test_acc 0.7641
e 69 | malicious users: 5 | test acc 0.7212 test loss 1.055768 best test_acc 0.7641
e 70 | malicious users: 5 | test acc 0.7634 test loss 0.976502 best test_acc 0.7641
e 71 | malicious users: 5 | test acc 0.6883 test loss 1.030261 best test_acc 0.7641
e 72 | malicious users: 5 | test acc 0.7719 test loss 0.991056 best test_acc 0.7719
e 73 | malicious users: 5 | test acc 0.7504 test loss 0.972377 best test_acc 0.7719
e 74 | malicious users: 5 | test acc 0.7790 test loss 0.943554 best test_acc 0.7790
e 75 | malicious users: 5 | test acc 0.7006 test loss 0.998330 best test_acc 0.7790
e 76 | malicious users: 5 | test acc 0.7351 test loss 0.989154 best test_acc 0.7790
e 77 | malicious users: 5 | test acc 0.7555 test loss 0.962241 best test_acc 0.7790
e 78 | malicious users: 5 | test acc 0.7352 test loss 0.985744 best test_acc 0.7790
e 79 | malicious users: 5 | test acc 0.6994 test loss 0.978802 best test_acc 0.7790
e 80 | malicious users: 5 | test acc 0.7887 test loss 0.934208 best test_acc 0.7887
e 81 | malicious users: 5 | test acc 0.7301 test loss 0.944339 best test_acc 0.7887
e 82 | malicious users: 5 | test acc 0.6926 test loss 1.098850 best test_acc 0.7887
e 83 | malicious users: 5 | test acc 0.7746 test loss 0.915211 best test_acc 0.7887
e 84 | malicious users: 5 | test acc 0.7389 test loss 0.918886 best test_acc 0.7887
e 85 | malicious users: 5 | test acc 0.7514 test loss 0.923904 best test_acc 0.7887
e 86 | malicious users: 5 | test acc 0.7436 test loss 0.922064 best test_acc 0.7887
e 87 | malicious users: 5 | test acc 0.7545 test loss 0.901626 best test_acc 0.7887
e 88 | malicious users: 5 | test acc 0.7662 test loss 0.855426 best test_acc 0.7887
e 89 | malicious users: 5 | test acc 0.7796 test loss 0.892312 best test_acc 0.7887
e 90 | malicious users: 5 | test acc 0.7902 test loss 0.839281 best test_acc 0.7902
e 91 | malicious users: 5 | test acc 0.7907 test loss 0.835490 best test_acc 0.7907
e 92 | malicious users: 5 | test acc 0.7657 test loss 0.852810 best test_acc 0.7907
e 93 | malicious users: 5 | test acc 0.7830 test loss 0.849358 best test_acc 0.7907
e 94 | malicious users: 5 | test acc 0.7588 test loss 0.913890 best test_acc 0.7907
e 95 | malicious users: 5 | test acc 0.7655 test loss 0.878560 best test_acc 0.7907
e 96 | malicious users: 5 | test acc 0.7862 test loss 0.846372 best test_acc 0.7907
e 97 | malicious users: 5 | test acc 0.7799 test loss 0.851869 best test_acc 0.7907
e 98 | malicious users: 5 | test acc 0.7739 test loss 0.820163 best test_acc 0.7907
e 99 | malicious users: 5 | test acc 0.7235 test loss 0.925983 best test_acc 0.7907
e 100 | malicious users: 5 | test acc 0.7727 test loss 0.866964 best test_acc 0.7907
e 101 | malicious users: 5 | test acc 0.7754 test loss 0.862284 best test_acc 0.7907
