#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1000 test loss 2.301060 best test_acc 0.1000
e 1 | malicious users: 7 | test acc 0.1006 test loss 2.299797 best test_acc 0.1006
e 2 | malicious users: 5 | test acc 0.0979 test loss 2.300189 best test_acc 0.1006
e 3 | malicious users: 9 | test acc 0.1000 test loss 2.297270 best test_acc 0.1006
e 4 | malicious users: 4 | test acc 0.1000 test loss 2.297213 best test_acc 0.1006
e 5 | malicious users: 6 | test acc 0.1132 test loss 2.285916 best test_acc 0.1132
e 6 | malicious users: 4 | test acc 0.1268 test loss 2.296038 best test_acc 0.1268
e 7 | malicious users: 1 | test acc 0.1471 test loss 2.262762 best test_acc 0.1471
e 8 | malicious users: 3 | test acc 0.1344 test loss 2.282936 best test_acc 0.1471
e 9 | malicious users: 5 | test acc 0.2256 test loss 2.253794 best test_acc 0.2256
e 10 | malicious users: 5 | test acc 0.1634 test loss 2.275033 best test_acc 0.2256
e 11 | malicious users: 4 | test acc 0.2002 test loss 2.241931 best test_acc 0.2256
e 12 | malicious users: 6 | test acc 0.1016 test loss 2.291251 best test_acc 0.2256
e 13 | malicious users: 3 | test acc 0.1511 test loss 2.229722 best test_acc 0.2256
e 14 | malicious users: 7 | test acc 0.1742 test loss 2.281852 best test_acc 0.2256
e 15 | malicious users: 5 | test acc 0.1693 test loss 2.221822 best test_acc 0.2256
e 16 | malicious users: 6 | test acc 0.2181 test loss 2.213968 best test_acc 0.2256
e 17 | malicious users: 4 | test acc 0.1931 test loss 2.181624 best test_acc 0.2256
e 18 | malicious users: 4 | test acc 0.2369 test loss 2.142877 best test_acc 0.2369
e 19 | malicious users: 8 | test acc 0.1824 test loss 2.222355 best test_acc 0.2369
e 20 | malicious users: 8 | test acc 0.2228 test loss 2.158169 best test_acc 0.2369
e 21 | malicious users: 7 | test acc 0.2221 test loss 2.099931 best test_acc 0.2369
e 22 | malicious users: 3 | test acc 0.1532 test loss 2.212684 best test_acc 0.2369
e 23 | malicious users: 5 | test acc 0.2299 test loss 2.111525 best test_acc 0.2369
e 24 | malicious users: 1 | test acc 0.2080 test loss 2.182073 best test_acc 0.2369
e 25 | malicious users: 3 | test acc 0.1868 test loss 2.111940 best test_acc 0.2369
e 26 | malicious users: 7 | test acc 0.1821 test loss 2.162904 best test_acc 0.2369
e 27 | malicious users: 4 | test acc 0.2191 test loss 2.073733 best test_acc 0.2369
e 28 | malicious users: 7 | test acc 0.2353 test loss 2.082050 best test_acc 0.2369
e 29 | malicious users: 9 | test acc 0.2213 test loss 2.117854 best test_acc 0.2369
e 30 | malicious users: 2 | test acc 0.2119 test loss 2.056551 best test_acc 0.2369
e 31 | malicious users: 8 | test acc 0.2398 test loss 2.045412 best test_acc 0.2398
e 32 | malicious users: 5 | test acc 0.2113 test loss 2.071304 best test_acc 0.2398
e 33 | malicious users: 8 | test acc 0.2336 test loss 2.024384 best test_acc 0.2398
e 34 | malicious users: 4 | test acc 0.2474 test loss 2.019933 best test_acc 0.2474
e 35 | malicious users: 7 | test acc 0.2711 test loss 2.008045 best test_acc 0.2711
e 36 | malicious users: 3 | test acc 0.2709 test loss 1.965088 best test_acc 0.2711
e 37 | malicious users: 5 | test acc 0.2619 test loss 2.037919 best test_acc 0.2711
e 38 | malicious users: 6 | test acc 0.2343 test loss 2.010644 best test_acc 0.2711
e 39 | malicious users: 5 | test acc 0.2702 test loss 1.964670 best test_acc 0.2711
e 40 | malicious users: 7 | test acc 0.2804 test loss 1.948195 best test_acc 0.2804
e 41 | malicious users: 4 | test acc 0.2986 test loss 2.044739 best test_acc 0.2986
e 42 | malicious users: 5 | test acc 0.2943 test loss 1.912519 best test_acc 0.2986
e 43 | malicious users: 8 | test acc 0.2754 test loss 1.948728 best test_acc 0.2986
e 44 | malicious users: 4 | test acc 0.2985 test loss 1.900235 best test_acc 0.2986
e 45 | malicious users: 6 | test acc 0.2804 test loss 1.891242 best test_acc 0.2986
e 46 | malicious users: 6 | test acc 0.2625 test loss 1.969436 best test_acc 0.2986
e 47 | malicious users: 2 | test acc 0.2834 test loss 1.911296 best test_acc 0.2986
e 48 | malicious users: 4 | test acc 0.2970 test loss 1.868659 best test_acc 0.2986
e 49 | malicious users: 5 | test acc 0.3088 test loss 1.943066 best test_acc 0.3088
e 50 | malicious users: 4 | test acc 0.2867 test loss 1.878427 best test_acc 0.3088
e 51 | malicious users: 3 | test acc 0.3088 test loss 1.904248 best test_acc 0.3088
e 52 | malicious users: 4 | test acc 0.3232 test loss 1.830313 best test_acc 0.3232
e 53 | malicious users: 3 | test acc 0.3156 test loss 1.913045 best test_acc 0.3232
e 54 | malicious users: 6 | test acc 0.3117 test loss 1.822305 best test_acc 0.3232
e 55 | malicious users: 6 | test acc 0.3248 test loss 1.819517 best test_acc 0.3248
e 56 | malicious users: 6 | test acc 0.3037 test loss 1.882981 best test_acc 0.3248
e 57 | malicious users: 3 | test acc 0.3339 test loss 1.817941 best test_acc 0.3339
e 58 | malicious users: 5 | test acc 0.3163 test loss 1.859012 best test_acc 0.3339
e 59 | malicious users: 7 | test acc 0.3209 test loss 1.855124 best test_acc 0.3339
e 60 | malicious users: 8 | test acc 0.3431 test loss 1.829670 best test_acc 0.3431
e 61 | malicious users: 5 | test acc 0.3289 test loss 1.808152 best test_acc 0.3431
e 62 | malicious users: 5 | test acc 0.3385 test loss 1.829007 best test_acc 0.3431
e 63 | malicious users: 3 | test acc 0.3367 test loss 1.826639 best test_acc 0.3431
e 64 | malicious users: 6 | test acc 0.3305 test loss 1.827441 best test_acc 0.3431
e 65 | malicious users: 6 | test acc 0.3153 test loss 1.783974 best test_acc 0.3431
e 66 | malicious users: 10 | test acc 0.3585 test loss 1.841664 best test_acc 0.3585
e 67 | malicious users: 8 | test acc 0.3167 test loss 1.865164 best test_acc 0.3585
e 68 | malicious users: 5 | test acc 0.3249 test loss 1.852135 best test_acc 0.3585
e 69 | malicious users: 8 | test acc 0.3372 test loss 1.768557 best test_acc 0.3585
e 70 | malicious users: 7 | test acc 0.2795 test loss 1.867610 best test_acc 0.3585
e 71 | malicious users: 5 | test acc 0.3278 test loss 1.781404 best test_acc 0.3585
e 72 | malicious users: 6 | test acc 0.3368 test loss 1.802540 best test_acc 0.3585
