#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1000 test loss 2.302582 best test_acc 0.1000
e 1 | malicious users: 3 | test acc 0.1307 test loss 2.299642 best test_acc 0.1307
e 2 | malicious users: 4 | test acc 0.1006 test loss 2.302110 best test_acc 0.1307
e 3 | malicious users: 4 | test acc 0.1346 test loss 2.300262 best test_acc 0.1346
e 4 | malicious users: 12 | test acc 0.1027 test loss 2.301145 best test_acc 0.1346
e 5 | malicious users: 7 | test acc 0.1000 test loss 2.295775 best test_acc 0.1346
e 6 | malicious users: 5 | test acc 0.1333 test loss 2.264198 best test_acc 0.1346
e 7 | malicious users: 3 | test acc 0.1513 test loss 2.288344 best test_acc 0.1513
e 8 | malicious users: 2 | test acc 0.1909 test loss 2.243870 best test_acc 0.1909
e 9 | malicious users: 6 | test acc 0.1000 test loss 2.299804 best test_acc 0.1909
e 10 | malicious users: 7 | test acc 0.1000 test loss 2.284543 best test_acc 0.1909
e 11 | malicious users: 3 | test acc 0.1517 test loss 2.247267 best test_acc 0.1909
e 12 | malicious users: 5 | test acc 0.1604 test loss 2.292452 best test_acc 0.1909
e 13 | malicious users: 8 | test acc 0.1820 test loss 2.246071 best test_acc 0.1909
e 14 | malicious users: 5 | test acc 0.2103 test loss 2.266902 best test_acc 0.2103
e 15 | malicious users: 7 | test acc 0.1853 test loss 2.196313 best test_acc 0.2103
e 16 | malicious users: 5 | test acc 0.2191 test loss 2.132470 best test_acc 0.2191
e 17 | malicious users: 5 | test acc 0.1671 test loss 2.276898 best test_acc 0.2191
e 18 | malicious users: 8 | test acc 0.1936 test loss 2.162266 best test_acc 0.2191
e 19 | malicious users: 8 | test acc 0.1832 test loss 2.259057 best test_acc 0.2191
e 20 | malicious users: 7 | test acc 0.2017 test loss 2.087860 best test_acc 0.2191
e 21 | malicious users: 9 | test acc 0.2276 test loss 2.192632 best test_acc 0.2276
e 22 | malicious users: 8 | test acc 0.1894 test loss 2.184781 best test_acc 0.2276
e 23 | malicious users: 5 | test acc 0.2280 test loss 2.063540 best test_acc 0.2280
e 24 | malicious users: 5 | test acc 0.2301 test loss 2.127117 best test_acc 0.2301
e 25 | malicious users: 6 | test acc 0.2442 test loss 2.025690 best test_acc 0.2442
e 26 | malicious users: 4 | test acc 0.2180 test loss 2.119905 best test_acc 0.2442
e 27 | malicious users: 5 | test acc 0.2071 test loss 2.043956 best test_acc 0.2442
e 28 | malicious users: 5 | test acc 0.1960 test loss 2.095791 best test_acc 0.2442
e 29 | malicious users: 6 | test acc 0.2176 test loss 2.061004 best test_acc 0.2442
e 30 | malicious users: 6 | test acc 0.2301 test loss 2.100623 best test_acc 0.2442
e 31 | malicious users: 3 | test acc 0.2331 test loss 2.030591 best test_acc 0.2442
e 32 | malicious users: 7 | test acc 0.2347 test loss 2.110673 best test_acc 0.2442
e 33 | malicious users: 2 | test acc 0.2259 test loss 1.991063 best test_acc 0.2442
e 34 | malicious users: 7 | test acc 0.2341 test loss 2.017013 best test_acc 0.2442
e 35 | malicious users: 2 | test acc 0.2482 test loss 2.025171 best test_acc 0.2482
e 36 | malicious users: 2 | test acc 0.2747 test loss 1.914401 best test_acc 0.2747
e 37 | malicious users: 4 | test acc 0.2202 test loss 2.037614 best test_acc 0.2747
e 38 | malicious users: 5 | test acc 0.2720 test loss 1.960299 best test_acc 0.2747
e 39 | malicious users: 5 | test acc 0.2126 test loss 2.061970 best test_acc 0.2747
e 40 | malicious users: 4 | test acc 0.2628 test loss 1.944995 best test_acc 0.2747
e 41 | malicious users: 2 | test acc 0.2398 test loss 1.987859 best test_acc 0.2747
e 42 | malicious users: 4 | test acc 0.2163 test loss 1.928303 best test_acc 0.2747
e 43 | malicious users: 4 | test acc 0.2386 test loss 1.961587 best test_acc 0.2747
e 44 | malicious users: 2 | test acc 0.2829 test loss 1.905650 best test_acc 0.2829
e 45 | malicious users: 5 | test acc 0.2173 test loss 2.027263 best test_acc 0.2829
e 46 | malicious users: 3 | test acc 0.2757 test loss 1.947016 best test_acc 0.2829
e 47 | malicious users: 6 | test acc 0.2803 test loss 1.947764 best test_acc 0.2829
e 48 | malicious users: 3 | test acc 0.2907 test loss 1.873654 best test_acc 0.2907
e 49 | malicious users: 7 | test acc 0.3117 test loss 1.897916 best test_acc 0.3117
e 50 | malicious users: 5 | test acc 0.2984 test loss 1.955498 best test_acc 0.3117
e 51 | malicious users: 3 | test acc 0.2844 test loss 1.934316 best test_acc 0.3117
e 52 | malicious users: 3 | test acc 0.3258 test loss 1.845053 best test_acc 0.3258
e 53 | malicious users: 3 | test acc 0.2739 test loss 1.955431 best test_acc 0.3258
