#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1089 test loss 2.302243 best test_acc 0.1089
e 1 | malicious users: 8 | test acc 0.1231 test loss 2.302247 best test_acc 0.1231
e 2 | malicious users: 2 | test acc 0.1002 test loss 2.301018 best test_acc 0.1231
e 3 | malicious users: 5 | test acc 0.1000 test loss 2.297447 best test_acc 0.1231
e 4 | malicious users: 3 | test acc 0.1539 test loss 2.288953 best test_acc 0.1539
e 5 | malicious users: 2 | test acc 0.1487 test loss 2.274714 best test_acc 0.1539
e 6 | malicious users: 5 | test acc 0.1409 test loss 2.280026 best test_acc 0.1539
e 7 | malicious users: 6 | test acc 0.1631 test loss 2.251449 best test_acc 0.1631
e 8 | malicious users: 7 | test acc 0.1525 test loss 2.290852 best test_acc 0.1631
e 9 | malicious users: 4 | test acc 0.1845 test loss 2.170659 best test_acc 0.1845
e 10 | malicious users: 2 | test acc 0.1370 test loss 2.301211 best test_acc 0.1845
e 11 | malicious users: 4 | test acc 0.1375 test loss 2.297987 best test_acc 0.1845
e 12 | malicious users: 4 | test acc 0.1429 test loss 2.267272 best test_acc 0.1845
e 13 | malicious users: 5 | test acc 0.1706 test loss 2.289546 best test_acc 0.1845
e 14 | malicious users: 10 | test acc 0.1954 test loss 2.181453 best test_acc 0.1954
e 15 | malicious users: 2 | test acc 0.1793 test loss 2.262388 best test_acc 0.1954
e 16 | malicious users: 5 | test acc 0.2394 test loss 2.214267 best test_acc 0.2394
e 17 | malicious users: 4 | test acc 0.2087 test loss 2.217165 best test_acc 0.2394
e 18 | malicious users: 5 | test acc 0.1531 test loss 2.188266 best test_acc 0.2394
e 19 | malicious users: 4 | test acc 0.2164 test loss 2.255792 best test_acc 0.2394
e 20 | malicious users: 11 | test acc 0.1782 test loss 2.176142 best test_acc 0.2394
e 21 | malicious users: 8 | test acc 0.2140 test loss 2.171830 best test_acc 0.2394
e 22 | malicious users: 7 | test acc 0.2123 test loss 2.205629 best test_acc 0.2394
e 23 | malicious users: 2 | test acc 0.2348 test loss 2.147734 best test_acc 0.2394
e 24 | malicious users: 7 | test acc 0.2294 test loss 2.101151 best test_acc 0.2394
e 25 | malicious users: 4 | test acc 0.2144 test loss 2.109577 best test_acc 0.2394
e 26 | malicious users: 2 | test acc 0.2207 test loss 2.076945 best test_acc 0.2394
e 27 | malicious users: 8 | test acc 0.2000 test loss 2.131627 best test_acc 0.2394
e 28 | malicious users: 9 | test acc 0.2373 test loss 2.068515 best test_acc 0.2394
e 29 | malicious users: 4 | test acc 0.2337 test loss 2.120256 best test_acc 0.2394
e 30 | malicious users: 7 | test acc 0.2402 test loss 2.010511 best test_acc 0.2402
e 31 | malicious users: 4 | test acc 0.2620 test loss 2.073329 best test_acc 0.2620
e 32 | malicious users: 6 | test acc 0.2187 test loss 2.069696 best test_acc 0.2620
e 33 | malicious users: 6 | test acc 0.2398 test loss 2.041117 best test_acc 0.2620
e 34 | malicious users: 6 | test acc 0.2671 test loss 2.044188 best test_acc 0.2671
e 35 | malicious users: 6 | test acc 0.2316 test loss 2.078237 best test_acc 0.2671
e 36 | malicious users: 5 | test acc 0.2695 test loss 2.003093 best test_acc 0.2695
e 37 | malicious users: 6 | test acc 0.3062 test loss 1.977800 best test_acc 0.3062
e 38 | malicious users: 7 | test acc 0.2305 test loss 2.079046 best test_acc 0.3062
e 39 | malicious users: 6 | test acc 0.2776 test loss 2.022954 best test_acc 0.3062
e 40 | malicious users: 4 | test acc 0.2669 test loss 1.968658 best test_acc 0.3062
e 41 | malicious users: 7 | test acc 0.2881 test loss 1.953115 best test_acc 0.3062
e 42 | malicious users: 3 | test acc 0.2725 test loss 1.880893 best test_acc 0.3062
e 43 | malicious users: 5 | test acc 0.2540 test loss 2.028314 best test_acc 0.3062
e 44 | malicious users: 8 | test acc 0.2569 test loss 1.987471 best test_acc 0.3062
e 45 | malicious users: 3 | test acc 0.3057 test loss 1.915727 best test_acc 0.3062
e 46 | malicious users: 4 | test acc 0.3057 test loss 1.965310 best test_acc 0.3062
e 47 | malicious users: 3 | test acc 0.3352 test loss 1.864031 best test_acc 0.3352
e 48 | malicious users: 5 | test acc 0.3176 test loss 1.875017 best test_acc 0.3352
e 49 | malicious users: 2 | test acc 0.2784 test loss 1.904610 best test_acc 0.3352
e 50 | malicious users: 3 | test acc 0.3035 test loss 1.870161 best test_acc 0.3352
e 51 | malicious users: 1 | test acc 0.2883 test loss 1.915288 best test_acc 0.3352
e 52 | malicious users: 8 | test acc 0.2869 test loss 1.915716 best test_acc 0.3352
e 53 | malicious users: 4 | test acc 0.2874 test loss 1.879679 best test_acc 0.3352
e 54 | malicious users: 6 | test acc 0.2805 test loss 1.909760 best test_acc 0.3352
e 55 | malicious users: 3 | test acc 0.2528 test loss 1.945574 best test_acc 0.3352
e 56 | malicious users: 1 | test acc 0.3222 test loss 1.870709 best test_acc 0.3352
e 57 | malicious users: 8 | test acc 0.3268 test loss 1.871575 best test_acc 0.3352
e 58 | malicious users: 7 | test acc 0.2962 test loss 1.860715 best test_acc 0.3352
