#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.0996 test loss 2.302948 best test_acc 0.0996
e 1 | malicious users: 6 | test acc 0.1085 test loss 2.301706 best test_acc 0.1085
e 2 | malicious users: 3 | test acc 0.1260 test loss 2.301248 best test_acc 0.1260
e 3 | malicious users: 6 | test acc 0.1207 test loss 2.300355 best test_acc 0.1260
e 4 | malicious users: 3 | test acc 0.1229 test loss 2.297628 best test_acc 0.1260
e 5 | malicious users: 4 | test acc 0.1000 test loss 2.290591 best test_acc 0.1260
e 6 | malicious users: 6 | test acc 0.1272 test loss 2.297046 best test_acc 0.1272
e 7 | malicious users: 7 | test acc 0.1703 test loss 2.278125 best test_acc 0.1703
e 8 | malicious users: 5 | test acc 0.2113 test loss 2.231395 best test_acc 0.2113
e 9 | malicious users: 6 | test acc 0.1158 test loss 2.296581 best test_acc 0.2113
e 10 | malicious users: 3 | test acc 0.1512 test loss 2.260865 best test_acc 0.2113
e 11 | malicious users: 5 | test acc 0.1744 test loss 2.246306 best test_acc 0.2113
e 12 | malicious users: 6 | test acc 0.1534 test loss 2.281751 best test_acc 0.2113
e 13 | malicious users: 6 | test acc 0.1919 test loss 2.251883 best test_acc 0.2113
e 14 | malicious users: 4 | test acc 0.1988 test loss 2.190468 best test_acc 0.2113
e 15 | malicious users: 5 | test acc 0.1863 test loss 2.246777 best test_acc 0.2113
e 16 | malicious users: 3 | test acc 0.1833 test loss 2.133358 best test_acc 0.2113
e 17 | malicious users: 4 | test acc 0.1477 test loss 2.193772 best test_acc 0.2113
e 18 | malicious users: 5 | test acc 0.2406 test loss 2.250456 best test_acc 0.2406
e 19 | malicious users: 3 | test acc 0.2338 test loss 2.149784 best test_acc 0.2406
e 20 | malicious users: 2 | test acc 0.2483 test loss 2.110481 best test_acc 0.2483
e 21 | malicious users: 5 | test acc 0.1785 test loss 2.150069 best test_acc 0.2483
e 22 | malicious users: 8 | test acc 0.2281 test loss 2.101572 best test_acc 0.2483
