#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 10 | test acc 0.1017 test loss 2.302051 best test_acc 0.1017
e 1 | malicious users: 4 | test acc 0.0998 test loss 2.298641 best test_acc 0.1017
e 2 | malicious users: 5 | test acc 0.1124 test loss 2.295600 best test_acc 0.1124
e 3 | malicious users: 6 | test acc 0.0972 test loss 2.302527 best test_acc 0.1124
e 4 | malicious users: 8 | test acc 0.1003 test loss 2.301022 best test_acc 0.1124
e 5 | malicious users: 5 | test acc 0.1000 test loss 2.299755 best test_acc 0.1124
e 6 | malicious users: 2 | test acc 0.1466 test loss 2.301713 best test_acc 0.1466
e 7 | malicious users: 7 | test acc 0.1036 test loss 2.297095 best test_acc 0.1466
e 8 | malicious users: 5 | test acc 0.1000 test loss 2.297105 best test_acc 0.1466
e 9 | malicious users: 5 | test acc 0.1436 test loss 2.278535 best test_acc 0.1466
e 10 | malicious users: 3 | test acc 0.0998 test loss 2.287582 best test_acc 0.1466
e 11 | malicious users: 6 | test acc 0.1318 test loss 2.247655 best test_acc 0.1466
e 12 | malicious users: 7 | test acc 0.1637 test loss 2.275625 best test_acc 0.1637
e 13 | malicious users: 5 | test acc 0.2054 test loss 2.239814 best test_acc 0.2054
e 14 | malicious users: 11 | test acc 0.1204 test loss 2.293961 best test_acc 0.2054
e 15 | malicious users: 2 | test acc 0.1454 test loss 2.255649 best test_acc 0.2054
e 16 | malicious users: 1 | test acc 0.1540 test loss 2.217628 best test_acc 0.2054
e 17 | malicious users: 4 | test acc 0.2084 test loss 2.248473 best test_acc 0.2084
e 18 | malicious users: 4 | test acc 0.1489 test loss 2.234159 best test_acc 0.2084
e 19 | malicious users: 2 | test acc 0.1790 test loss 2.169438 best test_acc 0.2084
e 20 | malicious users: 5 | test acc 0.1289 test loss 2.241880 best test_acc 0.2084
e 21 | malicious users: 3 | test acc 0.2113 test loss 2.205113 best test_acc 0.2113
e 22 | malicious users: 6 | test acc 0.1694 test loss 2.147325 best test_acc 0.2113
e 23 | malicious users: 8 | test acc 0.2003 test loss 2.120337 best test_acc 0.2113
e 24 | malicious users: 3 | test acc 0.2090 test loss 2.192435 best test_acc 0.2113
e 25 | malicious users: 4 | test acc 0.2050 test loss 2.107371 best test_acc 0.2113
e 26 | malicious users: 5 | test acc 0.2413 test loss 2.092087 best test_acc 0.2413
e 27 | malicious users: 6 | test acc 0.2127 test loss 2.068773 best test_acc 0.2413
e 28 | malicious users: 5 | test acc 0.1907 test loss 2.111431 best test_acc 0.2413
e 29 | malicious users: 5 | test acc 0.2266 test loss 2.013963 best test_acc 0.2413
e 30 | malicious users: 5 | test acc 0.2040 test loss 2.101729 best test_acc 0.2413
e 31 | malicious users: 5 | test acc 0.2595 test loss 2.000504 best test_acc 0.2595
e 32 | malicious users: 2 | test acc 0.2218 test loss 2.087551 best test_acc 0.2595
e 33 | malicious users: 6 | test acc 0.2511 test loss 1.993339 best test_acc 0.2595
e 34 | malicious users: 4 | test acc 0.2620 test loss 1.990144 best test_acc 0.2620
e 35 | malicious users: 4 | test acc 0.2449 test loss 2.066773 best test_acc 0.2620
e 36 | malicious users: 4 | test acc 0.2575 test loss 1.964860 best test_acc 0.2620
e 37 | malicious users: 6 | test acc 0.2129 test loss 2.079619 best test_acc 0.2620
e 38 | malicious users: 3 | test acc 0.2443 test loss 2.017285 best test_acc 0.2620
e 39 | malicious users: 2 | test acc 0.2488 test loss 1.972475 best test_acc 0.2620
e 40 | malicious users: 8 | test acc 0.2664 test loss 2.044153 best test_acc 0.2664
e 41 | malicious users: 7 | test acc 0.2880 test loss 1.887973 best test_acc 0.2880
e 42 | malicious users: 5 | test acc 0.2445 test loss 2.036683 best test_acc 0.2880
e 43 | malicious users: 4 | test acc 0.2549 test loss 1.962403 best test_acc 0.2880
e 44 | malicious users: 4 | test acc 0.2879 test loss 1.959023 best test_acc 0.2880
e 45 | malicious users: 4 | test acc 0.2884 test loss 1.935022 best test_acc 0.2884
e 46 | malicious users: 7 | test acc 0.2668 test loss 1.957609 best test_acc 0.2884
e 47 | malicious users: 6 | test acc 0.2521 test loss 1.951443 best test_acc 0.2884
e 48 | malicious users: 7 | test acc 0.2901 test loss 1.918942 best test_acc 0.2901
e 49 | malicious users: 4 | test acc 0.2618 test loss 1.957707 best test_acc 0.2901
e 50 | malicious users: 1 | test acc 0.2882 test loss 1.914534 best test_acc 0.2901
e 51 | malicious users: 4 | test acc 0.2776 test loss 1.892643 best test_acc 0.2901
e 52 | malicious users: 7 | test acc 0.2763 test loss 1.988989 best test_acc 0.2901
e 53 | malicious users: 5 | test acc 0.2952 test loss 1.877014 best test_acc 0.2952
e 54 | malicious users: 6 | test acc 0.2849 test loss 1.999351 best test_acc 0.2952
e 55 | malicious users: 5 | test acc 0.2877 test loss 1.870131 best test_acc 0.2952
e 56 | malicious users: 5 | test acc 0.2827 test loss 1.977327 best test_acc 0.2952
e 57 | malicious users: 7 | test acc 0.2774 test loss 1.902736 best test_acc 0.2952
e 58 | malicious users: 4 | test acc 0.2681 test loss 1.927498 best test_acc 0.2952
e 59 | malicious users: 4 | test acc 0.2456 test loss 1.940233 best test_acc 0.2952
e 60 | malicious users: 6 | test acc 0.2783 test loss 1.921596 best test_acc 0.2952
e 61 | malicious users: 2 | test acc 0.2962 test loss 1.887280 best test_acc 0.2962
e 62 | malicious users: 5 | test acc 0.3319 test loss 1.853728 best test_acc 0.3319
e 63 | malicious users: 6 | test acc 0.2880 test loss 1.885684 best test_acc 0.3319
e 64 | malicious users: 4 | test acc 0.3032 test loss 1.838327 best test_acc 0.3319
e 65 | malicious users: 5 | test acc 0.3105 test loss 1.900726 best test_acc 0.3319
e 66 | malicious users: 5 | test acc 0.3228 test loss 1.822856 best test_acc 0.3319
e 67 | malicious users: 3 | test acc 0.2845 test loss 1.896053 best test_acc 0.3319
e 68 | malicious users: 4 | test acc 0.3217 test loss 1.805829 best test_acc 0.3319
e 69 | malicious users: 3 | test acc 0.3151 test loss 1.811845 best test_acc 0.3319
e 70 | malicious users: 6 | test acc 0.3415 test loss 1.812366 best test_acc 0.3415
e 71 | malicious users: 2 | test acc 0.3363 test loss 1.761245 best test_acc 0.3415
e 72 | malicious users: 4 | test acc 0.3609 test loss 1.809926 best test_acc 0.3609
e 73 | malicious users: 5 | test acc 0.3599 test loss 1.763735 best test_acc 0.3609
e 74 | malicious users: 2 | test acc 0.3595 test loss 1.762838 best test_acc 0.3609
e 75 | malicious users: 2 | test acc 0.3482 test loss 1.816387 best test_acc 0.3609
e 76 | malicious users: 6 | test acc 0.3603 test loss 1.725524 best test_acc 0.3609
e 77 | malicious users: 4 | test acc 0.3695 test loss 1.748935 best test_acc 0.3695
e 78 | malicious users: 7 | test acc 0.3758 test loss 1.727479 best test_acc 0.3758
e 79 | malicious users: 4 | test acc 0.3468 test loss 1.777864 best test_acc 0.3758
e 80 | malicious users: 2 | test acc 0.3438 test loss 1.816032 best test_acc 0.3758
e 81 | malicious users: 4 | test acc 0.3458 test loss 1.801337 best test_acc 0.3758
e 82 | malicious users: 2 | test acc 0.3666 test loss 1.779073 best test_acc 0.3758
e 83 | malicious users: 3 | test acc 0.3752 test loss 1.729590 best test_acc 0.3758
e 84 | malicious users: 2 | test acc 0.3692 test loss 1.728645 best test_acc 0.3758
e 85 | malicious users: 5 | test acc 0.3711 test loss 1.745862 best test_acc 0.3758
e 86 | malicious users: 3 | test acc 0.3777 test loss 1.696404 best test_acc 0.3777
e 87 | malicious users: 2 | test acc 0.3455 test loss 1.753237 best test_acc 0.3777
e 88 | malicious users: 3 | test acc 0.3825 test loss 1.751126 best test_acc 0.3825
e 89 | malicious users: 4 | test acc 0.3552 test loss 1.808069 best test_acc 0.3825
e 90 | malicious users: 6 | test acc 0.3509 test loss 1.746976 best test_acc 0.3825
e 91 | malicious users: 7 | test acc 0.3363 test loss 1.775667 best test_acc 0.3825
e 92 | malicious users: 3 | test acc 0.3448 test loss 1.814553 best test_acc 0.3825
e 93 | malicious users: 5 | test acc 0.3701 test loss 1.695651 best test_acc 0.3825
e 94 | malicious users: 4 | test acc 0.3756 test loss 1.716421 best test_acc 0.3825
e 95 | malicious users: 7 | test acc 0.3829 test loss 1.688147 best test_acc 0.3829
e 96 | malicious users: 4 | test acc 0.3927 test loss 1.664962 best test_acc 0.3927
e 97 | malicious users: 8 | test acc 0.3929 test loss 1.707324 best test_acc 0.3929
e 98 | malicious users: 6 | test acc 0.3801 test loss 1.674593 best test_acc 0.3929
e 99 | malicious users: 3 | test acc 0.3607 test loss 1.757677 best test_acc 0.3929
e 100 | malicious users: 6 | test acc 0.3984 test loss 1.706139 best test_acc 0.3984
e 101 | malicious users: 6 | test acc 0.3542 test loss 1.786408 best test_acc 0.3984
e 102 | malicious users: 7 | test acc 0.3839 test loss 1.705540 best test_acc 0.3984
e 103 | malicious users: 5 | test acc 0.3656 test loss 1.715719 best test_acc 0.3984
e 104 | malicious users: 1 | test acc 0.3845 test loss 1.728848 best test_acc 0.3984
e 105 | malicious users: 0 | test acc 0.3765 test loss 1.655312 best test_acc 0.3984
e 106 | malicious users: 6 | test acc 0.3544 test loss 1.808432 best test_acc 0.3984
e 107 | malicious users: 5 | test acc 0.4092 test loss 1.628269 best test_acc 0.4092
e 108 | malicious users: 2 | test acc 0.3328 test loss 1.779947 best test_acc 0.4092
e 109 | malicious users: 5 | test acc 0.3772 test loss 1.720633 best test_acc 0.4092
e 110 | malicious users: 5 | test acc 0.3713 test loss 1.741150 best test_acc 0.4092
