#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.1001 test loss 2.301252 best test_acc 0.1001
e 1 | malicious users: 3 | test acc 0.1004 test loss 2.297939 best test_acc 0.1004
e 2 | malicious users: 5 | test acc 0.1000 test loss 2.298020 best test_acc 0.1004
e 3 | malicious users: 2 | test acc 0.1000 test loss 2.300282 best test_acc 0.1004
e 4 | malicious users: 4 | test acc 0.1000 test loss 2.300490 best test_acc 0.1004
e 5 | malicious users: 2 | test acc 0.1107 test loss 2.296595 best test_acc 0.1107
e 6 | malicious users: 8 | test acc 0.1000 test loss 2.285044 best test_acc 0.1107
e 7 | malicious users: 2 | test acc 0.1857 test loss 2.276651 best test_acc 0.1857
e 8 | malicious users: 2 | test acc 0.1405 test loss 2.278417 best test_acc 0.1857
e 9 | malicious users: 3 | test acc 0.1642 test loss 2.221543 best test_acc 0.1857
e 10 | malicious users: 1 | test acc 0.1466 test loss 2.274694 best test_acc 0.1857
e 11 | malicious users: 3 | test acc 0.1730 test loss 2.241104 best test_acc 0.1857
e 12 | malicious users: 2 | test acc 0.2104 test loss 2.218769 best test_acc 0.2104
e 13 | malicious users: 2 | test acc 0.0981 test loss 2.251256 best test_acc 0.2104
e 14 | malicious users: 3 | test acc 0.1872 test loss 2.257830 best test_acc 0.2104
e 15 | malicious users: 1 | test acc 0.2159 test loss 2.133498 best test_acc 0.2159
e 16 | malicious users: 3 | test acc 0.2073 test loss 2.217519 best test_acc 0.2159
e 17 | malicious users: 2 | test acc 0.2227 test loss 2.194937 best test_acc 0.2227
e 18 | malicious users: 2 | test acc 0.2235 test loss 2.126761 best test_acc 0.2235
e 19 | malicious users: 4 | test acc 0.2164 test loss 2.218534 best test_acc 0.2235
e 20 | malicious users: 4 | test acc 0.2161 test loss 2.147625 best test_acc 0.2235
e 21 | malicious users: 3 | test acc 0.2409 test loss 2.089249 best test_acc 0.2409
e 22 | malicious users: 3 | test acc 0.2067 test loss 2.224920 best test_acc 0.2409
e 23 | malicious users: 2 | test acc 0.2329 test loss 2.074720 best test_acc 0.2409
e 24 | malicious users: 3 | test acc 0.2372 test loss 2.136063 best test_acc 0.2409
e 25 | malicious users: 1 | test acc 0.2304 test loss 2.051310 best test_acc 0.2409
e 26 | malicious users: 1 | test acc 0.2104 test loss 2.078226 best test_acc 0.2409
e 27 | malicious users: 2 | test acc 0.2357 test loss 1.993610 best test_acc 0.2409
e 28 | malicious users: 3 | test acc 0.2576 test loss 1.977093 best test_acc 0.2576
e 29 | malicious users: 1 | test acc 0.2679 test loss 2.076201 best test_acc 0.2679
e 30 | malicious users: 4 | test acc 0.2577 test loss 2.083442 best test_acc 0.2679
