#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 5 | test acc 0.1002 test loss 2.302391 best test_acc 0.1002
e 1 | malicious users: 1 | test acc 0.1000 test loss 2.299272 best test_acc 0.1002
e 2 | malicious users: 1 | test acc 0.1109 test loss 2.299712 best test_acc 0.1109
e 3 | malicious users: 4 | test acc 0.1462 test loss 2.291399 best test_acc 0.1462
e 4 | malicious users: 2 | test acc 0.1359 test loss 2.296903 best test_acc 0.1462
e 5 | malicious users: 2 | test acc 0.1565 test loss 2.268897 best test_acc 0.1565
e 6 | malicious users: 3 | test acc 0.1887 test loss 2.282405 best test_acc 0.1887
e 7 | malicious users: 3 | test acc 0.1587 test loss 2.278453 best test_acc 0.1887
e 8 | malicious users: 2 | test acc 0.1572 test loss 2.240042 best test_acc 0.1887
e 9 | malicious users: 3 | test acc 0.1706 test loss 2.260614 best test_acc 0.1887
e 10 | malicious users: 2 | test acc 0.1727 test loss 2.248864 best test_acc 0.1887
e 11 | malicious users: 0 | test acc 0.1830 test loss 2.229392 best test_acc 0.1887
e 12 | malicious users: 6 | test acc 0.1626 test loss 2.212111 best test_acc 0.1887
e 13 | malicious users: 2 | test acc 0.2150 test loss 2.242560 best test_acc 0.2150
e 14 | malicious users: 3 | test acc 0.2212 test loss 2.180171 best test_acc 0.2212
e 15 | malicious users: 1 | test acc 0.2406 test loss 2.149583 best test_acc 0.2406
e 16 | malicious users: 4 | test acc 0.2207 test loss 2.167562 best test_acc 0.2406
e 17 | malicious users: 1 | test acc 0.2464 test loss 2.194966 best test_acc 0.2464
e 18 | malicious users: 1 | test acc 0.2380 test loss 2.106453 best test_acc 0.2464
e 19 | malicious users: 2 | test acc 0.2450 test loss 2.170973 best test_acc 0.2464
e 20 | malicious users: 1 | test acc 0.2397 test loss 2.172585 best test_acc 0.2464
e 21 | malicious users: 3 | test acc 0.2051 test loss 2.193817 best test_acc 0.2464
e 22 | malicious users: 3 | test acc 0.2407 test loss 2.108239 best test_acc 0.2464
e 23 | malicious users: 1 | test acc 0.2519 test loss 2.044349 best test_acc 0.2519
e 24 | malicious users: 1 | test acc 0.2742 test loss 2.076684 best test_acc 0.2742
e 25 | malicious users: 3 | test acc 0.2484 test loss 2.106265 best test_acc 0.2742
e 26 | malicious users: 1 | test acc 0.2429 test loss 2.065244 best test_acc 0.2742
e 27 | malicious users: 4 | test acc 0.2537 test loss 2.108305 best test_acc 0.2742
e 28 | malicious users: 1 | test acc 0.2535 test loss 1.999138 best test_acc 0.2742
e 29 | malicious users: 2 | test acc 0.2698 test loss 2.014084 best test_acc 0.2742
e 30 | malicious users: 1 | test acc 0.2853 test loss 1.924952 best test_acc 0.2853
e 31 | malicious users: 1 | test acc 0.2645 test loss 2.068343 best test_acc 0.2853
e 32 | malicious users: 4 | test acc 0.2429 test loss 2.052999 best test_acc 0.2853
e 33 | malicious users: 0 | test acc 0.2730 test loss 1.939443 best test_acc 0.2853
e 34 | malicious users: 5 | test acc 0.2543 test loss 1.995955 best test_acc 0.2853
e 35 | malicious users: 0 | test acc 0.3058 test loss 1.919018 best test_acc 0.3058
e 36 | malicious users: 2 | test acc 0.2649 test loss 1.998715 best test_acc 0.3058
e 37 | malicious users: 3 | test acc 0.2927 test loss 2.012522 best test_acc 0.3058
e 38 | malicious users: 4 | test acc 0.2948 test loss 1.952075 best test_acc 0.3058
e 39 | malicious users: 3 | test acc 0.3143 test loss 1.937413 best test_acc 0.3143
e 40 | malicious users: 3 | test acc 0.3040 test loss 1.854977 best test_acc 0.3143
e 41 | malicious users: 3 | test acc 0.3026 test loss 1.897475 best test_acc 0.3143
e 42 | malicious users: 1 | test acc 0.3199 test loss 1.875015 best test_acc 0.3199
e 43 | malicious users: 1 | test acc 0.3201 test loss 1.885829 best test_acc 0.3201
e 44 | malicious users: 2 | test acc 0.3103 test loss 1.895499 best test_acc 0.3201
e 45 | malicious users: 1 | test acc 0.3223 test loss 1.881104 best test_acc 0.3223
e 46 | malicious users: 0 | test acc 0.3134 test loss 1.846244 best test_acc 0.3223
e 47 | malicious users: 1 | test acc 0.3075 test loss 1.864569 best test_acc 0.3223
