#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.0976 test loss 2.303118 best test_acc 0.0976
e 1 | malicious users: 1 | test acc 0.1000 test loss 2.298928 best test_acc 0.1000
e 2 | malicious users: 3 | test acc 0.1382 test loss 2.300372 best test_acc 0.1382
e 3 | malicious users: 1 | test acc 0.1321 test loss 2.287748 best test_acc 0.1382
e 4 | malicious users: 4 | test acc 0.1513 test loss 2.289163 best test_acc 0.1513
e 5 | malicious users: 1 | test acc 0.1573 test loss 2.243345 best test_acc 0.1573
e 6 | malicious users: 2 | test acc 0.1193 test loss 2.299680 best test_acc 0.1573
e 7 | malicious users: 2 | test acc 0.1151 test loss 2.288341 best test_acc 0.1573
e 8 | malicious users: 2 | test acc 0.1599 test loss 2.238568 best test_acc 0.1599
e 9 | malicious users: 6 | test acc 0.1197 test loss 2.289408 best test_acc 0.1599
e 10 | malicious users: 1 | test acc 0.2017 test loss 2.272511 best test_acc 0.2017
e 11 | malicious users: 2 | test acc 0.1872 test loss 2.221587 best test_acc 0.2017
e 12 | malicious users: 3 | test acc 0.1376 test loss 2.280019 best test_acc 0.2017
e 13 | malicious users: 3 | test acc 0.2111 test loss 2.204005 best test_acc 0.2111
e 14 | malicious users: 2 | test acc 0.2272 test loss 2.259359 best test_acc 0.2272
e 15 | malicious users: 1 | test acc 0.1869 test loss 2.198352 best test_acc 0.2272
e 16 | malicious users: 5 | test acc 0.1896 test loss 2.182126 best test_acc 0.2272
e 17 | malicious users: 2 | test acc 0.2227 test loss 2.207849 best test_acc 0.2272
e 18 | malicious users: 2 | test acc 0.2073 test loss 2.123582 best test_acc 0.2272
e 19 | malicious users: 6 | test acc 0.2212 test loss 2.152066 best test_acc 0.2272
e 20 | malicious users: 5 | test acc 0.2493 test loss 2.187858 best test_acc 0.2493
e 21 | malicious users: 1 | test acc 0.1930 test loss 2.111656 best test_acc 0.2493
e 22 | malicious users: 4 | test acc 0.2248 test loss 2.126073 best test_acc 0.2493
e 23 | malicious users: 3 | test acc 0.2166 test loss 2.156214 best test_acc 0.2493
e 24 | malicious users: 1 | test acc 0.2514 test loss 2.091626 best test_acc 0.2514
e 25 | malicious users: 3 | test acc 0.2329 test loss 2.134452 best test_acc 0.2514
e 26 | malicious users: 2 | test acc 0.2568 test loss 2.125122 best test_acc 0.2568
e 27 | malicious users: 2 | test acc 0.2234 test loss 2.040166 best test_acc 0.2568
e 28 | malicious users: 2 | test acc 0.2705 test loss 2.026971 best test_acc 0.2705
e 29 | malicious users: 4 | test acc 0.2493 test loss 2.050074 best test_acc 0.2705
e 30 | malicious users: 4 | test acc 0.2584 test loss 2.005777 best test_acc 0.2705
e 31 | malicious users: 1 | test acc 0.2671 test loss 1.966942 best test_acc 0.2705
e 32 | malicious users: 4 | test acc 0.2796 test loss 1.962682 best test_acc 0.2796
e 33 | malicious users: 4 | test acc 0.2672 test loss 1.962691 best test_acc 0.2796
e 34 | malicious users: 3 | test acc 0.2678 test loss 1.930386 best test_acc 0.2796
e 35 | malicious users: 3 | test acc 0.2493 test loss 2.042203 best test_acc 0.2796
e 36 | malicious users: 2 | test acc 0.2821 test loss 1.937096 best test_acc 0.2821
e 37 | malicious users: 3 | test acc 0.2743 test loss 1.918686 best test_acc 0.2821
e 38 | malicious users: 3 | test acc 0.2577 test loss 1.950318 best test_acc 0.2821
e 39 | malicious users: 3 | test acc 0.3160 test loss 1.928162 best test_acc 0.3160
e 40 | malicious users: 5 | test acc 0.3069 test loss 1.902825 best test_acc 0.3160
e 41 | malicious users: 4 | test acc 0.2920 test loss 1.911585 best test_acc 0.3160
e 42 | malicious users: 1 | test acc 0.3060 test loss 1.904649 best test_acc 0.3160
e 43 | malicious users: 1 | test acc 0.3073 test loss 1.942236 best test_acc 0.3160
e 44 | malicious users: 3 | test acc 0.3119 test loss 1.936881 best test_acc 0.3160
e 45 | malicious users: 1 | test acc 0.3164 test loss 1.905681 best test_acc 0.3164
e 46 | malicious users: 2 | test acc 0.3224 test loss 1.847808 best test_acc 0.3224
e 47 | malicious users: 3 | test acc 0.3006 test loss 1.912543 best test_acc 0.3224
e 48 | malicious users: 2 | test acc 0.3123 test loss 1.892270 best test_acc 0.3224
e 49 | malicious users: 3 | test acc 0.3155 test loss 1.882576 best test_acc 0.3224
e 50 | malicious users: 2 | test acc 0.3149 test loss 1.852680 best test_acc 0.3224
e 51 | malicious users: 1 | test acc 0.3328 test loss 1.807476 best test_acc 0.3328
e 52 | malicious users: 3 | test acc 0.3223 test loss 1.857859 best test_acc 0.3328
e 53 | malicious users: 2 | test acc 0.3375 test loss 1.818729 best test_acc 0.3375
e 54 | malicious users: 3 | test acc 0.3330 test loss 1.817505 best test_acc 0.3375
e 55 | malicious users: 0 | test acc 0.3384 test loss 1.819856 best test_acc 0.3384
e 56 | malicious users: 2 | test acc 0.3287 test loss 1.856871 best test_acc 0.3384
e 57 | malicious users: 2 | test acc 0.3468 test loss 1.842690 best test_acc 0.3468
e 58 | malicious users: 1 | test acc 0.3458 test loss 1.748807 best test_acc 0.3468
e 59 | malicious users: 2 | test acc 0.3473 test loss 1.865655 best test_acc 0.3473
e 60 | malicious users: 2 | test acc 0.3636 test loss 1.756334 best test_acc 0.3636
e 61 | malicious users: 2 | test acc 0.3507 test loss 1.777104 best test_acc 0.3636
e 62 | malicious users: 2 | test acc 0.3523 test loss 1.769786 best test_acc 0.3636
e 63 | malicious users: 2 | test acc 0.3505 test loss 1.780193 best test_acc 0.3636
e 64 | malicious users: 4 | test acc 0.3289 test loss 1.849594 best test_acc 0.3636
e 65 | malicious users: 2 | test acc 0.3507 test loss 1.750376 best test_acc 0.3636
e 66 | malicious users: 3 | test acc 0.3430 test loss 1.758767 best test_acc 0.3636
e 67 | malicious users: 6 | test acc 0.3670 test loss 1.732735 best test_acc 0.3670
e 68 | malicious users: 3 | test acc 0.3303 test loss 1.849235 best test_acc 0.3670
e 69 | malicious users: 3 | test acc 0.3383 test loss 1.791748 best test_acc 0.3670
e 70 | malicious users: 2 | test acc 0.3725 test loss 1.702002 best test_acc 0.3725
e 71 | malicious users: 1 | test acc 0.3330 test loss 1.784233 best test_acc 0.3725
e 72 | malicious users: 7 | test acc 0.3731 test loss 1.762952 best test_acc 0.3731
e 73 | malicious users: 3 | test acc 0.3613 test loss 1.717341 best test_acc 0.3731
e 74 | malicious users: 4 | test acc 0.3959 test loss 1.673811 best test_acc 0.3959
e 75 | malicious users: 4 | test acc 0.3686 test loss 1.754772 best test_acc 0.3959
e 76 | malicious users: 3 | test acc 0.3922 test loss 1.661964 best test_acc 0.3959
e 77 | malicious users: 1 | test acc 0.3710 test loss 1.731161 best test_acc 0.3959
e 78 | malicious users: 1 | test acc 0.3554 test loss 1.746900 best test_acc 0.3959
e 79 | malicious users: 2 | test acc 0.3711 test loss 1.707039 best test_acc 0.3959
e 80 | malicious users: 1 | test acc 0.3898 test loss 1.689210 best test_acc 0.3959
e 81 | malicious users: 3 | test acc 0.3724 test loss 1.736915 best test_acc 0.3959
e 82 | malicious users: 1 | test acc 0.3982 test loss 1.669870 best test_acc 0.3982
e 83 | malicious users: 7 | test acc 0.3909 test loss 1.671463 best test_acc 0.3982
e 84 | malicious users: 3 | test acc 0.3795 test loss 1.654552 best test_acc 0.3982
e 85 | malicious users: 1 | test acc 0.3910 test loss 1.673161 best test_acc 0.3982
e 86 | malicious users: 2 | test acc 0.3892 test loss 1.645571 best test_acc 0.3982
e 87 | malicious users: 4 | test acc 0.3913 test loss 1.775389 best test_acc 0.3982
e 88 | malicious users: 4 | test acc 0.4222 test loss 1.633193 best test_acc 0.4222
e 89 | malicious users: 0 | test acc 0.3952 test loss 1.700906 best test_acc 0.4222
e 90 | malicious users: 1 | test acc 0.4233 test loss 1.580809 best test_acc 0.4233
e 91 | malicious users: 3 | test acc 0.3734 test loss 1.701177 best test_acc 0.4233
e 92 | malicious users: 3 | test acc 0.4141 test loss 1.605574 best test_acc 0.4233
e 93 | malicious users: 6 | test acc 0.3753 test loss 1.700561 best test_acc 0.4233
e 94 | malicious users: 2 | test acc 0.4235 test loss 1.611166 best test_acc 0.4235
e 95 | malicious users: 4 | test acc 0.3936 test loss 1.697335 best test_acc 0.4235
e 96 | malicious users: 5 | test acc 0.4030 test loss 1.652616 best test_acc 0.4235
e 97 | malicious users: 1 | test acc 0.4264 test loss 1.561565 best test_acc 0.4264
e 98 | malicious users: 1 | test acc 0.4041 test loss 1.640528 best test_acc 0.4264
e 99 | malicious users: 4 | test acc 0.3657 test loss 1.743492 best test_acc 0.4264
e 100 | malicious users: 2 | test acc 0.4119 test loss 1.619954 best test_acc 0.4264
e 101 | malicious users: 2 | test acc 0.3907 test loss 1.632761 best test_acc 0.4264
e 102 | malicious users: 3 | test acc 0.3693 test loss 1.663391 best test_acc 0.4264
e 103 | malicious users: 3 | test acc 0.4334 test loss 1.567917 best test_acc 0.4334
e 104 | malicious users: 1 | test acc 0.4112 test loss 1.619068 best test_acc 0.4334
e 105 | malicious users: 2 | test acc 0.4084 test loss 1.608269 best test_acc 0.4334
e 106 | malicious users: 3 | test acc 0.3774 test loss 1.661285 best test_acc 0.4334
e 107 | malicious users: 3 | test acc 0.4315 test loss 1.561437 best test_acc 0.4334
e 108 | malicious users: 0 | test acc 0.3977 test loss 1.614645 best test_acc 0.4334
e 109 | malicious users: 4 | test acc 0.4468 test loss 1.549246 best test_acc 0.4468
e 110 | malicious users: 2 | test acc 0.4086 test loss 1.618533 best test_acc 0.4468
e 111 | malicious users: 5 | test acc 0.3962 test loss 1.611440 best test_acc 0.4468
e 112 | malicious users: 2 | test acc 0.4063 test loss 1.554978 best test_acc 0.4468
e 113 | malicious users: 4 | test acc 0.3789 test loss 1.673193 best test_acc 0.4468
e 114 | malicious users: 2 | test acc 0.4224 test loss 1.574961 best test_acc 0.4468
e 115 | malicious users: 3 | test acc 0.3732 test loss 1.744142 best test_acc 0.4468
e 116 | malicious users: 1 | test acc 0.4269 test loss 1.590574 best test_acc 0.4468
e 117 | malicious users: 5 | test acc 0.4076 test loss 1.668798 best test_acc 0.4468
e 118 | malicious users: 5 | test acc 0.4360 test loss 1.552391 best test_acc 0.4468
e 119 | malicious users: 3 | test acc 0.4258 test loss 1.623810 best test_acc 0.4468
e 120 | malicious users: 3 | test acc 0.4566 test loss 1.499587 best test_acc 0.4566
e 121 | malicious users: 1 | test acc 0.4319 test loss 1.564758 best test_acc 0.4566
e 122 | malicious users: 1 | test acc 0.4466 test loss 1.502956 best test_acc 0.4566
e 123 | malicious users: 2 | test acc 0.4241 test loss 1.559332 best test_acc 0.4566
e 124 | malicious users: 3 | test acc 0.4311 test loss 1.573284 best test_acc 0.4566
e 125 | malicious users: 2 | test acc 0.4439 test loss 1.518260 best test_acc 0.4566
e 126 | malicious users: 0 | test acc 0.4436 test loss 1.529347 best test_acc 0.4566
e 127 | malicious users: 4 | test acc 0.4202 test loss 1.611578 best test_acc 0.4566
e 128 | malicious users: 2 | test acc 0.4549 test loss 1.508325 best test_acc 0.4566
e 129 | malicious users: 1 | test acc 0.4320 test loss 1.575194 best test_acc 0.4566
e 130 | malicious users: 3 | test acc 0.4355 test loss 1.568089 best test_acc 0.4566
e 131 | malicious users: 1 | test acc 0.4521 test loss 1.478839 best test_acc 0.4566
e 132 | malicious users: 3 | test acc 0.4488 test loss 1.548856 best test_acc 0.4566
e 133 | malicious users: 2 | test acc 0.4378 test loss 1.523891 best test_acc 0.4566
e 134 | malicious users: 2 | test acc 0.4351 test loss 1.522696 best test_acc 0.4566
e 135 | malicious users: 1 | test acc 0.4318 test loss 1.525984 best test_acc 0.4566
e 136 | malicious users: 3 | test acc 0.4572 test loss 1.476974 best test_acc 0.4572
e 137 | malicious users: 5 | test acc 0.4279 test loss 1.516730 best test_acc 0.4572
