#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 6 | test acc 0.1165 test loss 2.302514 best test_acc 0.1165
e 1 | malicious users: 3 | test acc 0.1123 test loss 2.302111 best test_acc 0.1165
e 2 | malicious users: 4 | test acc 0.1005 test loss 2.295077 best test_acc 0.1165
e 3 | malicious users: 2 | test acc 0.0999 test loss 2.300981 best test_acc 0.1165
e 4 | malicious users: 2 | test acc 0.1004 test loss 2.293846 best test_acc 0.1165
e 5 | malicious users: 2 | test acc 0.1314 test loss 2.298524 best test_acc 0.1314
e 6 | malicious users: 3 | test acc 0.1622 test loss 2.294877 best test_acc 0.1622
e 7 | malicious users: 4 | test acc 0.1680 test loss 2.274847 best test_acc 0.1680
e 8 | malicious users: 5 | test acc 0.1720 test loss 2.269158 best test_acc 0.1720
e 9 | malicious users: 3 | test acc 0.1661 test loss 2.232686 best test_acc 0.1720
e 10 | malicious users: 2 | test acc 0.2227 test loss 2.272781 best test_acc 0.2227
e 11 | malicious users: 3 | test acc 0.1627 test loss 2.234035 best test_acc 0.2227
e 12 | malicious users: 1 | test acc 0.1802 test loss 2.232314 best test_acc 0.2227
e 13 | malicious users: 4 | test acc 0.1835 test loss 2.230211 best test_acc 0.2227
e 14 | malicious users: 1 | test acc 0.2100 test loss 2.117864 best test_acc 0.2227
e 15 | malicious users: 2 | test acc 0.2114 test loss 2.226685 best test_acc 0.2227
e 16 | malicious users: 1 | test acc 0.1703 test loss 2.159490 best test_acc 0.2227
e 17 | malicious users: 2 | test acc 0.1676 test loss 2.209396 best test_acc 0.2227
e 18 | malicious users: 3 | test acc 0.2320 test loss 2.121814 best test_acc 0.2320
e 19 | malicious users: 2 | test acc 0.2174 test loss 2.079675 best test_acc 0.2320
e 20 | malicious users: 1 | test acc 0.2183 test loss 2.193550 best test_acc 0.2320
e 21 | malicious users: 4 | test acc 0.2636 test loss 2.044959 best test_acc 0.2636
e 22 | malicious users: 3 | test acc 0.2341 test loss 2.141807 best test_acc 0.2636
e 23 | malicious users: 1 | test acc 0.1954 test loss 2.096603 best test_acc 0.2636
e 24 | malicious users: 3 | test acc 0.2236 test loss 2.049648 best test_acc 0.2636
e 25 | malicious users: 3 | test acc 0.2427 test loss 2.023673 best test_acc 0.2636
e 26 | malicious users: 3 | test acc 0.2545 test loss 2.010739 best test_acc 0.2636
e 27 | malicious users: 2 | test acc 0.2557 test loss 2.019509 best test_acc 0.2636
e 28 | malicious users: 4 | test acc 0.2398 test loss 2.104028 best test_acc 0.2636
e 29 | malicious users: 1 | test acc 0.2503 test loss 1.954904 best test_acc 0.2636
e 30 | malicious users: 3 | test acc 0.2342 test loss 2.030289 best test_acc 0.2636
e 31 | malicious users: 5 | test acc 0.2414 test loss 2.036000 best test_acc 0.2636
e 32 | malicious users: 5 | test acc 0.2444 test loss 2.018165 best test_acc 0.2636
e 33 | malicious users: 2 | test acc 0.2543 test loss 1.983133 best test_acc 0.2636
e 34 | malicious users: 1 | test acc 0.2789 test loss 1.944883 best test_acc 0.2789
e 35 | malicious users: 1 | test acc 0.2833 test loss 1.959795 best test_acc 0.2833
e 36 | malicious users: 2 | test acc 0.2942 test loss 1.911620 best test_acc 0.2942
e 37 | malicious users: 2 | test acc 0.2957 test loss 1.905328 best test_acc 0.2957
e 38 | malicious users: 4 | test acc 0.2979 test loss 1.899671 best test_acc 0.2979
e 39 | malicious users: 4 | test acc 0.2705 test loss 1.914905 best test_acc 0.2979
e 40 | malicious users: 1 | test acc 0.2565 test loss 1.936776 best test_acc 0.2979
e 41 | malicious users: 4 | test acc 0.2936 test loss 1.999527 best test_acc 0.2979
e 42 | malicious users: 1 | test acc 0.2837 test loss 1.892344 best test_acc 0.2979
e 43 | malicious users: 3 | test acc 0.3134 test loss 1.912229 best test_acc 0.3134
e 44 | malicious users: 0 | test acc 0.2976 test loss 1.867040 best test_acc 0.3134
e 45 | malicious users: 4 | test acc 0.3069 test loss 1.852135 best test_acc 0.3134
e 46 | malicious users: 2 | test acc 0.3102 test loss 1.874145 best test_acc 0.3134
e 47 | malicious users: 3 | test acc 0.3380 test loss 1.825835 best test_acc 0.3380
e 48 | malicious users: 3 | test acc 0.3530 test loss 1.858506 best test_acc 0.3530
e 49 | malicious users: 0 | test acc 0.3068 test loss 1.883424 best test_acc 0.3530
e 50 | malicious users: 3 | test acc 0.3409 test loss 1.857337 best test_acc 0.3530
e 51 | malicious users: 3 | test acc 0.3281 test loss 1.792108 best test_acc 0.3530
e 52 | malicious users: 0 | test acc 0.3432 test loss 1.801291 best test_acc 0.3530
e 53 | malicious users: 1 | test acc 0.3286 test loss 1.845111 best test_acc 0.3530
e 54 | malicious users: 2 | test acc 0.3425 test loss 1.806627 best test_acc 0.3530
e 55 | malicious users: 1 | test acc 0.3313 test loss 1.786030 best test_acc 0.3530
e 56 | malicious users: 1 | test acc 0.3301 test loss 1.897049 best test_acc 0.3530
e 57 | malicious users: 3 | test acc 0.3650 test loss 1.719400 best test_acc 0.3650
e 58 | malicious users: 1 | test acc 0.3031 test loss 1.901582 best test_acc 0.3650
e 59 | malicious users: 3 | test acc 0.3617 test loss 1.714251 best test_acc 0.3650
e 60 | malicious users: 3 | test acc 0.3441 test loss 1.780606 best test_acc 0.3650
e 61 | malicious users: 3 | test acc 0.3446 test loss 1.751027 best test_acc 0.3650
e 62 | malicious users: 6 | test acc 0.3550 test loss 1.810722 best test_acc 0.3650
e 63 | malicious users: 2 | test acc 0.3580 test loss 1.751818 best test_acc 0.3650
e 64 | malicious users: 1 | test acc 0.3698 test loss 1.781100 best test_acc 0.3698
e 65 | malicious users: 2 | test acc 0.3498 test loss 1.767116 best test_acc 0.3698
e 66 | malicious users: 2 | test acc 0.3764 test loss 1.739564 best test_acc 0.3764
e 67 | malicious users: 3 | test acc 0.3403 test loss 1.794338 best test_acc 0.3764
e 68 | malicious users: 2 | test acc 0.3694 test loss 1.722578 best test_acc 0.3764
e 69 | malicious users: 3 | test acc 0.3724 test loss 1.730738 best test_acc 0.3764
e 70 | malicious users: 3 | test acc 0.3728 test loss 1.722709 best test_acc 0.3764
e 71 | malicious users: 5 | test acc 0.3721 test loss 1.756244 best test_acc 0.3764
e 72 | malicious users: 2 | test acc 0.3842 test loss 1.677780 best test_acc 0.3842
e 73 | malicious users: 1 | test acc 0.3501 test loss 1.764675 best test_acc 0.3842
e 74 | malicious users: 4 | test acc 0.3786 test loss 1.680975 best test_acc 0.3842
e 75 | malicious users: 4 | test acc 0.3808 test loss 1.711370 best test_acc 0.3842
e 76 | malicious users: 5 | test acc 0.3988 test loss 1.661128 best test_acc 0.3988
e 77 | malicious users: 1 | test acc 0.3423 test loss 1.753391 best test_acc 0.3988
