#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 8 | test acc 0.0952 test loss 2.301966 best test_acc 0.0952
e 1 | malicious users: 8 | test acc 0.1231 test loss 2.300713 best test_acc 0.1231
e 2 | malicious users: 7 | test acc 0.1045 test loss 2.301444 best test_acc 0.1231
e 3 | malicious users: 6 | test acc 0.1000 test loss 2.299520 best test_acc 0.1231
e 4 | malicious users: 5 | test acc 0.1094 test loss 2.295279 best test_acc 0.1231
e 5 | malicious users: 8 | test acc 0.1723 test loss 2.290812 best test_acc 0.1723
e 6 | malicious users: 5 | test acc 0.1074 test loss 2.283453 best test_acc 0.1723
e 7 | malicious users: 10 | test acc 0.1450 test loss 2.287852 best test_acc 0.1723
e 8 | malicious users: 8 | test acc 0.1613 test loss 2.294528 best test_acc 0.1723
e 9 | malicious users: 7 | test acc 0.1834 test loss 2.245722 best test_acc 0.1834
e 10 | malicious users: 12 | test acc 0.1692 test loss 2.256207 best test_acc 0.1834
e 11 | malicious users: 8 | test acc 0.1666 test loss 2.219718 best test_acc 0.1834
e 12 | malicious users: 6 | test acc 0.1242 test loss 2.288951 best test_acc 0.1834
e 13 | malicious users: 7 | test acc 0.1855 test loss 2.192773 best test_acc 0.1855
e 14 | malicious users: 6 | test acc 0.1640 test loss 2.265739 best test_acc 0.1855
e 15 | malicious users: 6 | test acc 0.1726 test loss 2.220831 best test_acc 0.1855
e 16 | malicious users: 8 | test acc 0.1807 test loss 2.196734 best test_acc 0.1855
e 17 | malicious users: 8 | test acc 0.1694 test loss 2.283279 best test_acc 0.1855
e 18 | malicious users: 11 | test acc 0.2054 test loss 2.141835 best test_acc 0.2054
e 19 | malicious users: 8 | test acc 0.1766 test loss 2.278196 best test_acc 0.2054
e 20 | malicious users: 6 | test acc 0.2138 test loss 2.117446 best test_acc 0.2138
e 21 | malicious users: 7 | test acc 0.1848 test loss 2.244576 best test_acc 0.2138
e 22 | malicious users: 10 | test acc 0.2346 test loss 2.149391 best test_acc 0.2346
e 23 | malicious users: 8 | test acc 0.1915 test loss 2.131249 best test_acc 0.2346
e 24 | malicious users: 8 | test acc 0.2181 test loss 2.232767 best test_acc 0.2346
e 25 | malicious users: 6 | test acc 0.2265 test loss 2.094237 best test_acc 0.2346
e 26 | malicious users: 9 | test acc 0.2216 test loss 2.187773 best test_acc 0.2346
e 27 | malicious users: 4 | test acc 0.2008 test loss 2.095509 best test_acc 0.2346
e 28 | malicious users: 4 | test acc 0.2240 test loss 2.122380 best test_acc 0.2346
e 29 | malicious users: 10 | test acc 0.2273 test loss 2.080158 best test_acc 0.2346
e 30 | malicious users: 7 | test acc 0.2050 test loss 2.141291 best test_acc 0.2346
e 31 | malicious users: 10 | test acc 0.1923 test loss 2.070051 best test_acc 0.2346
e 32 | malicious users: 9 | test acc 0.2094 test loss 2.084312 best test_acc 0.2346
e 33 | malicious users: 8 | test acc 0.2177 test loss 1.990010 best test_acc 0.2346
e 34 | malicious users: 7 | test acc 0.2324 test loss 2.060317 best test_acc 0.2346
e 35 | malicious users: 9 | test acc 0.2536 test loss 2.069582 best test_acc 0.2536
e 36 | malicious users: 6 | test acc 0.2502 test loss 2.000786 best test_acc 0.2536
e 37 | malicious users: 9 | test acc 0.2147 test loss 2.057854 best test_acc 0.2536
e 38 | malicious users: 9 | test acc 0.2389 test loss 1.967313 best test_acc 0.2536
e 39 | malicious users: 11 | test acc 0.2561 test loss 1.988861 best test_acc 0.2561
e 40 | malicious users: 8 | test acc 0.2391 test loss 2.067438 best test_acc 0.2561
e 41 | malicious users: 7 | test acc 0.2571 test loss 2.066428 best test_acc 0.2571
e 42 | malicious users: 7 | test acc 0.2024 test loss 2.004718 best test_acc 0.2571
e 43 | malicious users: 7 | test acc 0.2492 test loss 2.036970 best test_acc 0.2571
e 44 | malicious users: 8 | test acc 0.2639 test loss 2.036527 best test_acc 0.2639
e 45 | malicious users: 10 | test acc 0.2414 test loss 2.024565 best test_acc 0.2639
e 46 | malicious users: 11 | test acc 0.2620 test loss 2.012178 best test_acc 0.2639
e 47 | malicious users: 6 | test acc 0.2570 test loss 2.006369 best test_acc 0.2639
e 48 | malicious users: 8 | test acc 0.2739 test loss 1.998820 best test_acc 0.2739
e 49 | malicious users: 10 | test acc 0.2180 test loss 2.108034 best test_acc 0.2739
e 50 | malicious users: 5 | test acc 0.2852 test loss 1.941443 best test_acc 0.2852
