#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 7 | test acc 0.1000 test loss 2.302942 best test_acc 0.1000
e 1 | malicious users: 9 | test acc 0.1004 test loss 2.299950 best test_acc 0.1004
e 2 | malicious users: 9 | test acc 0.1092 test loss 2.300218 best test_acc 0.1092
e 3 | malicious users: 11 | test acc 0.0997 test loss 2.302814 best test_acc 0.1092
e 4 | malicious users: 7 | test acc 0.1059 test loss 2.300565 best test_acc 0.1092
e 5 | malicious users: 12 | test acc 0.1002 test loss 2.300148 best test_acc 0.1092
e 6 | malicious users: 10 | test acc 0.1000 test loss 2.294943 best test_acc 0.1092
e 7 | malicious users: 7 | test acc 0.1686 test loss 2.287932 best test_acc 0.1686
e 8 | malicious users: 8 | test acc 0.1001 test loss 2.288709 best test_acc 0.1686
e 9 | malicious users: 7 | test acc 0.1037 test loss 2.288879 best test_acc 0.1686
e 10 | malicious users: 3 | test acc 0.1904 test loss 2.239557 best test_acc 0.1904
e 11 | malicious users: 9 | test acc 0.1302 test loss 2.299271 best test_acc 0.1904
e 12 | malicious users: 8 | test acc 0.1734 test loss 2.287461 best test_acc 0.1904
e 13 | malicious users: 7 | test acc 0.1139 test loss 2.278019 best test_acc 0.1904
e 14 | malicious users: 10 | test acc 0.1075 test loss 2.287338 best test_acc 0.1904
e 15 | malicious users: 4 | test acc 0.1694 test loss 2.291580 best test_acc 0.1904
e 16 | malicious users: 9 | test acc 0.1759 test loss 2.254605 best test_acc 0.1904
e 17 | malicious users: 10 | test acc 0.1021 test loss 2.274962 best test_acc 0.1904
e 18 | malicious users: 10 | test acc 0.1022 test loss 2.293465 best test_acc 0.1904
e 19 | malicious users: 5 | test acc 0.1757 test loss 2.240835 best test_acc 0.1904
e 20 | malicious users: 8 | test acc 0.1630 test loss 2.285101 best test_acc 0.1904
e 21 | malicious users: 8 | test acc 0.1725 test loss 2.144540 best test_acc 0.1904
e 22 | malicious users: 10 | test acc 0.1356 test loss 2.300078 best test_acc 0.1904
e 23 | malicious users: 6 | test acc 0.1646 test loss 2.290469 best test_acc 0.1904
e 24 | malicious users: 5 | test acc 0.1498 test loss 2.222282 best test_acc 0.1904
e 25 | malicious users: 6 | test acc 0.1312 test loss 2.235347 best test_acc 0.1904
e 26 | malicious users: 3 | test acc 0.2039 test loss 2.255989 best test_acc 0.2039
e 27 | malicious users: 8 | test acc 0.1558 test loss 2.139561 best test_acc 0.2039
e 28 | malicious users: 6 | test acc 0.1640 test loss 2.172904 best test_acc 0.2039
e 29 | malicious users: 8 | test acc 0.1969 test loss 2.208721 best test_acc 0.2039
e 30 | malicious users: 9 | test acc 0.2009 test loss 2.119390 best test_acc 0.2039
