#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 4 | test acc 0.0987 test loss 2.302432 best test_acc 0.0987
e 1 | malicious users: 5 | test acc 0.1000 test loss 2.301470 best test_acc 0.1000
e 2 | malicious users: 4 | test acc 0.1419 test loss 2.301384 best test_acc 0.1419
e 3 | malicious users: 2 | test acc 0.0970 test loss 2.300818 best test_acc 0.1419
e 4 | malicious users: 2 | test acc 0.1085 test loss 2.292362 best test_acc 0.1419
e 5 | malicious users: 2 | test acc 0.1831 test loss 2.290242 best test_acc 0.1831
e 6 | malicious users: 4 | test acc 0.1495 test loss 2.290068 best test_acc 0.1831
e 7 | malicious users: 3 | test acc 0.1576 test loss 2.242980 best test_acc 0.1831
e 8 | malicious users: 5 | test acc 0.1000 test loss 2.270454 best test_acc 0.1831
e 9 | malicious users: 0 | test acc 0.1511 test loss 2.286928 best test_acc 0.1831
e 10 | malicious users: 2 | test acc 0.1965 test loss 2.244631 best test_acc 0.1965
e 11 | malicious users: 3 | test acc 0.1868 test loss 2.207908 best test_acc 0.1965
e 12 | malicious users: 4 | test acc 0.2113 test loss 2.281811 best test_acc 0.2113
e 13 | malicious users: 2 | test acc 0.2072 test loss 2.181700 best test_acc 0.2113
e 14 | malicious users: 1 | test acc 0.1493 test loss 2.297011 best test_acc 0.2113
e 15 | malicious users: 5 | test acc 0.2074 test loss 2.226053 best test_acc 0.2113
e 16 | malicious users: 2 | test acc 0.2205 test loss 2.232331 best test_acc 0.2205
e 17 | malicious users: 2 | test acc 0.2065 test loss 2.209047 best test_acc 0.2205
e 18 | malicious users: 5 | test acc 0.2116 test loss 2.153351 best test_acc 0.2205
e 19 | malicious users: 3 | test acc 0.1752 test loss 2.136394 best test_acc 0.2205
e 20 | malicious users: 1 | test acc 0.2493 test loss 2.149395 best test_acc 0.2493
e 21 | malicious users: 2 | test acc 0.2059 test loss 2.162824 best test_acc 0.2493
e 22 | malicious users: 3 | test acc 0.2232 test loss 2.123267 best test_acc 0.2493
e 23 | malicious users: 3 | test acc 0.2003 test loss 2.053597 best test_acc 0.2493
e 24 | malicious users: 2 | test acc 0.2092 test loss 2.135541 best test_acc 0.2493
e 25 | malicious users: 1 | test acc 0.2185 test loss 2.093113 best test_acc 0.2493
e 26 | malicious users: 1 | test acc 0.2344 test loss 2.063520 best test_acc 0.2493
e 27 | malicious users: 2 | test acc 0.2229 test loss 2.011982 best test_acc 0.2493
e 28 | malicious users: 4 | test acc 0.2165 test loss 2.104711 best test_acc 0.2493
e 29 | malicious users: 0 | test acc 0.2593 test loss 2.023256 best test_acc 0.2593
