#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 9 | test acc 0.0998 test loss 2.301779 best test_acc 0.0998
e 1 | malicious users: 7 | test acc 0.0980 test loss 2.300833 best test_acc 0.0998
e 2 | malicious users: 8 | test acc 0.1000 test loss 2.298277 best test_acc 0.1000
e 3 | malicious users: 9 | test acc 0.1451 test loss 2.301286 best test_acc 0.1451
e 4 | malicious users: 10 | test acc 0.1000 test loss 2.289090 best test_acc 0.1451
e 5 | malicious users: 12 | test acc 0.1765 test loss 2.284364 best test_acc 0.1765
e 6 | malicious users: 7 | test acc 0.1431 test loss 2.280383 best test_acc 0.1765
e 7 | malicious users: 8 | test acc 0.1322 test loss 2.273933 best test_acc 0.1765
e 8 | malicious users: 6 | test acc 0.1079 test loss 2.273586 best test_acc 0.1765
e 9 | malicious users: 10 | test acc 0.1462 test loss 2.225846 best test_acc 0.1765
e 10 | malicious users: 7 | test acc 0.1423 test loss 2.292379 best test_acc 0.1765
e 11 | malicious users: 8 | test acc 0.2081 test loss 2.251586 best test_acc 0.2081
e 12 | malicious users: 8 | test acc 0.1658 test loss 2.231873 best test_acc 0.2081
e 13 | malicious users: 7 | test acc 0.1521 test loss 2.248145 best test_acc 0.2081
e 14 | malicious users: 11 | test acc 0.1690 test loss 2.172313 best test_acc 0.2081
e 15 | malicious users: 8 | test acc 0.2009 test loss 2.161070 best test_acc 0.2081
e 16 | malicious users: 5 | test acc 0.1928 test loss 2.199253 best test_acc 0.2081
e 17 | malicious users: 9 | test acc 0.1793 test loss 2.187219 best test_acc 0.2081
e 18 | malicious users: 3 | test acc 0.1822 test loss 2.126395 best test_acc 0.2081
e 19 | malicious users: 7 | test acc 0.1806 test loss 2.129039 best test_acc 0.2081
e 20 | malicious users: 5 | test acc 0.1723 test loss 2.061985 best test_acc 0.2081
e 21 | malicious users: 11 | test acc 0.1919 test loss 2.162066 best test_acc 0.2081
e 22 | malicious users: 7 | test acc 0.2276 test loss 2.062885 best test_acc 0.2276
e 23 | malicious users: 7 | test acc 0.2183 test loss 2.083586 best test_acc 0.2276
e 24 | malicious users: 5 | test acc 0.2142 test loss 2.063445 best test_acc 0.2276
e 25 | malicious users: 7 | test acc 0.2140 test loss 2.184233 best test_acc 0.2276
e 26 | malicious users: 11 | test acc 0.2026 test loss 2.025321 best test_acc 0.2276
e 27 | malicious users: 9 | test acc 0.2266 test loss 2.056473 best test_acc 0.2276
e 28 | malicious users: 7 | test acc 0.2126 test loss 2.024119 best test_acc 0.2276
e 29 | malicious users: 10 | test acc 0.1926 test loss 2.021962 best test_acc 0.2276
e 30 | malicious users: 8 | test acc 0.1830 test loss 2.062912 best test_acc 0.2276
e 31 | malicious users: 4 | test acc 0.2043 test loss 1.993467 best test_acc 0.2276
e 32 | malicious users: 4 | test acc 0.1696 test loss 2.049831 best test_acc 0.2276
e 33 | malicious users: 8 | test acc 0.2178 test loss 2.004717 best test_acc 0.2276
e 34 | malicious users: 6 | test acc 0.2260 test loss 1.989422 best test_acc 0.2276
e 35 | malicious users: 5 | test acc 0.2269 test loss 2.031346 best test_acc 0.2276
e 36 | malicious users: 12 | test acc 0.1992 test loss 2.015876 best test_acc 0.2276
e 37 | malicious users: 10 | test acc 0.2308 test loss 1.993767 best test_acc 0.2308
e 38 | malicious users: 5 | test acc 0.2226 test loss 1.972564 best test_acc 0.2308
e 39 | malicious users: 8 | test acc 0.2326 test loss 1.932898 best test_acc 0.2326
e 40 | malicious users: 12 | test acc 0.1931 test loss 1.992812 best test_acc 0.2326
e 41 | malicious users: 8 | test acc 0.2200 test loss 1.961921 best test_acc 0.2326
e 42 | malicious users: 7 | test acc 0.2432 test loss 1.956163 best test_acc 0.2432
e 43 | malicious users: 7 | test acc 0.2375 test loss 1.937417 best test_acc 0.2432
e 44 | malicious users: 11 | test acc 0.2857 test loss 1.938256 best test_acc 0.2857
e 45 | malicious users: 11 | test acc 0.2581 test loss 1.948115 best test_acc 0.2857
e 46 | malicious users: 9 | test acc 0.2184 test loss 1.947813 best test_acc 0.2857
e 47 | malicious users: 4 | test acc 0.2782 test loss 1.898157 best test_acc 0.2857
e 48 | malicious users: 8 | test acc 0.2439 test loss 1.960848 best test_acc 0.2857
e 49 | malicious users: 11 | test acc 0.2472 test loss 1.906660 best test_acc 0.2857
e 50 | malicious users: 8 | test acc 0.2638 test loss 1.951502 best test_acc 0.2857
e 51 | malicious users: 8 | test acc 0.2201 test loss 1.967667 best test_acc 0.2857
e 52 | malicious users: 9 | test acc 0.2515 test loss 1.958288 best test_acc 0.2857
e 53 | malicious users: 8 | test acc 0.2741 test loss 1.909099 best test_acc 0.2857
e 54 | malicious users: 8 | test acc 0.2477 test loss 1.889503 best test_acc 0.2857
e 55 | malicious users: 7 | test acc 0.2188 test loss 1.915425 best test_acc 0.2857
e 56 | malicious users: 5 | test acc 0.2776 test loss 1.906625 best test_acc 0.2857
e 57 | malicious users: 8 | test acc 0.2805 test loss 1.910919 best test_acc 0.2857
e 58 | malicious users: 4 | test acc 0.2322 test loss 1.973727 best test_acc 0.2857
e 59 | malicious users: 6 | test acc 0.2663 test loss 1.869694 best test_acc 0.2857
e 60 | malicious users: 5 | test acc 0.3117 test loss 1.866653 best test_acc 0.3117
e 61 | malicious users: 6 | test acc 0.3007 test loss 1.866917 best test_acc 0.3117
e 62 | malicious users: 6 | test acc 0.3174 test loss 1.861936 best test_acc 0.3174
e 63 | malicious users: 8 | test acc 0.2815 test loss 1.926295 best test_acc 0.3174
e 64 | malicious users: 8 | test acc 0.3460 test loss 1.823239 best test_acc 0.3460
e 65 | malicious users: 6 | test acc 0.3143 test loss 1.853428 best test_acc 0.3460
e 66 | malicious users: 8 | test acc 0.2858 test loss 1.944661 best test_acc 0.3460
e 67 | malicious users: 9 | test acc 0.2728 test loss 1.852970 best test_acc 0.3460
e 68 | malicious users: 9 | test acc 0.2726 test loss 1.819498 best test_acc 0.3460
e 69 | malicious users: 9 | test acc 0.2697 test loss 1.907960 best test_acc 0.3460
e 70 | malicious users: 4 | test acc 0.3022 test loss 1.835177 best test_acc 0.3460
e 71 | malicious users: 3 | test acc 0.3094 test loss 1.834268 best test_acc 0.3460
e 72 | malicious users: 5 | test acc 0.3567 test loss 1.787606 best test_acc 0.3567
e 73 | malicious users: 9 | test acc 0.3093 test loss 1.819306 best test_acc 0.3567
e 74 | malicious users: 8 | test acc 0.2552 test loss 1.883540 best test_acc 0.3567
e 75 | malicious users: 12 | test acc 0.2671 test loss 1.853476 best test_acc 0.3567
e 76 | malicious users: 12 | test acc 0.2751 test loss 1.829513 best test_acc 0.3567
e 77 | malicious users: 7 | test acc 0.3155 test loss 1.856442 best test_acc 0.3567
e 78 | malicious users: 8 | test acc 0.2879 test loss 1.884277 best test_acc 0.3567
e 79 | malicious users: 9 | test acc 0.3029 test loss 1.798477 best test_acc 0.3567
e 80 | malicious users: 6 | test acc 0.3229 test loss 1.822918 best test_acc 0.3567
e 81 | malicious users: 7 | test acc 0.3547 test loss 1.739096 best test_acc 0.3567
e 82 | malicious users: 6 | test acc 0.3019 test loss 1.851556 best test_acc 0.3567
e 83 | malicious users: 4 | test acc 0.3505 test loss 1.776888 best test_acc 0.3567
e 84 | malicious users: 7 | test acc 0.3187 test loss 1.775439 best test_acc 0.3567
e 85 | malicious users: 9 | test acc 0.3054 test loss 1.828932 best test_acc 0.3567
e 86 | malicious users: 9 | test acc 0.3494 test loss 1.727344 best test_acc 0.3567
e 87 | malicious users: 11 | test acc 0.2693 test loss 1.880463 best test_acc 0.3567
e 88 | malicious users: 8 | test acc 0.3629 test loss 1.747888 best test_acc 0.3629
e 89 | malicious users: 6 | test acc 0.3456 test loss 1.733909 best test_acc 0.3629
e 90 | malicious users: 12 | test acc 0.3305 test loss 1.818297 best test_acc 0.3629
e 91 | malicious users: 7 | test acc 0.3278 test loss 1.763555 best test_acc 0.3629
e 92 | malicious users: 7 | test acc 0.3435 test loss 1.759042 best test_acc 0.3629
e 93 | malicious users: 10 | test acc 0.3428 test loss 1.739269 best test_acc 0.3629
e 94 | malicious users: 3 | test acc 0.3662 test loss 1.742866 best test_acc 0.3662
e 95 | malicious users: 7 | test acc 0.3213 test loss 1.803743 best test_acc 0.3662
e 96 | malicious users: 5 | test acc 0.3570 test loss 1.745111 best test_acc 0.3662
e 97 | malicious users: 6 | test acc 0.3406 test loss 1.711674 best test_acc 0.3662
e 98 | malicious users: 7 | test acc 0.3118 test loss 1.773311 best test_acc 0.3662
e 99 | malicious users: 8 | test acc 0.3728 test loss 1.728567 best test_acc 0.3728
e 100 | malicious users: 6 | test acc 0.3601 test loss 1.720455 best test_acc 0.3728
e 101 | malicious users: 7 | test acc 0.3863 test loss 1.708495 best test_acc 0.3863
e 102 | malicious users: 9 | test acc 0.3501 test loss 1.752967 best test_acc 0.3863
