#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 9 | test acc 0.1368 test loss 2.302304 best test_acc 0.1368
e 1 | malicious users: 5 | test acc 0.1029 test loss 2.301621 best test_acc 0.1368
e 2 | malicious users: 11 | test acc 0.1004 test loss 2.299422 best test_acc 0.1368
e 3 | malicious users: 9 | test acc 0.1000 test loss 2.289126 best test_acc 0.1368
e 4 | malicious users: 9 | test acc 0.1117 test loss 2.301168 best test_acc 0.1368
e 5 | malicious users: 8 | test acc 0.1001 test loss 2.301214 best test_acc 0.1368
e 6 | malicious users: 7 | test acc 0.1000 test loss 2.298096 best test_acc 0.1368
e 7 | malicious users: 8 | test acc 0.1327 test loss 2.282143 best test_acc 0.1368
e 8 | malicious users: 8 | test acc 0.1650 test loss 2.290483 best test_acc 0.1650
e 9 | malicious users: 5 | test acc 0.1801 test loss 2.196229 best test_acc 0.1801
e 10 | malicious users: 7 | test acc 0.1000 test loss 2.301295 best test_acc 0.1801
e 11 | malicious users: 5 | test acc 0.1000 test loss 2.299102 best test_acc 0.1801
e 12 | malicious users: 4 | test acc 0.1128 test loss 2.284381 best test_acc 0.1801
e 13 | malicious users: 9 | test acc 0.1560 test loss 2.278299 best test_acc 0.1801
e 14 | malicious users: 7 | test acc 0.1881 test loss 2.220964 best test_acc 0.1881
e 15 | malicious users: 7 | test acc 0.1481 test loss 2.280902 best test_acc 0.1881
e 16 | malicious users: 7 | test acc 0.1778 test loss 2.177648 best test_acc 0.1881
e 17 | malicious users: 5 | test acc 0.1835 test loss 2.289878 best test_acc 0.1881
e 18 | malicious users: 8 | test acc 0.1658 test loss 2.215189 best test_acc 0.1881
e 19 | malicious users: 8 | test acc 0.1502 test loss 2.197392 best test_acc 0.1881
e 20 | malicious users: 5 | test acc 0.1794 test loss 2.271438 best test_acc 0.1881
e 21 | malicious users: 8 | test acc 0.2163 test loss 2.232197 best test_acc 0.2163
e 22 | malicious users: 7 | test acc 0.2130 test loss 2.163253 best test_acc 0.2163
e 23 | malicious users: 10 | test acc 0.1579 test loss 2.243647 best test_acc 0.2163
e 24 | malicious users: 7 | test acc 0.2137 test loss 2.160816 best test_acc 0.2163
e 25 | malicious users: 7 | test acc 0.2316 test loss 2.143400 best test_acc 0.2316
e 26 | malicious users: 7 | test acc 0.2057 test loss 2.144732 best test_acc 0.2316
e 27 | malicious users: 8 | test acc 0.2255 test loss 2.116944 best test_acc 0.2316
e 28 | malicious users: 8 | test acc 0.2405 test loss 2.117004 best test_acc 0.2405
e 29 | malicious users: 10 | test acc 0.2088 test loss 2.170094 best test_acc 0.2405
e 30 | malicious users: 7 | test acc 0.2025 test loss 2.196998 best test_acc 0.2405
e 31 | malicious users: 8 | test acc 0.2187 test loss 2.042619 best test_acc 0.2405
e 32 | malicious users: 7 | test acc 0.2156 test loss 2.117661 best test_acc 0.2405
e 33 | malicious users: 10 | test acc 0.2135 test loss 2.045762 best test_acc 0.2405
e 34 | malicious users: 6 | test acc 0.2255 test loss 2.005636 best test_acc 0.2405
e 35 | malicious users: 10 | test acc 0.1806 test loss 2.055900 best test_acc 0.2405
e 36 | malicious users: 6 | test acc 0.2232 test loss 2.007188 best test_acc 0.2405
e 37 | malicious users: 11 | test acc 0.2186 test loss 2.069788 best test_acc 0.2405
e 38 | malicious users: 8 | test acc 0.2458 test loss 1.968552 best test_acc 0.2458
e 39 | malicious users: 8 | test acc 0.2549 test loss 2.020782 best test_acc 0.2549
e 40 | malicious users: 10 | test acc 0.2467 test loss 1.970583 best test_acc 0.2549
e 41 | malicious users: 8 | test acc 0.2456 test loss 2.010231 best test_acc 0.2549
e 42 | malicious users: 9 | test acc 0.2659 test loss 1.977580 best test_acc 0.2659
e 43 | malicious users: 8 | test acc 0.2531 test loss 2.032163 best test_acc 0.2659
e 44 | malicious users: 8 | test acc 0.2498 test loss 1.971031 best test_acc 0.2659
e 45 | malicious users: 8 | test acc 0.2392 test loss 2.007151 best test_acc 0.2659
e 46 | malicious users: 7 | test acc 0.2743 test loss 1.998093 best test_acc 0.2743
e 47 | malicious users: 8 | test acc 0.2570 test loss 1.986841 best test_acc 0.2743
e 48 | malicious users: 8 | test acc 0.2744 test loss 1.952109 best test_acc 0.2744
e 49 | malicious users: 7 | test acc 0.2850 test loss 1.908810 best test_acc 0.2850
e 50 | malicious users: 7 | test acc 0.2545 test loss 1.935066 best test_acc 0.2850
e 51 | malicious users: 9 | test acc 0.2541 test loss 1.937027 best test_acc 0.2850
e 52 | malicious users: 8 | test acc 0.2688 test loss 1.938244 best test_acc 0.2850
e 53 | malicious users: 9 | test acc 0.2658 test loss 1.918262 best test_acc 0.2850
e 54 | malicious users: 9 | test acc 0.2820 test loss 1.909485 best test_acc 0.2850
e 55 | malicious users: 11 | test acc 0.2962 test loss 1.925346 best test_acc 0.2962
e 56 | malicious users: 9 | test acc 0.2682 test loss 1.942403 best test_acc 0.2962
e 57 | malicious users: 3 | test acc 0.2503 test loss 1.903511 best test_acc 0.2962
e 58 | malicious users: 10 | test acc 0.2912 test loss 1.987366 best test_acc 0.2962
e 59 | malicious users: 7 | test acc 0.2965 test loss 1.908722 best test_acc 0.2965
e 60 | malicious users: 8 | test acc 0.3052 test loss 1.878624 best test_acc 0.3052
e 61 | malicious users: 6 | test acc 0.3094 test loss 1.899123 best test_acc 0.3094
e 62 | malicious users: 11 | test acc 0.3132 test loss 1.814935 best test_acc 0.3132
e 63 | malicious users: 10 | test acc 0.3152 test loss 1.922666 best test_acc 0.3152
e 64 | malicious users: 5 | test acc 0.3293 test loss 1.842674 best test_acc 0.3293
e 65 | malicious users: 10 | test acc 0.3214 test loss 1.876434 best test_acc 0.3293
e 66 | malicious users: 4 | test acc 0.2941 test loss 1.917724 best test_acc 0.3293
e 67 | malicious users: 8 | test acc 0.3125 test loss 1.820100 best test_acc 0.3293
e 68 | malicious users: 7 | test acc 0.2912 test loss 1.896360 best test_acc 0.3293
e 69 | malicious users: 9 | test acc 0.3238 test loss 1.809124 best test_acc 0.3293
e 70 | malicious users: 9 | test acc 0.3163 test loss 1.886969 best test_acc 0.3293
e 71 | malicious users: 8 | test acc 0.3227 test loss 1.854044 best test_acc 0.3293
e 72 | malicious users: 7 | test acc 0.3054 test loss 1.859227 best test_acc 0.3293
e 73 | malicious users: 10 | test acc 0.3163 test loss 1.811543 best test_acc 0.3293
e 74 | malicious users: 8 | test acc 0.3537 test loss 1.834787 best test_acc 0.3537
e 75 | malicious users: 8 | test acc 0.3436 test loss 1.803149 best test_acc 0.3537
e 76 | malicious users: 8 | test acc 0.3517 test loss 1.744138 best test_acc 0.3537
e 77 | malicious users: 6 | test acc 0.3276 test loss 1.762762 best test_acc 0.3537
e 78 | malicious users: 8 | test acc 0.3312 test loss 1.839180 best test_acc 0.3537
e 79 | malicious users: 7 | test acc 0.3416 test loss 1.819077 best test_acc 0.3537
e 80 | malicious users: 5 | test acc 0.3349 test loss 1.837350 best test_acc 0.3537
e 81 | malicious users: 5 | test acc 0.3350 test loss 1.841281 best test_acc 0.3537
e 82 | malicious users: 7 | test acc 0.3752 test loss 1.720716 best test_acc 0.3752
e 83 | malicious users: 6 | test acc 0.3322 test loss 1.764781 best test_acc 0.3752
e 84 | malicious users: 8 | test acc 0.3378 test loss 1.789792 best test_acc 0.3752
e 85 | malicious users: 7 | test acc 0.3619 test loss 1.717959 best test_acc 0.3752
e 86 | malicious users: 10 | test acc 0.3587 test loss 1.761303 best test_acc 0.3752
e 87 | malicious users: 10 | test acc 0.3662 test loss 1.739113 best test_acc 0.3752
e 88 | malicious users: 8 | test acc 0.3574 test loss 1.730437 best test_acc 0.3752
e 89 | malicious users: 7 | test acc 0.3585 test loss 1.718781 best test_acc 0.3752
e 90 | malicious users: 7 | test acc 0.3692 test loss 1.731936 best test_acc 0.3752
e 91 | malicious users: 4 | test acc 0.3608 test loss 1.735502 best test_acc 0.3752
e 92 | malicious users: 6 | test acc 0.3580 test loss 1.760236 best test_acc 0.3752
e 93 | malicious users: 6 | test acc 0.3798 test loss 1.727202 best test_acc 0.3798
e 94 | malicious users: 9 | test acc 0.3836 test loss 1.732828 best test_acc 0.3836
e 95 | malicious users: 4 | test acc 0.3991 test loss 1.652575 best test_acc 0.3991
e 96 | malicious users: 8 | test acc 0.3724 test loss 1.774365 best test_acc 0.3991
e 97 | malicious users: 9 | test acc 0.3831 test loss 1.691772 best test_acc 0.3991
e 98 | malicious users: 11 | test acc 0.3755 test loss 1.682641 best test_acc 0.3991
e 99 | malicious users: 9 | test acc 0.3732 test loss 1.711128 best test_acc 0.3991
e 100 | malicious users: 12 | test acc 0.3409 test loss 1.810688 best test_acc 0.3991
e 101 | malicious users: 5 | test acc 0.3828 test loss 1.667302 best test_acc 0.3991
e 102 | malicious users: 7 | test acc 0.3678 test loss 1.723802 best test_acc 0.3991
e 103 | malicious users: 8 | test acc 0.3759 test loss 1.687168 best test_acc 0.3991
e 104 | malicious users: 5 | test acc 0.3707 test loss 1.822149 best test_acc 0.3991
e 105 | malicious users: 9 | test acc 0.3644 test loss 1.729953 best test_acc 0.3991
e 106 | malicious users: 6 | test acc 0.3799 test loss 1.672991 best test_acc 0.3991
e 107 | malicious users: 11 | test acc 0.3886 test loss 1.654294 best test_acc 0.3991
e 108 | malicious users: 9 | test acc 0.3901 test loss 1.640708 best test_acc 0.3991
e 109 | malicious users: 5 | test acc 0.3715 test loss 1.672098 best test_acc 0.3991
e 110 | malicious users: 8 | test acc 0.3808 test loss 1.675364 best test_acc 0.3991
e 111 | malicious users: 4 | test acc 0.3699 test loss 1.715068 best test_acc 0.3991
e 112 | malicious users: 7 | test acc 0.4153 test loss 1.637866 best test_acc 0.4153
e 113 | malicious users: 9 | test acc 0.3868 test loss 1.670163 best test_acc 0.4153
e 114 | malicious users: 9 | test acc 0.4057 test loss 1.687317 best test_acc 0.4153
e 115 | malicious users: 10 | test acc 0.3986 test loss 1.634762 best test_acc 0.4153
e 116 | malicious users: 7 | test acc 0.3920 test loss 1.683161 best test_acc 0.4153
e 117 | malicious users: 9 | test acc 0.4057 test loss 1.610643 best test_acc 0.4153
e 118 | malicious users: 6 | test acc 0.3640 test loss 1.713277 best test_acc 0.4153
e 119 | malicious users: 9 | test acc 0.3632 test loss 1.697209 best test_acc 0.4153
e 120 | malicious users: 9 | test acc 0.4294 test loss 1.616143 best test_acc 0.4294
e 121 | malicious users: 7 | test acc 0.4117 test loss 1.638935 best test_acc 0.4294
e 122 | malicious users: 5 | test acc 0.4207 test loss 1.617247 best test_acc 0.4294
e 123 | malicious users: 6 | test acc 0.4138 test loss 1.609716 best test_acc 0.4294
e 124 | malicious users: 5 | test acc 0.3820 test loss 1.653838 best test_acc 0.4294
e 125 | malicious users: 3 | test acc 0.4210 test loss 1.628344 best test_acc 0.4294
e 126 | malicious users: 1 | test acc 0.4076 test loss 1.615159 best test_acc 0.4294
e 127 | malicious users: 10 | test acc 0.3832 test loss 1.658990 best test_acc 0.4294
e 128 | malicious users: 6 | test acc 0.4136 test loss 1.618254 best test_acc 0.4294
e 129 | malicious users: 8 | test acc 0.4145 test loss 1.626848 best test_acc 0.4294
e 130 | malicious users: 6 | test acc 0.4327 test loss 1.622948 best test_acc 0.4327
e 131 | malicious users: 9 | test acc 0.4133 test loss 1.599080 best test_acc 0.4327
e 132 | malicious users: 4 | test acc 0.4332 test loss 1.539611 best test_acc 0.4332
e 133 | malicious users: 6 | test acc 0.4208 test loss 1.577293 best test_acc 0.4332
e 134 | malicious users: 10 | test acc 0.4314 test loss 1.605251 best test_acc 0.4332
e 135 | malicious users: 9 | test acc 0.4130 test loss 1.592678 best test_acc 0.4332
e 136 | malicious users: 4 | test acc 0.4234 test loss 1.563034 best test_acc 0.4332
e 137 | malicious users: 12 | test acc 0.4234 test loss 1.562542 best test_acc 0.4332
e 138 | malicious users: 9 | test acc 0.4125 test loss 1.603807 best test_acc 0.4332
e 139 | malicious users: 8 | test acc 0.4268 test loss 1.548165 best test_acc 0.4332
e 140 | malicious users: 8 | test acc 0.4100 test loss 1.611493 best test_acc 0.4332
e 141 | malicious users: 8 | test acc 0.4382 test loss 1.559422 best test_acc 0.4382
e 142 | malicious users: 7 | test acc 0.4385 test loss 1.524558 best test_acc 0.4385
e 143 | malicious users: 9 | test acc 0.4217 test loss 1.540746 best test_acc 0.4385
e 144 | malicious users: 4 | test acc 0.4111 test loss 1.575829 best test_acc 0.4385
e 145 | malicious users: 7 | test acc 0.4342 test loss 1.572533 best test_acc 0.4385
e 146 | malicious users: 10 | test acc 0.4287 test loss 1.564069 best test_acc 0.4385
e 147 | malicious users: 8 | test acc 0.4170 test loss 1.606562 best test_acc 0.4385
e 148 | malicious users: 7 | test acc 0.4385 test loss 1.551036 best test_acc 0.4385
e 149 | malicious users: 10 | test acc 0.4056 test loss 1.577924 best test_acc 0.4385
e 150 | malicious users: 8 | test acc 0.4158 test loss 1.578649 best test_acc 0.4385
e 151 | malicious users: 3 | test acc 0.4332 test loss 1.531070 best test_acc 0.4385
e 152 | malicious users: 5 | test acc 0.4426 test loss 1.533403 best test_acc 0.4426
e 153 | malicious users: 8 | test acc 0.4324 test loss 1.525347 best test_acc 0.4426
e 154 | malicious users: 5 | test acc 0.4581 test loss 1.531766 best test_acc 0.4581
e 155 | malicious users: 6 | test acc 0.4352 test loss 1.518516 best test_acc 0.4581
e 156 | malicious users: 8 | test acc 0.4608 test loss 1.473654 best test_acc 0.4608
e 157 | malicious users: 2 | test acc 0.4269 test loss 1.547071 best test_acc 0.4608
e 158 | malicious users: 9 | test acc 0.4631 test loss 1.487835 best test_acc 0.4631
e 159 | malicious users: 5 | test acc 0.4504 test loss 1.492350 best test_acc 0.4631
e 160 | malicious users: 9 | test acc 0.4505 test loss 1.550985 best test_acc 0.4631
e 161 | malicious users: 4 | test acc 0.4651 test loss 1.468564 best test_acc 0.4651
e 162 | malicious users: 6 | test acc 0.4418 test loss 1.572972 best test_acc 0.4651
e 163 | malicious users: 8 | test acc 0.4517 test loss 1.479779 best test_acc 0.4651
e 164 | malicious users: 9 | test acc 0.4354 test loss 1.599298 best test_acc 0.4651
e 165 | malicious users: 6 | test acc 0.4360 test loss 1.534682 best test_acc 0.4651
e 166 | malicious users: 5 | test acc 0.4623 test loss 1.505349 best test_acc 0.4651
e 167 | malicious users: 7 | test acc 0.4564 test loss 1.514750 best test_acc 0.4651
e 168 | malicious users: 6 | test acc 0.4549 test loss 1.469538 best test_acc 0.4651
e 169 | malicious users: 6 | test acc 0.4605 test loss 1.516234 best test_acc 0.4651
e 170 | malicious users: 7 | test acc 0.4365 test loss 1.516746 best test_acc 0.4651
e 171 | malicious users: 6 | test acc 0.4503 test loss 1.469166 best test_acc 0.4651
e 172 | malicious users: 5 | test acc 0.4613 test loss 1.501601 best test_acc 0.4651
e 173 | malicious users: 8 | test acc 0.4665 test loss 1.481320 best test_acc 0.4665
e 174 | malicious users: 12 | test acc 0.4706 test loss 1.448218 best test_acc 0.4706
e 175 | malicious users: 8 | test acc 0.4589 test loss 1.514946 best test_acc 0.4706
e 176 | malicious users: 6 | test acc 0.4525 test loss 1.475885 best test_acc 0.4706
e 177 | malicious users: 7 | test acc 0.4676 test loss 1.495208 best test_acc 0.4706
e 178 | malicious users: 9 | test acc 0.4444 test loss 1.589361 best test_acc 0.4706
e 179 | malicious users: 10 | test acc 0.4943 test loss 1.408364 best test_acc 0.4943
e 180 | malicious users: 10 | test acc 0.4630 test loss 1.527357 best test_acc 0.4943
e 181 | malicious users: 7 | test acc 0.4573 test loss 1.478984 best test_acc 0.4943
e 182 | malicious users: 11 | test acc 0.4390 test loss 1.495923 best test_acc 0.4943
e 183 | malicious users: 6 | test acc 0.4483 test loss 1.498987 best test_acc 0.4943
e 184 | malicious users: 9 | test acc 0.4416 test loss 1.572807 best test_acc 0.4943
e 185 | malicious users: 11 | test acc 0.4634 test loss 1.459877 best test_acc 0.4943
e 186 | malicious users: 7 | test acc 0.4538 test loss 1.517047 best test_acc 0.4943
e 187 | malicious users: 6 | test acc 0.4880 test loss 1.419750 best test_acc 0.4943
e 188 | malicious users: 7 | test acc 0.4506 test loss 1.505464 best test_acc 0.4943
e 189 | malicious users: 5 | test acc 0.4838 test loss 1.407731 best test_acc 0.4943
e 190 | malicious users: 9 | test acc 0.4607 test loss 1.477156 best test_acc 0.4943
e 191 | malicious users: 7 | test acc 0.4564 test loss 1.463943 best test_acc 0.4943
e 192 | malicious users: 7 | test acc 0.4795 test loss 1.410427 best test_acc 0.4943
e 193 | malicious users: 10 | test acc 0.4571 test loss 1.456106 best test_acc 0.4943
