#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 8 | test acc 0.0977 test loss 2.303312 best test_acc 0.0977
e 1 | malicious users: 7 | test acc 0.1238 test loss 2.300465 best test_acc 0.1238
e 2 | malicious users: 12 | test acc 0.1175 test loss 2.298952 best test_acc 0.1238
e 3 | malicious users: 6 | test acc 0.1526 test loss 2.295208 best test_acc 0.1526
e 4 | malicious users: 7 | test acc 0.1001 test loss 2.263518 best test_acc 0.1526
e 5 | malicious users: 6 | test acc 0.1466 test loss 2.282855 best test_acc 0.1526
e 6 | malicious users: 10 | test acc 0.1953 test loss 2.273331 best test_acc 0.1953
e 7 | malicious users: 7 | test acc 0.1407 test loss 2.270864 best test_acc 0.1953
e 8 | malicious users: 1 | test acc 0.2059 test loss 2.178705 best test_acc 0.2059
e 9 | malicious users: 9 | test acc 0.1439 test loss 2.264556 best test_acc 0.2059
e 10 | malicious users: 7 | test acc 0.1991 test loss 2.247358 best test_acc 0.2059
e 11 | malicious users: 2 | test acc 0.1468 test loss 2.229036 best test_acc 0.2059
e 12 | malicious users: 6 | test acc 0.1562 test loss 2.225090 best test_acc 0.2059
e 13 | malicious users: 4 | test acc 0.1485 test loss 2.221271 best test_acc 0.2059
e 14 | malicious users: 6 | test acc 0.2239 test loss 2.164118 best test_acc 0.2239
e 15 | malicious users: 6 | test acc 0.2084 test loss 2.254675 best test_acc 0.2239
e 16 | malicious users: 6 | test acc 0.2225 test loss 2.082170 best test_acc 0.2239
e 17 | malicious users: 11 | test acc 0.1914 test loss 2.129434 best test_acc 0.2239
e 18 | malicious users: 8 | test acc 0.2043 test loss 2.168228 best test_acc 0.2239
e 19 | malicious users: 6 | test acc 0.2273 test loss 2.120424 best test_acc 0.2273
e 20 | malicious users: 9 | test acc 0.2104 test loss 2.095660 best test_acc 0.2273
e 21 | malicious users: 4 | test acc 0.2369 test loss 2.089754 best test_acc 0.2369
e 22 | malicious users: 10 | test acc 0.1986 test loss 2.149071 best test_acc 0.2369
e 23 | malicious users: 7 | test acc 0.2174 test loss 2.113338 best test_acc 0.2369
e 24 | malicious users: 7 | test acc 0.2304 test loss 2.067247 best test_acc 0.2369
e 25 | malicious users: 8 | test acc 0.2885 test loss 2.054859 best test_acc 0.2885
e 26 | malicious users: 4 | test acc 0.2453 test loss 2.049392 best test_acc 0.2885
e 27 | malicious users: 9 | test acc 0.2392 test loss 2.068531 best test_acc 0.2885
e 28 | malicious users: 6 | test acc 0.2546 test loss 2.018558 best test_acc 0.2885
e 29 | malicious users: 7 | test acc 0.2633 test loss 2.051844 best test_acc 0.2885
