#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 6 | test acc 0.0999 test loss 2.302756 best test_acc 0.0999
e 1 | malicious users: 9 | test acc 0.1043 test loss 2.302047 best test_acc 0.1043
e 2 | malicious users: 6 | test acc 0.1043 test loss 2.300060 best test_acc 0.1043
e 3 | malicious users: 4 | test acc 0.1616 test loss 2.298918 best test_acc 0.1616
e 4 | malicious users: 10 | test acc 0.1055 test loss 2.301570 best test_acc 0.1616
e 5 | malicious users: 7 | test acc 0.1116 test loss 2.296474 best test_acc 0.1616
e 6 | malicious users: 11 | test acc 0.1902 test loss 2.280930 best test_acc 0.1902
e 7 | malicious users: 6 | test acc 0.1860 test loss 2.267237 best test_acc 0.1902
e 8 | malicious users: 9 | test acc 0.1319 test loss 2.292340 best test_acc 0.1902
e 9 | malicious users: 7 | test acc 0.1875 test loss 2.263087 best test_acc 0.1902
e 10 | malicious users: 7 | test acc 0.1824 test loss 2.216347 best test_acc 0.1902
e 11 | malicious users: 7 | test acc 0.1179 test loss 2.287014 best test_acc 0.1902
e 12 | malicious users: 7 | test acc 0.1897 test loss 2.248500 best test_acc 0.1902
e 13 | malicious users: 8 | test acc 0.1650 test loss 2.248730 best test_acc 0.1902
e 14 | malicious users: 5 | test acc 0.1938 test loss 2.204261 best test_acc 0.1938
e 15 | malicious users: 7 | test acc 0.1756 test loss 2.231543 best test_acc 0.1938
e 16 | malicious users: 11 | test acc 0.2367 test loss 2.235373 best test_acc 0.2367
e 17 | malicious users: 6 | test acc 0.1712 test loss 2.172758 best test_acc 0.2367
e 18 | malicious users: 9 | test acc 0.2319 test loss 2.163394 best test_acc 0.2367
e 19 | malicious users: 9 | test acc 0.2019 test loss 2.186742 best test_acc 0.2367
e 20 | malicious users: 9 | test acc 0.2094 test loss 2.217472 best test_acc 0.2367
e 21 | malicious users: 12 | test acc 0.1832 test loss 2.190332 best test_acc 0.2367
e 22 | malicious users: 4 | test acc 0.2050 test loss 2.149649 best test_acc 0.2367
e 23 | malicious users: 4 | test acc 0.2360 test loss 2.068334 best test_acc 0.2367
e 24 | malicious users: 7 | test acc 0.1770 test loss 2.219573 best test_acc 0.2367
e 25 | malicious users: 5 | test acc 0.2301 test loss 2.194692 best test_acc 0.2367
e 26 | malicious users: 9 | test acc 0.2339 test loss 2.125904 best test_acc 0.2367
e 27 | malicious users: 6 | test acc 0.2316 test loss 2.189767 best test_acc 0.2367
e 28 | malicious users: 7 | test acc 0.2318 test loss 2.081245 best test_acc 0.2367
e 29 | malicious users: 10 | test acc 0.2611 test loss 2.076020 best test_acc 0.2611
e 30 | malicious users: 10 | test acc 0.2444 test loss 2.114615 best test_acc 0.2611
e 31 | malicious users: 12 | test acc 0.2403 test loss 2.151647 best test_acc 0.2611
e 32 | malicious users: 9 | test acc 0.2283 test loss 2.047162 best test_acc 0.2611
e 33 | malicious users: 9 | test acc 0.2541 test loss 2.055351 best test_acc 0.2611
e 34 | malicious users: 4 | test acc 0.2498 test loss 2.067568 best test_acc 0.2611
e 35 | malicious users: 12 | test acc 0.2493 test loss 2.108140 best test_acc 0.2611
e 36 | malicious users: 7 | test acc 0.2484 test loss 2.059546 best test_acc 0.2611
e 37 | malicious users: 8 | test acc 0.2503 test loss 2.041101 best test_acc 0.2611
e 38 | malicious users: 8 | test acc 0.2458 test loss 2.048936 best test_acc 0.2611
e 39 | malicious users: 7 | test acc 0.2689 test loss 1.964458 best test_acc 0.2689
e 40 | malicious users: 8 | test acc 0.2878 test loss 1.958667 best test_acc 0.2878
e 41 | malicious users: 5 | test acc 0.2770 test loss 2.043917 best test_acc 0.2878
e 42 | malicious users: 11 | test acc 0.2349 test loss 2.040514 best test_acc 0.2878
e 43 | malicious users: 6 | test acc 0.2884 test loss 1.962794 best test_acc 0.2884
e 44 | malicious users: 6 | test acc 0.2754 test loss 2.084729 best test_acc 0.2884
e 45 | malicious users: 7 | test acc 0.2721 test loss 1.965975 best test_acc 0.2884
e 46 | malicious users: 10 | test acc 0.2680 test loss 2.034450 best test_acc 0.2884
e 47 | malicious users: 10 | test acc 0.2450 test loss 1.986649 best test_acc 0.2884
e 48 | malicious users: 10 | test acc 0.2807 test loss 1.994511 best test_acc 0.2884
e 49 | malicious users: 9 | test acc 0.3074 test loss 1.930718 best test_acc 0.3074
e 50 | malicious users: 10 | test acc 0.2842 test loss 2.099833 best test_acc 0.3074
e 51 | malicious users: 6 | test acc 0.3006 test loss 1.922812 best test_acc 0.3074
e 52 | malicious users: 8 | test acc 0.2306 test loss 2.101957 best test_acc 0.3074
e 53 | malicious users: 7 | test acc 0.3064 test loss 1.885345 best test_acc 0.3074
e 54 | malicious users: 8 | test acc 0.2789 test loss 1.912572 best test_acc 0.3074
e 55 | malicious users: 11 | test acc 0.2576 test loss 2.044580 best test_acc 0.3074
e 56 | malicious users: 6 | test acc 0.2230 test loss 2.080767 best test_acc 0.3074
e 57 | malicious users: 11 | test acc 0.3142 test loss 1.903491 best test_acc 0.3142
e 58 | malicious users: 9 | test acc 0.2764 test loss 1.954817 best test_acc 0.3142
e 59 | malicious users: 8 | test acc 0.3158 test loss 1.922948 best test_acc 0.3158
e 60 | malicious users: 9 | test acc 0.3023 test loss 1.911831 best test_acc 0.3158
e 61 | malicious users: 5 | test acc 0.3302 test loss 1.872739 best test_acc 0.3302
e 62 | malicious users: 6 | test acc 0.2434 test loss 2.068344 best test_acc 0.3302
e 63 | malicious users: 10 | test acc 0.2962 test loss 1.911478 best test_acc 0.3302
e 64 | malicious users: 11 | test acc 0.3122 test loss 1.885673 best test_acc 0.3302
e 65 | malicious users: 3 | test acc 0.3126 test loss 1.881587 best test_acc 0.3302
e 66 | malicious users: 5 | test acc 0.3107 test loss 1.916306 best test_acc 0.3302
e 67 | malicious users: 8 | test acc 0.3042 test loss 1.902594 best test_acc 0.3302
e 68 | malicious users: 6 | test acc 0.2991 test loss 1.879309 best test_acc 0.3302
e 69 | malicious users: 6 | test acc 0.3535 test loss 1.851753 best test_acc 0.3535
e 70 | malicious users: 7 | test acc 0.3157 test loss 1.850530 best test_acc 0.3535
e 71 | malicious users: 8 | test acc 0.3005 test loss 1.891931 best test_acc 0.3535
e 72 | malicious users: 9 | test acc 0.3157 test loss 1.831407 best test_acc 0.3535
e 73 | malicious users: 7 | test acc 0.2833 test loss 1.913307 best test_acc 0.3535
e 74 | malicious users: 10 | test acc 0.3166 test loss 1.915259 best test_acc 0.3535
e 75 | malicious users: 7 | test acc 0.3181 test loss 1.885955 best test_acc 0.3535
e 76 | malicious users: 7 | test acc 0.3160 test loss 1.885080 best test_acc 0.3535
e 77 | malicious users: 9 | test acc 0.3132 test loss 1.919334 best test_acc 0.3535
e 78 | malicious users: 7 | test acc 0.3194 test loss 1.839813 best test_acc 0.3535
e 79 | malicious users: 11 | test acc 0.3245 test loss 1.776744 best test_acc 0.3535
e 80 | malicious users: 9 | test acc 0.3507 test loss 1.840677 best test_acc 0.3535
e 81 | malicious users: 4 | test acc 0.2989 test loss 1.956633 best test_acc 0.3535
e 82 | malicious users: 6 | test acc 0.3483 test loss 1.819886 best test_acc 0.3535
e 83 | malicious users: 6 | test acc 0.3499 test loss 1.840514 best test_acc 0.3535
e 84 | malicious users: 7 | test acc 0.3524 test loss 1.800530 best test_acc 0.3535
e 85 | malicious users: 10 | test acc 0.3508 test loss 1.788496 best test_acc 0.3535
e 86 | malicious users: 9 | test acc 0.3392 test loss 1.789235 best test_acc 0.3535
e 87 | malicious users: 5 | test acc 0.3430 test loss 1.819031 best test_acc 0.3535
e 88 | malicious users: 8 | test acc 0.3461 test loss 1.774822 best test_acc 0.3535
e 89 | malicious users: 8 | test acc 0.3472 test loss 1.758009 best test_acc 0.3535
e 90 | malicious users: 8 | test acc 0.3498 test loss 1.778070 best test_acc 0.3535
e 91 | malicious users: 7 | test acc 0.3193 test loss 1.794549 best test_acc 0.3535
e 92 | malicious users: 7 | test acc 0.3601 test loss 1.742625 best test_acc 0.3601
e 93 | malicious users: 5 | test acc 0.3583 test loss 1.795048 best test_acc 0.3601
e 94 | malicious users: 11 | test acc 0.3489 test loss 1.778659 best test_acc 0.3601
e 95 | malicious users: 12 | test acc 0.3768 test loss 1.877471 best test_acc 0.3768
e 96 | malicious users: 6 | test acc 0.3725 test loss 1.748743 best test_acc 0.3768
e 97 | malicious users: 7 | test acc 0.3669 test loss 1.752371 best test_acc 0.3768
e 98 | malicious users: 4 | test acc 0.3765 test loss 1.704897 best test_acc 0.3768
e 99 | malicious users: 11 | test acc 0.3535 test loss 1.847711 best test_acc 0.3768
e 100 | malicious users: 8 | test acc 0.3784 test loss 1.746431 best test_acc 0.3784
e 101 | malicious users: 5 | test acc 0.3379 test loss 1.821623 best test_acc 0.3784
e 102 | malicious users: 9 | test acc 0.3702 test loss 1.737243 best test_acc 0.3784
e 103 | malicious users: 5 | test acc 0.3667 test loss 1.718573 best test_acc 0.3784
e 104 | malicious users: 10 | test acc 0.3752 test loss 1.666344 best test_acc 0.3784
e 105 | malicious users: 11 | test acc 0.3348 test loss 1.882132 best test_acc 0.3784
e 106 | malicious users: 7 | test acc 0.3302 test loss 1.814525 best test_acc 0.3784
e 107 | malicious users: 9 | test acc 0.3738 test loss 1.710191 best test_acc 0.3784
e 108 | malicious users: 10 | test acc 0.3648 test loss 1.754848 best test_acc 0.3784
e 109 | malicious users: 8 | test acc 0.3442 test loss 1.768506 best test_acc 0.3784
e 110 | malicious users: 7 | test acc 0.3763 test loss 1.748309 best test_acc 0.3784
e 111 | malicious users: 3 | test acc 0.3277 test loss 1.777382 best test_acc 0.3784
e 112 | malicious users: 4 | test acc 0.3599 test loss 1.765809 best test_acc 0.3784
e 113 | malicious users: 7 | test acc 0.3792 test loss 1.712319 best test_acc 0.3792
e 114 | malicious users: 6 | test acc 0.3881 test loss 1.687648 best test_acc 0.3881
e 115 | malicious users: 4 | test acc 0.3989 test loss 1.629852 best test_acc 0.3989
e 116 | malicious users: 7 | test acc 0.3887 test loss 1.699918 best test_acc 0.3989
e 117 | malicious users: 5 | test acc 0.4016 test loss 1.638036 best test_acc 0.4016
e 118 | malicious users: 7 | test acc 0.3631 test loss 1.769771 best test_acc 0.4016
e 119 | malicious users: 8 | test acc 0.3946 test loss 1.652538 best test_acc 0.4016
e 120 | malicious users: 8 | test acc 0.3987 test loss 1.643268 best test_acc 0.4016
e 121 | malicious users: 11 | test acc 0.3859 test loss 1.732854 best test_acc 0.4016
