#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1018 test loss 2.302137 best test_acc 0.1018
e 1 | malicious users: 5 | test acc 0.1000 test loss 2.299578 best test_acc 0.1018
e 2 | malicious users: 4 | test acc 0.1042 test loss 2.300141 best test_acc 0.1042
e 3 | malicious users: 3 | test acc 0.1021 test loss 2.289567 best test_acc 0.1042
e 4 | malicious users: 9 | test acc 0.1064 test loss 2.297104 best test_acc 0.1064
e 5 | malicious users: 5 | test acc 0.1444 test loss 2.300409 best test_acc 0.1444
e 6 | malicious users: 4 | test acc 0.1019 test loss 2.293568 best test_acc 0.1444
e 7 | malicious users: 5 | test acc 0.1000 test loss 2.278616 best test_acc 0.1444
e 8 | malicious users: 3 | test acc 0.1700 test loss 2.286461 best test_acc 0.1700
e 9 | malicious users: 5 | test acc 0.1526 test loss 2.261223 best test_acc 0.1700
e 10 | malicious users: 6 | test acc 0.1326 test loss 2.267713 best test_acc 0.1700
e 11 | malicious users: 4 | test acc 0.2169 test loss 2.254417 best test_acc 0.2169
e 12 | malicious users: 6 | test acc 0.1736 test loss 2.270705 best test_acc 0.2169
e 13 | malicious users: 5 | test acc 0.1775 test loss 2.246606 best test_acc 0.2169
e 14 | malicious users: 8 | test acc 0.1576 test loss 2.266667 best test_acc 0.2169
e 15 | malicious users: 2 | test acc 0.2148 test loss 2.225670 best test_acc 0.2169
e 16 | malicious users: 4 | test acc 0.1582 test loss 2.288369 best test_acc 0.2169
e 17 | malicious users: 4 | test acc 0.2067 test loss 2.204394 best test_acc 0.2169
e 18 | malicious users: 9 | test acc 0.1591 test loss 2.276249 best test_acc 0.2169
e 19 | malicious users: 3 | test acc 0.2117 test loss 2.184258 best test_acc 0.2169
e 20 | malicious users: 3 | test acc 0.2246 test loss 2.219801 best test_acc 0.2246
e 21 | malicious users: 8 | test acc 0.1967 test loss 2.221800 best test_acc 0.2246
e 22 | malicious users: 6 | test acc 0.2027 test loss 2.179682 best test_acc 0.2246
e 23 | malicious users: 6 | test acc 0.2053 test loss 2.202645 best test_acc 0.2246
e 24 | malicious users: 4 | test acc 0.1752 test loss 2.137341 best test_acc 0.2246
e 25 | malicious users: 5 | test acc 0.2035 test loss 2.134396 best test_acc 0.2246
e 26 | malicious users: 6 | test acc 0.2000 test loss 2.199407 best test_acc 0.2246
e 27 | malicious users: 6 | test acc 0.2174 test loss 2.117587 best test_acc 0.2246
e 28 | malicious users: 6 | test acc 0.2170 test loss 2.092392 best test_acc 0.2246
e 29 | malicious users: 5 | test acc 0.2387 test loss 2.107026 best test_acc 0.2387
e 30 | malicious users: 4 | test acc 0.2206 test loss 2.143668 best test_acc 0.2387
e 31 | malicious users: 5 | test acc 0.2318 test loss 2.044480 best test_acc 0.2387
e 32 | malicious users: 8 | test acc 0.2110 test loss 2.118057 best test_acc 0.2387
e 33 | malicious users: 3 | test acc 0.2203 test loss 2.078192 best test_acc 0.2387
e 34 | malicious users: 6 | test acc 0.2402 test loss 2.054514 best test_acc 0.2402
e 35 | malicious users: 5 | test acc 0.2298 test loss 2.091175 best test_acc 0.2402
e 36 | malicious users: 5 | test acc 0.2383 test loss 2.059029 best test_acc 0.2402
