#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.0931 test loss 2.303896 best test_acc 0.0931
e 1 | malicious users: 3 | test acc 0.1000 test loss 2.303475 best test_acc 0.1000
e 2 | malicious users: 3 | test acc 0.0995 test loss 2.303101 best test_acc 0.1000
e 3 | malicious users: 4 | test acc 0.0998 test loss 2.302606 best test_acc 0.1000
e 4 | malicious users: 9 | test acc 0.0961 test loss 2.303296 best test_acc 0.1000
e 5 | malicious users: 7 | test acc 0.1101 test loss 2.304352 best test_acc 0.1101
e 6 | malicious users: 4 | test acc 0.1000 test loss 2.384071 best test_acc 0.1101
e 7 | malicious users: 2 | test acc 0.1000 test loss 2.304909 best test_acc 0.1101
e 8 | malicious users: 4 | test acc 0.0996 test loss 2.302111 best test_acc 0.1101
e 9 | malicious users: 5 | test acc 0.1000 test loss 2.387792 best test_acc 0.1101
e 10 | malicious users: 6 | test acc 0.1000 test loss 2.303837 best test_acc 0.1101
e 11 | malicious users: 10 | test acc 0.1072 test loss 2.302082 best test_acc 0.1101
e 12 | malicious users: 10 | test acc 0.1000 test loss 7.666296 best test_acc 0.1101
e 13 | malicious users: 6 | test acc 0.1000 test loss 2.302493 best test_acc 0.1101
e 14 | malicious users: 6 | test acc 0.1000 test loss 2.301994 best test_acc 0.1101
e 15 | malicious users: 5 | test acc 0.1051 test loss 2.302689 best test_acc 0.1101
e 16 | malicious users: 4 | test acc 0.1067 test loss 2.302552 best test_acc 0.1101
e 17 | malicious users: 3 | test acc 0.0979 test loss 2.302184 best test_acc 0.1101
e 18 | malicious users: 6 | test acc 0.1000 test loss 2.305539 best test_acc 0.1101
e 19 | malicious users: 9 | test acc 0.0937 test loss 2.302494 best test_acc 0.1101
e 20 | malicious users: 5 | test acc 0.0994 test loss 2.302529 best test_acc 0.1101
e 21 | malicious users: 4 | test acc 0.0999 test loss 2.302558 best test_acc 0.1101
e 22 | malicious users: 10 | test acc 0.1000 test loss 23.687057 best test_acc 0.1101
e 23 | malicious users: 5 | test acc 0.1000 test loss 2.302523 best test_acc 0.1101
e 24 | malicious users: 8 | test acc 0.1000 test loss 2.302506 best test_acc 0.1101
e 25 | malicious users: 4 | test acc 0.1000 test loss 2.302588 best test_acc 0.1101
e 26 | malicious users: 3 | test acc 0.1000 test loss 2.302572 best test_acc 0.1101
e 27 | malicious users: 7 | test acc 0.1000 test loss 2.302594 best test_acc 0.1101
e 28 | malicious users: 5 | test acc 0.1000 test loss 2.302515 best test_acc 0.1101
e 29 | malicious users: 4 | test acc 0.1000 test loss 2.302422 best test_acc 0.1101
e 30 | malicious users: 3 | test acc 0.1000 test loss 2.312785 best test_acc 0.1101
e 31 | malicious users: 5 | test acc 0.0999 test loss 2.302639 best test_acc 0.1101
