#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 1 | test acc 0.0937 test loss 2.302140 best test_acc 0.0937
e 1 | malicious users: 5 | test acc 0.1397 test loss 2.299211 best test_acc 0.1397
e 2 | malicious users: 6 | test acc 0.1000 test loss 2.300319 best test_acc 0.1397
e 3 | malicious users: 5 | test acc 0.1000 test loss 2.293803 best test_acc 0.1397
e 4 | malicious users: 5 | test acc 0.1143 test loss 2.295508 best test_acc 0.1397
e 5 | malicious users: 5 | test acc 0.1508 test loss 2.258301 best test_acc 0.1508
e 6 | malicious users: 3 | test acc 0.1415 test loss 2.298304 best test_acc 0.1508
e 7 | malicious users: 7 | test acc 0.1249 test loss 2.281287 best test_acc 0.1508
e 8 | malicious users: 2 | test acc 0.2051 test loss 2.237550 best test_acc 0.2051
e 9 | malicious users: 5 | test acc 0.1465 test loss 2.280026 best test_acc 0.2051
e 10 | malicious users: 0 | test acc 0.1782 test loss 2.225327 best test_acc 0.2051
e 11 | malicious users: 6 | test acc 0.1278 test loss 2.276273 best test_acc 0.2051
e 12 | malicious users: 4 | test acc 0.2023 test loss 2.152906 best test_acc 0.2051
e 13 | malicious users: 8 | test acc 0.1342 test loss 2.282132 best test_acc 0.2051
e 14 | malicious users: 7 | test acc 0.1919 test loss 2.173138 best test_acc 0.2051
e 15 | malicious users: 4 | test acc 0.2298 test loss 2.252801 best test_acc 0.2298
e 16 | malicious users: 4 | test acc 0.2225 test loss 2.118137 best test_acc 0.2298
e 17 | malicious users: 3 | test acc 0.2068 test loss 2.209661 best test_acc 0.2298
e 18 | malicious users: 5 | test acc 0.2359 test loss 2.171666 best test_acc 0.2359
e 19 | malicious users: 8 | test acc 0.2163 test loss 2.199528 best test_acc 0.2359
e 20 | malicious users: 4 | test acc 0.2275 test loss 2.077604 best test_acc 0.2359
e 21 | malicious users: 1 | test acc 0.2259 test loss 2.146458 best test_acc 0.2359
e 22 | malicious users: 5 | test acc 0.2420 test loss 2.070839 best test_acc 0.2420
e 23 | malicious users: 4 | test acc 0.2209 test loss 2.057059 best test_acc 0.2420
e 24 | malicious users: 2 | test acc 0.2188 test loss 2.089917 best test_acc 0.2420
e 25 | malicious users: 4 | test acc 0.2127 test loss 2.106318 best test_acc 0.2420
e 26 | malicious users: 4 | test acc 0.2552 test loss 2.026715 best test_acc 0.2552
e 27 | malicious users: 5 | test acc 0.1783 test loss 2.166365 best test_acc 0.2552
e 28 | malicious users: 4 | test acc 0.2171 test loss 2.074313 best test_acc 0.2552
e 29 | malicious users: 3 | test acc 0.1997 test loss 2.028147 best test_acc 0.2552
