#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 8 | test acc 0.0866 test loss 2.302428 best test_acc 0.0866
e 1 | malicious users: 3 | test acc 0.1000 test loss 2.301542 best test_acc 0.1000
e 2 | malicious users: 9 | test acc 0.1007 test loss 2.300425 best test_acc 0.1007
e 3 | malicious users: 4 | test acc 0.1172 test loss 2.295614 best test_acc 0.1172
e 4 | malicious users: 3 | test acc 0.1594 test loss 2.284507 best test_acc 0.1594
e 5 | malicious users: 6 | test acc 0.1408 test loss 2.247708 best test_acc 0.1594
e 6 | malicious users: 7 | test acc 0.1084 test loss 2.288391 best test_acc 0.1594
e 7 | malicious users: 4 | test acc 0.1733 test loss 2.206597 best test_acc 0.1733
e 8 | malicious users: 5 | test acc 0.1744 test loss 2.282459 best test_acc 0.1744
e 9 | malicious users: 6 | test acc 0.2036 test loss 2.235229 best test_acc 0.2036
e 10 | malicious users: 10 | test acc 0.1038 test loss 2.293091 best test_acc 0.2036
e 11 | malicious users: 5 | test acc 0.1385 test loss 2.249411 best test_acc 0.2036
e 12 | malicious users: 4 | test acc 0.1655 test loss 2.246353 best test_acc 0.2036
e 13 | malicious users: 3 | test acc 0.2218 test loss 2.205503 best test_acc 0.2218
e 14 | malicious users: 5 | test acc 0.1945 test loss 2.259642 best test_acc 0.2218
e 15 | malicious users: 6 | test acc 0.2130 test loss 2.143198 best test_acc 0.2218
e 16 | malicious users: 5 | test acc 0.1865 test loss 2.198627 best test_acc 0.2218
e 17 | malicious users: 8 | test acc 0.2194 test loss 2.189421 best test_acc 0.2218
e 18 | malicious users: 7 | test acc 0.2277 test loss 2.119915 best test_acc 0.2277
e 19 | malicious users: 7 | test acc 0.2211 test loss 2.102670 best test_acc 0.2277
e 20 | malicious users: 6 | test acc 0.2319 test loss 2.132474 best test_acc 0.2319
e 21 | malicious users: 5 | test acc 0.2285 test loss 2.135272 best test_acc 0.2319
e 22 | malicious users: 7 | test acc 0.2116 test loss 2.076619 best test_acc 0.2319
e 23 | malicious users: 3 | test acc 0.2518 test loss 2.083664 best test_acc 0.2518
e 24 | malicious users: 3 | test acc 0.2597 test loss 2.082861 best test_acc 0.2597
e 25 | malicious users: 5 | test acc 0.2495 test loss 2.108610 best test_acc 0.2597
e 26 | malicious users: 5 | test acc 0.2473 test loss 2.019536 best test_acc 0.2597
e 27 | malicious users: 4 | test acc 0.2345 test loss 2.033269 best test_acc 0.2597
e 28 | malicious users: 4 | test acc 0.2270 test loss 2.011583 best test_acc 0.2597
e 29 | malicious users: 6 | test acc 0.2316 test loss 2.047564 best test_acc 0.2597
e 30 | malicious users: 6 | test acc 0.2576 test loss 2.081334 best test_acc 0.2597
e 31 | malicious users: 3 | test acc 0.2787 test loss 1.924232 best test_acc 0.2787
e 32 | malicious users: 3 | test acc 0.2912 test loss 1.997720 best test_acc 0.2912
e 33 | malicious users: 5 | test acc 0.2960 test loss 1.955970 best test_acc 0.2960
e 34 | malicious users: 7 | test acc 0.2635 test loss 2.013668 best test_acc 0.2960
e 35 | malicious users: 5 | test acc 0.3072 test loss 1.883455 best test_acc 0.3072
e 36 | malicious users: 6 | test acc 0.2652 test loss 2.006086 best test_acc 0.3072
e 37 | malicious users: 10 | test acc 0.2958 test loss 1.920934 best test_acc 0.3072
e 38 | malicious users: 3 | test acc 0.2999 test loss 1.928498 best test_acc 0.3072
e 39 | malicious users: 6 | test acc 0.3048 test loss 1.937352 best test_acc 0.3072
e 40 | malicious users: 5 | test acc 0.2783 test loss 1.897250 best test_acc 0.3072
e 41 | malicious users: 2 | test acc 0.3126 test loss 1.885415 best test_acc 0.3126
e 42 | malicious users: 5 | test acc 0.2983 test loss 1.922564 best test_acc 0.3126
e 43 | malicious users: 2 | test acc 0.3251 test loss 1.846783 best test_acc 0.3251
e 44 | malicious users: 7 | test acc 0.2823 test loss 1.916438 best test_acc 0.3251
e 45 | malicious users: 3 | test acc 0.3048 test loss 1.912905 best test_acc 0.3251
e 46 | malicious users: 7 | test acc 0.3189 test loss 1.874385 best test_acc 0.3251
e 47 | malicious users: 2 | test acc 0.3202 test loss 1.882062 best test_acc 0.3251
e 48 | malicious users: 7 | test acc 0.3143 test loss 1.937288 best test_acc 0.3251
e 49 | malicious users: 8 | test acc 0.3309 test loss 1.812088 best test_acc 0.3309
e 50 | malicious users: 3 | test acc 0.3438 test loss 1.849957 best test_acc 0.3438
e 51 | malicious users: 3 | test acc 0.3344 test loss 1.814463 best test_acc 0.3438
e 52 | malicious users: 9 | test acc 0.3205 test loss 1.871718 best test_acc 0.3438
e 53 | malicious users: 2 | test acc 0.3495 test loss 1.878991 best test_acc 0.3495
e 54 | malicious users: 8 | test acc 0.3394 test loss 1.845751 best test_acc 0.3495
e 55 | malicious users: 10 | test acc 0.3541 test loss 1.793197 best test_acc 0.3541
e 56 | malicious users: 5 | test acc 0.3308 test loss 1.827548 best test_acc 0.3541
e 57 | malicious users: 5 | test acc 0.3366 test loss 1.794616 best test_acc 0.3541
e 58 | malicious users: 5 | test acc 0.3467 test loss 1.753457 best test_acc 0.3541
e 59 | malicious users: 10 | test acc 0.3546 test loss 1.790203 best test_acc 0.3546
e 60 | malicious users: 8 | test acc 0.3400 test loss 1.795614 best test_acc 0.3546
e 61 | malicious users: 7 | test acc 0.3593 test loss 1.767708 best test_acc 0.3593
e 62 | malicious users: 6 | test acc 0.3644 test loss 1.782575 best test_acc 0.3644
e 63 | malicious users: 8 | test acc 0.3796 test loss 1.703317 best test_acc 0.3796
e 64 | malicious users: 7 | test acc 0.3645 test loss 1.895304 best test_acc 0.3796
e 65 | malicious users: 6 | test acc 0.3531 test loss 1.704899 best test_acc 0.3796
e 66 | malicious users: 5 | test acc 0.3302 test loss 1.832794 best test_acc 0.3796
e 67 | malicious users: 4 | test acc 0.3919 test loss 1.688831 best test_acc 0.3919
e 68 | malicious users: 5 | test acc 0.3485 test loss 1.815922 best test_acc 0.3919
e 69 | malicious users: 12 | test acc 0.3758 test loss 1.746128 best test_acc 0.3919
e 70 | malicious users: 3 | test acc 0.3729 test loss 1.708779 best test_acc 0.3919
e 71 | malicious users: 5 | test acc 0.3850 test loss 1.727286 best test_acc 0.3919
e 72 | malicious users: 10 | test acc 0.3751 test loss 1.721819 best test_acc 0.3919
e 73 | malicious users: 6 | test acc 0.3534 test loss 1.780662 best test_acc 0.3919
e 74 | malicious users: 5 | test acc 0.3861 test loss 1.675727 best test_acc 0.3919
e 75 | malicious users: 6 | test acc 0.3744 test loss 1.699904 best test_acc 0.3919
e 76 | malicious users: 7 | test acc 0.3712 test loss 1.724139 best test_acc 0.3919
e 77 | malicious users: 4 | test acc 0.3927 test loss 1.675488 best test_acc 0.3927
e 78 | malicious users: 7 | test acc 0.4017 test loss 1.642700 best test_acc 0.4017
e 79 | malicious users: 3 | test acc 0.3642 test loss 1.721491 best test_acc 0.4017
e 80 | malicious users: 7 | test acc 0.3718 test loss 1.744662 best test_acc 0.4017
e 81 | malicious users: 6 | test acc 0.3751 test loss 1.686942 best test_acc 0.4017
e 82 | malicious users: 6 | test acc 0.4062 test loss 1.662093 best test_acc 0.4062
e 83 | malicious users: 3 | test acc 0.3973 test loss 1.696834 best test_acc 0.4062
e 84 | malicious users: 3 | test acc 0.3932 test loss 1.668115 best test_acc 0.4062
e 85 | malicious users: 6 | test acc 0.4031 test loss 1.642301 best test_acc 0.4062
e 86 | malicious users: 6 | test acc 0.3969 test loss 1.665124 best test_acc 0.4062
e 87 | malicious users: 3 | test acc 0.3611 test loss 1.728708 best test_acc 0.4062
e 88 | malicious users: 2 | test acc 0.4113 test loss 1.621677 best test_acc 0.4113
e 89 | malicious users: 8 | test acc 0.3658 test loss 1.743952 best test_acc 0.4113
e 90 | malicious users: 12 | test acc 0.3955 test loss 1.649660 best test_acc 0.4113
e 91 | malicious users: 4 | test acc 0.4137 test loss 1.689566 best test_acc 0.4137
e 92 | malicious users: 4 | test acc 0.3762 test loss 1.692768 best test_acc 0.4137
e 93 | malicious users: 5 | test acc 0.4202 test loss 1.605143 best test_acc 0.4202
e 94 | malicious users: 4 | test acc 0.4046 test loss 1.625579 best test_acc 0.4202
e 95 | malicious users: 4 | test acc 0.4055 test loss 1.670629 best test_acc 0.4202
e 96 | malicious users: 2 | test acc 0.4131 test loss 1.621507 best test_acc 0.4202
e 97 | malicious users: 4 | test acc 0.4223 test loss 1.592811 best test_acc 0.4223
e 98 | malicious users: 5 | test acc 0.3721 test loss 1.669208 best test_acc 0.4223
e 99 | malicious users: 4 | test acc 0.4005 test loss 1.633471 best test_acc 0.4223
e 100 | malicious users: 4 | test acc 0.3983 test loss 1.617560 best test_acc 0.4223
e 101 | malicious users: 7 | test acc 0.4236 test loss 1.623319 best test_acc 0.4236
e 102 | malicious users: 6 | test acc 0.4148 test loss 1.640154 best test_acc 0.4236
e 103 | malicious users: 7 | test acc 0.3917 test loss 1.673841 best test_acc 0.4236
e 104 | malicious users: 4 | test acc 0.4057 test loss 1.607738 best test_acc 0.4236
e 105 | malicious users: 3 | test acc 0.3955 test loss 1.640826 best test_acc 0.4236
e 106 | malicious users: 8 | test acc 0.4174 test loss 1.593602 best test_acc 0.4236
