#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.0928 test loss 2.302217 best test_acc 0.0928
e 1 | malicious users: 5 | test acc 0.1000 test loss 2.300334 best test_acc 0.1000
e 2 | malicious users: 7 | test acc 0.0995 test loss 2.300155 best test_acc 0.1000
e 3 | malicious users: 10 | test acc 0.1004 test loss 2.293525 best test_acc 0.1004
e 4 | malicious users: 3 | test acc 0.1280 test loss 2.294021 best test_acc 0.1280
e 5 | malicious users: 3 | test acc 0.1292 test loss 2.256545 best test_acc 0.1292
e 6 | malicious users: 3 | test acc 0.1609 test loss 2.266669 best test_acc 0.1609
e 7 | malicious users: 5 | test acc 0.1724 test loss 2.249391 best test_acc 0.1724
e 8 | malicious users: 3 | test acc 0.1540 test loss 2.254692 best test_acc 0.1724
e 9 | malicious users: 4 | test acc 0.1734 test loss 2.201821 best test_acc 0.1734
e 10 | malicious users: 5 | test acc 0.2024 test loss 2.252917 best test_acc 0.2024
e 11 | malicious users: 4 | test acc 0.2237 test loss 2.242483 best test_acc 0.2237
e 12 | malicious users: 5 | test acc 0.1796 test loss 2.210478 best test_acc 0.2237
e 13 | malicious users: 8 | test acc 0.1887 test loss 2.140116 best test_acc 0.2237
e 14 | malicious users: 5 | test acc 0.1553 test loss 2.261944 best test_acc 0.2237
e 15 | malicious users: 6 | test acc 0.1914 test loss 2.161139 best test_acc 0.2237
e 16 | malicious users: 4 | test acc 0.1615 test loss 2.199543 best test_acc 0.2237
e 17 | malicious users: 6 | test acc 0.1976 test loss 2.124288 best test_acc 0.2237
e 18 | malicious users: 7 | test acc 0.2520 test loss 2.199680 best test_acc 0.2520
e 19 | malicious users: 2 | test acc 0.1888 test loss 2.117232 best test_acc 0.2520
e 20 | malicious users: 8 | test acc 0.2524 test loss 2.045755 best test_acc 0.2524
e 21 | malicious users: 7 | test acc 0.2215 test loss 2.103296 best test_acc 0.2524
e 22 | malicious users: 5 | test acc 0.2351 test loss 2.036898 best test_acc 0.2524
e 23 | malicious users: 4 | test acc 0.2417 test loss 2.063456 best test_acc 0.2524
e 24 | malicious users: 3 | test acc 0.2710 test loss 2.047876 best test_acc 0.2710
e 25 | malicious users: 6 | test acc 0.2281 test loss 2.120559 best test_acc 0.2710
e 26 | malicious users: 4 | test acc 0.2514 test loss 2.031959 best test_acc 0.2710
e 27 | malicious users: 3 | test acc 0.2408 test loss 2.017314 best test_acc 0.2710
e 28 | malicious users: 4 | test acc 0.2784 test loss 1.983162 best test_acc 0.2784
e 29 | malicious users: 1 | test acc 0.2724 test loss 1.972687 best test_acc 0.2784
e 30 | malicious users: 3 | test acc 0.2450 test loss 1.972510 best test_acc 0.2784
e 31 | malicious users: 6 | test acc 0.2886 test loss 1.942371 best test_acc 0.2886
e 32 | malicious users: 5 | test acc 0.2616 test loss 1.995535 best test_acc 0.2886
e 33 | malicious users: 4 | test acc 0.2959 test loss 1.905259 best test_acc 0.2959
e 34 | malicious users: 2 | test acc 0.2606 test loss 1.952209 best test_acc 0.2959
e 35 | malicious users: 5 | test acc 0.2875 test loss 1.940122 best test_acc 0.2959
e 36 | malicious users: 7 | test acc 0.3035 test loss 1.905412 best test_acc 0.3035
e 37 | malicious users: 8 | test acc 0.2954 test loss 1.939930 best test_acc 0.3035
e 38 | malicious users: 4 | test acc 0.3380 test loss 1.855565 best test_acc 0.3380
e 39 | malicious users: 5 | test acc 0.3161 test loss 1.862577 best test_acc 0.3380
e 40 | malicious users: 7 | test acc 0.3053 test loss 1.929551 best test_acc 0.3380
e 41 | malicious users: 6 | test acc 0.3405 test loss 1.839292 best test_acc 0.3405
e 42 | malicious users: 3 | test acc 0.3281 test loss 1.776525 best test_acc 0.3405
e 43 | malicious users: 7 | test acc 0.3267 test loss 1.858099 best test_acc 0.3405
e 44 | malicious users: 4 | test acc 0.3287 test loss 1.850166 best test_acc 0.3405
e 45 | malicious users: 6 | test acc 0.2953 test loss 1.988150 best test_acc 0.3405
e 46 | malicious users: 8 | test acc 0.3186 test loss 1.851572 best test_acc 0.3405
e 47 | malicious users: 4 | test acc 0.3011 test loss 1.887603 best test_acc 0.3405
e 48 | malicious users: 2 | test acc 0.3125 test loss 1.812470 best test_acc 0.3405
e 49 | malicious users: 4 | test acc 0.3439 test loss 1.859913 best test_acc 0.3439
e 50 | malicious users: 6 | test acc 0.3647 test loss 1.725012 best test_acc 0.3647
e 51 | malicious users: 4 | test acc 0.3370 test loss 1.801249 best test_acc 0.3647
e 52 | malicious users: 7 | test acc 0.3493 test loss 1.752542 best test_acc 0.3647
e 53 | malicious users: 6 | test acc 0.3554 test loss 1.782778 best test_acc 0.3647
e 54 | malicious users: 7 | test acc 0.3542 test loss 1.776801 best test_acc 0.3647
e 55 | malicious users: 3 | test acc 0.3553 test loss 1.718286 best test_acc 0.3647
e 56 | malicious users: 2 | test acc 0.3841 test loss 1.738845 best test_acc 0.3841
e 57 | malicious users: 2 | test acc 0.3566 test loss 1.726938 best test_acc 0.3841
e 58 | malicious users: 5 | test acc 0.3544 test loss 1.745695 best test_acc 0.3841
e 59 | malicious users: 7 | test acc 0.3682 test loss 1.702134 best test_acc 0.3841
e 60 | malicious users: 7 | test acc 0.3529 test loss 1.848205 best test_acc 0.3841
e 61 | malicious users: 5 | test acc 0.3762 test loss 1.680839 best test_acc 0.3841
e 62 | malicious users: 6 | test acc 0.3997 test loss 1.678985 best test_acc 0.3997
e 63 | malicious users: 5 | test acc 0.3850 test loss 1.745651 best test_acc 0.3997
e 64 | malicious users: 5 | test acc 0.3732 test loss 1.675608 best test_acc 0.3997
e 65 | malicious users: 4 | test acc 0.3639 test loss 1.775845 best test_acc 0.3997
e 66 | malicious users: 3 | test acc 0.3591 test loss 1.722919 best test_acc 0.3997
e 67 | malicious users: 8 | test acc 0.3940 test loss 1.655289 best test_acc 0.3997
e 68 | malicious users: 5 | test acc 0.3698 test loss 1.667965 best test_acc 0.3997
e 69 | malicious users: 6 | test acc 0.3830 test loss 1.715366 best test_acc 0.3997
e 70 | malicious users: 9 | test acc 0.3938 test loss 1.672882 best test_acc 0.3997
e 71 | malicious users: 3 | test acc 0.4028 test loss 1.615675 best test_acc 0.4028
e 72 | malicious users: 7 | test acc 0.3839 test loss 1.683205 best test_acc 0.4028
e 73 | malicious users: 6 | test acc 0.3903 test loss 1.617367 best test_acc 0.4028
e 74 | malicious users: 9 | test acc 0.3943 test loss 1.630344 best test_acc 0.4028
e 75 | malicious users: 4 | test acc 0.3598 test loss 1.727857 best test_acc 0.4028
e 76 | malicious users: 5 | test acc 0.3898 test loss 1.663137 best test_acc 0.4028
e 77 | malicious users: 4 | test acc 0.3554 test loss 1.701903 best test_acc 0.4028
e 78 | malicious users: 4 | test acc 0.3719 test loss 1.743277 best test_acc 0.4028
e 79 | malicious users: 6 | test acc 0.4044 test loss 1.661113 best test_acc 0.4044
e 80 | malicious users: 3 | test acc 0.4185 test loss 1.589389 best test_acc 0.4185
e 81 | malicious users: 3 | test acc 0.4155 test loss 1.618794 best test_acc 0.4185
e 82 | malicious users: 6 | test acc 0.3991 test loss 1.607936 best test_acc 0.4185
e 83 | malicious users: 7 | test acc 0.4229 test loss 1.650049 best test_acc 0.4229
e 84 | malicious users: 5 | test acc 0.3945 test loss 1.618723 best test_acc 0.4229
e 85 | malicious users: 4 | test acc 0.4069 test loss 1.660132 best test_acc 0.4229
e 86 | malicious users: 2 | test acc 0.4045 test loss 1.622876 best test_acc 0.4229
e 87 | malicious users: 5 | test acc 0.4236 test loss 1.594310 best test_acc 0.4236
e 88 | malicious users: 8 | test acc 0.4290 test loss 1.573617 best test_acc 0.4290
e 89 | malicious users: 3 | test acc 0.4082 test loss 1.617319 best test_acc 0.4290
e 90 | malicious users: 5 | test acc 0.3780 test loss 1.651417 best test_acc 0.4290
e 91 | malicious users: 5 | test acc 0.4044 test loss 1.639714 best test_acc 0.4290
e 92 | malicious users: 5 | test acc 0.4033 test loss 1.644636 best test_acc 0.4290
e 93 | malicious users: 4 | test acc 0.4288 test loss 1.557127 best test_acc 0.4290
e 94 | malicious users: 3 | test acc 0.4273 test loss 1.586656 best test_acc 0.4290
e 95 | malicious users: 4 | test acc 0.4204 test loss 1.527530 best test_acc 0.4290
e 96 | malicious users: 3 | test acc 0.3997 test loss 1.630323 best test_acc 0.4290
e 97 | malicious users: 6 | test acc 0.4384 test loss 1.527870 best test_acc 0.4384
e 98 | malicious users: 6 | test acc 0.4238 test loss 1.617023 best test_acc 0.4384
e 99 | malicious users: 5 | test acc 0.4360 test loss 1.575044 best test_acc 0.4384
e 100 | malicious users: 2 | test acc 0.4513 test loss 1.489228 best test_acc 0.4513
e 101 | malicious users: 4 | test acc 0.4305 test loss 1.567130 best test_acc 0.4513
e 102 | malicious users: 2 | test acc 0.4272 test loss 1.537549 best test_acc 0.4513
e 103 | malicious users: 2 | test acc 0.4457 test loss 1.514802 best test_acc 0.4513
e 104 | malicious users: 6 | test acc 0.4287 test loss 1.606808 best test_acc 0.4513
e 105 | malicious users: 3 | test acc 0.4457 test loss 1.523878 best test_acc 0.4513
e 106 | malicious users: 1 | test acc 0.4290 test loss 1.558681 best test_acc 0.4513
e 107 | malicious users: 5 | test acc 0.4393 test loss 1.520463 best test_acc 0.4513
e 108 | malicious users: 4 | test acc 0.4366 test loss 1.549604 best test_acc 0.4513
e 109 | malicious users: 6 | test acc 0.4473 test loss 1.472633 best test_acc 0.4513
e 110 | malicious users: 4 | test acc 0.4507 test loss 1.489971 best test_acc 0.4513
e 111 | malicious users: 3 | test acc 0.4232 test loss 1.544347 best test_acc 0.4513
e 112 | malicious users: 3 | test acc 0.4582 test loss 1.471573 best test_acc 0.4582
e 113 | malicious users: 7 | test acc 0.4371 test loss 1.542237 best test_acc 0.4582
e 114 | malicious users: 6 | test acc 0.4265 test loss 1.522736 best test_acc 0.4582
e 115 | malicious users: 5 | test acc 0.4609 test loss 1.471362 best test_acc 0.4609
e 116 | malicious users: 4 | test acc 0.4313 test loss 1.521815 best test_acc 0.4609
e 117 | malicious users: 6 | test acc 0.4715 test loss 1.448645 best test_acc 0.4715
e 118 | malicious users: 3 | test acc 0.4609 test loss 1.483516 best test_acc 0.4715
e 119 | malicious users: 3 | test acc 0.4577 test loss 1.500510 best test_acc 0.4715
e 120 | malicious users: 7 | test acc 0.4187 test loss 1.580509 best test_acc 0.4715
e 121 | malicious users: 5 | test acc 0.4679 test loss 1.462579 best test_acc 0.4715
e 122 | malicious users: 7 | test acc 0.4358 test loss 1.523364 best test_acc 0.4715
e 123 | malicious users: 2 | test acc 0.4458 test loss 1.496139 best test_acc 0.4715
e 124 | malicious users: 7 | test acc 0.4724 test loss 1.453918 best test_acc 0.4724
e 125 | malicious users: 11 | test acc 0.4821 test loss 1.417428 best test_acc 0.4821
e 126 | malicious users: 5 | test acc 0.4131 test loss 1.576109 best test_acc 0.4821
e 127 | malicious users: 5 | test acc 0.4750 test loss 1.432265 best test_acc 0.4821
e 128 | malicious users: 8 | test acc 0.4815 test loss 1.430140 best test_acc 0.4821
e 129 | malicious users: 3 | test acc 0.4463 test loss 1.511529 best test_acc 0.4821
