#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.1000 test loss 2.301860 best test_acc 0.1000
e 1 | malicious users: 2 | test acc 0.1000 test loss 2.297937 best test_acc 0.1000
e 2 | malicious users: 3 | test acc 0.1247 test loss 2.296241 best test_acc 0.1247
e 3 | malicious users: 6 | test acc 0.1000 test loss 2.301063 best test_acc 0.1247
e 4 | malicious users: 3 | test acc 0.0999 test loss 2.300044 best test_acc 0.1247
e 5 | malicious users: 2 | test acc 0.1000 test loss 2.294372 best test_acc 0.1247
e 6 | malicious users: 3 | test acc 0.1000 test loss 2.292965 best test_acc 0.1247
e 7 | malicious users: 4 | test acc 0.1626 test loss 2.275902 best test_acc 0.1626
e 8 | malicious users: 2 | test acc 0.1436 test loss 2.274413 best test_acc 0.1626
e 9 | malicious users: 2 | test acc 0.1679 test loss 2.285599 best test_acc 0.1679
e 10 | malicious users: 3 | test acc 0.1855 test loss 2.220417 best test_acc 0.1855
e 11 | malicious users: 1 | test acc 0.1703 test loss 2.259271 best test_acc 0.1855
e 12 | malicious users: 2 | test acc 0.1977 test loss 2.202398 best test_acc 0.1977
e 13 | malicious users: 0 | test acc 0.1193 test loss 2.296482 best test_acc 0.1977
e 14 | malicious users: 1 | test acc 0.1978 test loss 2.239060 best test_acc 0.1978
e 15 | malicious users: 2 | test acc 0.1752 test loss 2.257202 best test_acc 0.1978
e 16 | malicious users: 1 | test acc 0.1570 test loss 2.188885 best test_acc 0.1978
e 17 | malicious users: 4 | test acc 0.1012 test loss 2.282670 best test_acc 0.1978
e 18 | malicious users: 3 | test acc 0.2028 test loss 2.219636 best test_acc 0.2028
e 19 | malicious users: 1 | test acc 0.2060 test loss 2.183102 best test_acc 0.2060
e 20 | malicious users: 2 | test acc 0.1741 test loss 2.156549 best test_acc 0.2060
e 21 | malicious users: 1 | test acc 0.2238 test loss 2.162140 best test_acc 0.2238
e 22 | malicious users: 2 | test acc 0.2044 test loss 2.141968 best test_acc 0.2238
e 23 | malicious users: 1 | test acc 0.2074 test loss 2.122547 best test_acc 0.2238
e 24 | malicious users: 3 | test acc 0.2330 test loss 2.080069 best test_acc 0.2330
e 25 | malicious users: 2 | test acc 0.2183 test loss 2.071939 best test_acc 0.2330
e 26 | malicious users: 4 | test acc 0.2452 test loss 2.154843 best test_acc 0.2452
e 27 | malicious users: 5 | test acc 0.2305 test loss 2.051454 best test_acc 0.2452
e 28 | malicious users: 5 | test acc 0.2549 test loss 2.107068 best test_acc 0.2549
e 29 | malicious users: 1 | test acc 0.2263 test loss 2.081648 best test_acc 0.2549
e 30 | malicious users: 4 | test acc 0.2505 test loss 2.120410 best test_acc 0.2549
e 31 | malicious users: 4 | test acc 0.2038 test loss 2.084235 best test_acc 0.2549
e 32 | malicious users: 2 | test acc 0.2129 test loss 1.986362 best test_acc 0.2549
e 33 | malicious users: 2 | test acc 0.2140 test loss 1.994212 best test_acc 0.2549
e 34 | malicious users: 5 | test acc 0.2245 test loss 1.971308 best test_acc 0.2549
e 35 | malicious users: 5 | test acc 0.2451 test loss 1.991691 best test_acc 0.2549
e 36 | malicious users: 3 | test acc 0.2241 test loss 1.981724 best test_acc 0.2549
e 37 | malicious users: 0 | test acc 0.2457 test loss 2.042819 best test_acc 0.2549
e 38 | malicious users: 0 | test acc 0.2646 test loss 2.011307 best test_acc 0.2646
e 39 | malicious users: 3 | test acc 0.2624 test loss 2.000316 best test_acc 0.2646
e 40 | malicious users: 1 | test acc 0.2492 test loss 2.056832 best test_acc 0.2646
e 41 | malicious users: 6 | test acc 0.2529 test loss 1.949598 best test_acc 0.2646
e 42 | malicious users: 1 | test acc 0.2709 test loss 1.918431 best test_acc 0.2709
e 43 | malicious users: 3 | test acc 0.2635 test loss 1.964761 best test_acc 0.2709
