#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.1007 test loss 2.302339 best test_acc 0.1007
e 1 | malicious users: 1 | test acc 0.1040 test loss 2.298082 best test_acc 0.1040
e 2 | malicious users: 1 | test acc 0.1069 test loss 2.302282 best test_acc 0.1069
e 3 | malicious users: 3 | test acc 0.1045 test loss 2.301774 best test_acc 0.1069
e 4 | malicious users: 1 | test acc 0.1000 test loss 2.299642 best test_acc 0.1069
e 5 | malicious users: 2 | test acc 0.1007 test loss 2.295228 best test_acc 0.1069
e 6 | malicious users: 3 | test acc 0.1481 test loss 2.299152 best test_acc 0.1481
e 7 | malicious users: 0 | test acc 0.1659 test loss 2.280903 best test_acc 0.1659
e 8 | malicious users: 2 | test acc 0.1730 test loss 2.239728 best test_acc 0.1730
e 9 | malicious users: 4 | test acc 0.1555 test loss 2.287410 best test_acc 0.1730
e 10 | malicious users: 2 | test acc 0.1688 test loss 2.261744 best test_acc 0.1730
e 11 | malicious users: 3 | test acc 0.1450 test loss 2.231361 best test_acc 0.1730
e 12 | malicious users: 2 | test acc 0.2095 test loss 2.268434 best test_acc 0.2095
e 13 | malicious users: 3 | test acc 0.1624 test loss 2.218932 best test_acc 0.2095
e 14 | malicious users: 7 | test acc 0.1741 test loss 2.276363 best test_acc 0.2095
e 15 | malicious users: 4 | test acc 0.1782 test loss 2.183370 best test_acc 0.2095
e 16 | malicious users: 0 | test acc 0.2061 test loss 2.282156 best test_acc 0.2095
e 17 | malicious users: 2 | test acc 0.1940 test loss 2.104297 best test_acc 0.2095
e 18 | malicious users: 2 | test acc 0.1955 test loss 2.216225 best test_acc 0.2095
e 19 | malicious users: 2 | test acc 0.1821 test loss 2.220922 best test_acc 0.2095
e 20 | malicious users: 1 | test acc 0.2353 test loss 2.090333 best test_acc 0.2353
e 21 | malicious users: 4 | test acc 0.1948 test loss 2.194124 best test_acc 0.2353
e 22 | malicious users: 3 | test acc 0.2065 test loss 2.085952 best test_acc 0.2353
e 23 | malicious users: 1 | test acc 0.2046 test loss 2.093326 best test_acc 0.2353
e 24 | malicious users: 3 | test acc 0.2028 test loss 2.113776 best test_acc 0.2353
e 25 | malicious users: 3 | test acc 0.1981 test loss 2.141554 best test_acc 0.2353
e 26 | malicious users: 3 | test acc 0.2030 test loss 2.113098 best test_acc 0.2353
e 27 | malicious users: 0 | test acc 0.2099 test loss 2.068529 best test_acc 0.2353
e 28 | malicious users: 2 | test acc 0.2039 test loss 2.096112 best test_acc 0.2353
e 29 | malicious users: 4 | test acc 0.2168 test loss 2.061192 best test_acc 0.2353
e 30 | malicious users: 2 | test acc 0.1803 test loss 2.121633 best test_acc 0.2353
e 31 | malicious users: 1 | test acc 0.2451 test loss 2.050172 best test_acc 0.2451
e 32 | malicious users: 4 | test acc 0.2031 test loss 2.036348 best test_acc 0.2451
e 33 | malicious users: 1 | test acc 0.2087 test loss 2.074299 best test_acc 0.2451
e 34 | malicious users: 5 | test acc 0.2265 test loss 1.964288 best test_acc 0.2451
e 35 | malicious users: 1 | test acc 0.2154 test loss 2.020267 best test_acc 0.2451
e 36 | malicious users: 4 | test acc 0.2470 test loss 1.996861 best test_acc 0.2470
