#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.1031 test loss 2.302134 best test_acc 0.1031
e 1 | malicious users: 1 | test acc 0.1180 test loss 2.299248 best test_acc 0.1180
e 2 | malicious users: 3 | test acc 0.1000 test loss 2.290967 best test_acc 0.1180
e 3 | malicious users: 6 | test acc 0.1078 test loss 2.297210 best test_acc 0.1180
e 4 | malicious users: 2 | test acc 0.1134 test loss 2.291845 best test_acc 0.1180
e 5 | malicious users: 2 | test acc 0.1471 test loss 2.291744 best test_acc 0.1471
e 6 | malicious users: 1 | test acc 0.1378 test loss 2.227018 best test_acc 0.1471
e 7 | malicious users: 3 | test acc 0.1704 test loss 2.289882 best test_acc 0.1704
e 8 | malicious users: 0 | test acc 0.1719 test loss 2.191565 best test_acc 0.1719
e 9 | malicious users: 2 | test acc 0.1497 test loss 2.266003 best test_acc 0.1719
e 10 | malicious users: 1 | test acc 0.1719 test loss 2.249549 best test_acc 0.1719
e 11 | malicious users: 1 | test acc 0.2128 test loss 2.145276 best test_acc 0.2128
e 12 | malicious users: 3 | test acc 0.1764 test loss 2.255581 best test_acc 0.2128
e 13 | malicious users: 0 | test acc 0.2194 test loss 2.231291 best test_acc 0.2194
e 14 | malicious users: 2 | test acc 0.2419 test loss 2.141687 best test_acc 0.2419
e 15 | malicious users: 5 | test acc 0.2388 test loss 2.191553 best test_acc 0.2419
e 16 | malicious users: 0 | test acc 0.2509 test loss 2.139077 best test_acc 0.2509
e 17 | malicious users: 3 | test acc 0.1870 test loss 2.177432 best test_acc 0.2509
e 18 | malicious users: 3 | test acc 0.2155 test loss 2.144747 best test_acc 0.2509
e 19 | malicious users: 4 | test acc 0.1866 test loss 2.149692 best test_acc 0.2509
e 20 | malicious users: 2 | test acc 0.2354 test loss 2.037331 best test_acc 0.2509
e 21 | malicious users: 6 | test acc 0.2430 test loss 2.036817 best test_acc 0.2509
e 22 | malicious users: 2 | test acc 0.2338 test loss 2.079209 best test_acc 0.2509
e 23 | malicious users: 2 | test acc 0.2264 test loss 2.136510 best test_acc 0.2509
e 24 | malicious users: 3 | test acc 0.2370 test loss 2.051546 best test_acc 0.2509
e 25 | malicious users: 2 | test acc 0.2685 test loss 2.116014 best test_acc 0.2685
e 26 | malicious users: 3 | test acc 0.2523 test loss 2.102043 best test_acc 0.2685
e 27 | malicious users: 2 | test acc 0.2635 test loss 2.088500 best test_acc 0.2685
e 28 | malicious users: 4 | test acc 0.2612 test loss 2.040995 best test_acc 0.2685
e 29 | malicious users: 1 | test acc 0.2682 test loss 1.964883 best test_acc 0.2685
e 30 | malicious users: 1 | test acc 0.2763 test loss 1.979209 best test_acc 0.2763
e 31 | malicious users: 3 | test acc 0.2767 test loss 1.949838 best test_acc 0.2767
e 32 | malicious users: 2 | test acc 0.3015 test loss 1.932311 best test_acc 0.3015
e 33 | malicious users: 0 | test acc 0.2690 test loss 1.952500 best test_acc 0.3015
e 34 | malicious users: 2 | test acc 0.2732 test loss 1.920317 best test_acc 0.3015
e 35 | malicious users: 2 | test acc 0.2849 test loss 1.965186 best test_acc 0.3015
e 36 | malicious users: 2 | test acc 0.2675 test loss 1.924800 best test_acc 0.3015
e 37 | malicious users: 2 | test acc 0.3031 test loss 1.947790 best test_acc 0.3031
e 38 | malicious users: 5 | test acc 0.2724 test loss 1.935187 best test_acc 0.3031
e 39 | malicious users: 2 | test acc 0.2985 test loss 1.939953 best test_acc 0.3031
e 40 | malicious users: 2 | test acc 0.3008 test loss 1.912270 best test_acc 0.3031
e 41 | malicious users: 3 | test acc 0.3359 test loss 1.840829 best test_acc 0.3359
e 42 | malicious users: 2 | test acc 0.3087 test loss 1.886731 best test_acc 0.3359
e 43 | malicious users: 3 | test acc 0.2757 test loss 1.905058 best test_acc 0.3359
e 44 | malicious users: 4 | test acc 0.3085 test loss 1.917091 best test_acc 0.3359
e 45 | malicious users: 4 | test acc 0.3122 test loss 1.864021 best test_acc 0.3359
e 46 | malicious users: 4 | test acc 0.3133 test loss 1.871103 best test_acc 0.3359
e 47 | malicious users: 1 | test acc 0.3261 test loss 1.849614 best test_acc 0.3359
e 48 | malicious users: 0 | test acc 0.3235 test loss 1.846084 best test_acc 0.3359
e 49 | malicious users: 5 | test acc 0.3173 test loss 1.826008 best test_acc 0.3359
e 50 | malicious users: 1 | test acc 0.3209 test loss 1.789895 best test_acc 0.3359
e 51 | malicious users: 3 | test acc 0.3284 test loss 1.870645 best test_acc 0.3359
e 52 | malicious users: 2 | test acc 0.3519 test loss 1.752973 best test_acc 0.3519
e 53 | malicious users: 1 | test acc 0.3347 test loss 1.853407 best test_acc 0.3519
