#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.1002 test loss 2.301540 best test_acc 0.1002
e 1 | malicious users: 3 | test acc 0.1000 test loss 2.298832 best test_acc 0.1002
e 2 | malicious users: 3 | test acc 0.1000 test loss 2.299577 best test_acc 0.1002
e 3 | malicious users: 2 | test acc 0.1000 test loss 2.288997 best test_acc 0.1002
e 4 | malicious users: 2 | test acc 0.1000 test loss 2.297922 best test_acc 0.1002
e 5 | malicious users: 4 | test acc 0.1257 test loss 2.272033 best test_acc 0.1257
e 6 | malicious users: 1 | test acc 0.1714 test loss 2.273415 best test_acc 0.1714
e 7 | malicious users: 4 | test acc 0.1356 test loss 2.250909 best test_acc 0.1714
e 8 | malicious users: 2 | test acc 0.2117 test loss 2.264487 best test_acc 0.2117
e 9 | malicious users: 2 | test acc 0.1733 test loss 2.284030 best test_acc 0.2117
e 10 | malicious users: 3 | test acc 0.1781 test loss 2.191057 best test_acc 0.2117
e 11 | malicious users: 4 | test acc 0.1520 test loss 2.264909 best test_acc 0.2117
e 12 | malicious users: 1 | test acc 0.1716 test loss 2.187308 best test_acc 0.2117
e 13 | malicious users: 2 | test acc 0.2042 test loss 2.242662 best test_acc 0.2117
e 14 | malicious users: 3 | test acc 0.1674 test loss 2.155215 best test_acc 0.2117
e 15 | malicious users: 1 | test acc 0.2108 test loss 2.193542 best test_acc 0.2117
e 16 | malicious users: 3 | test acc 0.1675 test loss 2.184481 best test_acc 0.2117
e 17 | malicious users: 3 | test acc 0.2232 test loss 2.156626 best test_acc 0.2232
e 18 | malicious users: 1 | test acc 0.1790 test loss 2.164562 best test_acc 0.2232
e 19 | malicious users: 4 | test acc 0.1799 test loss 2.156128 best test_acc 0.2232
e 20 | malicious users: 2 | test acc 0.2299 test loss 2.108145 best test_acc 0.2299
e 21 | malicious users: 4 | test acc 0.2236 test loss 2.044309 best test_acc 0.2299
e 22 | malicious users: 1 | test acc 0.2438 test loss 2.058669 best test_acc 0.2438
e 23 | malicious users: 2 | test acc 0.2426 test loss 2.033258 best test_acc 0.2438
e 24 | malicious users: 5 | test acc 0.2120 test loss 2.083330 best test_acc 0.2438
e 25 | malicious users: 1 | test acc 0.2714 test loss 1.994089 best test_acc 0.2714
e 26 | malicious users: 3 | test acc 0.2519 test loss 2.062813 best test_acc 0.2714
e 27 | malicious users: 1 | test acc 0.2937 test loss 1.961647 best test_acc 0.2937
e 28 | malicious users: 0 | test acc 0.2113 test loss 2.100421 best test_acc 0.2937
e 29 | malicious users: 0 | test acc 0.2564 test loss 2.013899 best test_acc 0.2937
e 30 | malicious users: 2 | test acc 0.2896 test loss 1.959288 best test_acc 0.2937
e 31 | malicious users: 5 | test acc 0.2869 test loss 1.998497 best test_acc 0.2937
e 32 | malicious users: 2 | test acc 0.2927 test loss 2.040330 best test_acc 0.2937
e 33 | malicious users: 2 | test acc 0.2920 test loss 1.933578 best test_acc 0.2937
e 34 | malicious users: 4 | test acc 0.2869 test loss 1.912637 best test_acc 0.2937
e 35 | malicious users: 5 | test acc 0.3070 test loss 1.925207 best test_acc 0.3070
e 36 | malicious users: 1 | test acc 0.2878 test loss 1.921664 best test_acc 0.3070
e 37 | malicious users: 4 | test acc 0.2624 test loss 1.976328 best test_acc 0.3070
e 38 | malicious users: 1 | test acc 0.2781 test loss 1.908378 best test_acc 0.3070
e 39 | malicious users: 2 | test acc 0.2722 test loss 1.944474 best test_acc 0.3070
e 40 | malicious users: 1 | test acc 0.2958 test loss 1.863441 best test_acc 0.3070
e 41 | malicious users: 2 | test acc 0.3043 test loss 1.866826 best test_acc 0.3070
e 42 | malicious users: 1 | test acc 0.3300 test loss 1.849372 best test_acc 0.3300
e 43 | malicious users: 5 | test acc 0.3396 test loss 1.851486 best test_acc 0.3396
e 44 | malicious users: 1 | test acc 0.3132 test loss 1.868140 best test_acc 0.3396
e 45 | malicious users: 1 | test acc 0.3198 test loss 1.865896 best test_acc 0.3396
e 46 | malicious users: 3 | test acc 0.3112 test loss 1.907109 best test_acc 0.3396
e 47 | malicious users: 2 | test acc 0.3409 test loss 1.815376 best test_acc 0.3409
e 48 | malicious users: 2 | test acc 0.3174 test loss 1.841885 best test_acc 0.3409
e 49 | malicious users: 5 | test acc 0.3178 test loss 1.877619 best test_acc 0.3409
e 50 | malicious users: 1 | test acc 0.3374 test loss 1.832372 best test_acc 0.3409
e 51 | malicious users: 2 | test acc 0.3415 test loss 1.827851 best test_acc 0.3415
e 52 | malicious users: 3 | test acc 0.2974 test loss 1.922303 best test_acc 0.3415
e 53 | malicious users: 3 | test acc 0.3107 test loss 1.809483 best test_acc 0.3415
e 54 | malicious users: 3 | test acc 0.3484 test loss 1.774875 best test_acc 0.3484
e 55 | malicious users: 4 | test acc 0.3217 test loss 1.817125 best test_acc 0.3484
e 56 | malicious users: 3 | test acc 0.3663 test loss 1.714286 best test_acc 0.3663
e 57 | malicious users: 3 | test acc 0.3548 test loss 1.796367 best test_acc 0.3663
e 58 | malicious users: 3 | test acc 0.3621 test loss 1.740943 best test_acc 0.3663
e 59 | malicious users: 8 | test acc 0.3708 test loss 1.751015 best test_acc 0.3708
e 60 | malicious users: 4 | test acc 0.3488 test loss 1.907958 best test_acc 0.3708
