#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.1046 test loss 2.302225 best test_acc 0.1046
e 1 | malicious users: 3 | test acc 0.1118 test loss 2.299394 best test_acc 0.1118
e 2 | malicious users: 1 | test acc 0.1355 test loss 2.301755 best test_acc 0.1355
e 3 | malicious users: 1 | test acc 0.1009 test loss 2.298083 best test_acc 0.1355
e 4 | malicious users: 0 | test acc 0.1035 test loss 2.296970 best test_acc 0.1355
e 5 | malicious users: 3 | test acc 0.1561 test loss 2.275270 best test_acc 0.1561
e 6 | malicious users: 5 | test acc 0.1302 test loss 2.290632 best test_acc 0.1561
e 7 | malicious users: 3 | test acc 0.2023 test loss 2.277999 best test_acc 0.2023
e 8 | malicious users: 5 | test acc 0.1977 test loss 2.262402 best test_acc 0.2023
e 9 | malicious users: 3 | test acc 0.1224 test loss 2.282318 best test_acc 0.2023
e 10 | malicious users: 1 | test acc 0.2041 test loss 2.199225 best test_acc 0.2041
e 11 | malicious users: 4 | test acc 0.1499 test loss 2.262754 best test_acc 0.2041
e 12 | malicious users: 3 | test acc 0.2344 test loss 2.214398 best test_acc 0.2344
e 13 | malicious users: 4 | test acc 0.2130 test loss 2.206749 best test_acc 0.2344
e 14 | malicious users: 4 | test acc 0.2209 test loss 2.258762 best test_acc 0.2344
e 15 | malicious users: 1 | test acc 0.2220 test loss 2.132388 best test_acc 0.2344
e 16 | malicious users: 4 | test acc 0.1924 test loss 2.153532 best test_acc 0.2344
e 17 | malicious users: 2 | test acc 0.2001 test loss 2.074127 best test_acc 0.2344
e 18 | malicious users: 2 | test acc 0.2477 test loss 2.092961 best test_acc 0.2477
e 19 | malicious users: 3 | test acc 0.1984 test loss 2.174950 best test_acc 0.2477
e 20 | malicious users: 1 | test acc 0.2219 test loss 2.083133 best test_acc 0.2477
e 21 | malicious users: 2 | test acc 0.2170 test loss 2.153116 best test_acc 0.2477
e 22 | malicious users: 2 | test acc 0.2348 test loss 2.097103 best test_acc 0.2477
e 23 | malicious users: 2 | test acc 0.2077 test loss 2.054296 best test_acc 0.2477
e 24 | malicious users: 2 | test acc 0.2298 test loss 2.142228 best test_acc 0.2477
e 25 | malicious users: 2 | test acc 0.1731 test loss 2.122694 best test_acc 0.2477
e 26 | malicious users: 2 | test acc 0.2472 test loss 2.052606 best test_acc 0.2477
e 27 | malicious users: 3 | test acc 0.2332 test loss 2.064445 best test_acc 0.2477
e 28 | malicious users: 3 | test acc 0.2547 test loss 2.043901 best test_acc 0.2547
e 29 | malicious users: 1 | test acc 0.2679 test loss 2.001594 best test_acc 0.2679
e 30 | malicious users: 3 | test acc 0.2803 test loss 1.964395 best test_acc 0.2803
e 31 | malicious users: 4 | test acc 0.2898 test loss 2.017833 best test_acc 0.2898
e 32 | malicious users: 3 | test acc 0.2813 test loss 1.985039 best test_acc 0.2898
e 33 | malicious users: 3 | test acc 0.2288 test loss 2.018071 best test_acc 0.2898
e 34 | malicious users: 1 | test acc 0.2849 test loss 1.918059 best test_acc 0.2898
e 35 | malicious users: 4 | test acc 0.2610 test loss 1.921768 best test_acc 0.2898
e 36 | malicious users: 2 | test acc 0.2640 test loss 1.988004 best test_acc 0.2898
e 37 | malicious users: 3 | test acc 0.3047 test loss 1.923796 best test_acc 0.3047
e 38 | malicious users: 2 | test acc 0.3110 test loss 1.861761 best test_acc 0.3110
e 39 | malicious users: 3 | test acc 0.3008 test loss 1.979002 best test_acc 0.3110
e 40 | malicious users: 3 | test acc 0.2839 test loss 1.888526 best test_acc 0.3110
e 41 | malicious users: 3 | test acc 0.2852 test loss 2.026526 best test_acc 0.3110
e 42 | malicious users: 2 | test acc 0.2788 test loss 1.899808 best test_acc 0.3110
e 43 | malicious users: 3 | test acc 0.3001 test loss 1.953602 best test_acc 0.3110
e 44 | malicious users: 2 | test acc 0.2989 test loss 1.884843 best test_acc 0.3110
e 45 | malicious users: 0 | test acc 0.3301 test loss 1.825698 best test_acc 0.3301
e 46 | malicious users: 2 | test acc 0.3071 test loss 1.852824 best test_acc 0.3301
e 47 | malicious users: 6 | test acc 0.3040 test loss 1.886293 best test_acc 0.3301
e 48 | malicious users: 4 | test acc 0.3101 test loss 1.853286 best test_acc 0.3301
e 49 | malicious users: 1 | test acc 0.3357 test loss 1.844252 best test_acc 0.3357
e 50 | malicious users: 1 | test acc 0.3497 test loss 1.865972 best test_acc 0.3497
e 51 | malicious users: 3 | test acc 0.3259 test loss 1.831635 best test_acc 0.3497
e 52 | malicious users: 2 | test acc 0.3239 test loss 1.814211 best test_acc 0.3497
e 53 | malicious users: 1 | test acc 0.3251 test loss 1.915491 best test_acc 0.3497
e 54 | malicious users: 3 | test acc 0.3604 test loss 1.757448 best test_acc 0.3604
e 55 | malicious users: 4 | test acc 0.3509 test loss 1.819301 best test_acc 0.3604
e 56 | malicious users: 3 | test acc 0.3449 test loss 1.807588 best test_acc 0.3604
e 57 | malicious users: 1 | test acc 0.3600 test loss 1.783722 best test_acc 0.3604
e 58 | malicious users: 4 | test acc 0.3496 test loss 1.856279 best test_acc 0.3604
e 59 | malicious users: 6 | test acc 0.3808 test loss 1.753419 best test_acc 0.3808
e 60 | malicious users: 3 | test acc 0.3440 test loss 1.794646 best test_acc 0.3808
e 61 | malicious users: 4 | test acc 0.3606 test loss 1.777547 best test_acc 0.3808
e 62 | malicious users: 3 | test acc 0.3538 test loss 1.753358 best test_acc 0.3808
e 63 | malicious users: 2 | test acc 0.3723 test loss 1.710669 best test_acc 0.3808
e 64 | malicious users: 3 | test acc 0.3797 test loss 1.695070 best test_acc 0.3808
e 65 | malicious users: 1 | test acc 0.3369 test loss 1.825815 best test_acc 0.3808
e 66 | malicious users: 3 | test acc 0.3548 test loss 1.742930 best test_acc 0.3808
e 67 | malicious users: 4 | test acc 0.3598 test loss 1.773247 best test_acc 0.3808
e 68 | malicious users: 1 | test acc 0.3859 test loss 1.678395 best test_acc 0.3859
e 69 | malicious users: 0 | test acc 0.3673 test loss 1.768993 best test_acc 0.3859
e 70 | malicious users: 4 | test acc 0.3762 test loss 1.719530 best test_acc 0.3859
e 71 | malicious users: 2 | test acc 0.3564 test loss 1.752189 best test_acc 0.3859
e 72 | malicious users: 1 | test acc 0.3802 test loss 1.696133 best test_acc 0.3859
e 73 | malicious users: 4 | test acc 0.3859 test loss 1.769783 best test_acc 0.3859
e 74 | malicious users: 4 | test acc 0.3923 test loss 1.667474 best test_acc 0.3923
e 75 | malicious users: 2 | test acc 0.3475 test loss 1.794458 best test_acc 0.3923
e 76 | malicious users: 2 | test acc 0.3487 test loss 1.783225 best test_acc 0.3923
e 77 | malicious users: 5 | test acc 0.3748 test loss 1.720276 best test_acc 0.3923
e 78 | malicious users: 2 | test acc 0.3824 test loss 1.691482 best test_acc 0.3923
e 79 | malicious users: 5 | test acc 0.3868 test loss 1.678571 best test_acc 0.3923
e 80 | malicious users: 0 | test acc 0.4048 test loss 1.626984 best test_acc 0.4048
e 81 | malicious users: 3 | test acc 0.3678 test loss 1.692038 best test_acc 0.4048
e 82 | malicious users: 0 | test acc 0.3907 test loss 1.671037 best test_acc 0.4048
e 83 | malicious users: 0 | test acc 0.4097 test loss 1.625262 best test_acc 0.4097
e 84 | malicious users: 2 | test acc 0.4186 test loss 1.611025 best test_acc 0.4186
e 85 | malicious users: 2 | test acc 0.4064 test loss 1.736126 best test_acc 0.4186
e 86 | malicious users: 2 | test acc 0.4016 test loss 1.653557 best test_acc 0.4186
e 87 | malicious users: 1 | test acc 0.4133 test loss 1.611578 best test_acc 0.4186
e 88 | malicious users: 5 | test acc 0.4204 test loss 1.619549 best test_acc 0.4204
e 89 | malicious users: 5 | test acc 0.4189 test loss 1.611609 best test_acc 0.4204
