#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.1002 test loss 2.302727 best test_acc 0.1002
e 1 | malicious users: 2 | test acc 0.1104 test loss 2.302228 best test_acc 0.1104
e 2 | malicious users: 4 | test acc 0.1392 test loss 2.301011 best test_acc 0.1392
e 3 | malicious users: 4 | test acc 0.1210 test loss 2.297923 best test_acc 0.1392
e 4 | malicious users: 1 | test acc 0.1143 test loss 2.287428 best test_acc 0.1392
e 5 | malicious users: 4 | test acc 0.1773 test loss 2.293540 best test_acc 0.1773
e 6 | malicious users: 4 | test acc 0.1466 test loss 2.230790 best test_acc 0.1773
e 7 | malicious users: 2 | test acc 0.1066 test loss 2.300603 best test_acc 0.1773
e 8 | malicious users: 3 | test acc 0.1000 test loss 2.285573 best test_acc 0.1773
e 9 | malicious users: 4 | test acc 0.1202 test loss 2.292230 best test_acc 0.1773
e 10 | malicious users: 3 | test acc 0.2118 test loss 2.239412 best test_acc 0.2118
e 11 | malicious users: 2 | test acc 0.1443 test loss 2.279860 best test_acc 0.2118
e 12 | malicious users: 2 | test acc 0.1566 test loss 2.240187 best test_acc 0.2118
e 13 | malicious users: 2 | test acc 0.1935 test loss 2.203278 best test_acc 0.2118
e 14 | malicious users: 2 | test acc 0.1620 test loss 2.231786 best test_acc 0.2118
e 15 | malicious users: 3 | test acc 0.2108 test loss 2.184886 best test_acc 0.2118
e 16 | malicious users: 1 | test acc 0.1841 test loss 2.243485 best test_acc 0.2118
e 17 | malicious users: 2 | test acc 0.2316 test loss 2.103250 best test_acc 0.2316
e 18 | malicious users: 1 | test acc 0.1949 test loss 2.224131 best test_acc 0.2316
e 19 | malicious users: 0 | test acc 0.1684 test loss 2.186123 best test_acc 0.2316
e 20 | malicious users: 1 | test acc 0.1818 test loss 2.097162 best test_acc 0.2316
e 21 | malicious users: 1 | test acc 0.2349 test loss 2.098863 best test_acc 0.2349
e 22 | malicious users: 2 | test acc 0.1928 test loss 2.139881 best test_acc 0.2349
e 23 | malicious users: 2 | test acc 0.2063 test loss 2.123767 best test_acc 0.2349
e 24 | malicious users: 1 | test acc 0.1899 test loss 2.106270 best test_acc 0.2349
e 25 | malicious users: 3 | test acc 0.2276 test loss 2.061371 best test_acc 0.2349
e 26 | malicious users: 3 | test acc 0.2527 test loss 1.969951 best test_acc 0.2527
e 27 | malicious users: 3 | test acc 0.2595 test loss 2.128947 best test_acc 0.2595
e 28 | malicious users: 5 | test acc 0.2401 test loss 2.075785 best test_acc 0.2595
e 29 | malicious users: 5 | test acc 0.2765 test loss 2.001223 best test_acc 0.2765
e 30 | malicious users: 5 | test acc 0.2412 test loss 2.107229 best test_acc 0.2765
e 31 | malicious users: 3 | test acc 0.2404 test loss 2.099495 best test_acc 0.2765
e 32 | malicious users: 3 | test acc 0.2469 test loss 1.987284 best test_acc 0.2765
e 33 | malicious users: 2 | test acc 0.2756 test loss 1.952321 best test_acc 0.2765
e 34 | malicious users: 1 | test acc 0.2292 test loss 2.119165 best test_acc 0.2765
e 35 | malicious users: 0 | test acc 0.2819 test loss 2.012089 best test_acc 0.2819
e 36 | malicious users: 1 | test acc 0.3070 test loss 1.909662 best test_acc 0.3070
e 37 | malicious users: 2 | test acc 0.3228 test loss 1.904046 best test_acc 0.3228
e 38 | malicious users: 2 | test acc 0.2566 test loss 2.011462 best test_acc 0.3228
e 39 | malicious users: 2 | test acc 0.2891 test loss 1.925465 best test_acc 0.3228
e 40 | malicious users: 4 | test acc 0.3127 test loss 1.877640 best test_acc 0.3228
e 41 | malicious users: 1 | test acc 0.2905 test loss 1.979500 best test_acc 0.3228
e 42 | malicious users: 3 | test acc 0.3324 test loss 1.893517 best test_acc 0.3324
e 43 | malicious users: 1 | test acc 0.2694 test loss 2.022446 best test_acc 0.3324
e 44 | malicious users: 4 | test acc 0.2893 test loss 1.975877 best test_acc 0.3324
e 45 | malicious users: 4 | test acc 0.2984 test loss 1.900778 best test_acc 0.3324
e 46 | malicious users: 2 | test acc 0.3310 test loss 1.833240 best test_acc 0.3324
e 47 | malicious users: 3 | test acc 0.2669 test loss 1.923285 best test_acc 0.3324
e 48 | malicious users: 4 | test acc 0.3431 test loss 1.820485 best test_acc 0.3431
e 49 | malicious users: 3 | test acc 0.3405 test loss 1.900480 best test_acc 0.3431
e 50 | malicious users: 2 | test acc 0.3269 test loss 1.869616 best test_acc 0.3431
e 51 | malicious users: 2 | test acc 0.3413 test loss 1.823894 best test_acc 0.3431
e 52 | malicious users: 2 | test acc 0.3418 test loss 1.773695 best test_acc 0.3431
e 53 | malicious users: 3 | test acc 0.3304 test loss 1.813597 best test_acc 0.3431
e 54 | malicious users: 3 | test acc 0.3231 test loss 1.864183 best test_acc 0.3431
e 55 | malicious users: 3 | test acc 0.3536 test loss 1.769730 best test_acc 0.3536
e 56 | malicious users: 1 | test acc 0.3752 test loss 1.726263 best test_acc 0.3752
e 57 | malicious users: 1 | test acc 0.3292 test loss 1.762572 best test_acc 0.3752
