#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 4 | test acc 0.0885 test loss 2.302520 best test_acc 0.0885
e 1 | malicious users: 2 | test acc 0.1153 test loss 2.301549 best test_acc 0.1153
e 2 | malicious users: 1 | test acc 0.1057 test loss 2.300804 best test_acc 0.1153
e 3 | malicious users: 2 | test acc 0.1527 test loss 2.295814 best test_acc 0.1527
e 4 | malicious users: 1 | test acc 0.1093 test loss 2.292940 best test_acc 0.1527
e 5 | malicious users: 4 | test acc 0.1582 test loss 2.274331 best test_acc 0.1582
e 6 | malicious users: 5 | test acc 0.1660 test loss 2.290340 best test_acc 0.1660
e 7 | malicious users: 5 | test acc 0.2015 test loss 2.185508 best test_acc 0.2015
e 8 | malicious users: 1 | test acc 0.1558 test loss 2.297868 best test_acc 0.2015
e 9 | malicious users: 3 | test acc 0.1825 test loss 2.278987 best test_acc 0.2015
e 10 | malicious users: 2 | test acc 0.1763 test loss 2.249971 best test_acc 0.2015
e 11 | malicious users: 1 | test acc 0.2013 test loss 2.292949 best test_acc 0.2015
e 12 | malicious users: 4 | test acc 0.1855 test loss 2.226635 best test_acc 0.2015
e 13 | malicious users: 1 | test acc 0.1712 test loss 2.241075 best test_acc 0.2015
e 14 | malicious users: 4 | test acc 0.2027 test loss 2.223026 best test_acc 0.2027
e 15 | malicious users: 3 | test acc 0.1714 test loss 2.238485 best test_acc 0.2027
e 16 | malicious users: 3 | test acc 0.2071 test loss 2.181181 best test_acc 0.2071
e 17 | malicious users: 2 | test acc 0.1973 test loss 2.189806 best test_acc 0.2071
e 18 | malicious users: 2 | test acc 0.2013 test loss 2.111517 best test_acc 0.2071
e 19 | malicious users: 5 | test acc 0.2119 test loss 2.219233 best test_acc 0.2119
e 20 | malicious users: 3 | test acc 0.2323 test loss 2.140335 best test_acc 0.2323
e 21 | malicious users: 2 | test acc 0.2256 test loss 2.124373 best test_acc 0.2323
e 22 | malicious users: 3 | test acc 0.2517 test loss 2.134571 best test_acc 0.2517
e 23 | malicious users: 3 | test acc 0.2434 test loss 2.079432 best test_acc 0.2517
e 24 | malicious users: 4 | test acc 0.2412 test loss 2.152230 best test_acc 0.2517
