#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.1000 test loss 2.302219 best test_acc 0.1000
e 1 | malicious users: 0 | test acc 0.1000 test loss 2.300889 best test_acc 0.1000
e 2 | malicious users: 3 | test acc 0.1405 test loss 2.302360 best test_acc 0.1405
e 3 | malicious users: 2 | test acc 0.1000 test loss 2.301452 best test_acc 0.1405
e 4 | malicious users: 1 | test acc 0.1000 test loss 2.300048 best test_acc 0.1405
e 5 | malicious users: 3 | test acc 0.1545 test loss 2.299802 best test_acc 0.1545
e 6 | malicious users: 3 | test acc 0.1000 test loss 2.295643 best test_acc 0.1545
e 7 | malicious users: 3 | test acc 0.1622 test loss 2.294014 best test_acc 0.1622
e 8 | malicious users: 5 | test acc 0.1135 test loss 2.284086 best test_acc 0.1622
e 9 | malicious users: 4 | test acc 0.1392 test loss 2.301558 best test_acc 0.1622
e 10 | malicious users: 3 | test acc 0.1550 test loss 2.297590 best test_acc 0.1622
e 11 | malicious users: 2 | test acc 0.1084 test loss 2.296133 best test_acc 0.1622
e 12 | malicious users: 2 | test acc 0.1423 test loss 2.273153 best test_acc 0.1622
e 13 | malicious users: 4 | test acc 0.1793 test loss 2.289279 best test_acc 0.1793
e 14 | malicious users: 4 | test acc 0.1775 test loss 2.203885 best test_acc 0.1793
e 15 | malicious users: 1 | test acc 0.2014 test loss 2.261944 best test_acc 0.2014
e 16 | malicious users: 2 | test acc 0.1599 test loss 2.264985 best test_acc 0.2014
e 17 | malicious users: 1 | test acc 0.2086 test loss 2.207184 best test_acc 0.2086
e 18 | malicious users: 2 | test acc 0.1680 test loss 2.287044 best test_acc 0.2086
e 19 | malicious users: 4 | test acc 0.2258 test loss 2.106687 best test_acc 0.2258
e 20 | malicious users: 3 | test acc 0.1814 test loss 2.270075 best test_acc 0.2258
e 21 | malicious users: 2 | test acc 0.2132 test loss 2.192170 best test_acc 0.2258
e 22 | malicious users: 4 | test acc 0.2195 test loss 2.193766 best test_acc 0.2258
e 23 | malicious users: 3 | test acc 0.1940 test loss 2.213071 best test_acc 0.2258
e 24 | malicious users: 2 | test acc 0.2020 test loss 2.185061 best test_acc 0.2258
e 25 | malicious users: 4 | test acc 0.2082 test loss 2.093169 best test_acc 0.2258
e 26 | malicious users: 1 | test acc 0.1957 test loss 2.166135 best test_acc 0.2258
e 27 | malicious users: 0 | test acc 0.2274 test loss 2.040766 best test_acc 0.2274
e 28 | malicious users: 3 | test acc 0.2042 test loss 2.083224 best test_acc 0.2274
e 29 | malicious users: 2 | test acc 0.2214 test loss 2.078952 best test_acc 0.2274
e 30 | malicious users: 4 | test acc 0.2074 test loss 2.114761 best test_acc 0.2274
e 31 | malicious users: 1 | test acc 0.2290 test loss 2.098742 best test_acc 0.2290
e 32 | malicious users: 0 | test acc 0.2406 test loss 2.051002 best test_acc 0.2406
e 33 | malicious users: 5 | test acc 0.2264 test loss 2.100363 best test_acc 0.2406
e 34 | malicious users: 2 | test acc 0.2417 test loss 2.037386 best test_acc 0.2417
e 35 | malicious users: 1 | test acc 0.2504 test loss 1.993941 best test_acc 0.2504
e 36 | malicious users: 0 | test acc 0.2118 test loss 2.033913 best test_acc 0.2504
e 37 | malicious users: 2 | test acc 0.2734 test loss 1.988117 best test_acc 0.2734
