#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.1007 test loss 2.302589 best test_acc 0.1007
e 1 | malicious users: 0 | test acc 0.1251 test loss 2.300558 best test_acc 0.1251
e 2 | malicious users: 3 | test acc 0.0999 test loss 2.302881 best test_acc 0.1251
e 3 | malicious users: 2 | test acc 0.1100 test loss 2.303256 best test_acc 0.1251
e 4 | malicious users: 1 | test acc 0.0984 test loss 2.301575 best test_acc 0.1251
e 5 | malicious users: 3 | test acc 0.1000 test loss 2.303104 best test_acc 0.1251
e 6 | malicious users: 1 | test acc 0.1000 test loss 2.297680 best test_acc 0.1251
e 7 | malicious users: 2 | test acc 0.1146 test loss 2.300593 best test_acc 0.1251
e 8 | malicious users: 3 | test acc 0.1000 test loss 2.296831 best test_acc 0.1251
e 9 | malicious users: 3 | test acc 0.1000 test loss 2.310107 best test_acc 0.1251
e 10 | malicious users: 1 | test acc 0.1662 test loss 2.289286 best test_acc 0.1662
e 11 | malicious users: 2 | test acc 0.1064 test loss 2.272680 best test_acc 0.1662
e 12 | malicious users: 1 | test acc 0.1628 test loss 2.249885 best test_acc 0.1662
e 13 | malicious users: 5 | test acc 0.1396 test loss 2.301045 best test_acc 0.1662
e 14 | malicious users: 2 | test acc 0.1413 test loss 2.278123 best test_acc 0.1662
e 15 | malicious users: 5 | test acc 0.1506 test loss 2.257380 best test_acc 0.1662
e 16 | malicious users: 4 | test acc 0.1482 test loss 2.294449 best test_acc 0.1662
e 17 | malicious users: 1 | test acc 0.1526 test loss 2.273268 best test_acc 0.1662
e 18 | malicious users: 3 | test acc 0.1924 test loss 2.281892 best test_acc 0.1924
e 19 | malicious users: 2 | test acc 0.1676 test loss 2.198938 best test_acc 0.1924
e 20 | malicious users: 3 | test acc 0.1242 test loss 2.278673 best test_acc 0.1924
e 21 | malicious users: 2 | test acc 0.1001 test loss 2.262420 best test_acc 0.1924
e 22 | malicious users: 3 | test acc 0.1000 test loss 2.259676 best test_acc 0.1924
e 23 | malicious users: 3 | test acc 0.1364 test loss 2.272963 best test_acc 0.1924
e 24 | malicious users: 0 | test acc 0.1342 test loss 2.216874 best test_acc 0.1924
e 25 | malicious users: 3 | test acc 0.1049 test loss 2.268895 best test_acc 0.1924
e 26 | malicious users: 5 | test acc 0.1681 test loss 2.239594 best test_acc 0.1924
