#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.0976 test loss 2.302286 best test_acc 0.0976
e 1 | malicious users: 2 | test acc 0.1188 test loss 2.298383 best test_acc 0.1188
e 2 | malicious users: 2 | test acc 0.1066 test loss 2.302218 best test_acc 0.1188
e 3 | malicious users: 3 | test acc 0.1003 test loss 2.299718 best test_acc 0.1188
e 4 | malicious users: 3 | test acc 0.1063 test loss 2.300886 best test_acc 0.1188
e 5 | malicious users: 3 | test acc 0.1367 test loss 2.295608 best test_acc 0.1367
e 6 | malicious users: 4 | test acc 0.1003 test loss 2.300591 best test_acc 0.1367
e 7 | malicious users: 1 | test acc 0.1296 test loss 2.295558 best test_acc 0.1367
e 8 | malicious users: 2 | test acc 0.1341 test loss 2.277605 best test_acc 0.1367
e 9 | malicious users: 4 | test acc 0.1590 test loss 2.271251 best test_acc 0.1590
e 10 | malicious users: 6 | test acc 0.1027 test loss 2.272501 best test_acc 0.1590
e 11 | malicious users: 3 | test acc 0.1478 test loss 2.278312 best test_acc 0.1590
e 12 | malicious users: 3 | test acc 0.2015 test loss 2.214085 best test_acc 0.2015
e 13 | malicious users: 3 | test acc 0.1868 test loss 2.241093 best test_acc 0.2015
e 14 | malicious users: 3 | test acc 0.1442 test loss 2.275068 best test_acc 0.2015
e 15 | malicious users: 3 | test acc 0.1941 test loss 2.177356 best test_acc 0.2015
e 16 | malicious users: 4 | test acc 0.1340 test loss 2.293935 best test_acc 0.2015
e 17 | malicious users: 4 | test acc 0.1339 test loss 2.234477 best test_acc 0.2015
e 18 | malicious users: 2 | test acc 0.1679 test loss 2.177607 best test_acc 0.2015
e 19 | malicious users: 1 | test acc 0.1537 test loss 2.189205 best test_acc 0.2015
e 20 | malicious users: 5 | test acc 0.2086 test loss 2.128017 best test_acc 0.2086
e 21 | malicious users: 2 | test acc 0.2101 test loss 2.212939 best test_acc 0.2101
e 22 | malicious users: 3 | test acc 0.2024 test loss 2.132318 best test_acc 0.2101
e 23 | malicious users: 0 | test acc 0.1867 test loss 2.116264 best test_acc 0.2101
e 24 | malicious users: 2 | test acc 0.1990 test loss 2.125351 best test_acc 0.2101
e 25 | malicious users: 1 | test acc 0.1767 test loss 2.135424 best test_acc 0.2101
e 26 | malicious users: 3 | test acc 0.2211 test loss 2.126031 best test_acc 0.2211
e 27 | malicious users: 2 | test acc 0.2027 test loss 2.051690 best test_acc 0.2211
e 28 | malicious users: 2 | test acc 0.2436 test loss 2.065143 best test_acc 0.2436
e 29 | malicious users: 2 | test acc 0.2060 test loss 2.051724 best test_acc 0.2436
e 30 | malicious users: 4 | test acc 0.2465 test loss 2.102175 best test_acc 0.2465
e 31 | malicious users: 3 | test acc 0.2440 test loss 2.001840 best test_acc 0.2465
e 32 | malicious users: 1 | test acc 0.2118 test loss 2.002321 best test_acc 0.2465
e 33 | malicious users: 5 | test acc 0.2548 test loss 2.040537 best test_acc 0.2548
e 34 | malicious users: 0 | test acc 0.2492 test loss 1.969451 best test_acc 0.2548
e 35 | malicious users: 2 | test acc 0.2547 test loss 1.955004 best test_acc 0.2548
e 36 | malicious users: 5 | test acc 0.2468 test loss 2.002027 best test_acc 0.2548
e 37 | malicious users: 4 | test acc 0.2702 test loss 1.969413 best test_acc 0.2702
