#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0981 test loss 2.302340 best test_acc 0.0981
e 1 | malicious users: 8 | test acc 0.1000 test loss 2.313634 best test_acc 0.1000
e 2 | malicious users: 4 | test acc 0.1112 test loss 2.302125 best test_acc 0.1112
e 3 | malicious users: 8 | test acc 0.1000 test loss 2.303348 best test_acc 0.1112
e 4 | malicious users: 8 | test acc 0.1021 test loss 2.303843 best test_acc 0.1112
e 5 | malicious users: 3 | test acc 0.1000 test loss 2.301453 best test_acc 0.1112
e 6 | malicious users: 8 | test acc 0.1000 test loss 2.300726 best test_acc 0.1112
e 7 | malicious users: 2 | test acc 0.1150 test loss 2.302130 best test_acc 0.1150
e 8 | malicious users: 6 | test acc 0.1014 test loss 2.301956 best test_acc 0.1150
e 9 | malicious users: 8 | test acc 0.1000 test loss 2.294920 best test_acc 0.1150
e 10 | malicious users: 8 | test acc 0.1000 test loss 2.308794 best test_acc 0.1150
e 11 | malicious users: 7 | test acc 0.1000 test loss 2.303488 best test_acc 0.1150
e 12 | malicious users: 11 | test acc 0.1001 test loss 2.302439 best test_acc 0.1150
e 13 | malicious users: 5 | test acc 0.1105 test loss 2.301137 best test_acc 0.1150
e 14 | malicious users: 2 | test acc 0.1000 test loss 2.302157 best test_acc 0.1150
e 15 | malicious users: 3 | test acc 0.1000 test loss 2.307801 best test_acc 0.1150
e 16 | malicious users: 6 | test acc 0.1144 test loss 2.302578 best test_acc 0.1150
e 17 | malicious users: 2 | test acc 0.1000 test loss 2.301864 best test_acc 0.1150
e 18 | malicious users: 6 | test acc 0.1000 test loss 2.303406 best test_acc 0.1150
e 19 | malicious users: 7 | test acc 0.1000 test loss 2.304713 best test_acc 0.1150
e 20 | malicious users: 3 | test acc 0.1000 test loss 2.298369 best test_acc 0.1150
e 21 | malicious users: 4 | test acc 0.1000 test loss 2.303277 best test_acc 0.1150
e 22 | malicious users: 4 | test acc 0.1000 test loss 2.294853 best test_acc 0.1150
e 23 | malicious users: 3 | test acc 0.1088 test loss 2.301069 best test_acc 0.1150
e 24 | malicious users: 6 | test acc 0.1000 test loss 2.288274 best test_acc 0.1150
e 25 | malicious users: 7 | test acc 0.1000 test loss 2.297813 best test_acc 0.1150
e 26 | malicious users: 8 | test acc 0.1431 test loss 2.293528 best test_acc 0.1431
e 27 | malicious users: 6 | test acc 0.1000 test loss 2.281367 best test_acc 0.1431
e 28 | malicious users: 8 | test acc 0.1000 test loss 2.290692 best test_acc 0.1431
e 29 | malicious users: 3 | test acc 0.1000 test loss 2.269637 best test_acc 0.1431
e 30 | malicious users: 4 | test acc 0.1606 test loss 2.266385 best test_acc 0.1606
e 31 | malicious users: 6 | test acc 0.1000 test loss 2.272930 best test_acc 0.1606
e 32 | malicious users: 7 | test acc 0.1666 test loss 2.233504 best test_acc 0.1666
e 33 | malicious users: 6 | test acc 0.1692 test loss 2.213381 best test_acc 0.1692
e 34 | malicious users: 5 | test acc 0.1218 test loss 2.424242 best test_acc 0.1692
e 35 | malicious users: 5 | test acc 0.1439 test loss 2.294805 best test_acc 0.1692
e 36 | malicious users: 7 | test acc 0.1410 test loss 2.273447 best test_acc 0.1692
e 37 | malicious users: 7 | test acc 0.1432 test loss 2.186720 best test_acc 0.1692
e 38 | malicious users: 3 | test acc 0.1565 test loss 2.257359 best test_acc 0.1692
e 39 | malicious users: 5 | test acc 0.1139 test loss 2.243474 best test_acc 0.1692
e 40 | malicious users: 4 | test acc 0.1778 test loss 2.185501 best test_acc 0.1778
e 41 | malicious users: 3 | test acc 0.1445 test loss 2.239851 best test_acc 0.1778
e 42 | malicious users: 3 | test acc 0.1664 test loss 2.198971 best test_acc 0.1778
e 43 | malicious users: 6 | test acc 0.1482 test loss 2.272432 best test_acc 0.1778
e 44 | malicious users: 5 | test acc 0.1058 test loss 2.269467 best test_acc 0.1778
e 45 | malicious users: 7 | test acc 0.1706 test loss 2.199240 best test_acc 0.1778
e 46 | malicious users: 3 | test acc 0.1733 test loss 2.095183 best test_acc 0.1778
e 47 | malicious users: 5 | test acc 0.1161 test loss 2.274955 best test_acc 0.1778
e 48 | malicious users: 8 | test acc 0.1724 test loss 2.180873 best test_acc 0.1778
e 49 | malicious users: 5 | test acc 0.1676 test loss 2.247579 best test_acc 0.1778
e 50 | malicious users: 3 | test acc 0.1000 test loss 2.275920 best test_acc 0.1778
e 51 | malicious users: 5 | test acc 0.1779 test loss 2.048151 best test_acc 0.1779
e 52 | malicious users: 6 | test acc 0.1518 test loss 2.258230 best test_acc 0.1779
e 53 | malicious users: 6 | test acc 0.1996 test loss 2.117396 best test_acc 0.1996
e 54 | malicious users: 4 | test acc 0.1498 test loss 2.160921 best test_acc 0.1996
e 55 | malicious users: 3 | test acc 0.1795 test loss 2.122936 best test_acc 0.1996
e 56 | malicious users: 5 | test acc 0.1630 test loss 2.192538 best test_acc 0.1996
e 57 | malicious users: 4 | test acc 0.2017 test loss 2.072259 best test_acc 0.2017
e 58 | malicious users: 5 | test acc 0.1699 test loss 2.055455 best test_acc 0.2017
e 59 | malicious users: 2 | test acc 0.1783 test loss 2.095800 best test_acc 0.2017
e 60 | malicious users: 2 | test acc 0.2010 test loss 2.075009 best test_acc 0.2017
e 61 | malicious users: 4 | test acc 0.1961 test loss 2.078914 best test_acc 0.2017
e 62 | malicious users: 11 | test acc 0.1321 test loss 2.281107 best test_acc 0.2017
e 63 | malicious users: 4 | test acc 0.1489 test loss 2.217103 best test_acc 0.2017
e 64 | malicious users: 6 | test acc 0.2129 test loss 2.203550 best test_acc 0.2129
e 65 | malicious users: 1 | test acc 0.2269 test loss 2.040649 best test_acc 0.2269
e 66 | malicious users: 3 | test acc 0.1928 test loss 2.103309 best test_acc 0.2269
e 67 | malicious users: 4 | test acc 0.1247 test loss 2.370096 best test_acc 0.2269
e 68 | malicious users: 3 | test acc 0.1611 test loss 2.175815 best test_acc 0.2269
e 69 | malicious users: 3 | test acc 0.1582 test loss 2.039767 best test_acc 0.2269
e 70 | malicious users: 5 | test acc 0.1856 test loss 2.184170 best test_acc 0.2269
e 71 | malicious users: 5 | test acc 0.1943 test loss 2.038542 best test_acc 0.2269
e 72 | malicious users: 3 | test acc 0.1893 test loss 2.083008 best test_acc 0.2269
e 73 | malicious users: 2 | test acc 0.1753 test loss 2.027903 best test_acc 0.2269
e 74 | malicious users: 7 | test acc 0.1563 test loss 2.137097 best test_acc 0.2269
e 75 | malicious users: 5 | test acc 0.2275 test loss 2.040901 best test_acc 0.2275
e 76 | malicious users: 5 | test acc 0.2056 test loss 2.043097 best test_acc 0.2275
e 77 | malicious users: 6 | test acc 0.2099 test loss 2.046160 best test_acc 0.2275
e 78 | malicious users: 4 | test acc 0.2106 test loss 2.066021 best test_acc 0.2275
e 79 | malicious users: 8 | test acc 0.2148 test loss 2.441446 best test_acc 0.2275
e 80 | malicious users: 9 | test acc 0.1539 test loss 2.247239 best test_acc 0.2275
e 81 | malicious users: 1 | test acc 0.1693 test loss 2.114932 best test_acc 0.2275
e 82 | malicious users: 5 | test acc 0.2130 test loss 2.109854 best test_acc 0.2275
e 83 | malicious users: 8 | test acc 0.1892 test loss 2.127301 best test_acc 0.2275
e 84 | malicious users: 5 | test acc 0.2081 test loss 2.048749 best test_acc 0.2275
e 85 | malicious users: 6 | test acc 0.2024 test loss 2.088248 best test_acc 0.2275
e 86 | malicious users: 6 | test acc 0.2020 test loss 2.022249 best test_acc 0.2275
e 87 | malicious users: 10 | test acc 0.1812 test loss 2.167474 best test_acc 0.2275
e 88 | malicious users: 9 | test acc 0.1948 test loss 2.173019 best test_acc 0.2275
e 89 | malicious users: 3 | test acc 0.2208 test loss 2.018297 best test_acc 0.2275
e 90 | malicious users: 2 | test acc 0.2020 test loss 2.014739 best test_acc 0.2275
e 91 | malicious users: 5 | test acc 0.1761 test loss 2.107667 best test_acc 0.2275
e 92 | malicious users: 5 | test acc 0.2160 test loss 2.032451 best test_acc 0.2275
e 93 | malicious users: 5 | test acc 0.1894 test loss 2.015154 best test_acc 0.2275
e 94 | malicious users: 5 | test acc 0.2229 test loss 2.032361 best test_acc 0.2275
e 95 | malicious users: 7 | test acc 0.2394 test loss 2.054942 best test_acc 0.2394
e 96 | malicious users: 7 | test acc 0.2162 test loss 2.006071 best test_acc 0.2394
e 97 | malicious users: 5 | test acc 0.2480 test loss 1.968787 best test_acc 0.2480
e 98 | malicious users: 7 | test acc 0.1790 test loss 2.125173 best test_acc 0.2480
e 99 | malicious users: 8 | test acc 0.2016 test loss 2.013360 best test_acc 0.2480
e 100 | malicious users: 7 | test acc 0.2255 test loss 1.962212 best test_acc 0.2480
e 101 | malicious users: 5 | test acc 0.1913 test loss 2.101379 best test_acc 0.2480
e 102 | malicious users: 4 | test acc 0.2430 test loss 1.976221 best test_acc 0.2480
e 103 | malicious users: 5 | test acc 0.2538 test loss 1.918792 best test_acc 0.2538
e 104 | malicious users: 5 | test acc 0.2180 test loss 2.001689 best test_acc 0.2538
e 105 | malicious users: 5 | test acc 0.2338 test loss 1.992907 best test_acc 0.2538
e 106 | malicious users: 5 | test acc 0.2367 test loss 1.930644 best test_acc 0.2538
e 107 | malicious users: 7 | test acc 0.2050 test loss 2.045963 best test_acc 0.2538
e 108 | malicious users: 4 | test acc 0.2286 test loss 1.920235 best test_acc 0.2538
e 109 | malicious users: 5 | test acc 0.2425 test loss 1.968827 best test_acc 0.2538
e 110 | malicious users: 7 | test acc 0.2236 test loss 1.991907 best test_acc 0.2538
e 111 | malicious users: 4 | test acc 0.2130 test loss 1.949356 best test_acc 0.2538
e 112 | malicious users: 3 | test acc 0.2758 test loss 1.870180 best test_acc 0.2758
e 113 | malicious users: 4 | test acc 0.2564 test loss 1.924019 best test_acc 0.2758
e 114 | malicious users: 4 | test acc 0.2413 test loss 1.911159 best test_acc 0.2758
e 115 | malicious users: 7 | test acc 0.2329 test loss 1.986480 best test_acc 0.2758
e 116 | malicious users: 4 | test acc 0.2365 test loss 1.987880 best test_acc 0.2758
e 117 | malicious users: 7 | test acc 0.2421 test loss 1.940377 best test_acc 0.2758
e 118 | malicious users: 4 | test acc 0.2106 test loss 1.940358 best test_acc 0.2758
e 119 | malicious users: 3 | test acc 0.2629 test loss 1.910130 best test_acc 0.2758
e 120 | malicious users: 6 | test acc 0.2837 test loss 1.963259 best test_acc 0.2837
e 121 | malicious users: 2 | test acc 0.3092 test loss 1.858121 best test_acc 0.3092
e 122 | malicious users: 5 | test acc 0.2245 test loss 1.962742 best test_acc 0.3092
e 123 | malicious users: 6 | test acc 0.2450 test loss 1.941608 best test_acc 0.3092
e 124 | malicious users: 5 | test acc 0.2806 test loss 1.875423 best test_acc 0.3092
e 125 | malicious users: 4 | test acc 0.2420 test loss 1.895411 best test_acc 0.3092
e 126 | malicious users: 5 | test acc 0.2914 test loss 1.839711 best test_acc 0.3092
e 127 | malicious users: 5 | test acc 0.2634 test loss 1.913249 best test_acc 0.3092
e 128 | malicious users: 5 | test acc 0.2903 test loss 1.884548 best test_acc 0.3092
e 129 | malicious users: 5 | test acc 0.2376 test loss 1.967835 best test_acc 0.3092
e 130 | malicious users: 5 | test acc 0.2646 test loss 1.909144 best test_acc 0.3092
e 131 | malicious users: 5 | test acc 0.2832 test loss 1.873611 best test_acc 0.3092
e 132 | malicious users: 5 | test acc 0.2829 test loss 1.884914 best test_acc 0.3092
e 133 | malicious users: 5 | test acc 0.2983 test loss 1.802551 best test_acc 0.3092
e 134 | malicious users: 3 | test acc 0.2706 test loss 1.885073 best test_acc 0.3092
e 135 | malicious users: 7 | test acc 0.2906 test loss 1.893115 best test_acc 0.3092
e 136 | malicious users: 6 | test acc 0.2568 test loss 1.941324 best test_acc 0.3092
e 137 | malicious users: 7 | test acc 0.2884 test loss 1.896443 best test_acc 0.3092
e 138 | malicious users: 6 | test acc 0.2987 test loss 1.869585 best test_acc 0.3092
e 139 | malicious users: 5 | test acc 0.2658 test loss 1.966354 best test_acc 0.3092
e 140 | malicious users: 5 | test acc 0.2609 test loss 1.897399 best test_acc 0.3092
e 141 | malicious users: 5 | test acc 0.3083 test loss 1.852458 best test_acc 0.3092
e 142 | malicious users: 3 | test acc 0.2938 test loss 1.817547 best test_acc 0.3092
e 143 | malicious users: 7 | test acc 0.2789 test loss 1.886832 best test_acc 0.3092
e 144 | malicious users: 5 | test acc 0.2870 test loss 1.905127 best test_acc 0.3092
e 145 | malicious users: 9 | test acc 0.2702 test loss 2.072905 best test_acc 0.3092
e 146 | malicious users: 6 | test acc 0.2805 test loss 2.017241 best test_acc 0.3092
e 147 | malicious users: 7 | test acc 0.2775 test loss 1.856362 best test_acc 0.3092
e 148 | malicious users: 3 | test acc 0.3085 test loss 1.777981 best test_acc 0.3092
e 149 | malicious users: 2 | test acc 0.3132 test loss 1.848205 best test_acc 0.3132
e 150 | malicious users: 9 | test acc 0.2124 test loss 2.112952 best test_acc 0.3132
e 151 | malicious users: 6 | test acc 0.2298 test loss 1.920047 best test_acc 0.3132
e 152 | malicious users: 5 | test acc 0.2540 test loss 1.886410 best test_acc 0.3132
e 153 | malicious users: 7 | test acc 0.2906 test loss 1.830438 best test_acc 0.3132
e 154 | malicious users: 2 | test acc 0.2915 test loss 1.818236 best test_acc 0.3132
e 155 | malicious users: 5 | test acc 0.2996 test loss 1.810874 best test_acc 0.3132
e 156 | malicious users: 5 | test acc 0.3166 test loss 1.823148 best test_acc 0.3166
e 157 | malicious users: 7 | test acc 0.3192 test loss 1.753075 best test_acc 0.3192
e 158 | malicious users: 5 | test acc 0.3390 test loss 1.748787 best test_acc 0.3390
e 159 | malicious users: 6 | test acc 0.3487 test loss 1.824453 best test_acc 0.3487
e 160 | malicious users: 4 | test acc 0.3268 test loss 1.776427 best test_acc 0.3487
e 161 | malicious users: 4 | test acc 0.3345 test loss 1.760344 best test_acc 0.3487
e 162 | malicious users: 3 | test acc 0.3093 test loss 1.808399 best test_acc 0.3487
e 163 | malicious users: 6 | test acc 0.3118 test loss 1.811560 best test_acc 0.3487
e 164 | malicious users: 5 | test acc 0.3038 test loss 1.789637 best test_acc 0.3487
e 165 | malicious users: 9 | test acc 0.3095 test loss 1.894775 best test_acc 0.3487
e 166 | malicious users: 3 | test acc 0.2995 test loss 1.825696 best test_acc 0.3487
