#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1000 test loss 2.302109 best test_acc 0.1000
e 1 | malicious users: 5 | test acc 0.1000 test loss 2.300736 best test_acc 0.1000
e 2 | malicious users: 4 | test acc 0.1000 test loss 2.306466 best test_acc 0.1000
e 3 | malicious users: 3 | test acc 0.0992 test loss 2.302126 best test_acc 0.1000
e 4 | malicious users: 2 | test acc 0.1000 test loss 2.299789 best test_acc 0.1000
e 5 | malicious users: 7 | test acc 0.1022 test loss 2.302522 best test_acc 0.1022
e 6 | malicious users: 5 | test acc 0.1047 test loss 2.302970 best test_acc 0.1047
e 7 | malicious users: 7 | test acc 0.1004 test loss 2.300063 best test_acc 0.1047
e 8 | malicious users: 4 | test acc 0.1000 test loss 2.299093 best test_acc 0.1047
e 9 | malicious users: 4 | test acc 0.1000 test loss 2.295054 best test_acc 0.1047
e 10 | malicious users: 3 | test acc 0.1000 test loss 2.288486 best test_acc 0.1047
e 11 | malicious users: 8 | test acc 0.1000 test loss 2.303534 best test_acc 0.1047
e 12 | malicious users: 5 | test acc 0.1000 test loss 2.301964 best test_acc 0.1047
e 13 | malicious users: 6 | test acc 0.1000 test loss 2.301009 best test_acc 0.1047
e 14 | malicious users: 4 | test acc 0.1000 test loss 2.300003 best test_acc 0.1047
e 15 | malicious users: 3 | test acc 0.0977 test loss 2.301106 best test_acc 0.1047
e 16 | malicious users: 5 | test acc 0.1000 test loss 2.299969 best test_acc 0.1047
e 17 | malicious users: 3 | test acc 0.1000 test loss 2.297724 best test_acc 0.1047
e 18 | malicious users: 5 | test acc 0.1000 test loss 2.302319 best test_acc 0.1047
e 19 | malicious users: 7 | test acc 0.1000 test loss 2.295406 best test_acc 0.1047
e 20 | malicious users: 7 | test acc 0.1000 test loss 2.299708 best test_acc 0.1047
e 21 | malicious users: 7 | test acc 0.1000 test loss 2.299125 best test_acc 0.1047
e 22 | malicious users: 3 | test acc 0.1000 test loss 2.368304 best test_acc 0.1047
e 23 | malicious users: 6 | test acc 0.1000 test loss 2.302863 best test_acc 0.1047
e 24 | malicious users: 2 | test acc 0.1010 test loss 2.302775 best test_acc 0.1047
e 25 | malicious users: 6 | test acc 0.1116 test loss 2.303001 best test_acc 0.1116
e 26 | malicious users: 4 | test acc 0.1000 test loss 2.303329 best test_acc 0.1116
e 27 | malicious users: 4 | test acc 0.1000 test loss 2.302132 best test_acc 0.1116
e 28 | malicious users: 5 | test acc 0.1000 test loss 2.297155 best test_acc 0.1116
e 29 | malicious users: 9 | test acc 0.0870 test loss 2.278512 best test_acc 0.1116
e 30 | malicious users: 6 | test acc 0.1000 test loss 2.297884 best test_acc 0.1116
e 31 | malicious users: 3 | test acc 0.1000 test loss 2.290406 best test_acc 0.1116
e 32 | malicious users: 4 | test acc 0.1000 test loss 2.291322 best test_acc 0.1116
e 33 | malicious users: 4 | test acc 0.1000 test loss 2.282937 best test_acc 0.1116
e 34 | malicious users: 6 | test acc 0.1127 test loss 2.249641 best test_acc 0.1127
e 35 | malicious users: 6 | test acc 0.1005 test loss 2.301043 best test_acc 0.1127
e 36 | malicious users: 8 | test acc 0.1187 test loss 2.300179 best test_acc 0.1187
e 37 | malicious users: 5 | test acc 0.1000 test loss 2.291435 best test_acc 0.1187
e 38 | malicious users: 7 | test acc 0.1000 test loss 2.298313 best test_acc 0.1187
e 39 | malicious users: 4 | test acc 0.1000 test loss 2.299160 best test_acc 0.1187
e 40 | malicious users: 5 | test acc 0.1000 test loss 2.302065 best test_acc 0.1187
e 41 | malicious users: 3 | test acc 0.1000 test loss 2.287756 best test_acc 0.1187
e 42 | malicious users: 5 | test acc 0.0992 test loss 2.284408 best test_acc 0.1187
e 43 | malicious users: 9 | test acc 0.1000 test loss 2.450346 best test_acc 0.1187
e 44 | malicious users: 6 | test acc 0.1152 test loss 2.299760 best test_acc 0.1187
e 45 | malicious users: 4 | test acc 0.1163 test loss 2.296417 best test_acc 0.1187
e 46 | malicious users: 6 | test acc 0.1000 test loss 2.295996 best test_acc 0.1187
e 47 | malicious users: 12 | test acc 0.1142 test loss 2.298371 best test_acc 0.1187
e 48 | malicious users: 9 | test acc 0.1116 test loss 2.293369 best test_acc 0.1187
e 49 | malicious users: 2 | test acc 0.1000 test loss 2.264345 best test_acc 0.1187
e 50 | malicious users: 4 | test acc 0.1000 test loss 2.298537 best test_acc 0.1187
e 51 | malicious users: 4 | test acc 0.1000 test loss 2.288964 best test_acc 0.1187
e 52 | malicious users: 2 | test acc 0.1254 test loss 2.290504 best test_acc 0.1254
e 53 | malicious users: 2 | test acc 0.1000 test loss 2.288651 best test_acc 0.1254
e 54 | malicious users: 4 | test acc 0.1000 test loss 2.484337 best test_acc 0.1254
[34m[1mwandb[39m[22m: [32m[41mERROR[39m[49m Error while calling W&B API: context deadline exceeded (<Response [500]>)
e 55 | malicious users: 11 | test acc 0.1001 test loss 2.300876 best test_acc 0.1254
e 56 | malicious users: 5 | test acc 0.1001 test loss 2.301178 best test_acc 0.1254
e 57 | malicious users: 4 | test acc 0.1245 test loss 2.283728 best test_acc 0.1254
e 58 | malicious users: 5 | test acc 0.0997 test loss 2.296245 best test_acc 0.1254
e 59 | malicious users: 6 | test acc 0.1000 test loss 2.345142 best test_acc 0.1254
e 60 | malicious users: 2 | test acc 0.1552 test loss 2.295102 best test_acc 0.1552
e 61 | malicious users: 4 | test acc 0.1309 test loss 2.278669 best test_acc 0.1552
e 62 | malicious users: 4 | test acc 0.1001 test loss 2.266360 best test_acc 0.1552
e 63 | malicious users: 3 | test acc 0.1414 test loss 2.286260 best test_acc 0.1552
e 64 | malicious users: 5 | test acc 0.1000 test loss 2.379808 best test_acc 0.1552
e 65 | malicious users: 4 | test acc 0.1191 test loss 2.257561 best test_acc 0.1552
e 66 | malicious users: 2 | test acc 0.1239 test loss 2.239299 best test_acc 0.1552
e 67 | malicious users: 4 | test acc 0.1416 test loss 2.207317 best test_acc 0.1552
e 68 | malicious users: 5 | test acc 0.1480 test loss 2.296519 best test_acc 0.1552
e 69 | malicious users: 4 | test acc 0.1172 test loss 2.263544 best test_acc 0.1552
e 70 | malicious users: 3 | test acc 0.1233 test loss 2.244499 best test_acc 0.1552
e 71 | malicious users: 5 | test acc 0.1669 test loss 2.125237 best test_acc 0.1669
e 72 | malicious users: 6 | test acc 0.1517 test loss 2.295684 best test_acc 0.1669
e 73 | malicious users: 6 | test acc 0.1995 test loss 2.241919 best test_acc 0.1995
e 74 | malicious users: 7 | test acc 0.1659 test loss 2.118429 best test_acc 0.1995
