#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1014 test loss 2.302289 best test_acc 0.1014
e 1 | malicious users: 2 | test acc 0.1000 test loss 2.302775 best test_acc 0.1014
e 2 | malicious users: 7 | test acc 0.1000 test loss 2.323573 best test_acc 0.1014
e 3 | malicious users: 8 | test acc 0.1000 test loss 2.302315 best test_acc 0.1014
e 4 | malicious users: 4 | test acc 0.1000 test loss 2.302339 best test_acc 0.1014
e 5 | malicious users: 4 | test acc 0.1000 test loss 2.304053 best test_acc 0.1014
e 6 | malicious users: 6 | test acc 0.1067 test loss 2.301625 best test_acc 0.1067
e 7 | malicious users: 5 | test acc 0.1000 test loss 2.301794 best test_acc 0.1067
e 8 | malicious users: 7 | test acc 0.0986 test loss 2.300566 best test_acc 0.1067
e 9 | malicious users: 8 | test acc 0.1209 test loss 2.301984 best test_acc 0.1209
e 10 | malicious users: 3 | test acc 0.1081 test loss 2.301429 best test_acc 0.1209
e 11 | malicious users: 3 | test acc 0.1000 test loss 2.314281 best test_acc 0.1209
e 12 | malicious users: 8 | test acc 0.1000 test loss 2.301388 best test_acc 0.1209
e 13 | malicious users: 6 | test acc 0.1000 test loss 2.302227 best test_acc 0.1209
e 14 | malicious users: 5 | test acc 0.1002 test loss 2.302125 best test_acc 0.1209
e 15 | malicious users: 4 | test acc 0.1018 test loss 2.299705 best test_acc 0.1209
e 16 | malicious users: 6 | test acc 0.1000 test loss 2.292493 best test_acc 0.1209
e 17 | malicious users: 7 | test acc 0.1433 test loss 2.302738 best test_acc 0.1433
e 18 | malicious users: 5 | test acc 0.1012 test loss 2.299311 best test_acc 0.1433
e 19 | malicious users: 6 | test acc 0.1371 test loss 2.297407 best test_acc 0.1433
e 20 | malicious users: 7 | test acc 0.1174 test loss 2.294194 best test_acc 0.1433
e 21 | malicious users: 5 | test acc 0.1000 test loss 2.265320 best test_acc 0.1433
e 22 | malicious users: 6 | test acc 0.1322 test loss 2.292582 best test_acc 0.1433
e 23 | malicious users: 1 | test acc 0.1614 test loss 2.276174 best test_acc 0.1614
e 24 | malicious users: 4 | test acc 0.1393 test loss 2.166788 best test_acc 0.1614
e 25 | malicious users: 3 | test acc 0.1000 test loss 2.295415 best test_acc 0.1614
e 26 | malicious users: 2 | test acc 0.1000 test loss 2.297880 best test_acc 0.1614
e 27 | malicious users: 3 | test acc 0.1627 test loss 2.268811 best test_acc 0.1627
e 28 | malicious users: 4 | test acc 0.1000 test loss 2.299142 best test_acc 0.1627
