#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.1000 test loss 2.302534 best test_acc 0.1000
e 1 | malicious users: 2 | test acc 0.1000 test loss 2.301606 best test_acc 0.1000
e 2 | malicious users: 3 | test acc 0.0998 test loss 2.301956 best test_acc 0.1000
e 3 | malicious users: 3 | test acc 0.1000 test loss 2.302301 best test_acc 0.1000
e 4 | malicious users: 2 | test acc 0.1144 test loss 2.299639 best test_acc 0.1144
e 5 | malicious users: 4 | test acc 0.1000 test loss 2.301337 best test_acc 0.1144
e 6 | malicious users: 2 | test acc 0.1000 test loss 2.299118 best test_acc 0.1144
e 7 | malicious users: 2 | test acc 0.1295 test loss 2.298404 best test_acc 0.1295
e 8 | malicious users: 2 | test acc 0.1083 test loss 2.302148 best test_acc 0.1295
e 9 | malicious users: 2 | test acc 0.1355 test loss 2.293585 best test_acc 0.1355
e 10 | malicious users: 4 | test acc 0.1000 test loss 2.451155 best test_acc 0.1355
e 11 | malicious users: 5 | test acc 0.1026 test loss 2.301366 best test_acc 0.1355
e 12 | malicious users: 0 | test acc 0.1000 test loss 2.296361 best test_acc 0.1355
e 13 | malicious users: 3 | test acc 0.1000 test loss 2.302181 best test_acc 0.1355
e 14 | malicious users: 0 | test acc 0.1000 test loss 2.301287 best test_acc 0.1355
e 15 | malicious users: 1 | test acc 0.1001 test loss 2.300902 best test_acc 0.1355
e 16 | malicious users: 1 | test acc 0.1003 test loss 2.304733 best test_acc 0.1355
e 17 | malicious users: 0 | test acc 0.1000 test loss 2.298730 best test_acc 0.1355
e 18 | malicious users: 1 | test acc 0.1000 test loss 2.289319 best test_acc 0.1355
e 19 | malicious users: 1 | test acc 0.1000 test loss 2.297282 best test_acc 0.1355
e 20 | malicious users: 3 | test acc 0.1003 test loss 2.297432 best test_acc 0.1355
e 21 | malicious users: 3 | test acc 0.1138 test loss 2.303001 best test_acc 0.1355
e 22 | malicious users: 3 | test acc 0.1523 test loss 2.291568 best test_acc 0.1523
e 23 | malicious users: 5 | test acc 0.1024 test loss 2.683442 best test_acc 0.1523
e 24 | malicious users: 2 | test acc 0.1000 test loss 2.302587 best test_acc 0.1523
e 25 | malicious users: 4 | test acc 0.1003 test loss 2.291998 best test_acc 0.1523
e 26 | malicious users: 3 | test acc 0.1349 test loss 2.297741 best test_acc 0.1523
e 27 | malicious users: 2 | test acc 0.1001 test loss 2.300195 best test_acc 0.1523
e 28 | malicious users: 2 | test acc 0.1039 test loss 2.290779 best test_acc 0.1523
e 29 | malicious users: 3 | test acc 0.1000 test loss 2.298210 best test_acc 0.1523
e 30 | malicious users: 3 | test acc 0.1427 test loss 2.258164 best test_acc 0.1523
e 31 | malicious users: 3 | test acc 0.1320 test loss 2.234272 best test_acc 0.1523
e 32 | malicious users: 3 | test acc 0.1037 test loss 2.276169 best test_acc 0.1523
e 33 | malicious users: 3 | test acc 0.1571 test loss 2.239324 best test_acc 0.1571
e 34 | malicious users: 4 | test acc 0.1647 test loss 2.275567 best test_acc 0.1647
e 35 | malicious users: 5 | test acc 0.1951 test loss 2.158504 best test_acc 0.1951
e 36 | malicious users: 4 | test acc 0.1285 test loss 2.292048 best test_acc 0.1951
e 37 | malicious users: 2 | test acc 0.1182 test loss 2.240875 best test_acc 0.1951
e 38 | malicious users: 4 | test acc 0.1684 test loss 2.245854 best test_acc 0.1951
e 39 | malicious users: 1 | test acc 0.1953 test loss 2.185788 best test_acc 0.1953
e 40 | malicious users: 3 | test acc 0.1614 test loss 2.162007 best test_acc 0.1953
e 41 | malicious users: 1 | test acc 0.1529 test loss 2.229632 best test_acc 0.1953
e 42 | malicious users: 1 | test acc 0.1633 test loss 2.142375 best test_acc 0.1953
e 43 | malicious users: 3 | test acc 0.1716 test loss 2.174183 best test_acc 0.1953
e 44 | malicious users: 3 | test acc 0.1428 test loss 2.217866 best test_acc 0.1953
e 45 | malicious users: 0 | test acc 0.1482 test loss 2.134892 best test_acc 0.1953
e 46 | malicious users: 1 | test acc 0.1745 test loss 2.143673 best test_acc 0.1953
e 47 | malicious users: 1 | test acc 0.1761 test loss 2.135008 best test_acc 0.1953
e 48 | malicious users: 1 | test acc 0.2121 test loss 2.160377 best test_acc 0.2121
e 49 | malicious users: 4 | test acc 0.1839 test loss 2.206624 best test_acc 0.2121
e 50 | malicious users: 4 | test acc 0.1840 test loss 2.131695 best test_acc 0.2121
e 51 | malicious users: 4 | test acc 0.1774 test loss 2.079567 best test_acc 0.2121
e 52 | malicious users: 3 | test acc 0.1987 test loss 2.054856 best test_acc 0.2121
e 53 | malicious users: 0 | test acc 0.1924 test loss 2.065140 best test_acc 0.2121
e 54 | malicious users: 3 | test acc 0.1735 test loss 2.100417 best test_acc 0.2121
e 55 | malicious users: 1 | test acc 0.2167 test loss 1.992407 best test_acc 0.2167
e 56 | malicious users: 4 | test acc 0.1963 test loss 1.999281 best test_acc 0.2167
e 57 | malicious users: 6 | test acc 0.1884 test loss 2.077037 best test_acc 0.2167
e 58 | malicious users: 4 | test acc 0.1772 test loss 2.145708 best test_acc 0.2167
e 59 | malicious users: 2 | test acc 0.2053 test loss 2.080885 best test_acc 0.2167
e 60 | malicious users: 1 | test acc 0.1756 test loss 2.107694 best test_acc 0.2167
e 61 | malicious users: 1 | test acc 0.2107 test loss 2.022131 best test_acc 0.2167
e 62 | malicious users: 2 | test acc 0.2016 test loss 2.062418 best test_acc 0.2167
e 63 | malicious users: 2 | test acc 0.1937 test loss 2.066100 best test_acc 0.2167
e 64 | malicious users: 0 | test acc 0.2167 test loss 1.994577 best test_acc 0.2167
e 65 | malicious users: 4 | test acc 0.2082 test loss 1.989829 best test_acc 0.2167
e 66 | malicious users: 2 | test acc 0.1972 test loss 2.072092 best test_acc 0.2167
e 67 | malicious users: 2 | test acc 0.2221 test loss 2.005258 best test_acc 0.2221
e 68 | malicious users: 5 | test acc 0.1763 test loss 2.039670 best test_acc 0.2221
e 69 | malicious users: 1 | test acc 0.2063 test loss 2.002022 best test_acc 0.2221
