#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.1000 test loss 2.302101 best test_acc 0.1000
e 1 | malicious users: 5 | test acc 0.1000 test loss 2.301198 best test_acc 0.1000
e 2 | malicious users: 3 | test acc 0.1007 test loss 2.302180 best test_acc 0.1007
e 3 | malicious users: 1 | test acc 0.1000 test loss 2.297143 best test_acc 0.1007
e 4 | malicious users: 2 | test acc 0.1478 test loss 2.297438 best test_acc 0.1478
e 5 | malicious users: 3 | test acc 0.1084 test loss 2.289106 best test_acc 0.1478
e 6 | malicious users: 3 | test acc 0.1633 test loss 2.274995 best test_acc 0.1633
e 7 | malicious users: 4 | test acc 0.1428 test loss 2.251739 best test_acc 0.1633
e 8 | malicious users: 2 | test acc 0.1000 test loss 2.285960 best test_acc 0.1633
e 9 | malicious users: 5 | test acc 0.1000 test loss 2.300886 best test_acc 0.1633
e 10 | malicious users: 4 | test acc 0.1000 test loss 2.299247 best test_acc 0.1633
e 11 | malicious users: 2 | test acc 0.1000 test loss 2.295030 best test_acc 0.1633
e 12 | malicious users: 5 | test acc 0.1494 test loss 2.275102 best test_acc 0.1633
e 13 | malicious users: 4 | test acc 0.1585 test loss 2.254186 best test_acc 0.1633
e 14 | malicious users: 2 | test acc 0.1025 test loss 2.289647 best test_acc 0.1633
e 15 | malicious users: 3 | test acc 0.1651 test loss 2.228851 best test_acc 0.1651
e 16 | malicious users: 2 | test acc 0.1440 test loss 2.206214 best test_acc 0.1651
e 17 | malicious users: 2 | test acc 0.1900 test loss 2.239847 best test_acc 0.1900
e 18 | malicious users: 0 | test acc 0.1242 test loss 2.244004 best test_acc 0.1900
e 19 | malicious users: 2 | test acc 0.1961 test loss 2.112191 best test_acc 0.1961
e 20 | malicious users: 2 | test acc 0.1954 test loss 2.217460 best test_acc 0.1961
e 21 | malicious users: 1 | test acc 0.1933 test loss 2.104794 best test_acc 0.1961
e 22 | malicious users: 4 | test acc 0.1768 test loss 2.150847 best test_acc 0.1961
e 23 | malicious users: 2 | test acc 0.2002 test loss 2.133866 best test_acc 0.2002
e 24 | malicious users: 2 | test acc 0.2091 test loss 2.116119 best test_acc 0.2091
e 25 | malicious users: 5 | test acc 0.2046 test loss 2.051499 best test_acc 0.2091
e 26 | malicious users: 4 | test acc 0.1717 test loss 2.167889 best test_acc 0.2091
e 27 | malicious users: 1 | test acc 0.2090 test loss 2.039991 best test_acc 0.2091
e 28 | malicious users: 2 | test acc 0.1888 test loss 2.089966 best test_acc 0.2091
e 29 | malicious users: 1 | test acc 0.2075 test loss 2.046276 best test_acc 0.2091
e 30 | malicious users: 3 | test acc 0.2083 test loss 2.081867 best test_acc 0.2091
e 31 | malicious users: 1 | test acc 0.2457 test loss 2.031015 best test_acc 0.2457
e 32 | malicious users: 3 | test acc 0.2125 test loss 2.037614 best test_acc 0.2457
e 33 | malicious users: 0 | test acc 0.2340 test loss 2.008198 best test_acc 0.2457
e 34 | malicious users: 1 | test acc 0.2522 test loss 1.977690 best test_acc 0.2522
e 35 | malicious users: 3 | test acc 0.2713 test loss 2.016751 best test_acc 0.2713
e 36 | malicious users: 2 | test acc 0.2665 test loss 1.951325 best test_acc 0.2713
e 37 | malicious users: 1 | test acc 0.2417 test loss 1.981240 best test_acc 0.2713
e 38 | malicious users: 4 | test acc 0.2526 test loss 1.947542 best test_acc 0.2713
e 39 | malicious users: 3 | test acc 0.2386 test loss 1.976244 best test_acc 0.2713
e 40 | malicious users: 2 | test acc 0.2651 test loss 1.936735 best test_acc 0.2713
e 41 | malicious users: 1 | test acc 0.2609 test loss 1.939013 best test_acc 0.2713
e 42 | malicious users: 5 | test acc 0.2479 test loss 1.949386 best test_acc 0.2713
e 43 | malicious users: 1 | test acc 0.2753 test loss 1.983352 best test_acc 0.2753
e 44 | malicious users: 2 | test acc 0.2781 test loss 1.940120 best test_acc 0.2781
e 45 | malicious users: 3 | test acc 0.2798 test loss 1.985974 best test_acc 0.2798
e 46 | malicious users: 2 | test acc 0.2846 test loss 1.904457 best test_acc 0.2846
e 47 | malicious users: 4 | test acc 0.2890 test loss 1.864861 best test_acc 0.2890
e 48 | malicious users: 1 | test acc 0.2936 test loss 1.925808 best test_acc 0.2936
e 49 | malicious users: 2 | test acc 0.3109 test loss 1.851418 best test_acc 0.3109
e 50 | malicious users: 3 | test acc 0.2868 test loss 1.903660 best test_acc 0.3109
e 51 | malicious users: 7 | test acc 0.3108 test loss 1.886182 best test_acc 0.3109
e 52 | malicious users: 3 | test acc 0.2989 test loss 1.903877 best test_acc 0.3109
e 53 | malicious users: 3 | test acc 0.3224 test loss 1.855298 best test_acc 0.3224
e 54 | malicious users: 4 | test acc 0.3070 test loss 1.867015 best test_acc 0.3224
e 55 | malicious users: 5 | test acc 0.3154 test loss 1.882865 best test_acc 0.3224
e 56 | malicious users: 2 | test acc 0.2940 test loss 1.922405 best test_acc 0.3224
e 57 | malicious users: 5 | test acc 0.3102 test loss 1.807979 best test_acc 0.3224
e 58 | malicious users: 4 | test acc 0.3056 test loss 1.905948 best test_acc 0.3224
e 59 | malicious users: 4 | test acc 0.3294 test loss 1.871965 best test_acc 0.3294
e 60 | malicious users: 3 | test acc 0.3182 test loss 1.828186 best test_acc 0.3294
