#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.1000 test loss 2.300712 best test_acc 0.1000
e 1 | malicious users: 4 | test acc 0.1000 test loss 2.300554 best test_acc 0.1000
e 2 | malicious users: 2 | test acc 0.1335 test loss 2.294218 best test_acc 0.1335
e 3 | malicious users: 2 | test acc 0.1000 test loss 2.299858 best test_acc 0.1335
e 4 | malicious users: 6 | test acc 0.1000 test loss 2.311844 best test_acc 0.1335
e 5 | malicious users: 1 | test acc 0.1000 test loss 2.301358 best test_acc 0.1335
e 6 | malicious users: 3 | test acc 0.1000 test loss 2.300778 best test_acc 0.1335
e 7 | malicious users: 2 | test acc 0.1013 test loss 2.300518 best test_acc 0.1335
e 8 | malicious users: 2 | test acc 0.1000 test loss 2.301196 best test_acc 0.1335
e 9 | malicious users: 2 | test acc 0.1000 test loss 2.299050 best test_acc 0.1335
e 10 | malicious users: 3 | test acc 0.1000 test loss 2.298944 best test_acc 0.1335
e 11 | malicious users: 2 | test acc 0.1000 test loss 2.299877 best test_acc 0.1335
e 12 | malicious users: 4 | test acc 0.1434 test loss 2.302247 best test_acc 0.1434
e 13 | malicious users: 3 | test acc 0.0997 test loss 2.298829 best test_acc 0.1434
e 14 | malicious users: 2 | test acc 0.1000 test loss 2.289793 best test_acc 0.1434
e 15 | malicious users: 1 | test acc 0.1000 test loss 2.292749 best test_acc 0.1434
e 16 | malicious users: 1 | test acc 0.1000 test loss 2.275125 best test_acc 0.1434
e 17 | malicious users: 2 | test acc 0.1000 test loss 2.286534 best test_acc 0.1434
e 18 | malicious users: 0 | test acc 0.1000 test loss 2.277331 best test_acc 0.1434
e 19 | malicious users: 2 | test acc 0.1041 test loss 2.283749 best test_acc 0.1434
e 20 | malicious users: 3 | test acc 0.1000 test loss 2.273765 best test_acc 0.1434
e 21 | malicious users: 1 | test acc 0.1006 test loss 2.270183 best test_acc 0.1434
e 22 | malicious users: 5 | test acc 0.1000 test loss 2.289061 best test_acc 0.1434
e 23 | malicious users: 1 | test acc 0.1153 test loss 2.295702 best test_acc 0.1434
e 24 | malicious users: 2 | test acc 0.1000 test loss 2.270090 best test_acc 0.1434
e 25 | malicious users: 1 | test acc 0.1103 test loss 2.266727 best test_acc 0.1434
e 26 | malicious users: 3 | test acc 0.1540 test loss 2.226191 best test_acc 0.1540
e 27 | malicious users: 4 | test acc 0.1080 test loss 2.305317 best test_acc 0.1540
e 28 | malicious users: 6 | test acc 0.1000 test loss 2.266442 best test_acc 0.1540
e 29 | malicious users: 1 | test acc 0.1025 test loss 2.301805 best test_acc 0.1540
e 30 | malicious users: 1 | test acc 0.0996 test loss 2.278760 best test_acc 0.1540
e 31 | malicious users: 4 | test acc 0.1191 test loss 2.296427 best test_acc 0.1540
e 32 | malicious users: 3 | test acc 0.1000 test loss 2.269530 best test_acc 0.1540
e 33 | malicious users: 3 | test acc 0.1177 test loss 2.269632 best test_acc 0.1540
e 34 | malicious users: 3 | test acc 0.1000 test loss 2.335437 best test_acc 0.1540
e 35 | malicious users: 1 | test acc 0.1000 test loss 2.271194 best test_acc 0.1540
e 36 | malicious users: 1 | test acc 0.1000 test loss 2.237333 best test_acc 0.1540
e 37 | malicious users: 6 | test acc 0.1000 test loss 2.263060 best test_acc 0.1540
e 38 | malicious users: 4 | test acc 0.1582 test loss 2.204723 best test_acc 0.1582
e 39 | malicious users: 2 | test acc 0.1018 test loss 2.233217 best test_acc 0.1582
e 40 | malicious users: 2 | test acc 0.1233 test loss 2.216601 best test_acc 0.1582
e 41 | malicious users: 4 | test acc 0.1055 test loss 2.241678 best test_acc 0.1582
e 42 | malicious users: 3 | test acc 0.1021 test loss 2.221365 best test_acc 0.1582
e 43 | malicious users: 5 | test acc 0.0976 test loss 2.305311 best test_acc 0.1582
e 44 | malicious users: 2 | test acc 0.1000 test loss 2.291929 best test_acc 0.1582
e 45 | malicious users: 0 | test acc 0.1000 test loss 2.286216 best test_acc 0.1582
e 46 | malicious users: 4 | test acc 0.1346 test loss 2.268140 best test_acc 0.1582
e 47 | malicious users: 2 | test acc 0.1292 test loss 2.168831 best test_acc 0.1582
e 48 | malicious users: 3 | test acc 0.1000 test loss 2.252958 best test_acc 0.1582
e 49 | malicious users: 2 | test acc 0.1382 test loss 2.223024 best test_acc 0.1582
e 50 | malicious users: 3 | test acc 0.1680 test loss 2.172339 best test_acc 0.1680
e 51 | malicious users: 6 | test acc 0.0997 test loss 2.215995 best test_acc 0.1680
e 52 | malicious users: 3 | test acc 0.1641 test loss 2.235784 best test_acc 0.1680
e 53 | malicious users: 0 | test acc 0.1619 test loss 2.154207 best test_acc 0.1680
e 54 | malicious users: 4 | test acc 0.1303 test loss 2.280123 best test_acc 0.1680
e 55 | malicious users: 1 | test acc 0.1428 test loss 2.264097 best test_acc 0.1680
e 56 | malicious users: 6 | test acc 0.1787 test loss 2.185841 best test_acc 0.1787
e 57 | malicious users: 3 | test acc 0.1813 test loss 2.273484 best test_acc 0.1813
e 58 | malicious users: 4 | test acc 0.1567 test loss 2.284691 best test_acc 0.1813
e 59 | malicious users: 2 | test acc 0.1511 test loss 2.260432 best test_acc 0.1813
e 60 | malicious users: 1 | test acc 0.1464 test loss 2.162614 best test_acc 0.1813
e 61 | malicious users: 2 | test acc 0.1887 test loss 2.098367 best test_acc 0.1887
