#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 6 | test acc 0.1000 test loss 2.302046 best test_acc 0.1000
e 1 | malicious users: 1 | test acc 0.0982 test loss 2.302086 best test_acc 0.1000
e 2 | malicious users: 2 | test acc 0.1139 test loss 2.301934 best test_acc 0.1139
e 3 | malicious users: 0 | test acc 0.0974 test loss 2.300817 best test_acc 0.1139
e 4 | malicious users: 4 | test acc 0.1000 test loss 2.301573 best test_acc 0.1139
e 5 | malicious users: 4 | test acc 0.1000 test loss 2.301442 best test_acc 0.1139
e 6 | malicious users: 4 | test acc 0.1594 test loss 2.299039 best test_acc 0.1594
e 7 | malicious users: 2 | test acc 0.1283 test loss 2.280615 best test_acc 0.1594
e 8 | malicious users: 2 | test acc 0.1000 test loss 2.297553 best test_acc 0.1594
e 9 | malicious users: 3 | test acc 0.1574 test loss 2.275323 best test_acc 0.1594
e 10 | malicious users: 1 | test acc 0.1280 test loss 2.296495 best test_acc 0.1594
e 11 | malicious users: 4 | test acc 0.1358 test loss 2.279568 best test_acc 0.1594
e 12 | malicious users: 3 | test acc 0.1418 test loss 2.269420 best test_acc 0.1594
e 13 | malicious users: 3 | test acc 0.1840 test loss 2.286463 best test_acc 0.1840
e 14 | malicious users: 1 | test acc 0.2016 test loss 2.203753 best test_acc 0.2016
e 15 | malicious users: 4 | test acc 0.1358 test loss 2.266751 best test_acc 0.2016
e 16 | malicious users: 1 | test acc 0.1731 test loss 2.234972 best test_acc 0.2016
e 17 | malicious users: 4 | test acc 0.1478 test loss 2.224300 best test_acc 0.2016
e 18 | malicious users: 0 | test acc 0.1665 test loss 2.219068 best test_acc 0.2016
e 19 | malicious users: 1 | test acc 0.1557 test loss 2.231396 best test_acc 0.2016
e 20 | malicious users: 2 | test acc 0.2121 test loss 2.073220 best test_acc 0.2121
e 21 | malicious users: 5 | test acc 0.2279 test loss 2.247940 best test_acc 0.2279
e 22 | malicious users: 3 | test acc 0.2034 test loss 2.136025 best test_acc 0.2279
e 23 | malicious users: 4 | test acc 0.2026 test loss 2.263272 best test_acc 0.2279
e 24 | malicious users: 2 | test acc 0.2191 test loss 2.078952 best test_acc 0.2279
e 25 | malicious users: 4 | test acc 0.2022 test loss 2.165261 best test_acc 0.2279
e 26 | malicious users: 2 | test acc 0.2529 test loss 2.051979 best test_acc 0.2529
e 27 | malicious users: 4 | test acc 0.2318 test loss 2.005912 best test_acc 0.2529
e 28 | malicious users: 2 | test acc 0.2354 test loss 2.124040 best test_acc 0.2529
e 29 | malicious users: 4 | test acc 0.2469 test loss 2.108250 best test_acc 0.2529
e 30 | malicious users: 1 | test acc 0.2469 test loss 2.011750 best test_acc 0.2529
e 31 | malicious users: 3 | test acc 0.2367 test loss 2.088037 best test_acc 0.2529
e 32 | malicious users: 3 | test acc 0.2319 test loss 2.053611 best test_acc 0.2529
e 33 | malicious users: 2 | test acc 0.2445 test loss 2.037885 best test_acc 0.2529
e 34 | malicious users: 3 | test acc 0.2298 test loss 1.964017 best test_acc 0.2529
e 35 | malicious users: 2 | test acc 0.2619 test loss 2.055886 best test_acc 0.2619
e 36 | malicious users: 1 | test acc 0.2702 test loss 1.959069 best test_acc 0.2702
e 37 | malicious users: 3 | test acc 0.2813 test loss 1.951496 best test_acc 0.2813
e 38 | malicious users: 3 | test acc 0.2424 test loss 2.004391 best test_acc 0.2813
e 39 | malicious users: 1 | test acc 0.2668 test loss 1.931419 best test_acc 0.2813
e 40 | malicious users: 0 | test acc 0.2778 test loss 1.907944 best test_acc 0.2813
e 41 | malicious users: 2 | test acc 0.2605 test loss 1.965350 best test_acc 0.2813
e 42 | malicious users: 2 | test acc 0.2908 test loss 1.926891 best test_acc 0.2908
e 43 | malicious users: 3 | test acc 0.3070 test loss 1.911012 best test_acc 0.3070
e 44 | malicious users: 5 | test acc 0.3010 test loss 1.910982 best test_acc 0.3070
e 45 | malicious users: 2 | test acc 0.2739 test loss 1.932569 best test_acc 0.3070
e 46 | malicious users: 3 | test acc 0.2912 test loss 1.923979 best test_acc 0.3070
e 47 | malicious users: 2 | test acc 0.3260 test loss 1.887502 best test_acc 0.3260
e 48 | malicious users: 4 | test acc 0.2824 test loss 1.889466 best test_acc 0.3260
e 49 | malicious users: 2 | test acc 0.3072 test loss 1.877618 best test_acc 0.3260
e 50 | malicious users: 0 | test acc 0.3109 test loss 1.889502 best test_acc 0.3260
e 51 | malicious users: 3 | test acc 0.3156 test loss 1.853546 best test_acc 0.3260
e 52 | malicious users: 3 | test acc 0.3257 test loss 1.842086 best test_acc 0.3260
e 53 | malicious users: 2 | test acc 0.3148 test loss 1.827764 best test_acc 0.3260
e 54 | malicious users: 2 | test acc 0.3368 test loss 1.827370 best test_acc 0.3368
e 55 | malicious users: 4 | test acc 0.3377 test loss 1.846229 best test_acc 0.3377
e 56 | malicious users: 1 | test acc 0.3190 test loss 1.823887 best test_acc 0.3377
e 57 | malicious users: 3 | test acc 0.3430 test loss 1.792950 best test_acc 0.3430
e 58 | malicious users: 2 | test acc 0.2999 test loss 1.859481 best test_acc 0.3430
e 59 | malicious users: 3 | test acc 0.3425 test loss 1.806081 best test_acc 0.3430
e 60 | malicious users: 5 | test acc 0.3366 test loss 1.819129 best test_acc 0.3430
e 61 | malicious users: 2 | test acc 0.3422 test loss 1.826076 best test_acc 0.3430
e 62 | malicious users: 3 | test acc 0.3444 test loss 1.816840 best test_acc 0.3444
e 63 | malicious users: 3 | test acc 0.3304 test loss 1.768974 best test_acc 0.3444
e 64 | malicious users: 2 | test acc 0.3421 test loss 1.815231 best test_acc 0.3444
e 65 | malicious users: 1 | test acc 0.3419 test loss 1.789823 best test_acc 0.3444
e 66 | malicious users: 2 | test acc 0.3285 test loss 1.844041 best test_acc 0.3444
e 67 | malicious users: 5 | test acc 0.3371 test loss 1.766343 best test_acc 0.3444
e 68 | malicious users: 3 | test acc 0.3620 test loss 1.735526 best test_acc 0.3620
e 69 | malicious users: 5 | test acc 0.3582 test loss 1.771897 best test_acc 0.3620
e 70 | malicious users: 2 | test acc 0.3431 test loss 1.774302 best test_acc 0.3620
e 71 | malicious users: 5 | test acc 0.3544 test loss 1.753911 best test_acc 0.3620
e 72 | malicious users: 6 | test acc 0.3656 test loss 1.700627 best test_acc 0.3656
e 73 | malicious users: 3 | test acc 0.3262 test loss 1.810487 best test_acc 0.3656
e 74 | malicious users: 4 | test acc 0.3526 test loss 1.757076 best test_acc 0.3656
e 75 | malicious users: 2 | test acc 0.3604 test loss 1.725539 best test_acc 0.3656
e 76 | malicious users: 2 | test acc 0.3240 test loss 1.835008 best test_acc 0.3656
e 77 | malicious users: 3 | test acc 0.3389 test loss 1.770766 best test_acc 0.3656
e 78 | malicious users: 2 | test acc 0.3666 test loss 1.716014 best test_acc 0.3666
e 79 | malicious users: 1 | test acc 0.3426 test loss 1.746301 best test_acc 0.3666
e 80 | malicious users: 3 | test acc 0.3631 test loss 1.713552 best test_acc 0.3666
e 81 | malicious users: 4 | test acc 0.3924 test loss 1.687095 best test_acc 0.3924
e 82 | malicious users: 2 | test acc 0.3561 test loss 1.763679 best test_acc 0.3924
e 83 | malicious users: 1 | test acc 0.3852 test loss 1.682078 best test_acc 0.3924
e 84 | malicious users: 2 | test acc 0.3804 test loss 1.703060 best test_acc 0.3924
e 85 | malicious users: 1 | test acc 0.3609 test loss 1.713482 best test_acc 0.3924
e 86 | malicious users: 4 | test acc 0.3779 test loss 1.742587 best test_acc 0.3924
e 87 | malicious users: 3 | test acc 0.3745 test loss 1.675768 best test_acc 0.3924
e 88 | malicious users: 3 | test acc 0.3911 test loss 1.684821 best test_acc 0.3924
e 89 | malicious users: 6 | test acc 0.3736 test loss 1.727623 best test_acc 0.3924
e 90 | malicious users: 2 | test acc 0.3726 test loss 1.717012 best test_acc 0.3924
e 91 | malicious users: 7 | test acc 0.3653 test loss 1.747288 best test_acc 0.3924
e 92 | malicious users: 3 | test acc 0.3739 test loss 1.708996 best test_acc 0.3924
e 93 | malicious users: 3 | test acc 0.3672 test loss 1.723553 best test_acc 0.3924
e 94 | malicious users: 0 | test acc 0.3941 test loss 1.649354 best test_acc 0.3941
e 95 | malicious users: 3 | test acc 0.3596 test loss 1.736070 best test_acc 0.3941
e 96 | malicious users: 3 | test acc 0.3911 test loss 1.640621 best test_acc 0.3941
e 97 | malicious users: 6 | test acc 0.4087 test loss 1.631698 best test_acc 0.4087
e 98 | malicious users: 1 | test acc 0.3582 test loss 1.715298 best test_acc 0.4087
e 99 | malicious users: 4 | test acc 0.4044 test loss 1.640500 best test_acc 0.4087
e 100 | malicious users: 2 | test acc 0.3948 test loss 1.639698 best test_acc 0.4087
e 101 | malicious users: 3 | test acc 0.3912 test loss 1.700527 best test_acc 0.4087
e 102 | malicious users: 3 | test acc 0.3838 test loss 1.685264 best test_acc 0.4087
e 103 | malicious users: 3 | test acc 0.4058 test loss 1.615177 best test_acc 0.4087
e 104 | malicious users: 0 | test acc 0.3974 test loss 1.624892 best test_acc 0.4087
e 105 | malicious users: 5 | test acc 0.3928 test loss 1.678653 best test_acc 0.4087
e 106 | malicious users: 4 | test acc 0.4074 test loss 1.629691 best test_acc 0.4087
e 107 | malicious users: 5 | test acc 0.4231 test loss 1.601747 best test_acc 0.4231
e 108 | malicious users: 3 | test acc 0.4151 test loss 1.608690 best test_acc 0.4231
e 109 | malicious users: 2 | test acc 0.3995 test loss 1.649247 best test_acc 0.4231
e 110 | malicious users: 3 | test acc 0.4169 test loss 1.575680 best test_acc 0.4231
e 111 | malicious users: 6 | test acc 0.3734 test loss 1.700397 best test_acc 0.4231
e 112 | malicious users: 1 | test acc 0.4080 test loss 1.589204 best test_acc 0.4231
e 113 | malicious users: 5 | test acc 0.4079 test loss 1.641676 best test_acc 0.4231
e 114 | malicious users: 4 | test acc 0.4075 test loss 1.610812 best test_acc 0.4231
e 115 | malicious users: 1 | test acc 0.4032 test loss 1.602211 best test_acc 0.4231
e 116 | malicious users: 2 | test acc 0.4162 test loss 1.618438 best test_acc 0.4231
e 117 | malicious users: 3 | test acc 0.4169 test loss 1.593110 best test_acc 0.4231
e 118 | malicious users: 3 | test acc 0.4254 test loss 1.559702 best test_acc 0.4254
e 119 | malicious users: 2 | test acc 0.4243 test loss 1.569219 best test_acc 0.4254
e 120 | malicious users: 5 | test acc 0.4154 test loss 1.615611 best test_acc 0.4254
e 121 | malicious users: 2 | test acc 0.4243 test loss 1.590692 best test_acc 0.4254
e 122 | malicious users: 3 | test acc 0.4349 test loss 1.565891 best test_acc 0.4349
e 123 | malicious users: 4 | test acc 0.3955 test loss 1.593287 best test_acc 0.4349
e 124 | malicious users: 2 | test acc 0.4412 test loss 1.526494 best test_acc 0.4412
e 125 | malicious users: 0 | test acc 0.4477 test loss 1.534550 best test_acc 0.4477
e 126 | malicious users: 6 | test acc 0.4316 test loss 1.566712 best test_acc 0.4477
e 127 | malicious users: 2 | test acc 0.4263 test loss 1.625467 best test_acc 0.4477
e 128 | malicious users: 0 | test acc 0.4352 test loss 1.544523 best test_acc 0.4477
e 129 | malicious users: 7 | test acc 0.4447 test loss 1.532204 best test_acc 0.4477
