#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 4 | test acc 0.1000 test loss 2.301247 best test_acc 0.1000
e 1 | malicious users: 1 | test acc 0.1000 test loss 2.301436 best test_acc 0.1000
e 2 | malicious users: 2 | test acc 0.1000 test loss 2.300564 best test_acc 0.1000
e 3 | malicious users: 3 | test acc 0.1000 test loss 2.302441 best test_acc 0.1000
e 4 | malicious users: 6 | test acc 0.1000 test loss 2.325437 best test_acc 0.1000
e 5 | malicious users: 2 | test acc 0.1000 test loss 2.302557 best test_acc 0.1000
e 6 | malicious users: 2 | test acc 0.1000 test loss 2.300688 best test_acc 0.1000
e 7 | malicious users: 1 | test acc 0.1050 test loss 2.299538 best test_acc 0.1050
e 8 | malicious users: 5 | test acc 0.1000 test loss 2.298771 best test_acc 0.1050
e 9 | malicious users: 2 | test acc 0.1000 test loss 2.300971 best test_acc 0.1050
e 10 | malicious users: 1 | test acc 0.1000 test loss 2.308517 best test_acc 0.1050
e 11 | malicious users: 6 | test acc 0.1000 test loss 2.302048 best test_acc 0.1050
e 12 | malicious users: 1 | test acc 0.1000 test loss 2.301423 best test_acc 0.1050
e 13 | malicious users: 3 | test acc 0.1000 test loss 2.301479 best test_acc 0.1050
e 14 | malicious users: 3 | test acc 0.1000 test loss 2.325892 best test_acc 0.1050
e 15 | malicious users: 3 | test acc 0.1000 test loss 2.322599 best test_acc 0.1050
e 16 | malicious users: 3 | test acc 0.1000 test loss 2.296218 best test_acc 0.1050
e 17 | malicious users: 2 | test acc 0.1000 test loss 2.302273 best test_acc 0.1050
e 18 | malicious users: 1 | test acc 0.1000 test loss 2.308325 best test_acc 0.1050
e 19 | malicious users: 0 | test acc 0.1000 test loss 2.301720 best test_acc 0.1050
e 20 | malicious users: 3 | test acc 0.1000 test loss 2.313062 best test_acc 0.1050
e 21 | malicious users: 5 | test acc 0.1000 test loss 2.302579 best test_acc 0.1050
e 22 | malicious users: 1 | test acc 0.1000 test loss 2.302240 best test_acc 0.1050
e 23 | malicious users: 0 | test acc 0.1000 test loss 2.298141 best test_acc 0.1050
e 24 | malicious users: 5 | test acc 0.1000 test loss 2.302230 best test_acc 0.1050
e 25 | malicious users: 1 | test acc 0.1000 test loss 2.296761 best test_acc 0.1050
e 26 | malicious users: 1 | test acc 0.1000 test loss 2.288378 best test_acc 0.1050
e 27 | malicious users: 3 | test acc 0.1008 test loss 2.298151 best test_acc 0.1050
e 28 | malicious users: 0 | test acc 0.1000 test loss 2.295252 best test_acc 0.1050
e 29 | malicious users: 2 | test acc 0.1000 test loss 2.320642 best test_acc 0.1050
e 30 | malicious users: 1 | test acc 0.1000 test loss 2.299974 best test_acc 0.1050
e 31 | malicious users: 2 | test acc 0.1272 test loss 2.308342 best test_acc 0.1272
e 32 | malicious users: 3 | test acc 0.1000 test loss 2.285784 best test_acc 0.1272
e 33 | malicious users: 2 | test acc 0.1000 test loss 2.283739 best test_acc 0.1272
e 34 | malicious users: 6 | test acc 0.1000 test loss 2.296649 best test_acc 0.1272
e 35 | malicious users: 2 | test acc 0.0992 test loss 2.284431 best test_acc 0.1272
e 36 | malicious users: 1 | test acc 0.1000 test loss 2.250293 best test_acc 0.1272
e 37 | malicious users: 5 | test acc 0.1000 test loss 2.248830 best test_acc 0.1272
e 38 | malicious users: 4 | test acc 0.1053 test loss 2.292741 best test_acc 0.1272
e 39 | malicious users: 6 | test acc 0.1000 test loss 2.279969 best test_acc 0.1272
e 40 | malicious users: 3 | test acc 0.0860 test loss 2.302404 best test_acc 0.1272
e 41 | malicious users: 5 | test acc 0.1001 test loss 2.310048 best test_acc 0.1272
e 42 | malicious users: 4 | test acc 0.1032 test loss 2.301505 best test_acc 0.1272
e 43 | malicious users: 2 | test acc 0.1000 test loss 2.295149 best test_acc 0.1272
e 44 | malicious users: 2 | test acc 0.1000 test loss 2.284556 best test_acc 0.1272
e 45 | malicious users: 2 | test acc 0.1000 test loss 2.271160 best test_acc 0.1272
e 46 | malicious users: 2 | test acc 0.1000 test loss 2.264504 best test_acc 0.1272
e 47 | malicious users: 2 | test acc 0.1000 test loss 2.264677 best test_acc 0.1272
e 48 | malicious users: 1 | test acc 0.1002 test loss 2.249883 best test_acc 0.1272
e 49 | malicious users: 1 | test acc 0.1000 test loss 2.233091 best test_acc 0.1272
e 50 | malicious users: 1 | test acc 0.1000 test loss 2.265936 best test_acc 0.1272
e 51 | malicious users: 2 | test acc 0.1046 test loss 2.238404 best test_acc 0.1272
e 52 | malicious users: 5 | test acc 0.1004 test loss 2.219847 best test_acc 0.1272
e 53 | malicious users: 5 | test acc 0.1350 test loss 2.291594 best test_acc 0.1350
e 54 | malicious users: 3 | test acc 0.1066 test loss 2.237926 best test_acc 0.1350
e 55 | malicious users: 2 | test acc 0.1000 test loss 2.282266 best test_acc 0.1350
e 56 | malicious users: 1 | test acc 0.1271 test loss 2.272935 best test_acc 0.1350
e 57 | malicious users: 2 | test acc 0.1012 test loss 2.232430 best test_acc 0.1350
