#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.5579 test loss 2.133339 best test_acc 0.5579
e 1 | malicious users: 4 | test acc 0.8028 test loss 1.308854 best test_acc 0.8028
e 2 | malicious users: 3 | test acc 0.7246 test loss 1.007701 best test_acc 0.8028
e 3 | malicious users: 6 | test acc 0.8433 test loss 0.664462 best test_acc 0.8433
e 4 | malicious users: 8 | test acc 0.7279 test loss 0.965594 best test_acc 0.8433
e 5 | malicious users: 4 | test acc 0.8584 test loss 0.469796 best test_acc 0.8584
e 6 | malicious users: 6 | test acc 0.7699 test loss 0.826302 best test_acc 0.8584
e 7 | malicious users: 5 | test acc 0.8862 test loss 0.371854 best test_acc 0.8862
e 8 | malicious users: 3 | test acc 0.8953 test loss 0.427277 best test_acc 0.8953
e 9 | malicious users: 3 | test acc 0.9333 test loss 0.253036 best test_acc 0.9333
e 10 | malicious users: 6 | test acc 0.8613 test loss 0.564339 best test_acc 0.9333
e 11 | malicious users: 4 | test acc 0.9349 test loss 0.231248 best test_acc 0.9349
e 12 | malicious users: 3 | test acc 0.9419 test loss 0.278803 best test_acc 0.9419
e 13 | malicious users: 1 | test acc 0.9453 test loss 0.195673 best test_acc 0.9453
e 14 | malicious users: 7 | test acc 0.7350 test loss 0.914236 best test_acc 0.9453
e 15 | malicious users: 4 | test acc 0.9450 test loss 0.202256 best test_acc 0.9453
e 16 | malicious users: 7 | test acc 0.7158 test loss 0.846270 best test_acc 0.9453
e 17 | malicious users: 2 | test acc 0.9510 test loss 0.179295 best test_acc 0.9510
e 18 | malicious users: 7 | test acc 0.8256 test loss 0.653586 best test_acc 0.9510
e 19 | malicious users: 6 | test acc 0.9422 test loss 0.241273 best test_acc 0.9510
e 20 | malicious users: 3 | test acc 0.9468 test loss 0.218423 best test_acc 0.9510
e 21 | malicious users: 10 | test acc 0.4961 test loss 1.228080 best test_acc 0.9510
e 22 | malicious users: 7 | test acc 0.8501 test loss 0.407359 best test_acc 0.9510
e 23 | malicious users: 5 | test acc 0.8433 test loss 0.426613 best test_acc 0.9510
e 24 | malicious users: 5 | test acc 0.9305 test loss 0.259599 best test_acc 0.9510
e 25 | malicious users: 5 | test acc 0.8774 test loss 0.361477 best test_acc 0.9510
e 26 | malicious users: 5 | test acc 0.9266 test loss 0.321763 best test_acc 0.9510
e 27 | malicious users: 5 | test acc 0.9450 test loss 0.262749 best test_acc 0.9510
e 28 | malicious users: 4 | test acc 0.9453 test loss 0.225926 best test_acc 0.9510
e 29 | malicious users: 2 | test acc 0.9564 test loss 0.166786 best test_acc 0.9564
e 30 | malicious users: 5 | test acc 0.9566 test loss 0.264422 best test_acc 0.9566
e 31 | malicious users: 5 | test acc 0.9617 test loss 0.166206 best test_acc 0.9617
e 32 | malicious users: 5 | test acc 0.9022 test loss 0.302497 best test_acc 0.9617
e 33 | malicious users: 6 | test acc 0.7480 test loss 0.588436 best test_acc 0.9617
e 34 | malicious users: 4 | test acc 0.9011 test loss 0.334254 best test_acc 0.9617
e 35 | malicious users: 4 | test acc 0.9108 test loss 0.264030 best test_acc 0.9617
e 36 | malicious users: 8 | test acc 0.4015 test loss 1.396043 best test_acc 0.9617
e 37 | malicious users: 4 | test acc 0.9512 test loss 0.196190 best test_acc 0.9617
e 38 | malicious users: 3 | test acc 0.9536 test loss 0.194640 best test_acc 0.9617
e 39 | malicious users: 5 | test acc 0.9576 test loss 0.231928 best test_acc 0.9617
e 40 | malicious users: 4 | test acc 0.9454 test loss 0.219376 best test_acc 0.9617
e 41 | malicious users: 2 | test acc 0.9642 test loss 0.131247 best test_acc 0.9642
e 42 | malicious users: 6 | test acc 0.9436 test loss 0.400110 best test_acc 0.9642
e 43 | malicious users: 7 | test acc 0.8030 test loss 0.405495 best test_acc 0.9642
e 44 | malicious users: 5 | test acc 0.9233 test loss 0.314178 best test_acc 0.9642
e 45 | malicious users: 2 | test acc 0.9631 test loss 0.131770 best test_acc 0.9642
e 46 | malicious users: 6 | test acc 0.8683 test loss 0.391844 best test_acc 0.9642
e 47 | malicious users: 7 | test acc 0.8371 test loss 0.443368 best test_acc 0.9642
