#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.3945 test loss 2.146813 best test_acc 0.3945
e 1 | malicious users: 0 | test acc 0.5203 test loss 1.718840 best test_acc 0.5203
e 2 | malicious users: 0 | test acc 0.6212 test loss 1.422366 best test_acc 0.6212
e 3 | malicious users: 0 | test acc 0.6096 test loss 1.197190 best test_acc 0.6212
e 4 | malicious users: 0 | test acc 0.6551 test loss 1.168835 best test_acc 0.6551
e 5 | malicious users: 0 | test acc 0.6662 test loss 0.982799 best test_acc 0.6662
e 6 | malicious users: 0 | test acc 0.6764 test loss 0.991176 best test_acc 0.6764
e 7 | malicious users: 0 | test acc 0.6992 test loss 0.846188 best test_acc 0.6992
e 8 | malicious users: 0 | test acc 0.7290 test loss 0.797141 best test_acc 0.7290
e 9 | malicious users: 0 | test acc 0.6774 test loss 0.905056 best test_acc 0.7290
e 10 | malicious users: 0 | test acc 0.6974 test loss 0.946992 best test_acc 0.7290
e 11 | malicious users: 0 | test acc 0.6929 test loss 0.892772 best test_acc 0.7290
e 12 | malicious users: 0 | test acc 0.7641 test loss 0.654797 best test_acc 0.7641
e 13 | malicious users: 0 | test acc 0.7233 test loss 0.798450 best test_acc 0.7641
e 14 | malicious users: 0 | test acc 0.7157 test loss 0.789462 best test_acc 0.7641
e 15 | malicious users: 0 | test acc 0.7704 test loss 0.667555 best test_acc 0.7704
e 16 | malicious users: 0 | test acc 0.7578 test loss 0.692501 best test_acc 0.7704
e 17 | malicious users: 0 | test acc 0.6675 test loss 0.833961 best test_acc 0.7704
e 18 | malicious users: 0 | test acc 0.7314 test loss 0.758791 best test_acc 0.7704
e 19 | malicious users: 0 | test acc 0.7796 test loss 0.609072 best test_acc 0.7796
e 20 | malicious users: 0 | test acc 0.7390 test loss 0.693504 best test_acc 0.7796
e 21 | malicious users: 0 | test acc 0.7607 test loss 0.658821 best test_acc 0.7796
e 22 | malicious users: 0 | test acc 0.7848 test loss 0.624853 best test_acc 0.7848
e 23 | malicious users: 0 | test acc 0.7473 test loss 0.665257 best test_acc 0.7848
e 24 | malicious users: 0 | test acc 0.7646 test loss 0.616222 best test_acc 0.7848
e 25 | malicious users: 0 | test acc 0.7851 test loss 0.590474 best test_acc 0.7851
e 26 | malicious users: 0 | test acc 0.7631 test loss 0.660094 best test_acc 0.7851
e 27 | malicious users: 0 | test acc 0.7715 test loss 0.641517 best test_acc 0.7851
e 28 | malicious users: 0 | test acc 0.7976 test loss 0.554334 best test_acc 0.7976
e 29 | malicious users: 0 | test acc 0.7929 test loss 0.566593 best test_acc 0.7976
e 30 | malicious users: 0 | test acc 0.8079 test loss 0.546884 best test_acc 0.8079
e 31 | malicious users: 0 | test acc 0.7928 test loss 0.568459 best test_acc 0.8079
e 32 | malicious users: 0 | test acc 0.7994 test loss 0.551103 best test_acc 0.8079
e 33 | malicious users: 0 | test acc 0.7461 test loss 0.688965 best test_acc 0.8079
e 34 | malicious users: 0 | test acc 0.7405 test loss 0.718876 best test_acc 0.8079
e 35 | malicious users: 0 | test acc 0.7938 test loss 0.599719 best test_acc 0.8079
e 36 | malicious users: 0 | test acc 0.7646 test loss 0.646116 best test_acc 0.8079
e 37 | malicious users: 0 | test acc 0.7970 test loss 0.570754 best test_acc 0.8079
e 38 | malicious users: 0 | test acc 0.8134 test loss 0.529667 best test_acc 0.8134
e 39 | malicious users: 0 | test acc 0.7983 test loss 0.550361 best test_acc 0.8134
e 40 | malicious users: 0 | test acc 0.7696 test loss 0.641886 best test_acc 0.8134
e 41 | malicious users: 0 | test acc 0.8124 test loss 0.533029 best test_acc 0.8134
