#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 1020
e 0 | malicious users: 7 | test acc 0.3396 test loss 2.209820 best test_acc 0.3396
e 1 | malicious users: 10 | test acc 0.3552 test loss 1.998305 best test_acc 0.3552
e 2 | malicious users: 9 | test acc 0.5310 test loss 1.766403 best test_acc 0.5310
e 3 | malicious users: 6 | test acc 0.5695 test loss 1.634387 best test_acc 0.5695
e 4 | malicious users: 6 | test acc 0.5516 test loss 1.334777 best test_acc 0.5695
e 5 | malicious users: 10 | test acc 0.4611 test loss 1.588171 best test_acc 0.5695
e 6 | malicious users: 7 | test acc 0.6284 test loss 1.252580 best test_acc 0.6284
e 7 | malicious users: 10 | test acc 0.5029 test loss 1.645531 best test_acc 0.6284
e 8 | malicious users: 6 | test acc 0.6832 test loss 1.143484 best test_acc 0.6832
e 9 | malicious users: 7 | test acc 0.7072 test loss 1.170773 best test_acc 0.7072
e 10 | malicious users: 4 | test acc 0.6502 test loss 1.045815 best test_acc 0.7072
e 11 | malicious users: 4 | test acc 0.7121 test loss 0.980268 best test_acc 0.7121
e 12 | malicious users: 6 | test acc 0.7057 test loss 0.965715 best test_acc 0.7121
e 13 | malicious users: 5 | test acc 0.6500 test loss 1.013808 best test_acc 0.7121
e 14 | malicious users: 2 | test acc 0.7336 test loss 0.860144 best test_acc 0.7336
e 15 | malicious users: 9 | test acc 0.4273 test loss 1.584406 best test_acc 0.7336
e 16 | malicious users: 5 | test acc 0.7567 test loss 0.909063 best test_acc 0.7567
e 17 | malicious users: 6 | test acc 0.7390 test loss 0.912763 best test_acc 0.7567
e 18 | malicious users: 9 | test acc 0.4573 test loss 1.279303 best test_acc 0.7567
e 19 | malicious users: 6 | test acc 0.7349 test loss 0.881748 best test_acc 0.7567
e 20 | malicious users: 5 | test acc 0.7157 test loss 0.945924 best test_acc 0.7567
e 21 | malicious users: 5 | test acc 0.6748 test loss 1.003894 best test_acc 0.7567
e 22 | malicious users: 7 | test acc 0.6027 test loss 1.067440 best test_acc 0.7567
e 23 | malicious users: 7 | test acc 0.7431 test loss 0.871876 best test_acc 0.7567
e 24 | malicious users: 6 | test acc 0.6906 test loss 0.879995 best test_acc 0.7567
e 25 | malicious users: 2 | test acc 0.7565 test loss 0.766199 best test_acc 0.7567
e 26 | malicious users: 6 | test acc 0.6212 test loss 1.014378 best test_acc 0.7567
e 27 | malicious users: 11 | test acc 0.5377 test loss 1.182561 best test_acc 0.7567
e 28 | malicious users: 5 | test acc 0.7683 test loss 0.750163 best test_acc 0.7683
e 29 | malicious users: 12 | test acc 0.5316 test loss 1.313299 best test_acc 0.7683
e 30 | malicious users: 8 | test acc 0.7510 test loss 1.015653 best test_acc 0.7683
e 31 | malicious users: 8 | test acc 0.7562 test loss 0.899764 best test_acc 0.7683
e 32 | malicious users: 9 | test acc 0.6221 test loss 1.070790 best test_acc 0.7683
e 33 | malicious users: 10 | test acc 0.6241 test loss 1.112691 best test_acc 0.7683
e 34 | malicious users: 12 | test acc 0.3049 test loss 1.544190 best test_acc 0.7683
e 35 | malicious users: 10 | test acc 0.5955 test loss 1.064868 best test_acc 0.7683
e 36 | malicious users: 5 | test acc 0.7436 test loss 0.824090 best test_acc 0.7683
e 37 | malicious users: 5 | test acc 0.7552 test loss 0.824878 best test_acc 0.7683
e 38 | malicious users: 5 | test acc 0.6729 test loss 0.853124 best test_acc 0.7683
e 39 | malicious users: 5 | test acc 0.7628 test loss 0.784576 best test_acc 0.7683
e 40 | malicious users: 8 | test acc 0.5562 test loss 1.165133 best test_acc 0.7683
e 41 | malicious users: 7 | test acc 0.6823 test loss 0.985962 best test_acc 0.7683
e 42 | malicious users: 5 | test acc 0.7809 test loss 0.842251 best test_acc 0.7809
e 43 | malicious users: 11 | test acc 0.4430 test loss 1.232591 best test_acc 0.7809
e 44 | malicious users: 7 | test acc 0.7321 test loss 0.794141 best test_acc 0.7809
e 45 | malicious users: 9 | test acc 0.5237 test loss 1.300744 best test_acc 0.7809
e 46 | malicious users: 11 | test acc 0.5029 test loss 1.170442 best test_acc 0.7809
e 47 | malicious users: 4 | test acc 0.7806 test loss 0.741607 best test_acc 0.7809
e 48 | malicious users: 9 | test acc 0.7206 test loss 0.997048 best test_acc 0.7809
e 49 | malicious users: 5 | test acc 0.8005 test loss 0.674278 best test_acc 0.8005
e 50 | malicious users: 7 | test acc 0.7828 test loss 0.787799 best test_acc 0.8005
e 51 | malicious users: 9 | test acc 0.5843 test loss 1.041317 best test_acc 0.8005
e 52 | malicious users: 5 | test acc 0.7388 test loss 0.765170 best test_acc 0.8005
e 53 | malicious users: 7 | test acc 0.6744 test loss 0.949628 best test_acc 0.8005
e 54 | malicious users: 8 | test acc 0.7191 test loss 0.856391 best test_acc 0.8005
e 55 | malicious users: 8 | test acc 0.7857 test loss 0.757377 best test_acc 0.8005
