
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2387 test loss 2.143819 best test_acc 0.2387
e 1 | malicious users: 0 | test acc 0.4603 test loss 1.976709 best test_acc 0.4603
e 2 | malicious users: 0 | test acc 0.5817 test loss 1.793256 best test_acc 0.5817
e 3 | malicious users: 0 | test acc 0.6635 test loss 1.552976 best test_acc 0.6635
e 4 | malicious users: 0 | test acc 0.7189 test loss 1.339970 best test_acc 0.7189
e 5 | malicious users: 0 | test acc 0.7461 test loss 1.162104 best test_acc 0.7461
e 6 | malicious users: 0 | test acc 0.8000 test loss 1.003363 best test_acc 0.8000
e 7 | malicious users: 0 | test acc 0.7962 test loss 0.892697 best test_acc 0.8000
e 8 | malicious users: 0 | test acc 0.8128 test loss 0.771556 best test_acc 0.8128
e 9 | malicious users: 0 | test acc 0.8349 test loss 0.706260 best test_acc 0.8349
e 10 | malicious users: 0 | test acc 0.8368 test loss 0.650886 best test_acc 0.8368
e 11 | malicious users: 0 | test acc 0.8577 test loss 0.595927 best test_acc 0.8577
e 12 | malicious users: 0 | test acc 0.8581 test loss 0.558162 best test_acc 0.8581
e 13 | malicious users: 0 | test acc 0.8686 test loss 0.528799 best test_acc 0.8686
e 14 | malicious users: 0 | test acc 0.8733 test loss 0.506084 best test_acc 0.8733
e 15 | malicious users: 0 | test acc 0.8741 test loss 0.488391 best test_acc 0.8741
e 16 | malicious users: 0 | test acc 0.8740 test loss 0.475645 best test_acc 0.8741
e 17 | malicious users: 0 | test acc 0.8853 test loss 0.449782 best test_acc 0.8853
e 18 | malicious users: 0 | test acc 0.8818 test loss 0.451403 best test_acc 0.8853
e 19 | malicious users: 0 | test acc 0.8886 test loss 0.427388 best test_acc 0.8886
e 20 | malicious users: 0 | test acc 0.8831 test loss 0.429525 best test_acc 0.8886
e 21 | malicious users: 0 | test acc 0.8928 test loss 0.406351 best test_acc 0.8928
e 22 | malicious users: 0 | test acc 0.8968 test loss 0.399891 best test_acc 0.8968
e 23 | malicious users: 0 | test acc 0.8909 test loss 0.397811 best test_acc 0.8968
e 24 | malicious users: 0 | test acc 0.8935 test loss 0.397452 best test_acc 0.8968
e 25 | malicious users: 0 | test acc 0.8933 test loss 0.387002 best test_acc 0.8968
e 26 | malicious users: 0 | test acc 0.8930 test loss 0.384146 best test_acc 0.8968
e 27 | malicious users: 0 | test acc 0.8981 test loss 0.376013 best test_acc 0.8981
e 28 | malicious users: 0 | test acc 0.9021 test loss 0.367828 best test_acc 0.9021
e 29 | malicious users: 0 | test acc 0.9025 test loss 0.360226 best test_acc 0.9025
e 30 | malicious users: 0 | test acc 0.9001 test loss 0.365443 best test_acc 0.9025
e 31 | malicious users: 0 | test acc 0.8975 test loss 0.362307 best test_acc 0.9025
e 32 | malicious users: 0 | test acc 0.9012 test loss 0.355094 best test_acc 0.9025
e 33 | malicious users: 0 | test acc 0.8996 test loss 0.356360 best test_acc 0.9025
e 34 | malicious users: 0 | test acc 0.9061 test loss 0.344992 best test_acc 0.9061
e 35 | malicious users: 0 | test acc 0.9016 test loss 0.349018 best test_acc 0.9061
e 36 | malicious users: 0 | test acc 0.9100 test loss 0.333085 best test_acc 0.9100
e 37 | malicious users: 0 | test acc 0.9101 test loss 0.334052 best test_acc 0.9101
e 38 | malicious users: 0 | test acc 0.9085 test loss 0.333588 best test_acc 0.9101
e 39 | malicious users: 0 | test acc 0.9085 test loss 0.331953 best test_acc 0.9101
e 40 | malicious users: 0 | test acc 0.9101 test loss 0.327719 best test_acc 0.9101
e 41 | malicious users: 0 | test acc 0.9122 test loss 0.324615 best test_acc 0.9122
e 42 | malicious users: 0 | test acc 0.9120 test loss 0.324611 best test_acc 0.9122
e 43 | malicious users: 0 | test acc 0.9093 test loss 0.325526 best test_acc 0.9122
e 44 | malicious users: 0 | test acc 0.9111 test loss 0.330856 best test_acc 0.9122
e 45 | malicious users: 0 | test acc 0.9099 test loss 0.321870 best test_acc 0.9122
e 46 | malicious users: 0 | test acc 0.9114 test loss 0.315757 best test_acc 0.9122
e 47 | malicious users: 0 | test acc 0.9129 test loss 0.319843 best test_acc 0.9129
e 48 | malicious users: 0 | test acc 0.9152 test loss 0.308830 best test_acc 0.9152
e 49 | malicious users: 0 | test acc 0.9125 test loss 0.307306 best test_acc 0.9152
e 50 | malicious users: 0 | test acc 0.9169 test loss 0.307700 best test_acc 0.9169
e 51 | malicious users: 0 | test acc 0.9142 test loss 0.306506 best test_acc 0.9169
e 52 | malicious users: 0 | test acc 0.9174 test loss 0.295391 best test_acc 0.9174
e 53 | malicious users: 0 | test acc 0.9205 test loss 0.299600 best test_acc 0.9205
e 54 | malicious users: 0 | test acc 0.9135 test loss 0.299191 best test_acc 0.9205
e 55 | malicious users: 0 | test acc 0.9205 test loss 0.288470 best test_acc 0.9205
e 56 | malicious users: 0 | test acc 0.9187 test loss 0.292786 best test_acc 0.9205
e 57 | malicious users: 0 | test acc 0.9172 test loss 0.294245 best test_acc 0.9205
e 58 | malicious users: 0 | test acc 0.9167 test loss 0.294262 best test_acc 0.9205
e 59 | malicious users: 0 | test acc 0.9222 test loss 0.287042 best test_acc 0.9222
e 60 | malicious users: 0 | test acc 0.9164 test loss 0.300167 best test_acc 0.9222
e 61 | malicious users: 0 | test acc 0.9212 test loss 0.288986 best test_acc 0.9222
e 62 | malicious users: 0 | test acc 0.9173 test loss 0.290895 best test_acc 0.9222
