
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1961 test loss 2.149628 best test_acc 0.1961
e 1 | malicious users: 5 | test acc 0.2794 test loss 2.052414 best test_acc 0.2794
e 2 | malicious users: 3 | test acc 0.5041 test loss 1.811790 best test_acc 0.5041
e 3 | malicious users: 7 | test acc 0.4670 test loss 1.719431 best test_acc 0.5041
e 4 | malicious users: 5 | test acc 0.6461 test loss 1.483555 best test_acc 0.6461
e 5 | malicious users: 4 | test acc 0.7346 test loss 1.245111 best test_acc 0.7346
e 6 | malicious users: 6 | test acc 0.7412 test loss 1.118462 best test_acc 0.7412
e 7 | malicious users: 4 | test acc 0.7745 test loss 0.996285 best test_acc 0.7745
e 8 | malicious users: 2 | test acc 0.8262 test loss 0.787725 best test_acc 0.8262
e 9 | malicious users: 9 | test acc 0.6910 test loss 0.901216 best test_acc 0.8262
e 10 | malicious users: 5 | test acc 0.8346 test loss 0.668567 best test_acc 0.8346
e 11 | malicious users: 6 | test acc 0.8303 test loss 0.621786 best test_acc 0.8346
e 12 | malicious users: 7 | test acc 0.8184 test loss 0.633786 best test_acc 0.8346
e 13 | malicious users: 4 | test acc 0.8406 test loss 0.576480 best test_acc 0.8406
e 14 | malicious users: 2 | test acc 0.8589 test loss 0.526839 best test_acc 0.8589
e 15 | malicious users: 5 | test acc 0.8720 test loss 0.489885 best test_acc 0.8720
e 16 | malicious users: 4 | test acc 0.8755 test loss 0.482421 best test_acc 0.8755
e 17 | malicious users: 2 | test acc 0.8752 test loss 0.457676 best test_acc 0.8755
e 18 | malicious users: 8 | test acc 0.8501 test loss 0.486549 best test_acc 0.8755
e 19 | malicious users: 6 | test acc 0.8861 test loss 0.423166 best test_acc 0.8861
e 20 | malicious users: 1 | test acc 0.8829 test loss 0.428751 best test_acc 0.8861
e 21 | malicious users: 7 | test acc 0.8688 test loss 0.442308 best test_acc 0.8861
e 22 | malicious users: 2 | test acc 0.8909 test loss 0.399339 best test_acc 0.8909
e 23 | malicious users: 3 | test acc 0.8892 test loss 0.395096 best test_acc 0.8909
e 24 | malicious users: 6 | test acc 0.8817 test loss 0.404665 best test_acc 0.8909
e 25 | malicious users: 5 | test acc 0.8792 test loss 0.415646 best test_acc 0.8909
e 26 | malicious users: 5 | test acc 0.8844 test loss 0.405227 best test_acc 0.8909
e 27 | malicious users: 3 | test acc 0.8977 test loss 0.373199 best test_acc 0.8977
e 28 | malicious users: 6 | test acc 0.8817 test loss 0.406067 best test_acc 0.8977
e 29 | malicious users: 6 | test acc 0.8879 test loss 0.395912 best test_acc 0.8977
e 30 | malicious users: 3 | test acc 0.8957 test loss 0.366070 best test_acc 0.8977
e 31 | malicious users: 5 | test acc 0.8953 test loss 0.370089 best test_acc 0.8977
e 32 | malicious users: 6 | test acc 0.8923 test loss 0.371905 best test_acc 0.8977
e 33 | malicious users: 4 | test acc 0.9007 test loss 0.356472 best test_acc 0.9007
e 34 | malicious users: 3 | test acc 0.9053 test loss 0.345285 best test_acc 0.9053
e 35 | malicious users: 5 | test acc 0.8925 test loss 0.367620 best test_acc 0.9053
e 36 | malicious users: 3 | test acc 0.9040 test loss 0.340700 best test_acc 0.9053
e 37 | malicious users: 5 | test acc 0.9040 test loss 0.345567 best test_acc 0.9053
e 38 | malicious users: 3 | test acc 0.9030 test loss 0.342219 best test_acc 0.9053
e 39 | malicious users: 5 | test acc 0.8837 test loss 0.390893 best test_acc 0.9053
e 40 | malicious users: 5 | test acc 0.8909 test loss 0.368224 best test_acc 0.9053
e 41 | malicious users: 8 | test acc 0.8910 test loss 0.374340 best test_acc 0.9053
e 42 | malicious users: 5 | test acc 0.8864 test loss 0.380680 best test_acc 0.9053
e 43 | malicious users: 4 | test acc 0.8931 test loss 0.354419 best test_acc 0.9053
e 44 | malicious users: 3 | test acc 0.8940 test loss 0.355286 best test_acc 0.9053
e 45 | malicious users: 6 | test acc 0.9005 test loss 0.342933 best test_acc 0.9053
e 46 | malicious users: 4 | test acc 0.8982 test loss 0.352584 best test_acc 0.9053
e 47 | malicious users: 6 | test acc 0.9052 test loss 0.334977 best test_acc 0.9053
e 48 | malicious users: 9 | test acc 0.8749 test loss 0.409308 best test_acc 0.9053
e 49 | malicious users: 3 | test acc 0.9032 test loss 0.337273 best test_acc 0.9053
e 50 | malicious users: 7 | test acc 0.9108 test loss 0.323946 best test_acc 0.9108
e 51 | malicious users: 2 | test acc 0.9081 test loss 0.323101 best test_acc 0.9108
e 52 | malicious users: 4 | test acc 0.9091 test loss 0.319130 best test_acc 0.9108
e 53 | malicious users: 4 | test acc 0.9082 test loss 0.326393 best test_acc 0.9108
e 54 | malicious users: 6 | test acc 0.9118 test loss 0.319373 best test_acc 0.9118
e 55 | malicious users: 8 | test acc 0.8901 test loss 0.357475 best test_acc 0.9118
e 56 | malicious users: 5 | test acc 0.9088 test loss 0.330543 best test_acc 0.9118
e 57 | malicious users: 6 | test acc 0.9054 test loss 0.317817 best test_acc 0.9118
e 58 | malicious users: 5 | test acc 0.9114 test loss 0.311815 best test_acc 0.9118
e 59 | malicious users: 6 | test acc 0.9042 test loss 0.327103 best test_acc 0.9118
e 60 | malicious users: 6 | test acc 0.9018 test loss 0.327183 best test_acc 0.9118
