
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.1012 test loss 2.301700 best test_acc 0.1012
e 1 | malicious users: 0 | test acc 0.1000 test loss 2.300642 best test_acc 0.1012
e 2 | malicious users: 0 | test acc 0.1000 test loss 2.297318 best test_acc 0.1012
e 3 | malicious users: 0 | test acc 0.1384 test loss 2.276507 best test_acc 0.1384
e 4 | malicious users: 0 | test acc 0.1518 test loss 2.266757 best test_acc 0.1518
e 5 | malicious users: 0 | test acc 0.1604 test loss 2.290514 best test_acc 0.1604
e 6 | malicious users: 0 | test acc 0.1634 test loss 2.241334 best test_acc 0.1634
e 7 | malicious users: 0 | test acc 0.2153 test loss 2.258456 best test_acc 0.2153
e 8 | malicious users: 0 | test acc 0.2030 test loss 2.253356 best test_acc 0.2153
e 9 | malicious users: 0 | test acc 0.1867 test loss 2.186172 best test_acc 0.2153
e 10 | malicious users: 0 | test acc 0.1686 test loss 2.261208 best test_acc 0.2153
e 11 | malicious users: 0 | test acc 0.2070 test loss 2.173419 best test_acc 0.2153
e 12 | malicious users: 0 | test acc 0.1754 test loss 2.234266 best test_acc 0.2153
e 13 | malicious users: 0 | test acc 0.2366 test loss 2.187593 best test_acc 0.2366
e 14 | malicious users: 0 | test acc 0.1631 test loss 2.204608 best test_acc 0.2366
e 15 | malicious users: 0 | test acc 0.1897 test loss 2.153766 best test_acc 0.2366
e 16 | malicious users: 0 | test acc 0.2310 test loss 2.136042 best test_acc 0.2366
e 17 | malicious users: 0 | test acc 0.2382 test loss 2.140277 best test_acc 0.2382
e 18 | malicious users: 0 | test acc 0.2121 test loss 2.164100 best test_acc 0.2382
e 19 | malicious users: 0 | test acc 0.1777 test loss 2.086070 best test_acc 0.2382
e 20 | malicious users: 0 | test acc 0.2466 test loss 2.055257 best test_acc 0.2466
e 21 | malicious users: 0 | test acc 0.2798 test loss 2.058522 best test_acc 0.2798
e 22 | malicious users: 0 | test acc 0.2394 test loss 2.019184 best test_acc 0.2798
e 23 | malicious users: 0 | test acc 0.2870 test loss 2.026384 best test_acc 0.2870
e 24 | malicious users: 0 | test acc 0.2538 test loss 1.984184 best test_acc 0.2870
e 25 | malicious users: 0 | test acc 0.2891 test loss 1.988936 best test_acc 0.2891
e 26 | malicious users: 0 | test acc 0.2579 test loss 2.025808 best test_acc 0.2891
e 27 | malicious users: 0 | test acc 0.3129 test loss 2.047185 best test_acc 0.3129
e 28 | malicious users: 0 | test acc 0.2823 test loss 1.995405 best test_acc 0.3129
e 29 | malicious users: 0 | test acc 0.2926 test loss 1.915127 best test_acc 0.3129
e 30 | malicious users: 0 | test acc 0.3018 test loss 1.922349 best test_acc 0.3129
e 31 | malicious users: 0 | test acc 0.2745 test loss 1.959389 best test_acc 0.3129
e 32 | malicious users: 0 | test acc 0.3149 test loss 1.948674 best test_acc 0.3149
e 33 | malicious users: 0 | test acc 0.2940 test loss 2.042624 best test_acc 0.3149
e 34 | malicious users: 0 | test acc 0.3031 test loss 1.918763 best test_acc 0.3149
e 35 | malicious users: 0 | test acc 0.2863 test loss 1.878702 best test_acc 0.3149
e 36 | malicious users: 0 | test acc 0.2912 test loss 1.943365 best test_acc 0.3149
e 37 | malicious users: 0 | test acc 0.2742 test loss 1.937239 best test_acc 0.3149
e 38 | malicious users: 0 | test acc 0.3169 test loss 1.850379 best test_acc 0.3169
e 39 | malicious users: 0 | test acc 0.3289 test loss 1.950211 best test_acc 0.3289
e 40 | malicious users: 0 | test acc 0.3248 test loss 1.888938 best test_acc 0.3289
e 41 | malicious users: 0 | test acc 0.3119 test loss 1.836417 best test_acc 0.3289
e 42 | malicious users: 0 | test acc 0.3263 test loss 1.871395 best test_acc 0.3289
e 43 | malicious users: 0 | test acc 0.3230 test loss 1.919949 best test_acc 0.3289
e 44 | malicious users: 0 | test acc 0.3498 test loss 1.773070 best test_acc 0.3498
e 45 | malicious users: 0 | test acc 0.3395 test loss 1.897946 best test_acc 0.3498
e 46 | malicious users: 0 | test acc 0.3492 test loss 1.783211 best test_acc 0.3498
e 47 | malicious users: 0 | test acc 0.3184 test loss 1.795300 best test_acc 0.3498
e 48 | malicious users: 0 | test acc 0.3364 test loss 1.811224 best test_acc 0.3498
e 49 | malicious users: 0 | test acc 0.3594 test loss 1.753442 best test_acc 0.3594
e 50 | malicious users: 0 | test acc 0.3383 test loss 1.838361 best test_acc 0.3594
e 51 | malicious users: 0 | test acc 0.3655 test loss 1.715892 best test_acc 0.3655
e 52 | malicious users: 0 | test acc 0.3604 test loss 1.751942 best test_acc 0.3655
e 53 | malicious users: 0 | test acc 0.3681 test loss 1.811523 best test_acc 0.3681
e 54 | malicious users: 0 | test acc 0.3304 test loss 1.755891 best test_acc 0.3681
e 55 | malicious users: 0 | test acc 0.3589 test loss 1.796301 best test_acc 0.3681
e 56 | malicious users: 0 | test acc 0.3758 test loss 1.716425 best test_acc 0.3758
e 57 | malicious users: 0 | test acc 0.3821 test loss 1.716909 best test_acc 0.3821
e 58 | malicious users: 0 | test acc 0.3613 test loss 1.759199 best test_acc 0.3821
e 59 | malicious users: 0 | test acc 0.3896 test loss 1.669268 best test_acc 0.3896
e 60 | malicious users: 0 | test acc 0.3526 test loss 1.761103 best test_acc 0.3896
e 61 | malicious users: 0 | test acc 0.3692 test loss 1.732302 best test_acc 0.3896
e 62 | malicious users: 0 | test acc 0.3752 test loss 1.686838 best test_acc 0.3896
e 63 | malicious users: 0 | test acc 0.3720 test loss 1.740359 best test_acc 0.3896
e 64 | malicious users: 0 | test acc 0.3815 test loss 1.689882 best test_acc 0.3896
e 65 | malicious users: 0 | test acc 0.3126 test loss 1.896705 best test_acc 0.3896
e 66 | malicious users: 0 | test acc 0.3950 test loss 1.658698 best test_acc 0.3950
e 67 | malicious users: 0 | test acc 0.3880 test loss 1.661128 best test_acc 0.3950
e 68 | malicious users: 0 | test acc 0.3996 test loss 1.718552 best test_acc 0.3996
e 69 | malicious users: 0 | test acc 0.3932 test loss 1.674251 best test_acc 0.3996
e 70 | malicious users: 0 | test acc 0.4044 test loss 1.640960 best test_acc 0.4044
e 71 | malicious users: 0 | test acc 0.3845 test loss 1.664613 best test_acc 0.4044
e 72 | malicious users: 0 | test acc 0.4179 test loss 1.678223 best test_acc 0.4179
e 73 | malicious users: 0 | test acc 0.4174 test loss 1.656992 best test_acc 0.4179
e 74 | malicious users: 0 | test acc 0.4225 test loss 1.598567 best test_acc 0.4225
e 75 | malicious users: 0 | test acc 0.4063 test loss 1.611563 best test_acc 0.4225
e 76 | malicious users: 0 | test acc 0.3872 test loss 1.675060 best test_acc 0.4225
e 77 | malicious users: 0 | test acc 0.4159 test loss 1.585114 best test_acc 0.4225
e 78 | malicious users: 0 | test acc 0.4117 test loss 1.625118 best test_acc 0.4225
e 79 | malicious users: 0 | test acc 0.4366 test loss 1.547196 best test_acc 0.4366
e 80 | malicious users: 0 | test acc 0.4140 test loss 1.644209 best test_acc 0.4366
e 81 | malicious users: 0 | test acc 0.4120 test loss 1.584595 best test_acc 0.4366
e 82 | malicious users: 0 | test acc 0.4007 test loss 1.603482 best test_acc 0.4366
e 83 | malicious users: 0 | test acc 0.4299 test loss 1.584614 best test_acc 0.4366
e 84 | malicious users: 0 | test acc 0.4245 test loss 1.593110 best test_acc 0.4366
e 85 | malicious users: 0 | test acc 0.4327 test loss 1.551119 best test_acc 0.4366
e 86 | malicious users: 0 | test acc 0.4287 test loss 1.588605 best test_acc 0.4366
e 87 | malicious users: 0 | test acc 0.3731 test loss 1.676128 best test_acc 0.4366
e 88 | malicious users: 0 | test acc 0.4225 test loss 1.568622 best test_acc 0.4366
e 89 | malicious users: 0 | test acc 0.4215 test loss 1.567462 best test_acc 0.4366
e 90 | malicious users: 0 | test acc 0.4346 test loss 1.554894 best test_acc 0.4366
e 91 | malicious users: 0 | test acc 0.4392 test loss 1.530631 best test_acc 0.4392
e 92 | malicious users: 0 | test acc 0.4211 test loss 1.555153 best test_acc 0.4392
e 93 | malicious users: 0 | test acc 0.4404 test loss 1.545313 best test_acc 0.4404
e 94 | malicious users: 0 | test acc 0.4501 test loss 1.547375 best test_acc 0.4501
e 95 | malicious users: 0 | test acc 0.4091 test loss 1.550468 best test_acc 0.4501
e 96 | malicious users: 0 | test acc 0.4423 test loss 1.528375 best test_acc 0.4501
e 97 | malicious users: 0 | test acc 0.4142 test loss 1.593883 best test_acc 0.4501
e 98 | malicious users: 0 | test acc 0.4270 test loss 1.538696 best test_acc 0.4501
e 99 | malicious users: 0 | test acc 0.4418 test loss 1.551847 best test_acc 0.4501
e 100 | malicious users: 0 | test acc 0.4361 test loss 1.514280 best test_acc 0.4501
e 101 | malicious users: 0 | test acc 0.4500 test loss 1.519691 best test_acc 0.4501
e 102 | malicious users: 0 | test acc 0.4660 test loss 1.468806 best test_acc 0.4660
e 103 | malicious users: 0 | test acc 0.4615 test loss 1.557398 best test_acc 0.4660
e 104 | malicious users: 0 | test acc 0.4172 test loss 1.558573 best test_acc 0.4660
e 105 | malicious users: 0 | test acc 0.4152 test loss 1.573828 best test_acc 0.4660
e 106 | malicious users: 0 | test acc 0.4448 test loss 1.551666 best test_acc 0.4660
e 107 | malicious users: 0 | test acc 0.4657 test loss 1.457192 best test_acc 0.4660
e 108 | malicious users: 0 | test acc 0.4670 test loss 1.481757 best test_acc 0.4670
e 109 | malicious users: 0 | test acc 0.4584 test loss 1.522965 best test_acc 0.4670
e 110 | malicious users: 0 | test acc 0.4516 test loss 1.525376 best test_acc 0.4670
e 111 | malicious users: 0 | test acc 0.4484 test loss 1.490966 best test_acc 0.4670
e 112 | malicious users: 0 | test acc 0.4627 test loss 1.486906 best test_acc 0.4670
e 113 | malicious users: 0 | test acc 0.4462 test loss 1.628025 best test_acc 0.4670
e 114 | malicious users: 0 | test acc 0.4592 test loss 1.497949 best test_acc 0.4670
e 115 | malicious users: 0 | test acc 0.4527 test loss 1.509498 best test_acc 0.4670
e 116 | malicious users: 0 | test acc 0.4620 test loss 1.466305 best test_acc 0.4670
e 117 | malicious users: 0 | test acc 0.4628 test loss 1.478911 best test_acc 0.4670
e 118 | malicious users: 0 | test acc 0.4703 test loss 1.505021 best test_acc 0.4703
e 119 | malicious users: 0 | test acc 0.4833 test loss 1.428607 best test_acc 0.4833
e 120 | malicious users: 0 | test acc 0.4667 test loss 1.489941 best test_acc 0.4833
e 121 | malicious users: 0 | test acc 0.4674 test loss 1.444960 best test_acc 0.4833
e 122 | malicious users: 0 | test acc 0.4691 test loss 1.449553 best test_acc 0.4833
e 123 | malicious users: 0 | test acc 0.4288 test loss 1.557821 best test_acc 0.4833
e 124 | malicious users: 0 | test acc 0.4329 test loss 1.567998 best test_acc 0.4833
e 125 | malicious users: 0 | test acc 0.4450 test loss 1.548337 best test_acc 0.4833
e 126 | malicious users: 0 | test acc 0.4794 test loss 1.449663 best test_acc 0.4833
e 127 | malicious users: 0 | test acc 0.4779 test loss 1.427431 best test_acc 0.4833
