
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.6147 test loss 2.081647 best test_acc 0.6147
e 1 | malicious users: 0 | test acc 0.7468 test loss 1.106450 best test_acc 0.7468
e 2 | malicious users: 0 | test acc 0.7305 test loss 1.005926 best test_acc 0.7468
e 3 | malicious users: 0 | test acc 0.8774 test loss 0.461504 best test_acc 0.8774
e 4 | malicious users: 0 | test acc 0.9022 test loss 0.333197 best test_acc 0.9022
e 5 | malicious users: 0 | test acc 0.8928 test loss 0.366659 best test_acc 0.9022
e 6 | malicious users: 0 | test acc 0.9234 test loss 0.259162 best test_acc 0.9234
e 7 | malicious users: 0 | test acc 0.9320 test loss 0.251052 best test_acc 0.9320
e 8 | malicious users: 0 | test acc 0.9387 test loss 0.217680 best test_acc 0.9387
e 9 | malicious users: 0 | test acc 0.9385 test loss 0.207105 best test_acc 0.9387
e 10 | malicious users: 0 | test acc 0.9400 test loss 0.206362 best test_acc 0.9400
e 11 | malicious users: 0 | test acc 0.9434 test loss 0.198898 best test_acc 0.9434
e 12 | malicious users: 0 | test acc 0.9496 test loss 0.175313 best test_acc 0.9496
e 13 | malicious users: 0 | test acc 0.9513 test loss 0.162396 best test_acc 0.9513
e 14 | malicious users: 0 | test acc 0.9496 test loss 0.175806 best test_acc 0.9513
e 15 | malicious users: 0 | test acc 0.9534 test loss 0.152810 best test_acc 0.9534
e 16 | malicious users: 0 | test acc 0.9580 test loss 0.143561 best test_acc 0.9580
e 17 | malicious users: 0 | test acc 0.9514 test loss 0.163046 best test_acc 0.9580
e 18 | malicious users: 0 | test acc 0.9578 test loss 0.142714 best test_acc 0.9580
e 19 | malicious users: 0 | test acc 0.9548 test loss 0.151558 best test_acc 0.9580
e 20 | malicious users: 0 | test acc 0.9602 test loss 0.123648 best test_acc 0.9602
e 21 | malicious users: 0 | test acc 0.9636 test loss 0.121308 best test_acc 0.9636
e 22 | malicious users: 0 | test acc 0.9653 test loss 0.115927 best test_acc 0.9653
e 23 | malicious users: 0 | test acc 0.9619 test loss 0.124974 best test_acc 0.9653
e 24 | malicious users: 0 | test acc 0.9623 test loss 0.122934 best test_acc 0.9653
e 25 | malicious users: 0 | test acc 0.9646 test loss 0.121939 best test_acc 0.9653
e 26 | malicious users: 0 | test acc 0.9645 test loss 0.112020 best test_acc 0.9653
e 27 | malicious users: 0 | test acc 0.9652 test loss 0.113749 best test_acc 0.9653
e 28 | malicious users: 0 | test acc 0.9694 test loss 0.106599 best test_acc 0.9694
e 29 | malicious users: 0 | test acc 0.9643 test loss 0.113176 best test_acc 0.9694
e 30 | malicious users: 0 | test acc 0.9692 test loss 0.109163 best test_acc 0.9694
e 31 | malicious users: 0 | test acc 0.9693 test loss 0.099066 best test_acc 0.9694
e 32 | malicious users: 0 | test acc 0.9676 test loss 0.106137 best test_acc 0.9694
