
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.5259 test loss 2.080274 best test_acc 0.5259
e 1 | malicious users: 7 | test acc 0.6677 test loss 1.299732 best test_acc 0.6677
e 2 | malicious users: 4 | test acc 0.8122 test loss 0.674386 best test_acc 0.8122
e 3 | malicious users: 5 | test acc 0.8756 test loss 0.474835 best test_acc 0.8756
e 4 | malicious users: 5 | test acc 0.9055 test loss 0.439935 best test_acc 0.9055
e 5 | malicious users: 5 | test acc 0.8821 test loss 0.402217 best test_acc 0.9055
e 6 | malicious users: 6 | test acc 0.9081 test loss 0.318696 best test_acc 0.9081
e 7 | malicious users: 10 | test acc 0.6904 test loss 0.960905 best test_acc 0.9081
e 8 | malicious users: 5 | test acc 0.8242 test loss 0.472309 best test_acc 0.9081
e 9 | malicious users: 10 | test acc 0.7100 test loss 0.935158 best test_acc 0.9081
e 10 | malicious users: 8 | test acc 0.8764 test loss 0.392759 best test_acc 0.9081
e 11 | malicious users: 5 | test acc 0.9166 test loss 0.272844 best test_acc 0.9166
e 12 | malicious users: 4 | test acc 0.9289 test loss 0.233992 best test_acc 0.9289
e 13 | malicious users: 7 | test acc 0.9147 test loss 0.274331 best test_acc 0.9289
e 14 | malicious users: 7 | test acc 0.9434 test loss 0.198297 best test_acc 0.9434
e 15 | malicious users: 8 | test acc 0.9214 test loss 0.260887 best test_acc 0.9434
e 16 | malicious users: 6 | test acc 0.9101 test loss 0.294907 best test_acc 0.9434
e 17 | malicious users: 4 | test acc 0.9400 test loss 0.198188 best test_acc 0.9434
e 18 | malicious users: 3 | test acc 0.9452 test loss 0.187979 best test_acc 0.9452
e 19 | malicious users: 5 | test acc 0.9421 test loss 0.192671 best test_acc 0.9452
e 20 | malicious users: 5 | test acc 0.9501 test loss 0.170981 best test_acc 0.9501
e 21 | malicious users: 10 | test acc 0.9173 test loss 0.273461 best test_acc 0.9501
e 22 | malicious users: 4 | test acc 0.9360 test loss 0.218173 best test_acc 0.9501
e 23 | malicious users: 5 | test acc 0.9481 test loss 0.177898 best test_acc 0.9501
e 24 | malicious users: 4 | test acc 0.9429 test loss 0.184728 best test_acc 0.9501
e 25 | malicious users: 4 | test acc 0.9503 test loss 0.168687 best test_acc 0.9503
e 26 | malicious users: 5 | test acc 0.9566 test loss 0.143262 best test_acc 0.9566
e 27 | malicious users: 9 | test acc 0.9336 test loss 0.211388 best test_acc 0.9566
e 28 | malicious users: 2 | test acc 0.9378 test loss 0.216300 best test_acc 0.9566
e 29 | malicious users: 6 | test acc 0.9594 test loss 0.135987 best test_acc 0.9594
e 30 | malicious users: 1 | test acc 0.9650 test loss 0.119464 best test_acc 0.9650
e 31 | malicious users: 7 | test acc 0.9468 test loss 0.176588 best test_acc 0.9650
e 32 | malicious users: 9 | test acc 0.9113 test loss 0.284002 best test_acc 0.9650
e 33 | malicious users: 5 | test acc 0.9120 test loss 0.256397 best test_acc 0.9650
e 34 | malicious users: 8 | test acc 0.9183 test loss 0.248659 best test_acc 0.9650
e 35 | malicious users: 5 | test acc 0.9383 test loss 0.195923 best test_acc 0.9650
e 36 | malicious users: 5 | test acc 0.9410 test loss 0.176851 best test_acc 0.9650
e 37 | malicious users: 5 | test acc 0.9543 test loss 0.148838 best test_acc 0.9650
e 38 | malicious users: 5 | test acc 0.9428 test loss 0.174566 best test_acc 0.9650
e 39 | malicious users: 6 | test acc 0.9339 test loss 0.229941 best test_acc 0.9650
e 40 | malicious users: 7 | test acc 0.9535 test loss 0.157912 best test_acc 0.9650
e 41 | malicious users: 5 | test acc 0.9592 test loss 0.139688 best test_acc 0.9650
e 42 | malicious users: 3 | test acc 0.9646 test loss 0.113329 best test_acc 0.9650
e 43 | malicious users: 2 | test acc 0.9616 test loss 0.122509 best test_acc 0.9650
e 44 | malicious users: 3 | test acc 0.9668 test loss 0.106535 best test_acc 0.9668
e 45 | malicious users: 2 | test acc 0.9701 test loss 0.103468 best test_acc 0.9701
e 46 | malicious users: 5 | test acc 0.9662 test loss 0.112273 best test_acc 0.9701
e 47 | malicious users: 2 | test acc 0.9678 test loss 0.106186 best test_acc 0.9701
e 48 | malicious users: 3 | test acc 0.9643 test loss 0.123145 best test_acc 0.9701
e 49 | malicious users: 8 | test acc 0.9398 test loss 0.183327 best test_acc 0.9701
