
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.4129 test loss 2.090683 best test_acc 0.4129
e 1 | malicious users: 6 | test acc 0.7569 test loss 1.212992 best test_acc 0.7569
e 2 | malicious users: 5 | test acc 0.6639 test loss 0.963233 best test_acc 0.7569
e 3 | malicious users: 3 | test acc 0.8497 test loss 0.533865 best test_acc 0.8497
e 4 | malicious users: 3 | test acc 0.8998 test loss 0.395060 best test_acc 0.8998
e 5 | malicious users: 3 | test acc 0.9106 test loss 0.308640 best test_acc 0.9106
e 6 | malicious users: 5 | test acc 0.9265 test loss 0.257811 best test_acc 0.9265
e 7 | malicious users: 2 | test acc 0.9318 test loss 0.236467 best test_acc 0.9318
e 8 | malicious users: 4 | test acc 0.9397 test loss 0.216824 best test_acc 0.9397
e 9 | malicious users: 5 | test acc 0.9218 test loss 0.253096 best test_acc 0.9397
e 10 | malicious users: 3 | test acc 0.9457 test loss 0.184246 best test_acc 0.9457
e 11 | malicious users: 8 | test acc 0.9299 test loss 0.232588 best test_acc 0.9457
e 12 | malicious users: 4 | test acc 0.9462 test loss 0.175485 best test_acc 0.9462
e 13 | malicious users: 2 | test acc 0.9510 test loss 0.167120 best test_acc 0.9510
e 14 | malicious users: 2 | test acc 0.9512 test loss 0.165310 best test_acc 0.9512
e 15 | malicious users: 7 | test acc 0.9561 test loss 0.147336 best test_acc 0.9561
e 16 | malicious users: 8 | test acc 0.9554 test loss 0.144678 best test_acc 0.9561
e 17 | malicious users: 5 | test acc 0.9538 test loss 0.162425 best test_acc 0.9561
e 18 | malicious users: 10 | test acc 0.9549 test loss 0.145587 best test_acc 0.9561
e 19 | malicious users: 4 | test acc 0.9627 test loss 0.128994 best test_acc 0.9627
e 20 | malicious users: 9 | test acc 0.9593 test loss 0.125807 best test_acc 0.9627
e 21 | malicious users: 6 | test acc 0.9586 test loss 0.131263 best test_acc 0.9627
e 22 | malicious users: 4 | test acc 0.9624 test loss 0.126745 best test_acc 0.9627
e 23 | malicious users: 5 | test acc 0.9622 test loss 0.116083 best test_acc 0.9627
e 24 | malicious users: 4 | test acc 0.9647 test loss 0.110844 best test_acc 0.9647
e 25 | malicious users: 7 | test acc 0.9656 test loss 0.110082 best test_acc 0.9656
e 26 | malicious users: 7 | test acc 0.9629 test loss 0.122926 best test_acc 0.9656
e 27 | malicious users: 3 | test acc 0.9667 test loss 0.110933 best test_acc 0.9667
e 28 | malicious users: 6 | test acc 0.9639 test loss 0.112044 best test_acc 0.9667
e 29 | malicious users: 6 | test acc 0.9686 test loss 0.103262 best test_acc 0.9686
e 30 | malicious users: 10 | test acc 0.9675 test loss 0.100567 best test_acc 0.9686
e 31 | malicious users: 1 | test acc 0.9699 test loss 0.096690 best test_acc 0.9699
e 32 | malicious users: 7 | test acc 0.9673 test loss 0.105451 best test_acc 0.9699
e 33 | malicious users: 8 | test acc 0.9693 test loss 0.101212 best test_acc 0.9699
e 34 | malicious users: 3 | test acc 0.9708 test loss 0.096596 best test_acc 0.9708
e 35 | malicious users: 6 | test acc 0.9703 test loss 0.094358 best test_acc 0.9708
e 36 | malicious users: 5 | test acc 0.9704 test loss 0.098982 best test_acc 0.9708
e 37 | malicious users: 3 | test acc 0.9719 test loss 0.089288 best test_acc 0.9719
e 38 | malicious users: 10 | test acc 0.9717 test loss 0.094640 best test_acc 0.9719
e 39 | malicious users: 8 | test acc 0.9678 test loss 0.104212 best test_acc 0.9719
e 40 | malicious users: 4 | test acc 0.9746 test loss 0.086583 best test_acc 0.9746
e 41 | malicious users: 6 | test acc 0.9713 test loss 0.095138 best test_acc 0.9746
e 42 | malicious users: 2 | test acc 0.9748 test loss 0.085063 best test_acc 0.9748
e 43 | malicious users: 5 | test acc 0.9742 test loss 0.082989 best test_acc 0.9748
e 44 | malicious users: 3 | test acc 0.9751 test loss 0.082213 best test_acc 0.9751
e 45 | malicious users: 6 | test acc 0.9746 test loss 0.083671 best test_acc 0.9751
e 46 | malicious users: 4 | test acc 0.9732 test loss 0.085422 best test_acc 0.9751
e 47 | malicious users: 6 | test acc 0.9722 test loss 0.090131 best test_acc 0.9751
e 48 | malicious users: 8 | test acc 0.9717 test loss 0.085709 best test_acc 0.9751
e 49 | malicious users: 5 | test acc 0.9746 test loss 0.082322 best test_acc 0.9751
e 50 | malicious users: 9 | test acc 0.9727 test loss 0.087349 best test_acc 0.9751
e 51 | malicious users: 6 | test acc 0.9727 test loss 0.084769 best test_acc 0.9751
e 52 | malicious users: 2 | test acc 0.9733 test loss 0.084745 best test_acc 0.9751
e 53 | malicious users: 5 | test acc 0.9748 test loss 0.081260 best test_acc 0.9751
e 54 | malicious users: 3 | test acc 0.9749 test loss 0.077341 best test_acc 0.9751
e 55 | malicious users: 6 | test acc 0.9747 test loss 0.084675 best test_acc 0.9751
e 56 | malicious users: 7 | test acc 0.9733 test loss 0.085576 best test_acc 0.9751
e 57 | malicious users: 7 | test acc 0.9773 test loss 0.072117 best test_acc 0.9773
e 58 | malicious users: 6 | test acc 0.9735 test loss 0.085957 best test_acc 0.9773
e 59 | malicious users: 6 | test acc 0.9745 test loss 0.079184 best test_acc 0.9773
e 60 | malicious users: 2 | test acc 0.9750 test loss 0.079263 best test_acc 0.9773
e 61 | malicious users: 7 | test acc 0.9758 test loss 0.075776 best test_acc 0.9773
e 62 | malicious users: 1 | test acc 0.9754 test loss 0.076643 best test_acc 0.9773
e 63 | malicious users: 7 | test acc 0.9756 test loss 0.076411 best test_acc 0.9773
e 64 | malicious users: 6 | test acc 0.9756 test loss 0.076936 best test_acc 0.9773
e 65 | malicious users: 6 | test acc 0.9776 test loss 0.070139 best test_acc 0.9776
