
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.4934 test loss 2.075382 best test_acc 0.4934
e 1 | malicious users: 2 | test acc 0.7200 test loss 1.256765 best test_acc 0.7200
e 2 | malicious users: 1 | test acc 0.7935 test loss 0.881682 best test_acc 0.7935
e 3 | malicious users: 4 | test acc 0.8124 test loss 0.579892 best test_acc 0.8124
e 4 | malicious users: 3 | test acc 0.8979 test loss 0.405267 best test_acc 0.8979
e 5 | malicious users: 3 | test acc 0.8896 test loss 0.372912 best test_acc 0.8979
e 6 | malicious users: 2 | test acc 0.9010 test loss 0.332939 best test_acc 0.9010
e 7 | malicious users: 2 | test acc 0.9146 test loss 0.298738 best test_acc 0.9146
e 8 | malicious users: 2 | test acc 0.9377 test loss 0.244557 best test_acc 0.9377
e 9 | malicious users: 4 | test acc 0.9392 test loss 0.224023 best test_acc 0.9392
e 10 | malicious users: 4 | test acc 0.9355 test loss 0.227499 best test_acc 0.9392
e 11 | malicious users: 3 | test acc 0.9401 test loss 0.219605 best test_acc 0.9401
e 12 | malicious users: 0 | test acc 0.9492 test loss 0.170643 best test_acc 0.9492
e 13 | malicious users: 5 | test acc 0.9464 test loss 0.211904 best test_acc 0.9492
e 14 | malicious users: 2 | test acc 0.9494 test loss 0.175122 best test_acc 0.9494
e 15 | malicious users: 5 | test acc 0.9479 test loss 0.223577 best test_acc 0.9494
e 16 | malicious users: 2 | test acc 0.9492 test loss 0.172356 best test_acc 0.9494
e 17 | malicious users: 1 | test acc 0.9524 test loss 0.168608 best test_acc 0.9524
e 18 | malicious users: 2 | test acc 0.9558 test loss 0.196312 best test_acc 0.9558
e 19 | malicious users: 4 | test acc 0.9510 test loss 0.184255 best test_acc 0.9558
e 20 | malicious users: 4 | test acc 0.9493 test loss 0.201761 best test_acc 0.9558
e 21 | malicious users: 0 | test acc 0.9503 test loss 0.182140 best test_acc 0.9558
e 22 | malicious users: 3 | test acc 0.9570 test loss 0.186217 best test_acc 0.9570
e 23 | malicious users: 4 | test acc 0.9476 test loss 0.288935 best test_acc 0.9570
e 24 | malicious users: 3 | test acc 0.9376 test loss 0.235834 best test_acc 0.9570
e 25 | malicious users: 3 | test acc 0.9452 test loss 0.226536 best test_acc 0.9570
e 26 | malicious users: 2 | test acc 0.9533 test loss 0.226343 best test_acc 0.9570
e 27 | malicious users: 2 | test acc 0.9527 test loss 0.176020 best test_acc 0.9570
e 28 | malicious users: 4 | test acc 0.9454 test loss 0.239643 best test_acc 0.9570
e 29 | malicious users: 3 | test acc 0.9486 test loss 0.218422 best test_acc 0.9570
e 30 | malicious users: 2 | test acc 0.9482 test loss 0.212518 best test_acc 0.9570
e 31 | malicious users: 1 | test acc 0.9554 test loss 0.176828 best test_acc 0.9570
e 32 | malicious users: 2 | test acc 0.9524 test loss 0.186266 best test_acc 0.9570
e 33 | malicious users: 4 | test acc 0.9532 test loss 0.206008 best test_acc 0.9570
e 34 | malicious users: 2 | test acc 0.9500 test loss 0.210922 best test_acc 0.9570
e 35 | malicious users: 4 | test acc 0.9451 test loss 0.233588 best test_acc 0.9570
e 36 | malicious users: 1 | test acc 0.9518 test loss 0.173079 best test_acc 0.9570
e 37 | malicious users: 1 | test acc 0.9539 test loss 0.180890 best test_acc 0.9570
e 38 | malicious users: 1 | test acc 0.9563 test loss 0.146929 best test_acc 0.9570
e 39 | malicious users: 2 | test acc 0.9520 test loss 0.167787 best test_acc 0.9570
e 40 | malicious users: 6 | test acc 0.9541 test loss 0.248000 best test_acc 0.9570
e 41 | malicious users: 2 | test acc 0.9476 test loss 0.194663 best test_acc 0.9570
e 42 | malicious users: 3 | test acc 0.9507 test loss 0.218394 best test_acc 0.9570
e 43 | malicious users: 1 | test acc 0.9531 test loss 0.167634 best test_acc 0.9570
e 44 | malicious users: 1 | test acc 0.9525 test loss 0.159064 best test_acc 0.9570
e 45 | malicious users: 1 | test acc 0.9536 test loss 0.165837 best test_acc 0.9570
e 46 | malicious users: 2 | test acc 0.9529 test loss 0.161009 best test_acc 0.9570
e 47 | malicious users: 2 | test acc 0.9560 test loss 0.175106 best test_acc 0.9570
e 48 | malicious users: 3 | test acc 0.9626 test loss 0.169932 best test_acc 0.9626
e 49 | malicious users: 5 | test acc 0.9501 test loss 0.229445 best test_acc 0.9626
e 50 | malicious users: 3 | test acc 0.9554 test loss 0.261128 best test_acc 0.9626
e 51 | malicious users: 3 | test acc 0.9533 test loss 0.195661 best test_acc 0.9626
e 52 | malicious users: 4 | test acc 0.9451 test loss 0.251802 best test_acc 0.9626
e 53 | malicious users: 5 | test acc 0.9446 test loss 0.332492 best test_acc 0.9626
e 54 | malicious users: 3 | test acc 0.9358 test loss 0.245543 best test_acc 0.9626
e 55 | malicious users: 1 | test acc 0.9472 test loss 0.209271 best test_acc 0.9626
e 56 | malicious users: 5 | test acc 0.9347 test loss 0.274339 best test_acc 0.9626
e 57 | malicious users: 0 | test acc 0.9456 test loss 0.212204 best test_acc 0.9626
e 58 | malicious users: 3 | test acc 0.9512 test loss 0.196507 best test_acc 0.9626
e 59 | malicious users: 1 | test acc 0.9520 test loss 0.156065 best test_acc 0.9626
e 60 | malicious users: 4 | test acc 0.9522 test loss 0.242919 best test_acc 0.9626
e 61 | malicious users: 3 | test acc 0.9547 test loss 0.180290 best test_acc 0.9626
e 62 | malicious users: 2 | test acc 0.9534 test loss 0.178766 best test_acc 0.9626
e 63 | malicious users: 3 | test acc 0.9513 test loss 0.225472 best test_acc 0.9626
e 64 | malicious users: 1 | test acc 0.9515 test loss 0.164597 best test_acc 0.9626
e 65 | malicious users: 1 | test acc 0.9587 test loss 0.140524 best test_acc 0.9626
e 66 | malicious users: 1 | test acc 0.9587 test loss 0.144498 best test_acc 0.9626
