
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 4 | test acc 0.4358 test loss 1.998078 best test_acc 0.4358
e 1 | malicious users: 4 | test acc 0.7344 test loss 1.280909 best test_acc 0.7344
e 2 | malicious users: 1 | test acc 0.8046 test loss 0.714329 best test_acc 0.8046
e 3 | malicious users: 4 | test acc 0.8718 test loss 0.486904 best test_acc 0.8718
e 4 | malicious users: 1 | test acc 0.9015 test loss 0.375897 best test_acc 0.9015
e 5 | malicious users: 4 | test acc 0.9008 test loss 0.350805 best test_acc 0.9015
e 6 | malicious users: 2 | test acc 0.8938 test loss 0.350311 best test_acc 0.9015
e 7 | malicious users: 2 | test acc 0.9184 test loss 0.274796 best test_acc 0.9184
e 8 | malicious users: 2 | test acc 0.8978 test loss 0.313373 best test_acc 0.9184
e 9 | malicious users: 1 | test acc 0.9198 test loss 0.259917 best test_acc 0.9198
e 10 | malicious users: 2 | test acc 0.9275 test loss 0.238702 best test_acc 0.9275
e 11 | malicious users: 4 | test acc 0.9455 test loss 0.194466 best test_acc 0.9455
e 12 | malicious users: 4 | test acc 0.9468 test loss 0.188426 best test_acc 0.9468
e 13 | malicious users: 8 | test acc 0.9472 test loss 0.254830 best test_acc 0.9472
e 14 | malicious users: 3 | test acc 0.9474 test loss 0.183986 best test_acc 0.9474
e 15 | malicious users: 2 | test acc 0.9430 test loss 0.221973 best test_acc 0.9474
e 16 | malicious users: 0 | test acc 0.9567 test loss 0.163060 best test_acc 0.9567
e 17 | malicious users: 5 | test acc 0.9484 test loss 0.197298 best test_acc 0.9567
e 18 | malicious users: 1 | test acc 0.9472 test loss 0.205218 best test_acc 0.9567
e 19 | malicious users: 6 | test acc 0.9504 test loss 0.221047 best test_acc 0.9567
e 20 | malicious users: 5 | test acc 0.9435 test loss 0.281241 best test_acc 0.9567
e 21 | malicious users: 2 | test acc 0.9420 test loss 0.264422 best test_acc 0.9567
e 22 | malicious users: 1 | test acc 0.9505 test loss 0.177127 best test_acc 0.9567
e 23 | malicious users: 4 | test acc 0.9461 test loss 0.222787 best test_acc 0.9567
e 24 | malicious users: 2 | test acc 0.9414 test loss 0.221221 best test_acc 0.9567
e 25 | malicious users: 4 | test acc 0.9401 test loss 0.250509 best test_acc 0.9567
e 26 | malicious users: 1 | test acc 0.9401 test loss 0.226130 best test_acc 0.9567
e 27 | malicious users: 2 | test acc 0.9401 test loss 0.215019 best test_acc 0.9567
e 28 | malicious users: 1 | test acc 0.9473 test loss 0.195828 best test_acc 0.9567
e 29 | malicious users: 2 | test acc 0.9500 test loss 0.173872 best test_acc 0.9567
e 30 | malicious users: 3 | test acc 0.9499 test loss 0.198915 best test_acc 0.9567
e 31 | malicious users: 5 | test acc 0.9505 test loss 0.282252 best test_acc 0.9567
e 32 | malicious users: 3 | test acc 0.9386 test loss 0.244818 best test_acc 0.9567
e 33 | malicious users: 2 | test acc 0.9501 test loss 0.197119 best test_acc 0.9567
e 34 | malicious users: 3 | test acc 0.9443 test loss 0.245344 best test_acc 0.9567
e 35 | malicious users: 2 | test acc 0.9451 test loss 0.217168 best test_acc 0.9567
e 36 | malicious users: 1 | test acc 0.9488 test loss 0.184774 best test_acc 0.9567
e 37 | malicious users: 1 | test acc 0.9557 test loss 0.160950 best test_acc 0.9567
e 38 | malicious users: 2 | test acc 0.9560 test loss 0.165244 best test_acc 0.9567
e 39 | malicious users: 1 | test acc 0.9527 test loss 0.163773 best test_acc 0.9567
e 40 | malicious users: 1 | test acc 0.9610 test loss 0.155663 best test_acc 0.9610
e 41 | malicious users: 5 | test acc 0.9586 test loss 0.172433 best test_acc 0.9610
e 42 | malicious users: 3 | test acc 0.9558 test loss 0.186234 best test_acc 0.9610
e 43 | malicious users: 2 | test acc 0.9478 test loss 0.211901 best test_acc 0.9610
e 44 | malicious users: 0 | test acc 0.9608 test loss 0.141520 best test_acc 0.9610
e 45 | malicious users: 2 | test acc 0.9547 test loss 0.159648 best test_acc 0.9610
e 46 | malicious users: 3 | test acc 0.9483 test loss 0.201741 best test_acc 0.9610
e 47 | malicious users: 3 | test acc 0.9545 test loss 0.174202 best test_acc 0.9610
e 48 | malicious users: 3 | test acc 0.9553 test loss 0.190115 best test_acc 0.9610
e 49 | malicious users: 2 | test acc 0.9529 test loss 0.196339 best test_acc 0.9610
e 50 | malicious users: 1 | test acc 0.9523 test loss 0.168293 best test_acc 0.9610
e 51 | malicious users: 1 | test acc 0.9616 test loss 0.141534 best test_acc 0.9616
e 52 | malicious users: 6 | test acc 0.9545 test loss 0.244917 best test_acc 0.9616
e 53 | malicious users: 2 | test acc 0.9552 test loss 0.173771 best test_acc 0.9616
e 54 | malicious users: 2 | test acc 0.9551 test loss 0.207863 best test_acc 0.9616
e 55 | malicious users: 2 | test acc 0.9606 test loss 0.150645 best test_acc 0.9616
e 56 | malicious users: 2 | test acc 0.9571 test loss 0.209574 best test_acc 0.9616
e 57 | malicious users: 2 | test acc 0.9575 test loss 0.156698 best test_acc 0.9616
e 58 | malicious users: 1 | test acc 0.9523 test loss 0.178888 best test_acc 0.9616
e 59 | malicious users: 2 | test acc 0.9622 test loss 0.155171 best test_acc 0.9622
e 60 | malicious users: 1 | test acc 0.9557 test loss 0.152683 best test_acc 0.9622
e 61 | malicious users: 3 | test acc 0.9643 test loss 0.139899 best test_acc 0.9643
e 62 | malicious users: 4 | test acc 0.9609 test loss 0.186998 best test_acc 0.9643
e 63 | malicious users: 1 | test acc 0.9575 test loss 0.162392 best test_acc 0.9643
e 64 | malicious users: 3 | test acc 0.9575 test loss 0.172585 best test_acc 0.9643
e 65 | malicious users: 1 | test acc 0.9577 test loss 0.155503 best test_acc 0.9643
e 66 | malicious users: 3 | test acc 0.9634 test loss 0.170385 best test_acc 0.9643
e 67 | malicious users: 3 | test acc 0.9652 test loss 0.154039 best test_acc 0.9652
e 68 | malicious users: 2 | test acc 0.9617 test loss 0.147688 best test_acc 0.9652
e 69 | malicious users: 2 | test acc 0.9598 test loss 0.163998 best test_acc 0.9652
e 70 | malicious users: 2 | test acc 0.9645 test loss 0.145136 best test_acc 0.9652
e 71 | malicious users: 3 | test acc 0.9583 test loss 0.190833 best test_acc 0.9652
e 72 | malicious users: 2 | test acc 0.9618 test loss 0.169622 best test_acc 0.9652
e 73 | malicious users: 0 | test acc 0.9585 test loss 0.143923 best test_acc 0.9652
e 74 | malicious users: 3 | test acc 0.9623 test loss 0.163696 best test_acc 0.9652
e 75 | malicious users: 2 | test acc 0.9582 test loss 0.156124 best test_acc 0.9652
e 76 | malicious users: 0 | test acc 0.9628 test loss 0.131842 best test_acc 0.9652
e 77 | malicious users: 3 | test acc 0.9645 test loss 0.147828 best test_acc 0.9652
e 78 | malicious users: 3 | test acc 0.9638 test loss 0.163782 best test_acc 0.9652
e 79 | malicious users: 2 | test acc 0.9600 test loss 0.146329 best test_acc 0.9652
e 80 | malicious users: 4 | test acc 0.9606 test loss 0.179512 best test_acc 0.9652
e 81 | malicious users: 1 | test acc 0.9545 test loss 0.156724 best test_acc 0.9652
e 82 | malicious users: 1 | test acc 0.9619 test loss 0.138132 best test_acc 0.9652
e 83 | malicious users: 3 | test acc 0.9642 test loss 0.142633 best test_acc 0.9652
e 84 | malicious users: 3 | test acc 0.9616 test loss 0.157228 best test_acc 0.9652
e 85 | malicious users: 1 | test acc 0.9579 test loss 0.151694 best test_acc 0.9652
e 86 | malicious users: 4 | test acc 0.9547 test loss 0.201218 best test_acc 0.9652
e 87 | malicious users: 1 | test acc 0.9612 test loss 0.142745 best test_acc 0.9652
e 88 | malicious users: 1 | test acc 0.9652 test loss 0.131604 best test_acc 0.9652
e 89 | malicious users: 2 | test acc 0.9634 test loss 0.138346 best test_acc 0.9652
e 90 | malicious users: 0 | test acc 0.9636 test loss 0.126852 best test_acc 0.9652
e 91 | malicious users: 4 | test acc 0.9651 test loss 0.145980 best test_acc 0.9652
e 92 | malicious users: 3 | test acc 0.9628 test loss 0.157422 best test_acc 0.9652
e 93 | malicious users: 5 | test acc 0.9573 test loss 0.211831 best test_acc 0.9652
e 94 | malicious users: 1 | test acc 0.9589 test loss 0.153839 best test_acc 0.9652
e 95 | malicious users: 3 | test acc 0.9548 test loss 0.187917 best test_acc 0.9652
e 96 | malicious users: 3 | test acc 0.9610 test loss 0.165988 best test_acc 0.9652
e 97 | malicious users: 3 | test acc 0.9527 test loss 0.189389 best test_acc 0.9652
e 98 | malicious users: 2 | test acc 0.9597 test loss 0.189562 best test_acc 0.9652
e 99 | malicious users: 3 | test acc 0.9589 test loss 0.164257 best test_acc 0.9652
e 100 | malicious users: 1 | test acc 0.9561 test loss 0.156146 best test_acc 0.9652
e 101 | malicious users: 4 | test acc 0.9603 test loss 0.179388 best test_acc 0.9652
e 102 | malicious users: 5 | test acc 0.9566 test loss 0.222396 best test_acc 0.9652
e 103 | malicious users: 6 | test acc 0.9478 test loss 0.330967 best test_acc 0.9652
e 104 | malicious users: 4 | test acc 0.9344 test loss 0.349612 best test_acc 0.9652
e 105 | malicious users: 1 | test acc 0.9461 test loss 0.213035 best test_acc 0.9652
e 106 | malicious users: 4 | test acc 0.9500 test loss 0.204228 best test_acc 0.9652
e 107 | malicious users: 3 | test acc 0.9509 test loss 0.223055 best test_acc 0.9652
e 108 | malicious users: 0 | test acc 0.9540 test loss 0.164692 best test_acc 0.9652
e 109 | malicious users: 1 | test acc 0.9568 test loss 0.159112 best test_acc 0.9652
e 110 | malicious users: 3 | test acc 0.9556 test loss 0.177949 best test_acc 0.9652
e 111 | malicious users: 1 | test acc 0.9610 test loss 0.147571 best test_acc 0.9652
e 112 | malicious users: 0 | test acc 0.9612 test loss 0.128519 best test_acc 0.9652
e 113 | malicious users: 2 | test acc 0.9628 test loss 0.140269 best test_acc 0.9652
e 114 | malicious users: 2 | test acc 0.9643 test loss 0.139790 best test_acc 0.9652
e 115 | malicious users: 4 | test acc 0.9583 test loss 0.171709 best test_acc 0.9652
e 116 | malicious users: 3 | test acc 0.9557 test loss 0.183657 best test_acc 0.9652
e 117 | malicious users: 1 | test acc 0.9576 test loss 0.147286 best test_acc 0.9652
e 118 | malicious users: 1 | test acc 0.9607 test loss 0.138554 best test_acc 0.9652
e 119 | malicious users: 1 | test acc 0.9624 test loss 0.136519 best test_acc 0.9652
e 120 | malicious users: 0 | test acc 0.9666 test loss 0.114346 best test_acc 0.9666
e 121 | malicious users: 1 | test acc 0.9672 test loss 0.113042 best test_acc 0.9672
e 122 | malicious users: 0 | test acc 0.9679 test loss 0.104979 best test_acc 0.9679
e 123 | malicious users: 3 | test acc 0.9689 test loss 0.114340 best test_acc 0.9689
e 124 | malicious users: 2 | test acc 0.9670 test loss 0.116327 best test_acc 0.9689
e 125 | malicious users: 3 | test acc 0.9640 test loss 0.147093 best test_acc 0.9689
e 126 | malicious users: 0 | test acc 0.9631 test loss 0.138960 best test_acc 0.9689
e 127 | malicious users: 4 | test acc 0.9643 test loss 0.136463 best test_acc 0.9689
e 128 | malicious users: 6 | test acc 0.9631 test loss 0.281067 best test_acc 0.9689
e 129 | malicious users: 3 | test acc 0.9432 test loss 0.249320 best test_acc 0.9689
e 130 | malicious users: 3 | test acc 0.9595 test loss 0.182142 best test_acc 0.9689
e 131 | malicious users: 4 | test acc 0.9625 test loss 0.186214 best test_acc 0.9689
e 132 | malicious users: 1 | test acc 0.9575 test loss 0.183448 best test_acc 0.9689
e 133 | malicious users: 1 | test acc 0.9611 test loss 0.134781 best test_acc 0.9689
e 134 | malicious users: 4 | test acc 0.9496 test loss 0.222435 best test_acc 0.9689
e 135 | malicious users: 0 | test acc 0.9621 test loss 0.140843 best test_acc 0.9689
e 136 | malicious users: 8 | test acc 0.9484 test loss 0.331455 best test_acc 0.9689
e 137 | malicious users: 5 | test acc 0.9456 test loss 0.263748 best test_acc 0.9689
e 138 | malicious users: 2 | test acc 0.9453 test loss 0.251425 best test_acc 0.9689
e 139 | malicious users: 1 | test acc 0.9397 test loss 0.205386 best test_acc 0.9689
e 140 | malicious users: 1 | test acc 0.9558 test loss 0.158182 best test_acc 0.9689
e 141 | malicious users: 3 | test acc 0.9575 test loss 0.162595 best test_acc 0.9689
e 142 | malicious users: 1 | test acc 0.9602 test loss 0.135204 best test_acc 0.9689
e 143 | malicious users: 0 | test acc 0.9622 test loss 0.136008 best test_acc 0.9689
e 144 | malicious users: 4 | test acc 0.9611 test loss 0.158764 best test_acc 0.9689
e 145 | malicious users: 3 | test acc 0.9630 test loss 0.154793 best test_acc 0.9689
e 146 | malicious users: 2 | test acc 0.9544 test loss 0.165405 best test_acc 0.9689
e 147 | malicious users: 3 | test acc 0.9555 test loss 0.198926 best test_acc 0.9689
e 148 | malicious users: 4 | test acc 0.9550 test loss 0.183940 best test_acc 0.9689
e 149 | malicious users: 1 | test acc 0.9565 test loss 0.151301 best test_acc 0.9689
e 150 | malicious users: 2 | test acc 0.9558 test loss 0.179749 best test_acc 0.9689
e 151 | malicious users: 2 | test acc 0.9597 test loss 0.157110 best test_acc 0.9689
e 152 | malicious users: 6 | test acc 0.9608 test loss 0.219078 best test_acc 0.9689
e 153 | malicious users: 3 | test acc 0.9602 test loss 0.181878 best test_acc 0.9689
e 154 | malicious users: 3 | test acc 0.9528 test loss 0.195096 best test_acc 0.9689
e 155 | malicious users: 4 | test acc 0.9582 test loss 0.207317 best test_acc 0.9689
e 156 | malicious users: 1 | test acc 0.9559 test loss 0.162161 best test_acc 0.9689
e 157 | malicious users: 1 | test acc 0.9562 test loss 0.158886 best test_acc 0.9689
e 158 | malicious users: 4 | test acc 0.9543 test loss 0.196678 best test_acc 0.9689
