
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 5 | test acc 0.5088 test loss 2.010529 best test_acc 0.5088
e 1 | malicious users: 2 | test acc 0.7288 test loss 1.041792 best test_acc 0.7288
e 2 | malicious users: 3 | test acc 0.8424 test loss 0.591369 best test_acc 0.8424
e 3 | malicious users: 3 | test acc 0.8779 test loss 0.439899 best test_acc 0.8779
e 4 | malicious users: 2 | test acc 0.9098 test loss 0.350209 best test_acc 0.9098
e 5 | malicious users: 4 | test acc 0.8931 test loss 0.353464 best test_acc 0.9098
e 6 | malicious users: 2 | test acc 0.8679 test loss 0.443617 best test_acc 0.9098
e 7 | malicious users: 2 | test acc 0.9348 test loss 0.231716 best test_acc 0.9348
e 8 | malicious users: 3 | test acc 0.9246 test loss 0.250409 best test_acc 0.9348
e 9 | malicious users: 2 | test acc 0.9408 test loss 0.210044 best test_acc 0.9408
e 10 | malicious users: 4 | test acc 0.9378 test loss 0.255126 best test_acc 0.9408
e 11 | malicious users: 3 | test acc 0.9488 test loss 0.175536 best test_acc 0.9488
e 12 | malicious users: 2 | test acc 0.9482 test loss 0.192396 best test_acc 0.9488
e 13 | malicious users: 2 | test acc 0.9491 test loss 0.184460 best test_acc 0.9491
e 14 | malicious users: 4 | test acc 0.9499 test loss 0.189266 best test_acc 0.9499
e 15 | malicious users: 1 | test acc 0.9476 test loss 0.175321 best test_acc 0.9499
e 16 | malicious users: 7 | test acc 0.9508 test loss 0.226491 best test_acc 0.9508
e 17 | malicious users: 1 | test acc 0.9457 test loss 0.193979 best test_acc 0.9508
e 18 | malicious users: 2 | test acc 0.9554 test loss 0.184151 best test_acc 0.9554
e 19 | malicious users: 3 | test acc 0.9435 test loss 0.201545 best test_acc 0.9554
e 20 | malicious users: 4 | test acc 0.9502 test loss 0.227853 best test_acc 0.9554
e 21 | malicious users: 1 | test acc 0.9532 test loss 0.171760 best test_acc 0.9554
e 22 | malicious users: 2 | test acc 0.9559 test loss 0.161457 best test_acc 0.9559
e 23 | malicious users: 3 | test acc 0.9457 test loss 0.202587 best test_acc 0.9559
e 24 | malicious users: 3 | test acc 0.9452 test loss 0.206992 best test_acc 0.9559
e 25 | malicious users: 1 | test acc 0.9558 test loss 0.160692 best test_acc 0.9559
e 26 | malicious users: 5 | test acc 0.9528 test loss 0.212796 best test_acc 0.9559
e 27 | malicious users: 1 | test acc 0.9554 test loss 0.163551 best test_acc 0.9559
e 28 | malicious users: 5 | test acc 0.9566 test loss 0.231465 best test_acc 0.9566
e 29 | malicious users: 1 | test acc 0.9505 test loss 0.196534 best test_acc 0.9566
e 30 | malicious users: 0 | test acc 0.9585 test loss 0.146388 best test_acc 0.9585
e 31 | malicious users: 4 | test acc 0.9553 test loss 0.179863 best test_acc 0.9585
e 32 | malicious users: 5 | test acc 0.9469 test loss 0.278270 best test_acc 0.9585
e 33 | malicious users: 6 | test acc 0.9303 test loss 0.503719 best test_acc 0.9585
e 34 | malicious users: 3 | test acc 0.9396 test loss 0.268392 best test_acc 0.9585
e 35 | malicious users: 4 | test acc 0.9433 test loss 0.256333 best test_acc 0.9585
e 36 | malicious users: 3 | test acc 0.9401 test loss 0.286100 best test_acc 0.9585
e 37 | malicious users: 2 | test acc 0.9434 test loss 0.262025 best test_acc 0.9585
e 38 | malicious users: 2 | test acc 0.9485 test loss 0.203603 best test_acc 0.9585
e 39 | malicious users: 3 | test acc 0.9479 test loss 0.211584 best test_acc 0.9585
e 40 | malicious users: 2 | test acc 0.9435 test loss 0.213732 best test_acc 0.9585
e 41 | malicious users: 2 | test acc 0.9505 test loss 0.215605 best test_acc 0.9585
e 42 | malicious users: 1 | test acc 0.9534 test loss 0.168843 best test_acc 0.9585
e 43 | malicious users: 2 | test acc 0.9512 test loss 0.176434 best test_acc 0.9585
e 44 | malicious users: 1 | test acc 0.9563 test loss 0.157586 best test_acc 0.9585
e 45 | malicious users: 2 | test acc 0.9474 test loss 0.190696 best test_acc 0.9585
e 46 | malicious users: 2 | test acc 0.9562 test loss 0.170702 best test_acc 0.9585
e 47 | malicious users: 3 | test acc 0.9549 test loss 0.179932 best test_acc 0.9585
e 48 | malicious users: 4 | test acc 0.9533 test loss 0.217964 best test_acc 0.9585
e 49 | malicious users: 3 | test acc 0.9528 test loss 0.222128 best test_acc 0.9585
e 50 | malicious users: 0 | test acc 0.9515 test loss 0.182262 best test_acc 0.9585
e 51 | malicious users: 2 | test acc 0.9608 test loss 0.158669 best test_acc 0.9608
e 52 | malicious users: 4 | test acc 0.9582 test loss 0.192006 best test_acc 0.9608
e 53 | malicious users: 3 | test acc 0.9442 test loss 0.221216 best test_acc 0.9608
e 54 | malicious users: 2 | test acc 0.9542 test loss 0.221394 best test_acc 0.9608
e 55 | malicious users: 0 | test acc 0.9523 test loss 0.157020 best test_acc 0.9608
e 56 | malicious users: 2 | test acc 0.9581 test loss 0.172823 best test_acc 0.9608
e 57 | malicious users: 2 | test acc 0.9546 test loss 0.183814 best test_acc 0.9608
e 58 | malicious users: 0 | test acc 0.9601 test loss 0.148078 best test_acc 0.9608
e 59 | malicious users: 5 | test acc 0.9532 test loss 0.202835 best test_acc 0.9608
e 60 | malicious users: 4 | test acc 0.9558 test loss 0.264783 best test_acc 0.9608
e 61 | malicious users: 1 | test acc 0.9509 test loss 0.186039 best test_acc 0.9608
e 62 | malicious users: 4 | test acc 0.9554 test loss 0.204655 best test_acc 0.9608
e 63 | malicious users: 1 | test acc 0.9552 test loss 0.166204 best test_acc 0.9608
e 64 | malicious users: 0 | test acc 0.9549 test loss 0.160108 best test_acc 0.9608
e 65 | malicious users: 6 | test acc 0.9556 test loss 0.220801 best test_acc 0.9608
e 66 | malicious users: 5 | test acc 0.9562 test loss 0.279446 best test_acc 0.9608
e 67 | malicious users: 3 | test acc 0.9490 test loss 0.230349 best test_acc 0.9608
e 68 | malicious users: 4 | test acc 0.9514 test loss 0.249906 best test_acc 0.9608
e 69 | malicious users: 1 | test acc 0.9474 test loss 0.199940 best test_acc 0.9608
e 70 | malicious users: 1 | test acc 0.9558 test loss 0.156758 best test_acc 0.9608
e 71 | malicious users: 1 | test acc 0.9583 test loss 0.142074 best test_acc 0.9608
e 72 | malicious users: 2 | test acc 0.9618 test loss 0.152904 best test_acc 0.9618
e 73 | malicious users: 1 | test acc 0.9608 test loss 0.131192 best test_acc 0.9618
e 74 | malicious users: 2 | test acc 0.9538 test loss 0.180700 best test_acc 0.9618
e 75 | malicious users: 1 | test acc 0.9640 test loss 0.125287 best test_acc 0.9640
e 76 | malicious users: 5 | test acc 0.9627 test loss 0.169181 best test_acc 0.9640
e 77 | malicious users: 2 | test acc 0.9588 test loss 0.159604 best test_acc 0.9640
e 78 | malicious users: 2 | test acc 0.9546 test loss 0.195318 best test_acc 0.9640
e 79 | malicious users: 6 | test acc 0.9564 test loss 0.227044 best test_acc 0.9640
e 80 | malicious users: 2 | test acc 0.9548 test loss 0.180040 best test_acc 0.9640
e 81 | malicious users: 2 | test acc 0.9490 test loss 0.197498 best test_acc 0.9640
e 82 | malicious users: 1 | test acc 0.9560 test loss 0.157529 best test_acc 0.9640
e 83 | malicious users: 4 | test acc 0.9488 test loss 0.201263 best test_acc 0.9640
e 84 | malicious users: 2 | test acc 0.9594 test loss 0.168248 best test_acc 0.9640
e 85 | malicious users: 6 | test acc 0.9463 test loss 0.309395 best test_acc 0.9640
e 86 | malicious users: 1 | test acc 0.9501 test loss 0.198042 best test_acc 0.9640
e 87 | malicious users: 3 | test acc 0.9537 test loss 0.175284 best test_acc 0.9640
e 88 | malicious users: 3 | test acc 0.9563 test loss 0.192811 best test_acc 0.9640
e 89 | malicious users: 2 | test acc 0.9560 test loss 0.169924 best test_acc 0.9640
e 90 | malicious users: 1 | test acc 0.9552 test loss 0.154914 best test_acc 0.9640
e 91 | malicious users: 2 | test acc 0.9557 test loss 0.181357 best test_acc 0.9640
e 92 | malicious users: 0 | test acc 0.9593 test loss 0.130925 best test_acc 0.9640
e 93 | malicious users: 3 | test acc 0.9602 test loss 0.150709 best test_acc 0.9640
e 94 | malicious users: 3 | test acc 0.9523 test loss 0.202305 best test_acc 0.9640
e 95 | malicious users: 5 | test acc 0.9566 test loss 0.197011 best test_acc 0.9640
e 96 | malicious users: 2 | test acc 0.9557 test loss 0.183589 best test_acc 0.9640
e 97 | malicious users: 1 | test acc 0.9559 test loss 0.149601 best test_acc 0.9640
e 98 | malicious users: 3 | test acc 0.9603 test loss 0.187104 best test_acc 0.9640
e 99 | malicious users: 5 | test acc 0.9508 test loss 0.225868 best test_acc 0.9640
e 100 | malicious users: 4 | test acc 0.9509 test loss 0.214492 best test_acc 0.9640
e 101 | malicious users: 0 | test acc 0.9524 test loss 0.186331 best test_acc 0.9640
e 102 | malicious users: 5 | test acc 0.9529 test loss 0.237755 best test_acc 0.9640
e 103 | malicious users: 2 | test acc 0.9544 test loss 0.165059 best test_acc 0.9640
e 104 | malicious users: 2 | test acc 0.9517 test loss 0.186602 best test_acc 0.9640
e 105 | malicious users: 3 | test acc 0.9575 test loss 0.168513 best test_acc 0.9640
e 106 | malicious users: 1 | test acc 0.9566 test loss 0.149171 best test_acc 0.9640
e 107 | malicious users: 1 | test acc 0.9599 test loss 0.151350 best test_acc 0.9640
e 108 | malicious users: 2 | test acc 0.9596 test loss 0.141581 best test_acc 0.9640
e 109 | malicious users: 0 | test acc 0.9608 test loss 0.132282 best test_acc 0.9640
e 110 | malicious users: 1 | test acc 0.9656 test loss 0.116666 best test_acc 0.9656
e 111 | malicious users: 3 | test acc 0.9654 test loss 0.141327 best test_acc 0.9656
e 112 | malicious users: 2 | test acc 0.9652 test loss 0.130882 best test_acc 0.9656
e 113 | malicious users: 3 | test acc 0.9657 test loss 0.149893 best test_acc 0.9657
e 114 | malicious users: 4 | test acc 0.9605 test loss 0.166748 best test_acc 0.9657
e 115 | malicious users: 1 | test acc 0.9542 test loss 0.161634 best test_acc 0.9657
e 116 | malicious users: 2 | test acc 0.9585 test loss 0.158369 best test_acc 0.9657
e 117 | malicious users: 4 | test acc 0.9608 test loss 0.171259 best test_acc 0.9657
e 118 | malicious users: 2 | test acc 0.9584 test loss 0.170664 best test_acc 0.9657
e 119 | malicious users: 0 | test acc 0.9592 test loss 0.139483 best test_acc 0.9657
e 120 | malicious users: 3 | test acc 0.9606 test loss 0.165720 best test_acc 0.9657
e 121 | malicious users: 3 | test acc 0.9562 test loss 0.171664 best test_acc 0.9657
e 122 | malicious users: 3 | test acc 0.9619 test loss 0.168019 best test_acc 0.9657
e 123 | malicious users: 2 | test acc 0.9615 test loss 0.156194 best test_acc 0.9657
e 124 | malicious users: 4 | test acc 0.9584 test loss 0.199803 best test_acc 0.9657
e 125 | malicious users: 2 | test acc 0.9531 test loss 0.171549 best test_acc 0.9657
e 126 | malicious users: 2 | test acc 0.9605 test loss 0.149460 best test_acc 0.9657
e 127 | malicious users: 4 | test acc 0.9536 test loss 0.200204 best test_acc 0.9657
e 128 | malicious users: 1 | test acc 0.9602 test loss 0.152456 best test_acc 0.9657
e 129 | malicious users: 3 | test acc 0.9580 test loss 0.157724 best test_acc 0.9657
e 130 | malicious users: 4 | test acc 0.9521 test loss 0.247690 best test_acc 0.9657
e 131 | malicious users: 1 | test acc 0.9579 test loss 0.155092 best test_acc 0.9657
e 132 | malicious users: 2 | test acc 0.9599 test loss 0.163532 best test_acc 0.9657
e 133 | malicious users: 3 | test acc 0.9495 test loss 0.207788 best test_acc 0.9657
e 134 | malicious users: 4 | test acc 0.9522 test loss 0.221279 best test_acc 0.9657
e 135 | malicious users: 4 | test acc 0.9530 test loss 0.193985 best test_acc 0.9657
e 136 | malicious users: 2 | test acc 0.9463 test loss 0.228723 best test_acc 0.9657
e 137 | malicious users: 3 | test acc 0.9549 test loss 0.174719 best test_acc 0.9657
e 138 | malicious users: 1 | test acc 0.9557 test loss 0.153101 best test_acc 0.9657
e 139 | malicious users: 4 | test acc 0.9590 test loss 0.168703 best test_acc 0.9657
e 140 | malicious users: 2 | test acc 0.9485 test loss 0.216598 best test_acc 0.9657
e 141 | malicious users: 3 | test acc 0.9587 test loss 0.167210 best test_acc 0.9657
e 142 | malicious users: 1 | test acc 0.9570 test loss 0.147694 best test_acc 0.9657
e 143 | malicious users: 0 | test acc 0.9642 test loss 0.135944 best test_acc 0.9657
e 144 | malicious users: 0 | test acc 0.9636 test loss 0.125822 best test_acc 0.9657
e 145 | malicious users: 2 | test acc 0.9640 test loss 0.132584 best test_acc 0.9657
e 146 | malicious users: 0 | test acc 0.9637 test loss 0.129227 best test_acc 0.9657
e 147 | malicious users: 2 | test acc 0.9602 test loss 0.145420 best test_acc 0.9657
e 148 | malicious users: 2 | test acc 0.9667 test loss 0.124318 best test_acc 0.9667
e 149 | malicious users: 3 | test acc 0.9647 test loss 0.152216 best test_acc 0.9667
e 150 | malicious users: 5 | test acc 0.9604 test loss 0.192442 best test_acc 0.9667
e 151 | malicious users: 1 | test acc 0.9610 test loss 0.141793 best test_acc 0.9667
e 152 | malicious users: 2 | test acc 0.9649 test loss 0.143653 best test_acc 0.9667
e 153 | malicious users: 4 | test acc 0.9599 test loss 0.182074 best test_acc 0.9667
