
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.5908 test loss 2.078647 best test_acc 0.5908
e 1 | malicious users: 3 | test acc 0.6923 test loss 1.298304 best test_acc 0.6923
e 2 | malicious users: 2 | test acc 0.7738 test loss 0.807203 best test_acc 0.7738
e 3 | malicious users: 2 | test acc 0.8614 test loss 0.494685 best test_acc 0.8614
e 4 | malicious users: 2 | test acc 0.8939 test loss 0.455034 best test_acc 0.8939
e 5 | malicious users: 2 | test acc 0.8845 test loss 0.380565 best test_acc 0.8939
e 6 | malicious users: 2 | test acc 0.9308 test loss 0.307518 best test_acc 0.9308
e 7 | malicious users: 1 | test acc 0.9305 test loss 0.252929 best test_acc 0.9308
e 8 | malicious users: 0 | test acc 0.9265 test loss 0.251604 best test_acc 0.9308
e 9 | malicious users: 1 | test acc 0.9082 test loss 0.284623 best test_acc 0.9308
e 10 | malicious users: 4 | test acc 0.9214 test loss 0.255309 best test_acc 0.9308
e 11 | malicious users: 2 | test acc 0.9269 test loss 0.259712 best test_acc 0.9308
e 12 | malicious users: 3 | test acc 0.9524 test loss 0.176641 best test_acc 0.9524
e 13 | malicious users: 5 | test acc 0.9534 test loss 0.183170 best test_acc 0.9534
e 14 | malicious users: 3 | test acc 0.9464 test loss 0.186399 best test_acc 0.9534
e 15 | malicious users: 3 | test acc 0.9433 test loss 0.203609 best test_acc 0.9534
e 16 | malicious users: 5 | test acc 0.9520 test loss 0.178471 best test_acc 0.9534
e 17 | malicious users: 0 | test acc 0.9553 test loss 0.161578 best test_acc 0.9553
e 18 | malicious users: 2 | test acc 0.9568 test loss 0.160709 best test_acc 0.9568
e 19 | malicious users: 1 | test acc 0.9538 test loss 0.156264 best test_acc 0.9568
e 20 | malicious users: 2 | test acc 0.9588 test loss 0.179401 best test_acc 0.9588
e 21 | malicious users: 5 | test acc 0.9503 test loss 0.183356 best test_acc 0.9588
e 22 | malicious users: 2 | test acc 0.9552 test loss 0.162835 best test_acc 0.9588
e 23 | malicious users: 3 | test acc 0.9546 test loss 0.191732 best test_acc 0.9588
e 24 | malicious users: 1 | test acc 0.9546 test loss 0.154816 best test_acc 0.9588
e 25 | malicious users: 3 | test acc 0.9550 test loss 0.180007 best test_acc 0.9588
e 26 | malicious users: 2 | test acc 0.9576 test loss 0.158278 best test_acc 0.9588
e 27 | malicious users: 3 | test acc 0.9547 test loss 0.191835 best test_acc 0.9588
e 28 | malicious users: 2 | test acc 0.9568 test loss 0.175692 best test_acc 0.9588
e 29 | malicious users: 3 | test acc 0.9546 test loss 0.189964 best test_acc 0.9588
e 30 | malicious users: 3 | test acc 0.9488 test loss 0.189111 best test_acc 0.9588
e 31 | malicious users: 2 | test acc 0.9552 test loss 0.188975 best test_acc 0.9588
e 32 | malicious users: 4 | test acc 0.9456 test loss 0.268952 best test_acc 0.9588
e 33 | malicious users: 3 | test acc 0.9477 test loss 0.200619 best test_acc 0.9588
e 34 | malicious users: 0 | test acc 0.9550 test loss 0.196053 best test_acc 0.9588
e 35 | malicious users: 2 | test acc 0.9548 test loss 0.170083 best test_acc 0.9588
e 36 | malicious users: 2 | test acc 0.9570 test loss 0.180684 best test_acc 0.9588
e 37 | malicious users: 7 | test acc 0.9402 test loss 0.338833 best test_acc 0.9588
e 38 | malicious users: 4 | test acc 0.9449 test loss 0.454133 best test_acc 0.9588
e 39 | malicious users: 1 | test acc 0.9470 test loss 0.202249 best test_acc 0.9588
e 40 | malicious users: 4 | test acc 0.9364 test loss 0.302321 best test_acc 0.9588
e 41 | malicious users: 3 | test acc 0.9507 test loss 0.211052 best test_acc 0.9588
e 42 | malicious users: 3 | test acc 0.9501 test loss 0.276881 best test_acc 0.9588
e 43 | malicious users: 3 | test acc 0.9503 test loss 0.195648 best test_acc 0.9588
e 44 | malicious users: 1 | test acc 0.9510 test loss 0.211570 best test_acc 0.9588
e 45 | malicious users: 3 | test acc 0.9506 test loss 0.187499 best test_acc 0.9588
e 46 | malicious users: 4 | test acc 0.9472 test loss 0.308291 best test_acc 0.9588
e 47 | malicious users: 1 | test acc 0.9409 test loss 0.204051 best test_acc 0.9588
e 48 | malicious users: 0 | test acc 0.9434 test loss 0.188722 best test_acc 0.9588
e 49 | malicious users: 4 | test acc 0.9508 test loss 0.215449 best test_acc 0.9588
e 50 | malicious users: 1 | test acc 0.9522 test loss 0.165101 best test_acc 0.9588
e 51 | malicious users: 4 | test acc 0.9531 test loss 0.208184 best test_acc 0.9588
e 52 | malicious users: 5 | test acc 0.9425 test loss 0.286318 best test_acc 0.9588
e 53 | malicious users: 3 | test acc 0.9554 test loss 0.180111 best test_acc 0.9588
e 54 | malicious users: 2 | test acc 0.9520 test loss 0.198153 best test_acc 0.9588
e 55 | malicious users: 3 | test acc 0.9474 test loss 0.200981 best test_acc 0.9588
e 56 | malicious users: 3 | test acc 0.9456 test loss 0.283605 best test_acc 0.9588
e 57 | malicious users: 3 | test acc 0.9496 test loss 0.179882 best test_acc 0.9588
e 58 | malicious users: 2 | test acc 0.9498 test loss 0.258265 best test_acc 0.9588
e 59 | malicious users: 4 | test acc 0.9530 test loss 0.211279 best test_acc 0.9588
e 60 | malicious users: 1 | test acc 0.9503 test loss 0.178222 best test_acc 0.9588
e 61 | malicious users: 1 | test acc 0.9553 test loss 0.168464 best test_acc 0.9588
e 62 | malicious users: 0 | test acc 0.9532 test loss 0.150487 best test_acc 0.9588
e 63 | malicious users: 2 | test acc 0.9600 test loss 0.155393 best test_acc 0.9600
e 64 | malicious users: 1 | test acc 0.9522 test loss 0.152299 best test_acc 0.9600
e 65 | malicious users: 2 | test acc 0.9630 test loss 0.143580 best test_acc 0.9630
e 66 | malicious users: 2 | test acc 0.9606 test loss 0.147210 best test_acc 0.9630
e 67 | malicious users: 1 | test acc 0.9619 test loss 0.126291 best test_acc 0.9630
e 68 | malicious users: 5 | test acc 0.9574 test loss 0.191109 best test_acc 0.9630
e 69 | malicious users: 1 | test acc 0.9607 test loss 0.136680 best test_acc 0.9630
e 70 | malicious users: 5 | test acc 0.9614 test loss 0.226732 best test_acc 0.9630
e 71 | malicious users: 5 | test acc 0.9500 test loss 0.235926 best test_acc 0.9630
e 72 | malicious users: 1 | test acc 0.9516 test loss 0.190671 best test_acc 0.9630
e 73 | malicious users: 5 | test acc 0.9546 test loss 0.212970 best test_acc 0.9630
e 74 | malicious users: 3 | test acc 0.9519 test loss 0.206490 best test_acc 0.9630
e 75 | malicious users: 0 | test acc 0.9558 test loss 0.166818 best test_acc 0.9630
e 76 | malicious users: 5 | test acc 0.9480 test loss 0.230438 best test_acc 0.9630
e 77 | malicious users: 3 | test acc 0.9548 test loss 0.203177 best test_acc 0.9630
e 78 | malicious users: 0 | test acc 0.9482 test loss 0.184554 best test_acc 0.9630
e 79 | malicious users: 1 | test acc 0.9542 test loss 0.155082 best test_acc 0.9630
e 80 | malicious users: 3 | test acc 0.9577 test loss 0.190508 best test_acc 0.9630
e 81 | malicious users: 4 | test acc 0.9534 test loss 0.180410 best test_acc 0.9630
e 82 | malicious users: 5 | test acc 0.9460 test loss 0.245513 best test_acc 0.9630
e 83 | malicious users: 0 | test acc 0.9498 test loss 0.201685 best test_acc 0.9630
e 84 | malicious users: 1 | test acc 0.9576 test loss 0.146160 best test_acc 0.9630
e 85 | malicious users: 4 | test acc 0.9484 test loss 0.216094 best test_acc 0.9630
e 86 | malicious users: 3 | test acc 0.9532 test loss 0.178456 best test_acc 0.9630
e 87 | malicious users: 2 | test acc 0.9593 test loss 0.158242 best test_acc 0.9630
e 88 | malicious users: 1 | test acc 0.9563 test loss 0.169008 best test_acc 0.9630
e 89 | malicious users: 4 | test acc 0.9609 test loss 0.187388 best test_acc 0.9630
e 90 | malicious users: 4 | test acc 0.9553 test loss 0.195050 best test_acc 0.9630
e 91 | malicious users: 1 | test acc 0.9512 test loss 0.193588 best test_acc 0.9630
e 92 | malicious users: 4 | test acc 0.9572 test loss 0.184355 best test_acc 0.9630
e 93 | malicious users: 1 | test acc 0.9539 test loss 0.168102 best test_acc 0.9630
e 94 | malicious users: 3 | test acc 0.9591 test loss 0.163315 best test_acc 0.9630
e 95 | malicious users: 3 | test acc 0.9606 test loss 0.191196 best test_acc 0.9630
e 96 | malicious users: 1 | test acc 0.9540 test loss 0.162753 best test_acc 0.9630
e 97 | malicious users: 2 | test acc 0.9572 test loss 0.160703 best test_acc 0.9630
e 98 | malicious users: 3 | test acc 0.9615 test loss 0.169550 best test_acc 0.9630
e 99 | malicious users: 3 | test acc 0.9609 test loss 0.149295 best test_acc 0.9630
e 100 | malicious users: 2 | test acc 0.9564 test loss 0.167646 best test_acc 0.9630
e 101 | malicious users: 2 | test acc 0.9591 test loss 0.160116 best test_acc 0.9630
e 102 | malicious users: 3 | test acc 0.9545 test loss 0.233275 best test_acc 0.9630
e 103 | malicious users: 2 | test acc 0.9576 test loss 0.155206 best test_acc 0.9630
e 104 | malicious users: 3 | test acc 0.9560 test loss 0.210615 best test_acc 0.9630
e 105 | malicious users: 3 | test acc 0.9558 test loss 0.164347 best test_acc 0.9630
e 106 | malicious users: 0 | test acc 0.9583 test loss 0.169061 best test_acc 0.9630
e 107 | malicious users: 2 | test acc 0.9634 test loss 0.146844 best test_acc 0.9634
e 108 | malicious users: 3 | test acc 0.9596 test loss 0.183790 best test_acc 0.9634
e 109 | malicious users: 1 | test acc 0.9604 test loss 0.147254 best test_acc 0.9634
e 110 | malicious users: 1 | test acc 0.9587 test loss 0.142158 best test_acc 0.9634
e 111 | malicious users: 3 | test acc 0.9618 test loss 0.141730 best test_acc 0.9634
e 112 | malicious users: 3 | test acc 0.9597 test loss 0.152654 best test_acc 0.9634
e 113 | malicious users: 4 | test acc 0.9545 test loss 0.206475 best test_acc 0.9634
e 114 | malicious users: 1 | test acc 0.9601 test loss 0.138767 best test_acc 0.9634
e 115 | malicious users: 2 | test acc 0.9598 test loss 0.166768 best test_acc 0.9634
e 116 | malicious users: 3 | test acc 0.9615 test loss 0.159224 best test_acc 0.9634
e 117 | malicious users: 5 | test acc 0.9482 test loss 0.242372 best test_acc 0.9634
e 118 | malicious users: 3 | test acc 0.9527 test loss 0.219540 best test_acc 0.9634
e 119 | malicious users: 3 | test acc 0.9552 test loss 0.205574 best test_acc 0.9634
