
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 0 | test acc 0.4567 test loss 2.072526 best test_acc 0.4567
e 1 | malicious users: 6 | test acc 0.7385 test loss 1.002075 best test_acc 0.7385
e 2 | malicious users: 2 | test acc 0.7799 test loss 0.965375 best test_acc 0.7799
e 3 | malicious users: 1 | test acc 0.8519 test loss 0.553735 best test_acc 0.8519
e 4 | malicious users: 1 | test acc 0.8712 test loss 0.466280 best test_acc 0.8712
e 5 | malicious users: 3 | test acc 0.9150 test loss 0.310100 best test_acc 0.9150
e 6 | malicious users: 4 | test acc 0.8884 test loss 0.384850 best test_acc 0.9150
e 7 | malicious users: 4 | test acc 0.9219 test loss 0.279493 best test_acc 0.9219
e 8 | malicious users: 1 | test acc 0.9354 test loss 0.226512 best test_acc 0.9354
e 9 | malicious users: 1 | test acc 0.9289 test loss 0.249293 best test_acc 0.9354
e 10 | malicious users: 3 | test acc 0.9321 test loss 0.235421 best test_acc 0.9354
e 11 | malicious users: 2 | test acc 0.9408 test loss 0.203961 best test_acc 0.9408
e 12 | malicious users: 3 | test acc 0.9435 test loss 0.205531 best test_acc 0.9435
e 13 | malicious users: 1 | test acc 0.9464 test loss 0.175235 best test_acc 0.9464
e 14 | malicious users: 0 | test acc 0.9504 test loss 0.168144 best test_acc 0.9504
e 15 | malicious users: 1 | test acc 0.9457 test loss 0.174532 best test_acc 0.9504
e 16 | malicious users: 1 | test acc 0.9538 test loss 0.149041 best test_acc 0.9538
e 17 | malicious users: 2 | test acc 0.9571 test loss 0.150762 best test_acc 0.9571
e 18 | malicious users: 3 | test acc 0.9547 test loss 0.152752 best test_acc 0.9571
e 19 | malicious users: 3 | test acc 0.9581 test loss 0.146145 best test_acc 0.9581
e 20 | malicious users: 0 | test acc 0.9568 test loss 0.159606 best test_acc 0.9581
e 21 | malicious users: 4 | test acc 0.9579 test loss 0.146766 best test_acc 0.9581
e 22 | malicious users: 1 | test acc 0.9543 test loss 0.152088 best test_acc 0.9581
e 23 | malicious users: 2 | test acc 0.9614 test loss 0.135316 best test_acc 0.9614
e 24 | malicious users: 4 | test acc 0.9598 test loss 0.152503 best test_acc 0.9614
e 25 | malicious users: 5 | test acc 0.9538 test loss 0.174269 best test_acc 0.9614
e 26 | malicious users: 4 | test acc 0.9431 test loss 0.252320 best test_acc 0.9614
e 27 | malicious users: 5 | test acc 0.9462 test loss 0.251164 best test_acc 0.9614
e 28 | malicious users: 4 | test acc 0.9478 test loss 0.246698 best test_acc 0.9614
e 29 | malicious users: 1 | test acc 0.9485 test loss 0.216199 best test_acc 0.9614
e 30 | malicious users: 0 | test acc 0.9564 test loss 0.153320 best test_acc 0.9614
e 31 | malicious users: 3 | test acc 0.9520 test loss 0.218378 best test_acc 0.9614
e 32 | malicious users: 5 | test acc 0.9541 test loss 0.220479 best test_acc 0.9614
e 33 | malicious users: 2 | test acc 0.9481 test loss 0.220808 best test_acc 0.9614
e 34 | malicious users: 1 | test acc 0.9457 test loss 0.180597 best test_acc 0.9614
e 35 | malicious users: 2 | test acc 0.9484 test loss 0.199399 best test_acc 0.9614
e 36 | malicious users: 1 | test acc 0.9538 test loss 0.160252 best test_acc 0.9614
e 37 | malicious users: 4 | test acc 0.9565 test loss 0.184670 best test_acc 0.9614
e 38 | malicious users: 1 | test acc 0.9472 test loss 0.176592 best test_acc 0.9614
e 39 | malicious users: 5 | test acc 0.9518 test loss 0.232287 best test_acc 0.9614
e 40 | malicious users: 2 | test acc 0.9518 test loss 0.181212 best test_acc 0.9614
e 41 | malicious users: 2 | test acc 0.9493 test loss 0.219075 best test_acc 0.9614
e 42 | malicious users: 4 | test acc 0.9417 test loss 0.240417 best test_acc 0.9614
e 43 | malicious users: 1 | test acc 0.9571 test loss 0.176357 best test_acc 0.9614
e 44 | malicious users: 5 | test acc 0.9534 test loss 0.221415 best test_acc 0.9614
e 45 | malicious users: 2 | test acc 0.9500 test loss 0.226327 best test_acc 0.9614
e 46 | malicious users: 3 | test acc 0.9514 test loss 0.235259 best test_acc 0.9614
e 47 | malicious users: 3 | test acc 0.9415 test loss 0.284315 best test_acc 0.9614
e 48 | malicious users: 6 | test acc 0.9385 test loss 0.392832 best test_acc 0.9614
e 49 | malicious users: 0 | test acc 0.9392 test loss 0.232616 best test_acc 0.9614
e 50 | malicious users: 0 | test acc 0.9510 test loss 0.163424 best test_acc 0.9614
e 51 | malicious users: 2 | test acc 0.9491 test loss 0.193532 best test_acc 0.9614
e 52 | malicious users: 4 | test acc 0.9528 test loss 0.209086 best test_acc 0.9614
e 53 | malicious users: 4 | test acc 0.9519 test loss 0.223208 best test_acc 0.9614
e 54 | malicious users: 2 | test acc 0.9462 test loss 0.205341 best test_acc 0.9614
e 55 | malicious users: 4 | test acc 0.9524 test loss 0.286303 best test_acc 0.9614
e 56 | malicious users: 0 | test acc 0.9502 test loss 0.170873 best test_acc 0.9614
e 57 | malicious users: 3 | test acc 0.9463 test loss 0.269867 best test_acc 0.9614
e 58 | malicious users: 2 | test acc 0.9535 test loss 0.176223 best test_acc 0.9614
e 59 | malicious users: 5 | test acc 0.9506 test loss 0.249997 best test_acc 0.9614
