
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 0 | test acc 0.5354 test loss 1.998744 best test_acc 0.5354
e 1 | malicious users: 3 | test acc 0.6704 test loss 1.432477 best test_acc 0.6704
e 2 | malicious users: 3 | test acc 0.8035 test loss 0.771125 best test_acc 0.8035
e 3 | malicious users: 4 | test acc 0.8641 test loss 0.576967 best test_acc 0.8641
e 4 | malicious users: 1 | test acc 0.8099 test loss 0.578550 best test_acc 0.8641
e 5 | malicious users: 2 | test acc 0.8983 test loss 0.371997 best test_acc 0.8983
e 6 | malicious users: 1 | test acc 0.9170 test loss 0.298028 best test_acc 0.9170
e 7 | malicious users: 3 | test acc 0.9097 test loss 0.315132 best test_acc 0.9170
e 8 | malicious users: 3 | test acc 0.9292 test loss 0.252566 best test_acc 0.9292
e 9 | malicious users: 2 | test acc 0.9313 test loss 0.237466 best test_acc 0.9313
e 10 | malicious users: 0 | test acc 0.9459 test loss 0.188492 best test_acc 0.9459
e 11 | malicious users: 2 | test acc 0.9368 test loss 0.209720 best test_acc 0.9459
e 12 | malicious users: 4 | test acc 0.9389 test loss 0.216625 best test_acc 0.9459
e 13 | malicious users: 1 | test acc 0.9491 test loss 0.164112 best test_acc 0.9491
e 14 | malicious users: 4 | test acc 0.9512 test loss 0.166533 best test_acc 0.9512
e 15 | malicious users: 4 | test acc 0.9484 test loss 0.201928 best test_acc 0.9512
e 16 | malicious users: 0 | test acc 0.9540 test loss 0.151409 best test_acc 0.9540
e 17 | malicious users: 3 | test acc 0.9551 test loss 0.154722 best test_acc 0.9551
e 18 | malicious users: 2 | test acc 0.9533 test loss 0.158817 best test_acc 0.9551
e 19 | malicious users: 6 | test acc 0.9511 test loss 0.178496 best test_acc 0.9551
e 20 | malicious users: 3 | test acc 0.9408 test loss 0.212242 best test_acc 0.9551
e 21 | malicious users: 1 | test acc 0.9569 test loss 0.165201 best test_acc 0.9569
e 22 | malicious users: 3 | test acc 0.9576 test loss 0.150437 best test_acc 0.9576
e 23 | malicious users: 1 | test acc 0.9581 test loss 0.141208 best test_acc 0.9581
e 24 | malicious users: 1 | test acc 0.9620 test loss 0.130550 best test_acc 0.9620
e 25 | malicious users: 1 | test acc 0.9598 test loss 0.133867 best test_acc 0.9620
e 26 | malicious users: 0 | test acc 0.9600 test loss 0.133110 best test_acc 0.9620
e 27 | malicious users: 3 | test acc 0.9586 test loss 0.142076 best test_acc 0.9620
e 28 | malicious users: 1 | test acc 0.9625 test loss 0.127170 best test_acc 0.9625
e 29 | malicious users: 4 | test acc 0.9601 test loss 0.153616 best test_acc 0.9625
e 30 | malicious users: 2 | test acc 0.9613 test loss 0.152662 best test_acc 0.9625
e 31 | malicious users: 1 | test acc 0.9618 test loss 0.132167 best test_acc 0.9625
e 32 | malicious users: 2 | test acc 0.9590 test loss 0.166046 best test_acc 0.9625
e 33 | malicious users: 1 | test acc 0.9629 test loss 0.125352 best test_acc 0.9629
e 34 | malicious users: 1 | test acc 0.9636 test loss 0.115764 best test_acc 0.9636
e 35 | malicious users: 2 | test acc 0.9638 test loss 0.129814 best test_acc 0.9638
e 36 | malicious users: 2 | test acc 0.9612 test loss 0.138345 best test_acc 0.9638
e 37 | malicious users: 5 | test acc 0.9606 test loss 0.179789 best test_acc 0.9638
e 38 | malicious users: 1 | test acc 0.9579 test loss 0.153872 best test_acc 0.9638
e 39 | malicious users: 2 | test acc 0.9583 test loss 0.154262 best test_acc 0.9638
e 40 | malicious users: 5 | test acc 0.9524 test loss 0.226102 best test_acc 0.9638
e 41 | malicious users: 6 | test acc 0.9466 test loss 0.286560 best test_acc 0.9638
e 42 | malicious users: 3 | test acc 0.9413 test loss 0.302160 best test_acc 0.9638
e 43 | malicious users: 3 | test acc 0.9447 test loss 0.261604 best test_acc 0.9638
e 44 | malicious users: 1 | test acc 0.9432 test loss 0.205650 best test_acc 0.9638
e 45 | malicious users: 2 | test acc 0.9565 test loss 0.163514 best test_acc 0.9638
e 46 | malicious users: 1 | test acc 0.9551 test loss 0.160804 best test_acc 0.9638
e 47 | malicious users: 1 | test acc 0.9562 test loss 0.150671 best test_acc 0.9638
e 48 | malicious users: 3 | test acc 0.9545 test loss 0.175066 best test_acc 0.9638
e 49 | malicious users: 5 | test acc 0.9555 test loss 0.240589 best test_acc 0.9638
e 50 | malicious users: 3 | test acc 0.9487 test loss 0.212084 best test_acc 0.9638
e 51 | malicious users: 3 | test acc 0.9344 test loss 0.300924 best test_acc 0.9638
e 52 | malicious users: 3 | test acc 0.9399 test loss 0.241322 best test_acc 0.9638
e 53 | malicious users: 1 | test acc 0.9511 test loss 0.170237 best test_acc 0.9638
e 54 | malicious users: 3 | test acc 0.9566 test loss 0.178157 best test_acc 0.9638
e 55 | malicious users: 1 | test acc 0.9554 test loss 0.154608 best test_acc 0.9638
e 56 | malicious users: 2 | test acc 0.9516 test loss 0.255130 best test_acc 0.9638
