
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.4365 test loss 1.979400 best test_acc 0.4365
e 1 | malicious users: 3 | test acc 0.7334 test loss 1.176380 best test_acc 0.7334
e 2 | malicious users: 3 | test acc 0.7327 test loss 0.820138 best test_acc 0.7334
e 3 | malicious users: 1 | test acc 0.8604 test loss 0.533133 best test_acc 0.8604
e 4 | malicious users: 0 | test acc 0.8423 test loss 0.449129 best test_acc 0.8604
e 5 | malicious users: 2 | test acc 0.9058 test loss 0.347198 best test_acc 0.9058
e 6 | malicious users: 3 | test acc 0.9056 test loss 0.309965 best test_acc 0.9058
e 7 | malicious users: 3 | test acc 0.9294 test loss 0.257160 best test_acc 0.9294
e 8 | malicious users: 4 | test acc 0.9320 test loss 0.248142 best test_acc 0.9320
e 9 | malicious users: 6 | test acc 0.9326 test loss 0.261660 best test_acc 0.9326
e 10 | malicious users: 3 | test acc 0.9406 test loss 0.202069 best test_acc 0.9406
e 11 | malicious users: 1 | test acc 0.9346 test loss 0.229983 best test_acc 0.9406
e 12 | malicious users: 2 | test acc 0.9408 test loss 0.212616 best test_acc 0.9408
e 13 | malicious users: 3 | test acc 0.9471 test loss 0.191341 best test_acc 0.9471
e 14 | malicious users: 4 | test acc 0.9481 test loss 0.184868 best test_acc 0.9481
e 15 | malicious users: 3 | test acc 0.9459 test loss 0.206956 best test_acc 0.9481
e 16 | malicious users: 5 | test acc 0.9452 test loss 0.231635 best test_acc 0.9481
e 17 | malicious users: 2 | test acc 0.9525 test loss 0.176798 best test_acc 0.9525
e 18 | malicious users: 3 | test acc 0.9505 test loss 0.179120 best test_acc 0.9525
e 19 | malicious users: 1 | test acc 0.9450 test loss 0.200486 best test_acc 0.9525
e 20 | malicious users: 5 | test acc 0.9533 test loss 0.210476 best test_acc 0.9533
e 21 | malicious users: 2 | test acc 0.9401 test loss 0.198436 best test_acc 0.9533
e 22 | malicious users: 1 | test acc 0.9523 test loss 0.172387 best test_acc 0.9533
e 23 | malicious users: 2 | test acc 0.9545 test loss 0.167490 best test_acc 0.9545
e 24 | malicious users: 2 | test acc 0.9527 test loss 0.175829 best test_acc 0.9545
e 25 | malicious users: 5 | test acc 0.9488 test loss 0.226689 best test_acc 0.9545
e 26 | malicious users: 3 | test acc 0.9515 test loss 0.203521 best test_acc 0.9545
e 27 | malicious users: 0 | test acc 0.9476 test loss 0.183929 best test_acc 0.9545
e 28 | malicious users: 0 | test acc 0.9580 test loss 0.164864 best test_acc 0.9580
e 29 | malicious users: 2 | test acc 0.9484 test loss 0.179101 best test_acc 0.9580
e 30 | malicious users: 3 | test acc 0.9560 test loss 0.167446 best test_acc 0.9580
e 31 | malicious users: 5 | test acc 0.9494 test loss 0.213639 best test_acc 0.9580
e 32 | malicious users: 1 | test acc 0.9470 test loss 0.231645 best test_acc 0.9580
e 33 | malicious users: 5 | test acc 0.9385 test loss 0.304036 best test_acc 0.9580
