
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.5161 test loss 2.102879 best test_acc 0.5161
e 1 | malicious users: 2 | test acc 0.7619 test loss 1.187987 best test_acc 0.7619
e 2 | malicious users: 3 | test acc 0.7814 test loss 0.669701 best test_acc 0.7814
e 3 | malicious users: 1 | test acc 0.8729 test loss 0.467423 best test_acc 0.8729
e 4 | malicious users: 2 | test acc 0.9007 test loss 0.348381 best test_acc 0.9007
e 5 | malicious users: 3 | test acc 0.8968 test loss 0.339137 best test_acc 0.9007
e 6 | malicious users: 3 | test acc 0.9126 test loss 0.297542 best test_acc 0.9126
e 7 | malicious users: 2 | test acc 0.9277 test loss 0.284569 best test_acc 0.9277
e 8 | malicious users: 1 | test acc 0.9370 test loss 0.205457 best test_acc 0.9370
e 9 | malicious users: 2 | test acc 0.9369 test loss 0.217939 best test_acc 0.9370
e 10 | malicious users: 1 | test acc 0.9482 test loss 0.174409 best test_acc 0.9482
e 11 | malicious users: 1 | test acc 0.9494 test loss 0.171896 best test_acc 0.9494
e 12 | malicious users: 2 | test acc 0.9475 test loss 0.172348 best test_acc 0.9494
e 13 | malicious users: 3 | test acc 0.9514 test loss 0.173666 best test_acc 0.9514
e 14 | malicious users: 3 | test acc 0.9490 test loss 0.174691 best test_acc 0.9514
e 15 | malicious users: 4 | test acc 0.9449 test loss 0.197960 best test_acc 0.9514
e 16 | malicious users: 4 | test acc 0.9569 test loss 0.165760 best test_acc 0.9569
e 17 | malicious users: 4 | test acc 0.9563 test loss 0.162144 best test_acc 0.9569
e 18 | malicious users: 2 | test acc 0.9616 test loss 0.138130 best test_acc 0.9616
e 19 | malicious users: 0 | test acc 0.9621 test loss 0.137752 best test_acc 0.9621
e 20 | malicious users: 0 | test acc 0.9594 test loss 0.134118 best test_acc 0.9621
e 21 | malicious users: 1 | test acc 0.9633 test loss 0.124443 best test_acc 0.9633
e 22 | malicious users: 2 | test acc 0.9603 test loss 0.133112 best test_acc 0.9633
e 23 | malicious users: 1 | test acc 0.9633 test loss 0.122596 best test_acc 0.9633
e 24 | malicious users: 4 | test acc 0.9620 test loss 0.146036 best test_acc 0.9633
e 25 | malicious users: 2 | test acc 0.9641 test loss 0.129071 best test_acc 0.9641
e 26 | malicious users: 1 | test acc 0.9590 test loss 0.140351 best test_acc 0.9641
e 27 | malicious users: 3 | test acc 0.9621 test loss 0.153220 best test_acc 0.9641
e 28 | malicious users: 3 | test acc 0.9641 test loss 0.144021 best test_acc 0.9641
e 29 | malicious users: 0 | test acc 0.9618 test loss 0.132844 best test_acc 0.9641
e 30 | malicious users: 2 | test acc 0.9626 test loss 0.138086 best test_acc 0.9641
e 31 | malicious users: 2 | test acc 0.9635 test loss 0.136323 best test_acc 0.9641
e 32 | malicious users: 3 | test acc 0.9606 test loss 0.147813 best test_acc 0.9641
e 33 | malicious users: 3 | test acc 0.9555 test loss 0.161873 best test_acc 0.9641
e 34 | malicious users: 2 | test acc 0.9459 test loss 0.206959 best test_acc 0.9641
e 35 | malicious users: 3 | test acc 0.9634 test loss 0.162832 best test_acc 0.9641
e 36 | malicious users: 0 | test acc 0.9579 test loss 0.157837 best test_acc 0.9641
e 37 | malicious users: 4 | test acc 0.9608 test loss 0.169564 best test_acc 0.9641
e 38 | malicious users: 5 | test acc 0.9300 test loss 0.308393 best test_acc 0.9641
e 39 | malicious users: 6 | test acc 0.9445 test loss 0.380497 best test_acc 0.9641
e 40 | malicious users: 0 | test acc 0.9410 test loss 0.225577 best test_acc 0.9641
e 41 | malicious users: 3 | test acc 0.9466 test loss 0.230126 best test_acc 0.9641
e 42 | malicious users: 3 | test acc 0.9494 test loss 0.222050 best test_acc 0.9641
e 43 | malicious users: 4 | test acc 0.9486 test loss 0.217677 best test_acc 0.9641
e 44 | malicious users: 3 | test acc 0.9435 test loss 0.252875 best test_acc 0.9641
e 45 | malicious users: 3 | test acc 0.9412 test loss 0.271197 best test_acc 0.9641
e 46 | malicious users: 2 | test acc 0.9532 test loss 0.186770 best test_acc 0.9641
e 47 | malicious users: 2 | test acc 0.9520 test loss 0.205796 best test_acc 0.9641
e 48 | malicious users: 2 | test acc 0.9516 test loss 0.213188 best test_acc 0.9641
e 49 | malicious users: 5 | test acc 0.9459 test loss 0.265970 best test_acc 0.9641
